Regulator	Target	MI
ATF1	CD40	0.5284461889848333
ATF1	GUCY2D	0.5981272094773002
ATF1	USPL1	0.5966999923112155
ATF1	NDUFA12	0.5889101250717821
ATF1	STON1	0.6604375182832745
ATF1	MLLT1	0.588987155086806
ATF1	DDX41	0.5629054880805486
ATF1	WDR43	0.6353028247520438
ATF1	LMF1	0.5846113762550349
ATF1	PYCARD	0.563048032967115
ATF1	OGFOD1	0.5461070358386428
ATF1	NAE1	0.53903008596355
ATF1	MORC2	0.7438445374688127
ATF1	DNAH11	0.6343250043829798
ATF1	LRRN2	0.6265852111669346
ATF1	STARD7	0.5337382527592602
ATF1	STAT2	0.5801550328553673
ATF1	WWP2	0.5534974478893435
ATF1	TTC7A	0.6523852944821247
ATF1	DGKZ	0.5356737506861071
ATF1	HPCAL4	0.5842549385946265
ATF1	GRWD1	0.5399981297976351
ATF1	ACRV1	0.9088360964768079
ATF1	ANG	0.5767469367494149
ATF1	SFXN5	0.569419730204884
ATF2	WDR25	0.5963096729123682
ATF2	NPY6R	0.5444462499254623
ATF2	SLC46A2	0.6019626132749294
ATF2	LRP1	0.5881285330395989
ATF2	OR6K3	0.7240892311438398
ATF2	TMEM63B	0.5620485195287941
ATF2	CD81	0.5586882345607256
ATF2	GDI2	0.5854367055746517
ATF2	BRCA2	0.6832953673161044
ATF2	ZDBF2	0.6264859819565234
ATF2	RAI1	0.6381701196421616
ATF2	GLT1D1	0.6259514317050825
ATF2	EME2	0.6412228870861298
ATF2	ALDH3B1	0.5696004945809756
ATF2	NRIP1	0.5574222558337545
ATF2	XPO5	0.6501303198861184
ATF2	ZNF626	0.5892054586573252
ATF2	ZBED1	0.5887017472849401
ATF2	MORC1	0.5771810813335145
ATF2	HRAS	0.5794703676410844
ATF2	CDK5RAP3	0.6218354698874049
ATF2	ZNF485	0.5344844921279752
ATF2	TIMM8A	0.5311868739194243
ATF2	C19orf53	0.6566234216677955
ATF2	EIF2B2	0.5369733156282464
ATF2	PTPRN2	0.6392224760635346
ATF2	CSNK2A1	0.6252699850637211
ATF2	STYX	0.553773148521056
ATF2	BRAF	0.5469496037618788
ATF2	HOOK3	0.6858774651058264
ATF2	GRIN2D	0.6192106098963475
ATF2	DRAP1	0.625918045164811
ATF2	GOLGA8B	0.6727975986498484
ATF2	IFT88	0.5894695096384206
ATF2	LRG1	0.6064974106022567
ATF2	CAPZA1	0.5274087463938972
ATF2	ERF	0.6056424321735556
