Regulator	Target	MI
ATF1	CCNK	0.6066390811917275
ATF1	PUS10	0.6528898500059994
ATF1	ADAMTSL4	0.5535024419014456
ATF1	RUSC1	0.5707396961600821
ATF1	HMGB3	0.5726628641928038
ATF1	LMCD1	0.5647262766483658
ATF2	DLX2	0.6382576573186407
ATF2	SNORA81	0.6235223011214184
ATF2	IZUMO1	0.5289989896317207
ATF2	RARRES2	0.5346556921561811
ATF2	TACO1	0.5338908865411356
ATF2	WIZ	0.543500624101827
ATF2	SNX21	0.540873782101309
ATF2	YBX2	0.5535825258197931
ATF2	HIF1A	0.6581185090078225
ATF2	CRYZ	0.5698098869829136
ATF2	CST3	0.5345775715848546
ATF2	SFPQ	0.5559385318414258
ATF2	KCNT1	0.6110549761289321
JRK	DPP10	0.6872368173960295
JRK	RERE	0.53903008596355
JRK	PLVAP	0.6128119283756868
JRK	LAMA2	0.617894490454483
JRK	IHH	0.5761289656913688
JRK	F13A1	0.5495659493478366
JRK	AGAP3	0.5668072989818627
JRK	SLC2A5	0.7259981611996236
JRK	RPSAP58	0.7435166603757444
JRK	HECTD3	0.6179970671282669
JRK	SOX18	0.5596756986018501
JRK	ZNF83	0.5554521827635348
JRK	SIRPA	0.5495659493478366
JRK	AP4S1	0.7549036133836218
JRK	EMD	0.5382192511660708
JRK	SH2B3	0.5610849033669467
JRK	SLC35A5	0.5473027239076056
JRK	NKX2-3	0.5296990862552788
JRK	SH3GL1	0.684182454617285
JRK	ECH1	0.5733623448587042
JRK	KLHL2	0.5580931061368566
JRK	DNAJC13	0.6677649091115283
JRK	MRPL47	0.5433263429342134
JRK	FBXL16	0.5598119237794581
JRK	PROCR	0.5541456690532831
JRK	TMCO6	0.5918427035359102
JRK	KLF9	0.6048409457922799
JRK	SSPN	0.542934428979573
JRK	SNORD20	0.5563992020735165
JRK	CHMP6	0.529294284489239
JRK	SLC25A5	0.541387841866539
JRK	TNFRSF21	0.7434042183523393
SPI1	EIF2B5	0.6309655749335894
SPI1	CHTF8	0.595045122057031
SPI1	CD247	0.5420060573148375
SPIB	ANKDD1A	0.7208457888503377
SPIB	MSTO2P	0.5684601845105206
SPIB	SNORD12B	0.6676906528372744
SPIB	SMOX	0.5347110616326334
SPIB	CHRNA6	0.5978262097103832
SPIB	AKAP8	0.5421322549218774
SPIB	SLCO5A1	0.5367518377224383
SPIB	LDB2	0.6325798590802503
SPIB	GTPBP1	0.6639337880889484
SPIB	GUCY2F	0.5611263829421871
SPIB	LFNG	0.5461659931184695
SPIB	NFS1	0.541790237907442
SPIB	ZNF879	0.6653347309220297
SPIB	KCNQ3	0.5569959208738591
SPIB	S100A6	0.5650975108616785
SPIB	THEM5	0.6348723879605993
SPIB	FAM182B	0.5404325879087564
SPIB	MACROD2	0.6037308255365064
SPIB	ZNF860	0.5780443359054437
SPIC	SLC7A5	0.589439536913519
SPIC	PDHA1	0.5430856610717987
SPIC	ARHGEF37	0.589439536913519
SPIC	TPRKB	0.6107144913215214
SPIC	CACNA1D	0.6064871199789921
SPIC	PEX1	0.6510312205405122
SPIC	C5orf51	0.6061716134451549
GPBP1	CD4	0.57836292474556
GPBP1	EXD3	0.5795069727542779
GPBP1	GPR89A	0.557338558154338
GPBP1	P4HA2	0.6479783616863091
GPBP1	SNCG	0.5538407401952639
GPBP1	GIMAP5	0.5465421889214395
GPBP1	SNORD19B	0.6190479091659609
BBX	CXCL6	0.5334129553707401
BBX	ZNF132	0.6050343015572244
BBX	ABCA10	0.6103926801170516
BBX	FRMD7	0.6260871039149447
BBX	SNORA36B	0.5928388307828354
BBX	AIFM2	0.6172628161159013
BBX	PSMD3	0.661652090704778
BBX	TAF7	0.5284148511161786
BBX	ZBTB40	0.5432269599647985
BBX	ZNF420	0.7365123543564116
PKNOX1	SCARNA11	0.5399675681705047
PKNOX1	BTN2A1	0.5335852444488713
PKNOX1	USP34	0.5554095538557497
PKNOX1	C14orf119	0.5313230653273102
PKNOX1	MLH1	0.5637826214670039
PKNOX1	SULT1A3	0.5911278654267376
PKNOX1	TOMM40L	0.5794904100118932
PKNOX2	TIGD3	0.6450089177723575
PKNOX2	FDPS	0.6685155105193568
PKNOX2	ZNF682	0.6130930577540132
PKNOX2	CCDC8	0.5370769395287511
PKNOX2	INSIG1	0.5568985822626735
PKNOX2	LRIG1	0.7702891243854224
PKNOX2	MZF1	0.5997823068065724
PKNOX2	JMJD6	0.6079634934901974
ZNF17	OSBPL9	0.5550561340555626
ZNF17	C19orf54	0.6319060358816446
ZNF17	FICD	0.5411770009640948
ZNF17	LUZP1	0.5598047200328886
ZNF17	TMPRSS6	0.5486746288586373
ZNF17	LYSMD2	0.5576999864746424
ZNF17	ANK2	0.5346245312366418
ZNF17	RAD54B	0.6014881304686095
ZNF17	CD79B	0.6651072126854483
ZNF17	PSMA6	0.5286245034155215
ZNF17	ATXN2	0.7178853290804392
ZNF17	GPRC5B	0.5943622528814516
ZNF17	PAX8	0.6654006386963585
ZNF17	RAB25	0.6615380440455567
ZNF17	RNF216	0.5305741998122997
ZNF17	TMEM116	0.5305747402459868
ZNF17	CAPN2	0.7043712439452907
ZNF17	TMEM106C	0.608622782668431
ZNF17	BLVRA	0.7067687296581422
ZNF17	NHEJ1	0.6294109072715144
ZNF18	GLIPR1	0.5707923882762844
ZNF18	NECAB3	0.5388513470382019
ZNF18	CHRNA5	0.5506367980495357
ZNF18	XRN2	0.5580615803603637
ZNF18	PARP16	0.5484320858239817
ZNF18	MYD88	0.5345714308222029
ZNF19	CA11	0.6166063909185926
ZNF19	CBX6	0.604980184969723
ZNF19	DBR1	0.5603465504629206
ZNF19	CCNH	0.5906794243171354
ZNF19	CLSTN1	0.6377916474733314
ZNF19	TPRKB	0.5439112072092858
ZNF19	GPR3	0.5788671578891922
