Regulator	Target	MI
ATF1	SYNM	0.6311429893802902
ATF1	GAL3ST1	0.617239390385738
ATF1	ATF7IP2	0.6399591575405221
ATF1	SPPL2A	0.5651553690115576
ATF1	ZDHHC5	0.5335997150609892
ATF1	XYLT1	0.7910240090350515
ATF1	BACH1	0.5542836952278973
ATF1	LMNB1	0.5791011962592636
ATF1	TRIM8	0.5911278654267367
ATF1	DUSP12	0.7079706557663443
ATF1	ATP7B	0.578058927175233
ATF1	HEY1	0.5810652031002714
ATF1	ADORA3	0.5638767802332922
ATF1	HOXA2	0.6796647771312792
ATF1	ZNF524	0.551822046694534
ATF1	ARID2	0.5701183035829498
ATF1	LDLRAP1	0.7807019688494687
ATF1	RPS11	0.6815079157308768
ATF1	PRMT5	0.5966760949050172
ATF1	COL27A1	0.5727154652778847
ATF1	SLC2A11	0.5706158570882107
ATF1	SYCE1L	0.7310737581848179
ATF1	PLEKHG6	0.5783623078798517
ATF1	TSC22D2	0.6446999013717294
ATF1	ATP1B3	0.5614113901375513
ATF1	COMMD1	0.5722637343454231
ATF1	FRS3	0.5698195387378053
ATF1	G2E3	0.5941632678601465
ATF1	ACOX3	0.6894320603474045
ATF1	RBM23	0.6464635847809688
ATF1	LTK	0.6030576558053737
ATF1	CD151	0.5799190934269323
ATF1	NPRL2	0.6165380192496781
ATF1	CXXC1	0.5857411903675205
ATF1	WIZ	0.6803121088908415
ATF1	FAM149A	0.5487695745150161
ATF1	PRPSAP1	0.539839725262544
ATF1	ATXN1	0.5959800919698153
ATF1	AWAT1	0.5424513708826395
ATF1	ARSK	0.6536569561158294
ATF1	GPC2	0.5672142148928163
ATF1	APOD	0.547705429412189
ATF1	SUSD5	0.6716925672167471
ATF1	ZNF467	0.6743465834051898
ATF1	ZNF584	0.5580214609705734
ATF1	MARCKSL1	0.5501223771760388
ATF1	PPP1R14B	0.5633132620921741
ATF1	RANBP3	0.6437239108504471
ATF1	ASPSCR1	0.602909102291608
ATF1	B3GALT6	0.8316585741926961
ATF1	HS3ST5	0.529365781633806
ATF1	LHFPL2	0.6291141330182488
ATF1	GATAD2B	0.6195428267550604
ATF1	TMEM233	0.6842964670675591
ATF1	KLHL5	0.6397825140976465
ATF1	AXL	0.5346104831647343
ATF1	HNRNPF	0.5302320847422926
ATF1	SNX14	0.5812813112472557
ATF1	CNOT3	0.5803362604541427
ATF1	RFXAP	0.8876126288858956
ATF1	TCEA3	0.684273489465888
ATF1	MAP3K10	0.5826370987272789
ATF1	RTN4IP1	0.5578424589925297
ATF1	TUBA8	0.6801068972447579
ATF2	SMARCB1	0.6609515767613399
ATF2	SH2D4A	0.6000335753356856
ATF2	WIPF1	0.557787903250051
ATF2	GFI1	0.5317192570986964
ATF2	CHD7	0.6022993255953719
ATF2	TESK2	0.851286247752514
ATF2	N4BP2L1	0.5838621691213106
ATF2	CASC3	0.6904713897974735
ATF2	EFCAB6	0.7191860728164592
ATF2	FOXM1	0.5665043354680566
ATF2	STK10	0.6132783465192317
ATF2	METTL13	0.5902199057631323
ATF2	ADORA3	0.5659877443671006
ATF2	C17orf99	0.6066760787168923
ATF2	MLST8	0.5569959208738586
ATF2	TNR	0.5367896123971772
ATF2	ME2	0.6369063230772736
ATF2	CLIC2	0.6541676524023554
ATF2	KPNA3	0.7683046375765952
ATF2	NEFH	0.7244892462470411
ATF2	HOXA5	0.5305891172537627
ATF2	MAP4K2	0.6269187261588924
ATF2	GABARAPL1	0.7365844569994997
ATF2	C1orf100	0.6998708831010205
ATF2	ZGPAT	0.6016447502031173
ATF2	DUSP1	0.5361304927351451
ATF2	RALGAPA2	0.5663467739263575
