Regulator	Target	MI
ATF1	P2RY12	0.5472719797997643
ATF1	TGDS	0.5276675150921273
ATF1	UBE3A	0.5621277856324594
ATF1	KRT10	0.5586838561961223
ATF1	KLC1	0.725665889416462
ATF1	ITFG1	0.6074414996396782
ATF1	TSKU	0.8305324267180518
ATF1	FGF17	0.6193497340428116
ATF1	RRS1	0.690426221471133
ATF1	INTS4	0.5315803204809577
ATF1	METTL5	0.5884963978262303
ATF1	ZNF385D	0.7488408345806188
ATF1	ANKS1A	0.5574450158901603
ATF2	CSTA	0.5925490389776913
ATF2	DCAF17	0.5379945745078785
ATF2	CABYR	0.6022016867614344
ATF2	NXPH3	0.5328563795208208
ATF2	UBE2T	0.5910864703663479
ATF2	RLN3	0.5475600530272562
ATF2	ETV3	0.5428653294773125
ATF2	NUP62CL	0.5590973223861719
ATF2	CLIC1	0.5835924283380987
ATF2	C17orf100	0.5545578087674925
JRK	GTF3C1	0.5927917865854346
JRK	SHPRH	0.533127018290827
JRK	BRPF1	0.5557610995112667
JRK	SYT2	0.7215818168598522
JRK	CISH	0.5520475264392393
JRK	C17orf107	0.5633696391592724
JRK	CYP4F2	0.5335485099764017
JRK	NRL	0.5610839786041177
JRK	KRBA2	0.6332111746475162
JRK	ZCRB1	0.540873782101309
JRK	FBXO10	0.5608092868108598
JRK	OLFM2	0.5541919503900501
JRK	TBL3	0.6700965085576245
JRK	CNST	0.5622301074568514
JRK	TXLNA	0.6691592320730102
JRK	VPS72	0.6962814422991666
JRK	CNOT3	0.6889966043257907
JRK	LGALS8	0.6821512428753658
JRK	MPHOSPH8	0.5858734144852162
JRK	RREB1	0.531598357660787
JRK	ZNF521	0.574617469747075
SPI1	TDRKH	0.656844245666905
SPI1	CPM	0.639737802081239
SPI1	NVL	0.6597301027531008
SPI1	ZC3H4	0.6720036205119277
SPI1	UBP1	0.6423810603777587
SPI1	MRPL35	0.6132442158802349
SPI1	SMC4	0.6335208425785357
SPI1	MED18	0.6225413881383739
SPI1	PDCD2L	0.6085148849837583
SPI1	FAM166B	0.6024834700464603
SPI1	NUDT11	0.6476049168304785
SPI1	GABRR2	0.5602654483743166
SPI1	CHAF1B	0.535928106091915
SPI1	SUMO1	0.5347896909340739
SPI1	PSMD2	0.5845855805840166
SPI1	ZNF407	0.5671642908282268
SPI1	BOC	0.5535024419014465
SPI1	DHX58	0.5279109254991456
SPI1	ITGB8	0.6322588518703443
SPI1	TRIM25	0.7873260239764339
SPI1	C12orf60	0.5361936490541539
SPI1	MAN2C1	0.5817711103246674
SPI1	SH3GL1	0.7410129457708186
SPI1	SNORA75	0.5273824155784776
SPI1	ACVR1	0.6310156470198955
SPI1	SNORA72	0.6834184923747455
SPI1	EGFL7	0.61722821779101
SPI1	CAMK1D	0.55125592394096
SPI1	STARD7	0.5347645406389261
SPI1	DAPK2	0.5920376322330965
SPI1	ZNF281	0.5286855577357885
SPI1	CYP3A43	0.6388886699470899
SPI1	METTL3	0.5390341483482026
SPI1	SPNS2	0.5696908540153061
SPI1	DLEC1	0.5597055082667093
SPI1	ACTN4	0.5737046237677372
SPI1	TUBB2A	0.5436818695840602
SPI1	TRAF3	0.5561922723787176
SPI1	CTAGE9	0.5417397802737853
SPI1	PADI2	0.6384949107665849
SPI1	PRKD1	0.6370233763897368
SPI1	SNRNP200	0.6322588518703443
SPI1	ASF1A	0.5489326363536691
SPI1	AVPI1	0.5357189767820278
SPI1	ZNF474	0.6230206905809053
SPI1	GCM1	0.5588899904787743
SPI1	RNF32	0.6504620679008397
SPI1	ZNF550	0.5874374537450118
SPI1	CEBPD	0.7935635020459131
SPI1	LIN7B	0.5306062188325118
SPI1	ABLIM1	0.5563349843285561
SPI1	PPP4C	0.9054349349483295
SPI1	MAP7	0.6068052867686053
SPI1	XIRP2	0.5505837627085244
SPI1	C15orf62	0.5746304702131471
SPI1	E4F1	0.5825974660649376
SPI1	JAZF1	0.5611263829421871
SPI1	ZNF343	0.5634246885924332
SPI1	CDKN2D	0.5346030000399788
SPI1	GADD45GIP1	0.7833611819961788
SPI1	KDM4A	0.5292297618082693
SPI1	F12	0.6266379439482423
SPI1	PCDHB15	0.5606896740316225
SPI1	MBOAT2	0.6435393471423989
SPI1	NOC3L	0.528956264355398
SPI1	FAM136A	0.5979752393719879
SPI1	GTF2H5	0.5417833045174145
SPI1	MLLT11	0.6132470574586253
SPI1	KLF6	0.5846548524869655
SPI1	ESF1	0.5337257841051022
SPIB	SNORD15B	0.5645762632361433
SPIB	TRAK1	0.5611263829421871
SPIB	PKD1	0.6768014674148093
SPIB	RCBTB1	0.5679079149962818
SPIB	CDH4	0.5527467057242892
SPIB	C3orf62	0.5472789236489293
SPIB	LEPROTL1	0.5788613456231837
SPIB	PERP	0.5880391186957099
SPIB	CREG2	0.6585093391339765
SPIB	THEM5	0.578066017888017
SPIB	C14orf93	0.6298510238810482
SPIB	PIP5K1B	0.5438565384330221
SPIB	HSF5	0.5538598839293605
SPIB	SCN3A	0.7196559885713536
SPIB	SYBU	0.7946884587526966
SPIB	HS3ST3B1	0.5802386216202051
SPIB	ZNF320	0.551132029165657
SPIB	SLC10A7	0.7023572087460139
SPIB	SMAD3	0.5289984267954972
SPIB	MIA	0.6447874398665481
SPIB	YTHDF3	0.5363963610387361
SPIB	RC3H1	0.5491091093722931
SPIB	MFHAS1	0.6908757096783886
SPIB	HSH2D	0.5871886398094457
SPIB	SNORD24	0.5640477277576506
SPIB	CCDC22	0.5712295047061002
SPIB	HNRNPA1L2	0.5435151235734939
SPIB	TRIM32	0.5880391186957099
SPIC	CA1	0.5373636350270932
SPIC	SNORD28	0.6070883802729354
SPIC	LRRC39	0.66355589417378
SPIC	DZIP1L	0.5655666645742783
SPIC	ITGAX	0.5296892210347242
GPBP1	WDR38	0.5859432671078451
GPBP1	CLPB	0.5326524138683042
GPBP1	ABCB9	0.6880868554028887
GPBP1	ADIPOR2	0.5681352884955033
GPBP1	SNX1	0.5312417261437066
GPBP1	FAM135A	0.5645547459886648
