Regulator	Target	MI
ATF1	DLX2	0.5694104765992503
ATF1	FOXC1	0.559661640858383
ATF1	AHCY	0.568389629173145
ATF1	SECISBP2L	0.5910864703663479
ATF1	ODC1	0.7743651342764508
ATF1	AKAP8	0.5381406002410789
ATF1	ARID5B	0.5496635165920782
ATF1	ARRB1	0.5413866532634377
ATF1	DTX2	0.5587599052848344
ATF1	FBXO34	0.5582667383560742
ATF1	UNG	0.7094352380907236
ATF1	NLRP11	0.5276424847862602
ATF1	EME1	0.5286245034155215
ATF1	SHKBP1	0.5281496196148128
ATF1	TSPAN4	0.6099312552066252
ATF1	UBQLN1	0.5317887173093547
ATF1	ATF3	0.6302821540862009
ATF1	NOX1	0.5797431355342191
ATF1	CEP78	0.5939746681042539
ATF1	CTSB	0.5408432282776134
ATF2	SLC14A1	0.6600973514530071
ATF2	LRG1	0.6450089177723566
ATF2	RASL10A	0.5759671807021687
ATF2	EIF3I	0.603887224441392
ATF2	PLCL1	0.5620485195287941
ATF2	MSL2	0.5347267976677608
ATF2	HBB	0.6037905819599789
ATF2	OLR1	0.6027474059965772
ATF2	GALNTL6	0.692362520547412
ATF2	RNF152	0.587018133844865
ATF2	MID2	0.6327187209530023
ATF2	MPZL1	0.5586616593550526
JRK	KDM5B	0.5430673286275192
JRK	RALBP1	0.5445508671572705
JRK	PHLPP1	0.5737726830677272
JRK	FBXO38	0.5421406852032229
JRK	ASMT	0.5880391186957099
JRK	RANBP6	0.5469042654111567
JRK	SIT1	0.5850193510187172
JRK	UBE2Q2	0.5402222041125957
JRK	MAFG	0.5525787157173503
JRK	STOM	0.5932072257940644
JRK	NPTXR	0.5430673286275192
JRK	RAB3GAP1	0.5656552831181338
JRK	CDON	0.6715113396179717
SPI1	LTK	0.6338887069259416
SPI1	ALG6	0.5426995886810859
SPI1	DPH5	0.5408392069579366
SPI1	HCLS1	0.5562022791047192
SPI1	MLEC	0.5376343416467031
SPI1	RPS27L	0.5953513788887466
SPI1	MITD1	0.5994418544817197
SPI1	SNORA79	0.5612618935983855
SPI1	KHK	0.5583385407764094
SPIB	RNF31	0.6019802088556259
SPIB	GIN1	0.5966184225968294
SPIB	TNFAIP6	0.6234106610264294
SPIB	MAOA	0.5516868121321648
SPIB	MRPL16	0.5515166420971389
SPIB	C11orf45	0.6888224902214479
SPIB	PIGY	0.5316773622697251
SPIB	ZNF7	0.5605501952931617
SPIB	GZMK	0.5899774363153663
SPIB	TMX4	0.5289984267954972
SPIB	PDF	0.5284461889848333
SPIB	GPR171	0.5599336080413098
SPIB	PLAGL2	0.5873144994897359
SPIC	RNF145	0.5957011722866006
SPIC	GPNMB	0.5442284004881341
SPIC	TBX6	0.5834397538911165
GPBP1	ZNF320	0.5731347277482111
GPBP1	ZNF451	0.5418814520814657
GPBP1	COG8	0.5459218361073521
GPBP1	TCHH	0.5438434516270965
GPBP1	SNX13	0.7448656414313435
GPBP1	SPDYE3	0.5566085960334219
GPBP1	TAS2R19	0.5939746681042539
GPBP1	ZBTB3	0.5652657717247478
GPBP1	GRM2	0.722468471083956
GPBP1	EME2	0.595405774854433
GPBP1	DPEP2	0.6368640069262992
GPBP1	RARA	0.6471304828322064
GPBP1	SLC39A5	0.6857497543333184
GPBP1	HORMAD1	0.6138633108470688
BBX	BCAP31	0.540126732350827
BBX	SEC16B	0.6136130939346867
BBX	EGR2	0.5545984177167758
BBX	TES	0.62596265595299
BBX	EIF2AK1	0.6215632659885904
BBX	MED18	0.5427685649404714
BBX	ARHGAP32	0.6315196613310983
BBX	PRB4	0.5538091717564715
BBX	SLC25A15	0.56215736594539
BBX	MMP25	0.5363000067973238
BBX	GPNMB	0.5411770009640948
BBX	RAB26	0.5912993428359354
BBX	CTNNA1	0.5392207078858289
BBX	MTFR1	0.5558634213356592
BBX	CENPO	0.5296904739236741
BBX	BBS5	0.6404881363051818
BBX	CD44	0.6528220033926893
BBX	TEAD3	0.6346638780383049
PKNOX1	SEC16B	0.5867209326309215
PKNOX1	MCTP1	0.5438806850891638
PKNOX1	ZNF570	0.5349673823826535
PKNOX1	CKM	0.592729050233415
PKNOX1	MYADM	0.5848087289487021
PKNOX1	RAD1	0.6577710676202728
MNX1	NPEPL1	0.8433604818349218
MNX1	SNORA27	0.5369819024020259
MNX1	FAM186A	0.5857949153220345
MNX1	TEX12	0.5413547244953625
MNX1	TBC1D9	0.7584567844936578
MNX1	CELA1	0.5449693086969813
MNX1	EBF3	0.5496399526100619
MNX1	ICOSLG	0.5377479337728643
PKNOX2	PITPNM2	0.6915831252085627
ZNF17	RYR2	0.5417163171628743
ZNF17	FAM156A	0.5376807311584209
ZNF17	SNRNP40	0.6075161092187651
ZNF17	ALG6	0.5542386350371507
ZNF17	NHLRC3	0.5622934102396102
ZNF18	LAT2	0.7461771259721797
ZNF18	BCL9	0.6129742533593503
ZNF18	EID1	0.552701783006412
ZNF18	UBL3	0.5621590133124599
ZNF18	CRISPLD2	0.5547520958201289
ZNF18	ZNF181	0.5517847934119278
ZNF18	SLC28A2	0.6193186157855708
ZNF18	KCNJ1	0.6494833097278141
ZNF19	DTYMK	0.5524470157078527
ZNF19	ISCA1	0.5710527299067558
ZNF19	SERTAD3	0.5461946234812669
ZNF19	CHIC1	0.5438434516270965
ZNF19	B3GNT7	0.5402728585159049
ZNF19	IMPA1	0.9524068111973514
ZNF19	NSUN4	0.6030954560379382
ZNF19	SLC12A6	0.653250286153098
ZNF19	FCGR1B	0.5407402920535302
ZNF10	PLVAP	0.5295560257432146
ZNF10	TCF15	0.5632050308542524
ZNF10	CITED4	0.5647761836084815
ZNF10	KCNA2	0.6114328021944972
