Regulator	Target	MI
ATF1	LOXHD1	0.5273143253538968
ATF1	RCN2	0.6499867596054711
ATF1	UBXN1	0.5517883819942857
ATF1	CCNT1	0.5317202469349516
ATF1	GCA	0.547100647946265
ATF1	IQSEC2	0.5690970447033186
ATF1	PNPLA4	0.5863784201906412
ATF1	SLC25A42	0.5311868739194243
ATF1	AGER	0.6185308004730774
ATF1	SSBP3	0.5286106692177417
ATF1	TTC38	0.5322495253540724
ATF2	NTRK1	0.6575679941483097
ATF2	COL24A1	0.5461697354598312
ATF2	CTBP1	0.6312286089626369
ATF2	PCDHGC4	0.5441108083173156
ATF2	RPLP1	0.5491091093722931
ATF2	ATP1B2	0.5390800286905804
ATF2	PEX13	0.5544585811150493
ATF2	TMEM231	0.5458937314500756
ATF2	ZNRF1	0.640896059156864
ATF2	CCDC85B	0.572358172050671
ATF2	PRKD2	0.7568114963417503
ATF2	ZNF117	0.5660860557701786
ATF2	GART	0.5600648737555218
ATF2	HLA-DOB	0.545563308692985
ATF2	SMAP1	0.5394271036632095
JRK	COLEC12	0.5654830765884244
JRK	UNC13B	0.5363928561922453
JRK	ARVCF	0.5894395369135181
JRK	RALBP1	0.6750076094236457
JRK	COG7	0.558931885307747
JRK	CLDN9	0.539839725262544
JRK	KIAA0753	0.5364151261809793
JRK	MAN2B1	0.6472838518509931
JRK	SNRNP35	0.6068052867686053
JRK	P4HTM	0.6110131569529975
JRK	NSMAF	0.725157248726287
JRK	THOC6	0.5479829485846075
SPI1	ALG1L2	0.5472083585710381
SPI1	ENTPD1	0.5540745635417035
SPI1	RPL30	0.6002905874520494
SPI1	TRAM1	0.6041609236222181
SPI1	NSUN5P2	0.7105079955251545
SPI1	HCG18	0.5588202127301991
SPI1	IREB2	0.5649795848274528
SPI1	SNORD42B	0.5917580346826798
SPI1	ULK4	0.5276899888060083
SPI1	ANO8	0.5711453979101093
SPI1	DLEC1	0.5925294064630862
SPI1	TRAPPC9	0.5744382037689295
SPI1	COLQ	0.6683450078391324
SPI1	GNG13	0.6277754324281632
SPI1	DNAJA1	0.5409477926981445
SPI1	SGCD	0.5534676707759973
SPI1	TEX9	0.5279568794284133
SPI1	GPD2	0.6543770215834197
SPI1	RFX4	0.5829390224386852
SPI1	LIPN	0.5873443827414846
SPI1	SNORD10	0.6340251358286988
SPI1	SNORA30	0.5543752518477469
SPIB	HSD3B7	0.549563028376316
SPIB	NLGN2	0.6180669961829164
SPIB	TPMT	0.5687280913749437
