Regulator	Target	MI
ATF1	ZNF496	0.533761169759309
ATF1	OSBPL7	0.5423909670687372
ATF1	PSD4	0.6136593451945522
ATF1	MRPL27	0.5497962047114404
ATF1	RCSD1	0.6058249529472732
ATF2	GJC1	0.6282574112330548
ATF2	MYLIP	0.5332599462813672
ATF2	SREBF1	0.6385161064128053
ATF2	MAPK8IP1	0.5309435423973552
JRK	CATSPER1	0.6597301027531008
JRK	DCLRE1A	0.6663753055573327
JRK	RHOBTB3	0.5737902356463667
JRK	C19orf48	0.6110275079637222
JRK	NDRG2	0.6381387817735074
JRK	FOXO1	0.5465707956634933
JRK	ENHO	0.681216719404039
JRK	MRC2	0.6208554390048899
JRK	SAMD14	0.7339487415517629
JRK	HAUS8	0.5333286940367628
JRK	CLP1	0.5895960976602379
JRK	GNLY	0.5759671807021678
JRK	PPP1R13L	0.5439558179974648
JRK	PMVK	0.5883049008278709
JRK	NUDT15	0.6710366673458452
JRK	JAZF1	0.5710560798361466
JRK	PSENEN	0.6021374983830978
JRK	ATE1	0.5733773684385688
JRK	MYH7B	0.6029091022916084
JRK	SNORD70	0.5274078281473376
JRK	CASR	0.5290319202531548
JRK	KRTAP5-9	0.5499357790394557
JRK	NDUFA6	0.7229808147375509
JRK	CAV1	0.607053914083497
JRK	KRT8	0.7419850483053296
JRK	EIF2AK2	0.5301031796293971
JRK	BAZ1A	0.535928106091915
JRK	TBCA	0.5705816519542748
JRK	CXCR2P1	0.6014914803979994
JRK	SHISA7	0.8540439837707727
JRK	TSGA10	0.544492147751428
JRK	MELK	0.5662873420652526
JRK	RABEP1	0.5509751541129324
JRK	CDKN2AIPNL	0.572755918091858
JRK	HEATR5B	0.6345724865446467
JRK	UBXN10	0.6088256288546137
JRK	PLSCR4	0.6205332288721794
JRK	NF1	0.5345775715848542
JRK	RAD54L2	0.5300970388667454
JRK	TKT	0.563447357238605
JRK	PRRT4	0.5831037970279933
JRK	RAPGEF6	0.5277121099940416
JRK	EIF3B	0.6239590100319825
SPI1	MTR	0.6474046618157492
SPI1	HMGB1	0.7343439667077676
SPI1	LDB2	0.645008917772357
SPI1	PTPRK	0.5473336872477468
SPI1	SLC9A3R2	0.6310591700453148
SPI1	GRPEL1	0.5293976297905414
SPI1	CHMP1B	0.5527081055605021
SPI1	FLOT1	0.5759671807021678
SPI1	CHST14	0.5655586499377607
SPI1	CEP97	0.627945547047926
SPI1	NSF	0.593001894218812
