Regulator	Target	MI
ATF1	CD74	0.551814113388228
ATF1	NOM1	0.5471965698895844
ATF1	RPN2	0.5347267976677608
ATF1	RHBDF2	0.5528386250497292
ATF1	B3GALT6	0.6506012099307608
ATF1	EFCAB5	0.5726437961117443
ATF1	MERTK	0.548016843036653
ATF1	NMRAL1	0.6618030666003349
ATF1	PRDX3	0.5703642942026974
ATF1	GRIN3B	0.5713956557977555
ATF1	DDIT4	0.5448123701373913
ATF1	DSCAML1	0.5438529712465354
ATF1	SEC24C	0.5438577677100018
ATF1	RPL23AP64	0.5679965189410368
ATF2	TBC1D8B	0.5411417796570945
ATF2	DYRK2	0.5306068738973089
ATF2	FBXW10	0.5577067425450353
ATF2	LMAN2L	0.7126954504758745
ATF2	KLHL15	0.5838002245869207
ATF2	CABLES1	0.5712890674844484
ATF2	LMTK2	0.5424877951124443
ATF2	REPIN1	0.557787903250051
ATF2	CENPI	0.655037506389204
ATF2	COL4A4	0.5395118957419487
ATF2	TAGAP	0.6175923239107899
ATF2	YPEL1	0.5841868187488801
ATF2	SPIN2B	0.5512416624723446
ATF2	ZC3H18	0.5818957452470546
ATF2	SYNC	0.5575318574368668
ATF2	ZNF268	0.6190769722660772
ATF2	MPHOSPH6	0.6428240146314086
ATF2	PHLDA3	0.5375497599296759
JRK	ARF3	0.6141274167526118
JRK	MPG	0.6403049011391211
JRK	MYL6B	0.7074256965763026
JRK	ITGAE	0.5526951816030725
JRK	SNORD116-18	0.6256012276326852
JRK	ZNF83	0.5701048427555864
JRK	ANKRD31	0.5649242153510001
JRK	HMG20A	0.5301502136470568
JRK	WDR7	0.5293929732659621
JRK	PDIA3	0.5762998527007341
JRK	ITGA3	0.575092682452889
JRK	NCOA3	0.6157767816174693
JRK	ZFP2	0.564762388138726
JRK	PLA2G4A	0.639990047732999
JRK	ACTN4	0.6442953614795317
JRK	FRMD4B	0.5590831889896677
JRK	KREMEN2	0.5530618776157352
JRK	RBP7	0.6281461090648142
JRK	CATSPERG	0.6473610045887295
JRK	RELL2	0.5341795621118584
JRK	CCDC150	0.5314859726279773
JRK	RAPSN	0.5282453349878522
JRK	C9orf72	0.666259603077691
JRK	VAC14	0.5900292541344729
JRK	ELOF1	0.5305746557311366
JRK	TM2D1	0.5582255567613488
JRK	NDUFB4	0.5407184144767685
JRK	NIP7	0.5272023713320166
JRK	TOR1AIP2	0.5658814175485212
JRK	COPS7A	0.5679736507490358
JRK	GSTM2P1	0.600007599422423
JRK	TMEM65	0.5540979550629186
JRK	PIP5K1C	0.6354810582316346
JRK	RIMKLA	0.5966137660722497
JRK	CTNNAL1	0.6045974308048265
JRK	TMEM184C	0.8017002486757692
JRK	KDM4C	0.640257299842784
JRK	KCNJ12	0.5706430064972938
JRK	PLCL1	0.6433237880115215
JRK	KCNJ14	0.5691213675122255
JRK	SULF1	0.750889659075558
JRK	PRPH2	0.5295243170861399
JRK	TTC4	0.5541750928224412
JRK	GALNTL6	0.5753586800764001
JRK	ULBP2	0.5322172847853648
JRK	SLC25A33	0.6064861871333327
SPI1	ACAA2	0.5392364439209563
SPI1	DCLRE1C	0.5464538098095355
SPI1	RBM26	0.5413320807570985
SPI1	ZC3H4	0.5977272948059773
SPI1	GLI3	0.5390620147316247
SPI1	ADAL	0.6291407589690508
SPI1	TIAL1	0.5641267750288872
SPI1	ZXDA	0.651561957639879
SPI1	HHEX	0.5394798942140975
SPI1	CSPP1	0.5494322706132353
SPI1	PEBP4	0.6260376579440479
SPI1	CHEK1	0.5844123659347256
SPI1	OXER1	0.5804415726576253
SPI1	TEKT3	0.5638404796168834
SPI1	CA14	0.5715236447302399
SPI1	ARG2	0.6431580902567071
SPI1	CLUL1	0.5758300942685968
SPI1	MRPS24	0.6202448717474254
SPI1	MUCL1	0.5614545423745505
SPI1	SSR4	0.567419586754061
SPI1	RECQL	0.5798341537175729
SPI1	RNF208	0.5611263829421871
SPI1	PPP2R5D	0.6180957737884474
SPI1	SENP2	0.5301486261157149
SPI1	TOMM40L	0.6205719790548772
SPI1	TBC1D1	0.5457258772879188
SPI1	IFNG	0.5469186424189312
SPI1	CTAGE4	0.6352320392837552
SPI1	CLNS1A	0.6670369476625146
SPI1	PRPF3	0.5368565330602126
SPI1	PLSCR4	0.5751798415375138
SPI1	MNS1	0.6256009490334837
SPI1	SGK2	0.548822308075307
SPI1	HOXB6	0.5535139439695724
SPI1	SLC29A2	0.5958305869479497
SPI1	CUL9	0.5700322806299081
SPI1	SUCNR1	0.7219575559650009
SPI1	SGMS1	0.6101857996094142
SPI1	TSGA10IP	0.663982623611794
SPI1	ZNF391	0.5342619479538913
SPI1	RNF38	0.6192482227292535
SPI1	HSD17B12	0.5855160778167194
SPI1	CORO1A	0.6830405585734551
SPI1	CACNA1H	0.6725033292664326
SPI1	ZNF26	0.6077005903783932
SPI1	HSPD1	0.7196069485443757
SPI1	MNT	0.5721573103793229
SPI1	COBLL1	0.7744237772502727
SPI1	DHX38	0.6592384001128071
SPI1	PMAIP1	0.713554777123572
SPI1	GCNT4	0.5336703422599705
SPI1	C2orf49	0.6888510234367247
SPI1	MEST	0.5795549485791285
SPI1	EIF2B5	0.5798976280826804
SPI1	PTPN1	0.5468721557596932
SPI1	INTS1	0.6256473385452006
SPI1	NEK5	0.564622652747861
SPI1	SEMA4C	0.6270157800938314
SPI1	SRD5A3	0.5813563022117392
SPI1	CRIM1	0.5605957003280428
SPI1	SNHG8	0.5846542035385691
SPI1	TMEM192	0.7159666496140624
SPI1	PBX4	0.531962405232004
SPI1	SYNJ2	0.8427676940627631
SPI1	BTBD8	0.6347428838654525
SPI1	CORO2B	0.6448846444051997
SPI1	DNAJC16	0.7195031689477864
SPI1	GZMK	0.546481933508367
SPI1	DPY19L1	0.7112154110553282
SPI1	KLHL5	0.5803808326433639
SPI1	CWF19L1	0.6008304543795435
SPI1	GNB4	0.697400137066571
SPI1	NDUFAF2	0.5273143253538968
SPI1	SFXN1	0.54341689183435
SPI1	ALDH18A1	0.5988862114774589
SPI1	CDKN3	0.553575642516384
SPI1	KLHDC9	0.6566857175098249
SPIB	ZNF320	0.6435912958787484
SPIB	SNORD15B	0.5557593240720857
SPIB	PRKAB2	0.5946213443991502
SPIB	PCNA	0.5572930876681625
SPIB	GSS	0.7043452750564785
SPIB	NOXO1	0.585992307134823
SPIB	TXNDC11	0.5842549385946265
SPIB	ETV4	0.5779796204064604
SPIB	LTB4R	0.5282644787219497
SPIB	CABIN1	0.6177033072539491
SPIB	DPY19L4	0.556783834954603
SPIB	MCM3	0.6540708321620818
SPIB	RBM20	0.5289966102519856
SPIB	TMEM109	0.5841850095399765
SPIB	CD247	0.5372132626328643
SPIB	CD46	0.6743845285041803
SPIC	PRMT6	0.5958606734856211
SPIC	PAQR9	0.6122107128780394
SPIC	SLC6A19	0.6729027612736469
SPIC	B4GALT1	0.708819667011936
SPIC	MDH2	0.5408432282776134
SPIC	SLC35F2	0.5507424787044881
SPIC	OPRL1	0.5643862574005896
SPIC	SLC4A1	0.6802154267871359
SPIC	SEC14L3	0.5580770024685995
SPIC	CDC34	0.6141231494847132
SPIC	SLC22A15	0.5580770024685995
SPIC	MAN2A2	0.6980842017406355
SPIC	TRA2A	0.5316198217868302
SPIC	DVL3	0.6552328426056424
SPIC	TRIB3	0.6710366673458461
SPIC	MFSD2B	0.6353856580421962
SPIC	RFFL	0.5275082423970963
SPIC	ST6GALNAC3	0.5590628549785244
GPBP1	DDR1	0.6205043927180856
GPBP1	CSRNP1	0.5871578801944541
GPBP1	MCM9	0.6639337880889484
GPBP1	INPPL1	0.5470384666959887
GPBP1	CLEC14A	0.5452795426195145
GPBP1	CWC25	0.6450089177723566
GPBP1	C3orf20	0.55892591656667
GPBP1	ZBTB22	0.5376807311584209
GPBP1	SLC2A6	0.5407410045087926
GPBP1	SPPL3	0.6096203507121452
GPBP1	JPH4	0.5338640152920293
GPBP1	CA1	0.540233951349959
GPBP1	FCGR3A	0.5740726593577334
GPBP1	IMPA1	0.5880701523394887
GPBP1	CDC26	0.6111968601840672
GPBP1	PI4KAP1	0.5603725779002957
GPBP1	MAGOH	0.5409477926981445
GPBP1	ZNF366	0.5362295975445837
GPBP1	KDM6A	0.5547520958201289
GPBP1	HGSNAT	0.6008304543795435
GPBP1	AGTPBP1	0.5693573850466267
GPBP1	MRPS27	0.637988409379278
GPBP1	WDR37	0.6643241074877948
GPBP1	ANO8	0.7112154110553282
GPBP1	COG2	0.596775754347374
GPBP1	ZNF10	0.5549291068787681
GPBP1	PRKCA	0.6888317316809109
GPBP1	MYT1	0.675809313858367
GPBP1	DUSP6	0.5773848025957773
GPBP1	TMEM131	0.6252348288215543
GPBP1	ARHGAP10	0.5871087576190543
GPBP1	CTAGE4	0.5316669326156243
GPBP1	ATG4B	0.6107456897508765
GPBP1	SERPING1	0.5279753513723535
GPBP1	ALPK3	0.5803238743484052
GPBP1	C2orf81	0.5611263829421871
GPBP1	RPS4Y1	0.5368960693540159
GPBP1	DLL1	0.557070529673962
