Regulator	Target	MI
ATF1	PPIB	0.5590524139572359
ATF2	CLIC5	0.5296288757693843
ATF2	ACAA2	0.6200260313157449
ATF2	GMFB	0.6158617398602031
ATF2	STXBP1	0.5755304717916032
ATF2	ASIP	0.6477170209271352
ATF2	TNFRSF11A	0.5822278007205259
ATF2	MRPL12	0.5756342513881929
ATF2	RHOBTB1	0.71960428707039
ATF2	FAM110A	0.5322491500465745
ATF2	ALKBH2	0.5546053014200538
ATF2	NPEPPS	0.7367397107511597
ATF2	PREX1	0.5561309292028866
ATF2	MRPL2	0.5352849871150283
ATF2	POFUT2	0.5556555444754974
ATF2	ABHD11	0.5488250411389886
ATF2	RRN3P1	0.5532749553684391
ATF2	CLP1	0.5453309562889412
ATF2	RPRD1A	0.5609212201041514
ATF2	GPRASP2	0.578868754781936
ATF2	AASS	0.5507424787044881
ATF2	GEN1	0.7259981611996236
ATF2	RPS9	0.5617060995227767
ATF2	TMEM86B	0.7288164506114683
ATF2	TAF12	0.5741496433582531
ATF2	TTC33	0.5496013919532832
ATF2	PNMA5	0.6011940091069108
ATF2	ISG15	0.6145925491455348
ATF2	MAGOHB	0.6096125053210257
ATF2	PEX13	0.7150287769923289
ATF2	SLFN13	0.5464354468491286
ATF2	IVD	0.6832698555335752
ATF2	NBR1	0.5331626819759432
ATF2	TRIP10	0.6788209753606469
ATF2	EIF3D	0.5532027442106418
ATF2	SLC25A36	0.5350885847593809
JRK	CDK17	0.6015229902882284
JRK	GSTM3	0.6096067325620242
JRK	TSC22D4	0.6711074520351503
JRK	CRTC3	0.5438434516270969
JRK	KCNJ12	0.6445811872685603
JRK	SLC43A3	0.543014555560219
JRK	UBXN2A	0.6412645603064955
JRK	DDX20	0.5301345174980514
JRK	CLCNKA	0.548919946909245
JRK	FURIN	0.5359621087189117
JRK	ARAP1	0.565506801194064
JRK	SNX30	0.5643970546878201
JRK	DLL1	0.8297655394406505
JRK	CNOT6	0.7863453553836437
JRK	SFRP2	0.6009268966916603
JRK	BCL6	0.6263547540753751
