Regulator	Target	MI
ATF1	NRSN2	1.1017971915988418
ATF1	PROX1	1.1017971915988418
FOXA1	ADAMTS4	1.116660223317413
FOXA1	KIR2DS4	1.2341113432738555
FOXA1	TMEM209	1.2341113432738557
FOXA1	CD177	1.1017971915988418
CCNT2	DCTN5	1.0551016181686426
CCNT2	CCDC60	1.2341113432738557
SMARCB1	GGNBP1	1.2341113432738555
SMARCB1	RTP4	1.1017971915988418
SMARCB1	ANKRD13B	1.2341113432738557
SMARCB1	TAF15	1.116660223317413
SMARCB1	SURF2	1.0551016181686426
SMARCB1	TXK	1.1017971915988418
SMARCB1	USE1	1.1017971915988418
SMARCB1	KRTAP5-10	1.2341113432738557
SMARCB1	RP1L1	1.1017971915988418
SMARCB1	GPC2	1.116660223317413
SMARCB1	ENPP6	1.1017971915988418
SMARCB1	MAP4K5	1.2341113432738557
SMARCB1	C13orf29	1.1649599709324299
SMARCB1	FAM81A	1.1649599709324299
SMARCB1	MPND	1.3812885266674402
SMARCB1	FAM83B	1.1017971915988418
SMARCB1	SCAI	1.0551016181686426
SPI1	OR9K2	1.3812885266674402
SPI1	SNORD115-8	1.3812885266674402
SPI1	CALML5	1.3812885266674402
SPI1	ZAN	1.0551016181686426
SPI1	DCAF8	1.3812885266674402
SPI1	CSN3	1.3812885266674402
SPI1	SPATA20	1.3812885266674402
SPI1	CHKB-CPT1B	1.3812885266674402
SPI1	IFI30	1.3812885266674402
SPI1	DCAF4	1.3812885266674402
SPI1	ACTB	1.3812885266674402
SPI1	SNORD115-4	1.3812885266674402
SPI1	RNF115	1.3812885266674402
SPI1	TDO2	1.3812885266674402
SPI1	NDST4	1.3812885266674402
SPI1	RESP18	1.3812885266674402
SPI1	PART1	1.3812885266674402
SPI1	ARL16	1.3812885266674402
SPI1	SNORD97	1.3812885266674402
SPI1	C6orf221	1.0551016181686426
SPI1	FAM19A3	1.0551016181686426
SPI1	SPANXB2	1.3812885266674402
SPI1	IQCF5	1.3812885266674402
SPI1	OR8H2	1.3812885266674402
SPI1	EPHA7	1.3812885266674402
SPI1	CTRB2	1.3812885266674402
SPI1	CTRB1	1.3812885266674402
SPI1	FLJ45983	1.3812885266674402
SPI1	EPR1	1.3812885266674402
SPI1	OR4P4	1.3812885266674402
SPI1	SOX11	1.3812885266674402
SPI1	TAS2R16	1.3812885266674402
SPI1	GABRG3	1.3812885266674402
SPI1	LCE1F	1.3812885266674402
SPI1	AAA1	1.3812885266674402
SPI1	LOC100127888	1.3812885266674402
SPI1	OR5R1	1.3812885266674402
SPI1	LCE2B	1.3812885266674402
SPI1	NCRNA00202	1.3812885266674402
SPI1	FLJ41941	1.3812885266674402
SPI1	MT1A	1.0551016181686426
SPI1	SLC5A9	1.3812885266674402
SPI1	C2orf52	1.3812885266674402
SPI1	OR5E1P	1.0551016181686426
SPI1	TFAM	1.3812885266674402
SPI1	VDAC2	1.3812885266674402
SPI1	SNORD86	1.3812885266674402
SPI1	CTXN2	1.3812885266674402
SPI1	NCRNA00207	1.3812885266674402
SPI1	RIN1	1.3812885266674402
SPI1	OR6C1	1.3812885266674402
SPI1	LOC728723	1.0551016181686426
SPI1	KPRP	1.3812885266674402
SPI1	WFDC12	1.3812885266674402
SPI1	IGSF5	1.3812885266674402
SPI1	HHLA1	1.3812885266674402
SPI1	TTYH1	1.3812885266674402
SPI1	KRTAP10-11	1.3812885266674402
SPI1	PCDH15	1.3812885266674402
SPI1	OR10T2	1.3812885266674402
SPI1	SLC5A2	1.3812885266674402
SPI1	ADAM5P	1.3812885266674402
SPI1	MEG8	1.3812885266674402
SPI1	KRT33B	1.3812885266674402
SPI1	LOC26080	1.3812885266674402
SPI1	NHLH2	1.3812885266674402
SPI1	NKAIN3	1.3812885266674402
SPI1	PRAMEF13	1.3812885266674402
SPI1	ARSJ	1.3812885266674402
SPI1	KCNQ1OT1	1.3812885266674402
SPI1	PRAMEF14	1.3812885266674402
SPI1	FLJ42709	1.3812885266674402
SPI1	PLAC1	1.3812885266674402
SPI1	ARSG	1.3812885266674402
SPI1	FAM43B	1.3812885266674402
SPI1	LOC100132111	1.3812885266674402
SPI1	TP53BP1	1.3812885266674402
SPI1	CGA	1.3812885266674402
SPI1	NCRNA00119	1.3812885266674402
SPI1	SPRR2B	1.3812885266674402
SPI1	NKX2-2	1.3812885266674402
SPI1	SPRR2D	1.3812885266674402
SPI1	FZD1	1.3812885266674402
SPI1	CT47A11	1.3812885266674402
SPI1	TAS2R30	1.3812885266674402
SPI1	ST13	1.3812885266674402
SPI1	TIPARP	1.3812885266674402
SPI1	GDEP	1.3812885266674402
SPI1	OR5P3	1.3812885266674402
SPI1	IGFL1	1.3812885266674402
SPI1	PPBP	1.3812885266674402
SPI1	SOX30	1.3812885266674402
SPI1	FAM123C	1.3812885266674402
SPI1	SNORD115-35	1.3812885266674402
SPI1	CCDC64B	1.3812885266674402
SPI1	LOC728264	1.0551016181686426
SPI1	NMU	1.3812885266674402
SPI1	SNORD125	1.3812885266674402
SPI1	NOX4	1.3812885266674402
SPI1	GALNTL6	1.3812885266674402
SPI1	C6orf211	1.3812885266674402
SPI1	SNORA41	1.3812885266674402
SPI1	SLC22A9	1.3812885266674402
SPI1	LOC285629	1.3812885266674402
SPI1	WFDC9	1.3812885266674402
SPI1	RBMY3AP	1.3812885266674402
SPI1	OR10J5	1.3812885266674402
SPI1	CETN1	1.3812885266674402
SPI1	IL26	1.3812885266674402
SPI1	CYMP	1.3812885266674402
SPI1	SNAR-C3	1.3812885266674402
SPI1	LOC92973	1.3812885266674402
SPI1	SNAR-C4	1.3812885266674402
SPI1	C8B	1.3812885266674402
SPI1	HOXC12	1.3812885266674402
SPI1	DEC1	1.3812885266674402
SPI1	OR5W2	1.3812885266674402
SPI1	CCKAR	1.3812885266674402
SPI1	SPANXN2	1.3812885266674402
SPI1	MMP27	1.3812885266674402
SPI1	KRT27	1.3812885266674402
SPI1	OR4D5	1.3812885266674402
SPI1	POM121L1P	1.3812885266674402
SPI1	UBL7	1.0551016181686426
SPI1	OR4D1	1.3812885266674402
SPI1	RBMY1F	1.3812885266674402
SPI1	SERPINB1	1.3812885266674402
SPI1	GPR37	1.3812885266674402
SPI1	MYOC	1.3812885266674402
SPI1	KLRA1	1.3812885266674402
SPI1	KRTAP9-2	1.3812885266674402
SPI1	LOC284788	1.3812885266674402
SPI1	TFB2M	1.3812885266674402
SPI1	KRT31	1.3812885266674402
SPI1	C5orf51	1.3812885266674402
SPI1	GSTTP2	1.3812885266674402
SPI1	KRTAP9-8	1.3812885266674402
SPI1	TMEFF1	1.3812885266674402
SPI1	CEACAM7	1.3812885266674402
SPI1	RNU6ATAC	1.3812885266674402
SPI1	FAM181B	1.3812885266674402
SPI1	TFF1	1.3812885266674402
SPI1	ZNF238	1.0551016181686426
SPI1	SNORA66	1.3812885266674402
SPI1	HMX2	1.3812885266674402
SPI1	SNORA63	1.3812885266674402
SPI1	C6orf130	1.0551016181686426
SPI1	SPRR4	1.3812885266674402
SPI1	CCL13	1.3812885266674402
SPI1	LOC338588	1.3812885266674402
SPI1	OR8K3	1.3812885266674402
SPI1	SERPINB13	1.3812885266674402
SPI1	CT47A6	1.3812885266674402
SPI1	DEFB128	1.3812885266674402
SPI1	CT47A7	1.3812885266674402
SPI1	CRCT1	1.3812885266674402
SPI1	FAM47B	1.3812885266674402
SPI1	SAA4	1.3812885266674402
SPI1	CRYBA2	1.3812885266674402
SPI1	DEFB124	1.3812885266674402
SPI1	DEFB121	1.3812885266674402
SPI1	KCNA7	1.3812885266674402
SPI1	CST5	1.3812885266674402
SPI1	BASE	1.3812885266674402
SPI1	OR4S2	1.3812885266674402
SPI1	LCE3D	1.3812885266674402
SPI1	PRAMEF5	1.3812885266674402
SPI1	MYCT1	1.3812885266674402
SPI1	PRAMEF3	1.3812885266674402
SPI1	PRAMEF2	1.3812885266674402
SPI1	PSMB3	1.3812885266674402
SPI1	SLC17A7	1.3812885266674402
SPI1	ATP6V1G3	1.0551016181686426
SPI1	C7orf34	1.3812885266674402
SPI1	PRAMEF9	1.3812885266674402
SPI1	CCL16	1.3812885266674402
SPI1	RPRM	1.3812885266674402
SPI1	GABRA1	1.3812885266674402
SPI1	MBD4	1.3812885266674402
SPI1	C16orf92	1.3812885266674402
SPI1	GABRA6	1.3812885266674402
SPI1	GSX1	1.3812885266674402
SPI1	FAM5B	1.3812885266674402
SPI1	MBD1	1.3812885266674402
SPI1	C22orf13	1.3812885266674402
SPI1	LOC647309	1.3812885266674402
SPI1	KLK14	1.3812885266674402
SPI1	DEFB134	1.3812885266674402
SPI1	DEFB108B	1.3812885266674402
SPI1	PCDHB11	1.3812885266674402
SPI1	DEFB130	1.3812885266674402
SPI1	LCE3E	1.3812885266674402
SPI1	OR5T2	1.3812885266674402
SPI1	OR5T1	1.3812885266674402
SPI1	RIT1	1.3812885266674402
SPI1	NLRP11	1.0551016181686426
SPI1	CYP20A1	1.0551016181686426
SPI1	OR10G7	1.3812885266674402
SPI1	LOC339535	1.3812885266674402
SPI1	FLJ46321	1.0551016181686426
SPI1	LOC257358	1.3812885266674402
SPI1	TBC1D3B	1.3812885266674402
SPI1	ANKRD33	1.3812885266674402
SPI1	IRS4	1.3812885266674402
SPI1	OTP	1.0551016181686426
SPI1	FGF1	1.3812885266674402
SPI1	OR2T11	1.3812885266674402
SPI1	C21orf15	1.3812885266674402
SPI1	GOLGA6L6	1.3812885266674402
SPI1	C21orf130	1.3812885266674402
SPI1	BANF2	1.3812885266674402
SPI1	OSTF1	1.3812885266674402
SPI1	KRTAP13-2	1.3812885266674402
SPI1	DEFB119	1.3812885266674402
SPI1	KRTAP13-4	1.3812885266674402
SPI1	OR52E4	1.3812885266674402
SPI1	DEFB116	1.3812885266674402
SPI1	OSR1	1.3812885266674402
SPI1	AIP	1.3812885266674402
SPI1	NPY1R	1.3812885266674402
SPI1	KRT78	1.3812885266674402
SPI1	CNPY2	1.3812885266674402
SPI1	DEFB112	1.3812885266674402
SPI1	FKSG83	1.3812885266674402
SPI1	ADAM19	1.3812885266674402
SPI1	KCTD8	1.3812885266674402
SPI1	LMX1A	1.3812885266674402
SPI1	PSPC1	1.3812885266674402
SPI1	TSSK6	1.3812885266674402
SPI1	ZNF558	1.3812885266674402
SPI1	IFNA10	1.0551016181686426
SPI1	OR1A1	1.3812885266674402
SPI1	REG3A	1.3812885266674402
SPI1	LOC285847	1.3812885266674402
SPI1	MAGEA12	1.3812885266674402
SPI1	OR5I1	1.3812885266674402
SPI1	HMHB1	1.3812885266674402
SPI1	LOC284632	1.3812885266674402
SPI1	DPT	1.3812885266674402
SPI1	NCRNA00087	1.3812885266674402
