Regulator	Target	MI
FOXA1	MRPS9	1.0551016181686426
FOXA1	DNMBP	1.1017971915988418
FOXA1	KIAA0317	1.2341113432738555
FOXA1	GAS2	1.0551016181686426
FOXA1	GNASAS	1.1017971915988418
FOXA1	KCNA5	1.0551016181686426
FOXA1	CXADRP2	1.116660223317413
FOXA1	MTMR4	1.2341113432738557
FOXA1	TPD52L1	1.0551016181686426
FOXA1	MAMLD1	1.116660223317413
FOXA1	MAP9	1.116660223317413
ATF2	DNAJB1	1.116660223317413
ATF2	COPS2	1.116660223317413
ATF2	UCA1	1.1017971915988418
ATF2	RPF2	1.116660223317413
ATF2	GABPA	1.3812885266674402
ATF2	LMF1	1.1017971915988418
CCNT2	KLHDC2	1.2341113432738557
CCNT2	IRGQ	1.2341113432738557
CCNT2	PAN3	1.0551016181686426
CCNT2	RABGAP1	1.0551016181686426
CCNT2	ADORA1	1.1017971915988418
CCNT2	ZNF77	1.1017971915988418
CCNT2	SLC17A8	1.2341113432738557
CCNT2	C6orf26	1.1017971915988418
CCNT2	MYO1H	1.2341113432738557
CCNT2	PTGR1	1.1017971915988418
CCNT2	SF3B1	1.0551016181686426
CCNT2	TNS3	1.0551016181686426
SMARCB1	TAB3	1.116660223317413
SPI1	LRRC14B	1.3812885266674402
SPI1	SNORD115-8	1.0551016181686426
SPI1	PWWP2B	1.3812885266674402
SPI1	GAGE8	1.3812885266674402
SPI1	SPINT4	1.3812885266674402
SPI1	FLJ12825	1.3812885266674402
SPI1	SNORD115-3	1.3812885266674402
SPI1	MIMT1	1.3812885266674402
SPI1	DKFZP686I15217	1.3812885266674402
SPI1	TDO2	1.3812885266674402
SPI1	NDST4	1.3812885266674402
SPI1	NKX1-2	1.3812885266674402
SPI1	SNORA35	1.3812885266674402
SPI1	FLJ45983	1.3812885266674402
SPI1	HDGFRP2	1.3812885266674402
SPI1	OR4P4	1.3812885266674402
SPI1	C22orf34	1.3812885266674402
SPI1	SLC5A8	1.3812885266674402
SPI1	MYL7	1.3812885266674402
SPI1	SLC5A9	1.3812885266674402
SPI1	OR4K15	1.3812885266674402
SPI1	C14orf86	1.3812885266674402
SPI1	MYL3	1.0551016181686426
SPI1	RBP1	1.3812885266674402
SPI1	LOC100128292	1.0551016181686426
SPI1	GTSF1	1.0551016181686426
SPI1	GRID2IP	1.0551016181686426
SPI1	TTYH3	1.3812885266674402
SPI1	TTYH2	1.3812885266674402
SPI1	TTYH1	1.3812885266674402
SPI1	DAZ4	1.3812885266674402
SPI1	DAZ2	1.3812885266674402
SPI1	DAZ1	1.3812885266674402
SPI1	ADAM5P	1.3812885266674402
SPI1	LOC643955	1.3812885266674402
SPI1	TEX28	1.3812885266674402
SPI1	OR6S1	1.3812885266674402
SPI1	SNORA5C	1.3812885266674402
SPI1	HPX	1.3812885266674402
SPI1	NCRNA00114	1.3812885266674402
SPI1	LOC729467	1.3812885266674402
SPI1	C7	1.3812885266674402
SPI1	NCRNA00111	1.3812885266674402
SPI1	SCGB1D2	1.3812885266674402
SPI1	SCGB1D4	1.3812885266674402
SPI1	LOC100132111	1.3812885266674402
SPI1	OR4N5	1.3812885266674402
SPI1	NBPF22P	1.3812885266674402
SPI1	GRIN2B	1.3812885266674402
SPI1	SNORD115-40	1.116660223317413
SPI1	CS	1.3812885266674402
SPI1	FERMT1	1.3812885266674402
SPI1	SNORD115-39	1.3812885266674402
SPI1	FAM135B	1.3812885266674402
SPI1	TDP2	1.3812885266674402
SPI1	TMEM99	1.3812885266674402
SPI1	OR10C1	1.3812885266674402
SPI1	HRG	1.3812885266674402
SPI1	LACRT	1.3812885266674402
SPI1	NCRNA00107	1.3812885266674402
SPI1	SNORA41	1.3812885266674402
SPI1	SNORA42	1.3812885266674402
SPI1	SFTA2	1.3812885266674402
SPI1	LOC285629	1.3812885266674402
SPI1	LOC440173	1.3812885266674402
SPI1	WFIKKN1	1.3812885266674402
SPI1	CSDAP1	1.3812885266674402
SPI1	SNAR-E	1.3812885266674402
SPI1	SNAR-F	1.3812885266674402
SPI1	HOXC13	1.3812885266674402
SPI1	SNAR-D	1.3812885266674402
SPI1	OR6Y1	1.3812885266674402
SPI1	POM121L1P	1.3812885266674402
SPI1	C7orf41	1.3812885266674402
SPI1	FGFBP1	1.3812885266674402
SPI1	RBMY1F	1.3812885266674402
SPI1	GPR37	1.3812885266674402
SPI1	MYOC	1.3812885266674402
SPI1	OPALIN	1.116660223317413
SPI1	SLC7A5	1.3812885266674402
SPI1	MBLAC1	1.3812885266674402
SPI1	C13orf26	1.3812885266674402
SPI1	GHRLOS	1.0551016181686426
SPI1	C20orf186	1.3812885266674402
SPI1	SAMD8	1.0551016181686426
SPI1	SERPINB13	1.3812885266674402
SPI1	OR10H3	1.3812885266674402
SPI1	CRCT1	1.3812885266674402
SPI1	NCRNA00162	1.3812885266674402
SPI1	NCRNA00161	1.3812885266674402
SPI1	KCNA7	1.3812885266674402
SPI1	LOC650293	1.3812885266674402
SPI1	NCRNA00160	1.3812885266674402
SPI1	OR4S1	1.3812885266674402
SPI1	MYCT1	1.3812885266674402
SPI1	TCOF1	1.3812885266674402
SPI1	LOC643763	1.3812885266674402
SPI1	AGR3	1.3812885266674402
SPI1	PRAME	1.3812885266674402
SPI1	RABAC1	1.3812885266674402
SPI1	C7orf34	1.3812885266674402
SPI1	KRTAP2-1	1.3812885266674402
SPI1	C4orf7	1.3812885266674402
SPI1	LRRC25	1.3812885266674402
SPI1	OR10G2	1.0551016181686426
SPI1	GSX2	1.3812885266674402
SPI1	FAM92A3	1.3812885266674402
SPI1	FABP1	1.3812885266674402
SPI1	LOC100130148	1.3812885266674402
SPI1	OR10G8	1.3812885266674402
SPI1	OR10G7	1.3812885266674402
SPI1	ADAM21P1	1.3812885266674402
SPI1	OR10G9	1.3812885266674402
SPI1	KCNG4	1.3812885266674402
SPI1	LOC283404	1.3812885266674402
SPI1	MSI1	1.3812885266674402
SPI1	IL1RAP	1.3812885266674402
SPI1	C21orf15	1.3812885266674402
SPI1	SNAR-G1	1.3812885266674402
SPI1	POTED	1.3812885266674402
SPI1	MAP3K7	1.116660223317413
SPI1	POTEB	1.3812885266674402
SPI1	ZNF681	1.3812885266674402
SPI1	IFNA14	1.3812885266674402
SPI1	LOC255167	1.3812885266674402
SPI1	UBE2E2	1.3812885266674402
SPI1	CNPY2	1.0551016181686426
SPI1	SDCBP2	1.3812885266674402
SPI1	OR2T6	1.3812885266674402
SPI1	NPAS4	1.0551016181686426
SPI1	OR4X2	1.3812885266674402
SPI1	OR4X1	1.3812885266674402
SPI1	LY6D	1.3812885266674402
SPI1	SMS	1.3812885266674402
SPI1	KIAA0408	1.3812885266674402
SPI1	S100A8	1.3812885266674402
SPI1	FTL	1.3812885266674402
SPI1	S100A7	1.3812885266674402
SPI1	REG3A	1.3812885266674402
SPI1	LOC285847	1.0551016181686426
SPI1	DLX6	1.3812885266674402
SPI1	HBII-52-46	1.3812885266674402
SPI1	HBII-52-45	1.3812885266674402
SPI1	C6orf27	1.3812885266674402
SPI1	OR51S1	1.3812885266674402
SPI1	KRTAP4-4	1.3812885266674402
SPI1	SMYD2	1.3812885266674402
SPI1	KRTAP4-3	1.3812885266674402
SPI1	ZKSCAN2	1.3812885266674402
SPI1	KRTAP4-1	1.0551016181686426
SPI1	PGK2	1.3812885266674402
SPI1	KIR2DL5B	1.3812885266674402
SPI1	LRRC69	1.3812885266674402
SPI1	C7orf66	1.3812885266674402
SPI1	GOT1	1.3812885266674402
SPI1	HTR1E	1.3812885266674402
SPI1	CTAG2	1.3812885266674402
SPI1	DCDC1	1.3812885266674402
SPI1	LRIT1	1.3812885266674402
SPI1	NCRNA00189	1.3812885266674402
SPI1	LOC100133612	1.3812885266674402
SPI1	OR7A10	1.3812885266674402
SPI1	HTR2C	1.3812885266674402
SPI1	ROBLD3	1.3812885266674402
SPI1	ZNF648	1.3812885266674402
SPI1	EIF3CL	1.3812885266674402
SPI1	UGT2A3	1.3812885266674402
SPI1	ITGB6	1.3812885266674402
SPI1	MSMB	1.3812885266674402
SPI1	LOC283856	1.3812885266674402
SPI1	TRIM63	1.3812885266674402
SPI1	HTR3C	1.3812885266674402
SPI1	SNORD115-20	1.0551016181686426
SPI1	TMED10P1	1.3812885266674402
SPI1	CYP2A7	1.3812885266674402
SPI1	HAND1	1.3812885266674402
SPI1	TRIM58	1.3812885266674402
SPI1	BPI	1.3812885266674402
SPI1	OR56A3	1.0551016181686426
SPI1	OR10A6	1.3812885266674402
SPI1	C9orf72	1.0551016181686426
SPI1	CXXC1	1.3812885266674402
SPI1	BARX1	1.3812885266674402
SPI1	BARX2	1.3812885266674402
SPI1	PTPLA	1.3812885266674402
SPI1	KRTAP6-2	1.3812885266674402
SPI1	TRIM46	1.3812885266674402
SPI1	KRTAP6-1	1.3812885266674402
SPI1	TRIM47	1.3812885266674402
SPI1	E2F3	1.116660223317413
SPI1	OR12D2	1.3812885266674402
SPI1	KCNJ1	1.0551016181686426
SPI1	KCNJ4	1.3812885266674402
SPI1	OR7E5P	1.3812885266674402
SPI1	RBMY2FP	1.3812885266674402
SPI1	KRTAP6-3	1.3812885266674402
SPI1	TTTY1B	1.3812885266674402
SPI1	LOC647946	1.3812885266674402
SPI1	SYT15	1.3812885266674402
SPI1	LOC152024	1.3812885266674402
SPI1	LOC100128239	1.3812885266674402
SPI1	SYT12	1.3812885266674402
SPI1	TTTY16	1.3812885266674402
SPI1	TTTY14	1.3812885266674402
SPI1	TTTY15	1.3812885266674402
SPI1	LOC154449	1.3812885266674402
SPI1	LOC728743	1.0551016181686426
SPI1	OR7G2	1.3812885266674402
SPI1	OR7G1	1.3812885266674402
SPI1	C16orf82	1.3812885266674402
SPI1	PPAN	1.3812885266674402
SPI1	LDLRAD2	1.0551016181686426
SPI1	LOC121838	1.0551016181686426
SPI1	AADACL4	1.3812885266674402
SPI1	RESP18	1.0551016181686426
SPI1	TTTY23	1.3812885266674402
SPI1	TNFSF11	1.3812885266674402
SPI1	ARL16	1.3812885266674402
SPI1	C6orf103	1.116660223317413
SPI1	TTTY21	1.3812885266674402
SPI1	TTTY22	1.3812885266674402
SPI1	LOH3CR2A	1.3812885266674402
SPI1	ZNF720	1.3812885266674402
SPI1	LGALS7	1.3812885266674402
SPI1	C1orf204	1.3812885266674402
SPI1	EPHA5	1.3812885266674402
SPI1	EPHA7	1.3812885266674402
SPI1	CTRB2	1.3812885266674402
SPI1	KCNK16	1.116660223317413
SPI1	IMP5	1.3812885266674402
SPI1	LOC100188947	1.3812885266674402
SPI1	LOC150381	1.3812885266674402
SPI1	LPPR2	1.3812885266674402
SPI1	OR2AT4	1.3812885266674402
SPI1	CTXN3	1.0551016181686426
SPI1	OR5A2	1.3812885266674402
SPI1	RIN1	1.3812885266674402
SPI1	LOC554202	1.3812885266674402
SPI1	LOC91149	1.3812885266674402
SPI1	PCDH12	1.3812885266674402
SPI1	NEU2	1.3812885266674402
SPI1	ZNF709	1.0551016181686426
SPI1	MC2R	1.3812885266674402
SPI1	NKAIN4	1.0551016181686426
SPI1	ARSI	1.3812885266674402
SPI1	LOC84856	1.3812885266674402
SPI1	ARSG	1.3812885266674402
SPI1	FAM9B	1.3812885266674402
SPI1	TMEM86A	1.3812885266674402
SPI1	XBP1	1.3812885266674402
SPI1	DEFB104A	1.3812885266674402
SPI1	TAS2R30	1.3812885266674402
SPI1	TNFSF15	1.3812885266674402
SPI1	ST8SIA3	1.116660223317413
SPI1	WDYHV1	1.116660223317413
SPI1	PPBP	1.3812885266674402
SPI1	IL1F10	1.3812885266674402
SPI1	ZBTB9	1.3812885266674402
SPI1	LOC100130987	1.0551016181686426
SPI1	SNW1	1.3812885266674402
SPI1	OR9G9	1.3812885266674402
SPI1	LOC256880	1.3812885266674402
SPI1	MGC27382	1.3812885266674402
SPI1	OR9G4	1.3812885266674402
SPI1	SPAG16	1.3812885266674402
SPI1	IL26	1.3812885266674402
SPI1	GRIK3	1.116660223317413
SPI1	WFDC1	1.3812885266674402
SPI1	SNAR-C4	1.3812885266674402
SPI1	TTTY6B	1.3812885266674402
SPI1	WFDC3	1.0551016181686426
SPI1	APOBEC2	1.3812885266674402
SPI1	KIF25	1.3812885266674402
SPI1	SNAR-B2	1.3812885266674402
SPI1	AGTRAP	1.3812885266674402
SPI1	DEFB106A	1.3812885266674402
SPI1	C5orf51	1.3812885266674402
SPI1	FSHR	1.3812885266674402
SPI1	LOC644145	1.3812885266674402
SPI1	ARHGEF4	1.3812885266674402
SPI1	OR3A4	1.0551016181686426
SPI1	C2orf15	1.3812885266674402
SPI1	LOC100192379	1.3812885266674402
SPI1	CCDC105	1.3812885266674402
SPI1	KIAA1324L	1.1017971915988418
SPI1	AKR1D1	1.0551016181686426
SPI1	TMPRSS4	1.3812885266674402
SPI1	DEFB124	1.3812885266674402
SPI1	SNAR-A3	1.3812885266674402
SPI1	SNAR-A2	1.3812885266674402
SPI1	DEFB121	1.3812885266674402
SPI1	CPN2	1.0551016181686426
SPI1	DKFZP434K028	1.3812885266674402
SPI1	C6orf125	1.3812885266674402
SPI1	PISRT1	1.3812885266674402
SPI1	PRLH	1.3812885266674402
SPI1	C6orf122	1.3812885266674402
SPI1	FAM5B	1.3812885266674402
SPI1	KLK13	1.3812885266674402
SPI1	GAD2	1.3812885266674402
SPI1	DEFB132	1.0551016181686426
SPI1	PCDHB11	1.3812885266674402
SPI1	DEFB130	1.0551016181686426
SPI1	TCEA2	1.3812885266674402
SPI1	IL17F	1.3812885266674402
SPI1	PNPLA6	1.3812885266674402
SPI1	ALLC	1.3812885266674402
SPI1	FOXA2	1.3812885266674402
SPI1	OTC	1.3812885266674402
SPI1	PAGE3	1.3812885266674402
SPI1	OR5K3	1.3812885266674402
SPI1	TBC1D3B	1.3812885266674402
SPI1	DUX4	1.3812885266674402
SPI1	LOC286238	1.3812885266674402
SPI1	C21orf131	1.3812885266674402
SPI1	DUXA	1.3812885266674402
SPI1	TGM4	1.3812885266674402
SPI1	TMOD1	1.3812885266674402
SPI1	OR5J2	1.3812885266674402
SPI1	PRO1768	1.3812885266674402
SPI1	OSR1	1.0551016181686426
SPI1	PRLR	1.3812885266674402
SPI1	GPRIN2	1.3812885266674402
SPI1	FLJ25758	1.3812885266674402
SPI1	CARD18	1.3812885266674402
SPI1	OR1A1	1.3812885266674402
SPI1	MAGEA12	1.3812885266674402
SPI1	NXPH2	1.3812885266674402
SPI1	CCL3L3	1.3812885266674402
SPI1	FLJ26850	1.3812885266674402
SPI1	KLHL11	1.3812885266674402
SPI1	OR9Q1	1.3812885266674402
SPI1	LOC100272217	1.3812885266674402
SPI1	HOXB13	1.3812885266674402
SPI1	MCHR2	1.3812885266674402
SPI1	H2BFM	1.3812885266674402
SPI1	SNTG2	1.3812885266674402
SPI1	TAC4	1.3812885266674402
SPI1	LELP1	1.3812885266674402
SPI1	PRODH	1.3812885266674402
SPI1	FAM71B	1.0551016181686426
SPI1	SNORD30	1.3812885266674402
SPI1	OR5H6	1.3812885266674402
SPI1	C6orf186	1.3812885266674402
SPI1	SNORD88A	1.3812885266674402
SPI1	KRTAP12-2	1.3812885266674402
SPI1	OR5H1	1.3812885266674402
SPI1	UBE2B	1.3812885266674402
SPI1	OTUD6A	1.3812885266674402
SPI1	EVX1	1.0551016181686426
SPI1	MT4	1.3812885266674402
SPI1	PRNT	1.0551016181686426
SPI1	TMEM232	1.3812885266674402
SPI1	TMEM233	1.3812885266674402
SPI1	SNORD28	1.3812885266674402
SPI1	BMP1	1.3812885266674402
SPI1	C9orf131	1.0551016181686426
SPI1	GNAS	1.3812885266674402
SPI1	NXF2B	1.3812885266674402
SPI1	ALPI	1.3812885266674402
SPI1	CNTN3	1.3812885266674402
SPI1	TAB2	1.0551016181686426
SPI1	TCF4	1.0551016181686426
SPI1	OR51A2	1.3812885266674402
SPI1	TAB1	1.3812885266674402
SPI1	FGF13	1.3812885266674402
SPI1	FGF10	1.3812885266674402
SPI1	PNLIPRP1	1.3812885266674402
SPI1	RTP2	1.3812885266674402
SPI1	OR1G1	1.3812885266674402
SPI1	RERG	1.3812885266674402
SPI1	BCL7A	1.116660223317413
SPI1	SNORD51	1.3812885266674402
SPI1	C1orf93	1.3812885266674402
SPI1	KRT222	1.3812885266674402
SPI1	OR51G1	1.3812885266674402
SPI1	BPIL2	1.3812885266674402
SPI1	RFPL3	1.0551016181686426
SPI1	FAM74A1	1.3812885266674402
SPI1	GREM1	1.3812885266674402
SPI1	SNORD48	1.3812885266674402
SPI1	H2BFWT	1.3812885266674402
SPI1	ZP2	1.3812885266674402
SPI1	FBP2	1.3812885266674402
SPI1	PNLIPRP3	1.0551016181686426
SPI1	CLRN1	1.3812885266674402
SPI1	FLJ44082	1.3812885266674402
SPI1	OR5M8	1.3812885266674402
SPI1	DBX2	1.3812885266674402
SPI1	OR5M3	1.3812885266674402
SPI1	FTHL17	1.3812885266674402
SPI1	LOC284276	1.3812885266674402
SPI1	ASB18	1.3812885266674402
SPI1	TMEM205	1.3812885266674402
SPI1	CLVS2	1.3812885266674402
SPI1	FLJ25328	1.3812885266674402
SPI1	SNORD78	1.3812885266674402
SPI1	SNORD75	1.3812885266674402
SPI1	CTAG1B	1.3812885266674402
SPI1	OR51E1	1.3812885266674402
SPI1	KRTAP10-4	1.3812885266674402
SPI1	HSD3B1	1.3812885266674402
SPI1	NAA11	1.0551016181686426
SPI1	OR5L2	1.3812885266674402
SPI1	PLA2G2A	1.3812885266674402
SPI1	OR5L1	1.3812885266674402
SPI1	HS3ST6	1.3812885266674402
SPI1	ZIC5	1.3812885266674402
SPI1	SUOX	1.3812885266674402
SPI1	BPESC1	1.3812885266674402
SPI1	LOC285375	1.3812885266674402
SPI1	EPOR	1.0551016181686426
SPI1	ASB5	1.3812885266674402
SPI1	LOC146336	1.3812885266674402
SPI1	TRIO	1.3812885266674402
SPI1	TMEM200A	1.0551016181686426
SPI1	FRMPD2	1.3812885266674402
SPI1	CWH43	1.3812885266674402
SPI1	CHKB-CPT1B	1.3812885266674402
SPI1	DCAF4	1.3812885266674402
SPI1	LCE1A	1.3812885266674402
SPI1	LOC728276	1.3812885266674402
SPI1	GJA1	1.3812885266674402
SPI1	RNF115	1.3812885266674402
SPI1	GNAT3	1.3812885266674402
SPI1	CDK5RAP1	1.3812885266674402
SPI1	PRR20C	1.3812885266674402
SPI1	PRR20B	1.3812885266674402
SPI1	GJA8	1.3812885266674402
SPI1	LOC441177	1.3812885266674402
SPI1	PRIMA1	1.3812885266674402
SPI1	TSPYL3	1.3812885266674402
SPI1	CHIA	1.3812885266674402
SPI1	OR11G2	1.3812885266674402
SPI1	EPR1	1.3812885266674402
SPI1	LOC339240	1.3812885266674402
SPI1	SOX11	1.3812885266674402
SPI1	LCE1E	1.3812885266674402
SPI1	LOC340017	1.3812885266674402
SPI1	OR5R1	1.3812885266674402
SPI1	LCE1D	1.3812885266674402
SPI1	LCE2C	1.3812885266674402
SPI1	NCRNA00202	1.3812885266674402
SPI1	ADCY9	1.3812885266674402
SPI1	CLPS	1.3812885266674402
SPI1	SNORD116-25	1.3812885266674402
SPI1	KRTAP4-11	1.3812885266674402
SPI1	NCRNA00200	1.3812885266674402
SPI1	SNORD86	1.3812885266674402
SPI1	HYALP1	1.3812885266674402
SPI1	LOC100169752	1.3812885266674402
SPI1	XPA	1.3812885266674402
SPI1	XPC	1.3812885266674402
SPI1	SKA1	1.3812885266674402
SPI1	INE2	1.3812885266674402
SPI1	LOC26080	1.3812885266674402
SPI1	OR5M11	1.3812885266674402
SPI1	GALR1	1.3812885266674402
SPI1	PLAC2	1.0551016181686426
SPI1	NKX2-2	1.3812885266674402
SPI1	C10orf53	1.3812885266674402
SPI1	SNORD116-10	1.3812885266674402
SPI1	LOC723809	1.3812885266674402
SPI1	OR5P2	1.3812885266674402
SPI1	SOX30	1.3812885266674402
SPI1	FAM123C	1.3812885266674402
SPI1	SLC6A6	1.3812885266674402
SPI1	SQLE	1.3812885266674402
SPI1	XKR7	1.3812885266674402
SPI1	LOC572558	1.3812885266674402
SPI1	LOC728264	1.116660223317413
SPI1	LOC149620	1.3812885266674402
SPI1	GALNTL6	1.3812885266674402
SPI1	HOXD9	1.3812885266674402
SPI1	BSPH1	1.3812885266674402
SPI1	BTG4	1.0551016181686426
SPI1	SERPINA3	1.3812885266674402
SPI1	SMG1	1.3812885266674402
SPI1	SERPINA1	1.0551016181686426
SPI1	GUCY2GP	1.3812885266674402
SPI1	PYGL	1.3812885266674402
SPI1	STON2	1.3812885266674402
SPI1	SERPINA6	1.3812885266674402
SPI1	MYOM3	1.3812885266674402
SPI1	SERPINA5	1.3812885266674402
SPI1	TRIM9	1.3812885266674402
SPI1	LOC100130238	1.3812885266674402
SPI1	OR5W2	1.3812885266674402
