Regulator	Target	MI
ATF1	DDR1	1.3812885266674402
ATF1	PRSS1	1.0551016181686426
ATF1	MPL	1.1017971915988418
ATF1	NRM	1.0551016181686426
ATF1	HSPB1	1.0551016181686426
ATF1	SYDE2	1.3812885266674402
ATF1	FAM122A	1.0551016181686426
ATF1	TRMT112	1.1017971915988418
ATF1	FAM186A	1.2341113432738555
ATF1	C20orf7	1.0551016181686426
ATF1	HRAS	1.2341113432738555
ATF1	JUNB	1.3812885266674402
ATF1	LOC442421	1.1017971915988418
ATF1	PAQR8	1.0551016181686426
ATF1	C6orf164	1.0551016181686426
ATF1	FCRL2	1.0551016181686426
ATF1	RFC3	1.0551016181686426
ATF1	ABCC2	1.1017971915988418
ATF1	HMGCS1	1.1017971915988418
ATF1	PAQR4	1.0551016181686426
ATF1	TPM1	1.0551016181686426
ATF1	VPS13A	1.0551016181686426
ATF1	C11orf35	1.1017971915988418
ATF1	HIST2H2BF	1.3812885266674402
ATF1	MRPS18C	1.0551016181686426
ATF1	PLSCR1	1.0551016181686426
ATF1	RNF126	1.1017971915988418
ATF1	RBL1	1.0551016181686426
ATF1	TUBB2A	1.0551016181686426
ATF1	LGALS12	1.1017971915988418
ATF1	CCDC90A	1.1017971915988418
ATF1	ACOT1	1.0551016181686426
ATF1	TMEM9	1.116660223317413
ATF1	C6orf155	1.0551016181686426
ATF1	CDKL1	1.1017971915988418
ATF1	BLK	1.0551016181686426
ATF1	BAT4	1.0551016181686426
ATF1	TMEM63A	1.0551016181686426
ATF1	ZNF394	1.1017971915988418
ATF1	NDUFB10	1.0551016181686426
ATF1	PPM1L	1.1017971915988418
ATF1	HIST1H2BK	1.116660223317413
ATF1	BRP44	1.0551016181686426
ATF1	SPATA1	1.3812885266674402
ATF1	ILDR2	1.116660223317413
ATF1	PLD4	1.2341113432738555
ATF1	TARS	1.0551016181686426
ATF1	CDKN2AIP	1.0551016181686426
ATF1	ADH6	1.1017971915988418
ATF1	P2RY4	1.1017971915988418
ATF1	C9	1.0551016181686426
ATF1	NT5DC3	1.0551016181686426
ATF1	STAP1	1.0551016181686426
ATF1	FLNB	1.0551016181686426
ATF1	SFN	1.1017971915988418
ATF1	C12orf43	1.3812885266674402
ATF1	CYB5B	1.0551016181686426
ATF1	ATRNL1	1.0551016181686426
ATF1	POLR3GL	1.1017971915988418
ATF1	ARHGEF38	1.0551016181686426
ATF1	SLC16A11	1.3812885266674402
ATF1	BTN2A3	1.116660223317413
ATF1	LRWD1	1.0551016181686426
ATF1	TDRD6	1.1017971915988418
ATF1	FANCE	1.0551016181686426
ATF1	NUDT7	1.0551016181686426
ATF1	HNRNPF	1.0551016181686426
ATF1	PPP2R2D	1.1017971915988418
ATF1	TRMT6	1.3812885266674402
ATF1	ZNF615	1.3812885266674402
ATF1	CD28	1.3812885266674402
ATF1	AGGF1	1.0551016181686426
ATF1	UBAP1	1.3812885266674402
ATF1	CSPG4	1.1017971915988418
ATF1	TRIM31	1.0551016181686426
ATF1	CD22	1.0551016181686426
ATF1	MAP3K11	1.1017971915988418
ATF1	MYO1G	1.1017971915988418
ATF2	SMARCAL1	1.2341113432738557
ATF2	GDI1	1.116660223317413
ATF2	TRIL	1.1017971915988418
ATF2	TUSC1	1.1017971915988418
ATF2	FNBP1L	1.0551016181686426
ATF2	TUBB6	1.2341113432738557
ATF2	AMMECR1L	1.1017971915988418
ATF2	ZC3H7B	1.2341113432738557
ATF2	CHCHD7	1.1017971915988418
ATF2	TMEM107	1.3812885266674402
ATF2	PHACTR3	1.1017971915988418
ATF2	TNS1	1.2341113432738557
ATF2	VAV3	1.1017971915988418
ATF2	PLEKHG4	1.1017971915988418
ATF2	CEP135	1.2341113432738557
ATF2	ATG9B	1.1017971915988418
ATF2	EBF3	1.2341113432738557
ATF2	SIRT6	1.1017971915988418
ATF2	TRAIP	1.116660223317413
ATF2	PTP4A3	1.0551016181686426
ATF2	VGF	1.3812885266674402
ATF2	COL8A2	1.1017971915988418
ATF2	FAM76B	1.3812885266674402
ATF2	PLEKHO2	1.116660223317413
ATF2	AVPI1	1.1017971915988418
ATF2	GRAMD1C	1.1017971915988418
ATF2	SNAP47	1.116660223317413
ATF2	VCP	1.1017971915988418
ATF2	MOSPD2	1.1017971915988418
ATF2	FLJ14107	1.116660223317413
ATF2	KLC1	1.1017971915988418
ATF2	HSD17B8	1.1017971915988418
ATF2	UACA	1.116660223317413
ATF2	GIGYF2	1.2341113432738557
ATF2	PCDH17	1.1017971915988418
ATF2	SLC7A3	1.1017971915988418
ATF2	NT5C	1.1017971915988418
ATF2	CUX2	1.1017971915988418
ATF2	KDELC2	1.1017971915988418
ATF2	UBN1	1.116660223317413
ATF2	RPRML	1.2341113432738557
ATF2	TP53TG5	1.1017971915988418
ATF2	TRPM8	1.1017971915988418
ATF2	LONRF2	1.1017971915988418
ATF2	PAK2	1.116660223317413
ATF2	RAB6B	1.116660223317413
ATF2	RIMKLB	1.1017971915988418
ATF2	C14orf115	1.2341113432738557
ATF2	C7orf36	1.1017971915988418
ATF2	C6orf141	1.116660223317413
ATF2	CPSF7	1.2341113432738557
ATF2	CPSF1	1.1017971915988418
ATF2	CMTM6	1.116660223317413
ATF2	ARID3A	1.2341113432738557
ATF2	AIG1	1.1017971915988418
ATF2	CLK3	1.116660223317413
ATF2	KLK11	1.1017971915988418
ATF2	PKIB	1.1017971915988418
ATF2	EFNA3	1.0551016181686426
ATF2	TBL2	1.116660223317413
ATF2	LOC653786	1.2341113432738557
ATF2	ABI1	1.116660223317413
ATF2	B9D1	1.1017971915988418
ATF2	CDK13	1.2341113432738557
ATF2	RNF141	1.2341113432738557
ATF2	ZCCHC3	1.116660223317413
ATF2	NEK11	1.2341113432738557
CCNT2	NUDT8	1.2341113432738557
SMARCB1	NUP188	1.116660223317413
SMARCB1	C3orf37	1.0551016181686426
SMARCB1	MAPK13	1.116660223317413
SPI1	SNORD115-6	1.3812885266674402
SPI1	GAGE8	1.3812885266674402
SPI1	DCAF8	1.3812885266674402
SPI1	MRGPRG	1.3812885266674402
SPI1	SPINT4	1.3812885266674402
SPI1	FLJ12825	1.3812885266674402
SPI1	CHKB-CPT1B	1.3812885266674402
SPI1	OR4Q3	1.3812885266674402
SPI1	DCAF4	1.3812885266674402
SPI1	LOC100133669	1.0551016181686426
SPI1	SOX17	1.3812885266674402
SPI1	C22orf32	1.0551016181686426
SPI1	GNAT3	1.3812885266674402
SPI1	NDST4	1.3812885266674402
SPI1	SNORD115-48	1.3812885266674402
SPI1	MS4A13	1.3812885266674402
SPI1	SNORD97	1.3812885266674402
SPI1	SNORA35	1.3812885266674402
SPI1	SNORA1	1.3812885266674402
SPI1	PROK1	1.0551016181686426
SPI1	TMEM8B	1.3812885266674402
SPI1	NKX2-8	1.3812885266674402
SPI1	NKX2-6	1.3812885266674402
SPI1	TSPYL1	1.3812885266674402
SPI1	ATG10	1.116660223317413
SPI1	SOX13	1.0551016181686426
SPI1	FLJ34503	1.3812885266674402
SPI1	C22orf34	1.3812885266674402
SPI1	SLC5A8	1.3812885266674402
SPI1	SPINT1	1.3812885266674402
SPI1	OPTC	1.3812885266674402
SPI1	PRR19	1.3812885266674402
SPI1	OR4K14	1.3812885266674402
SPI1	LOC441046	1.0551016181686426
SPI1	PADI1	1.3812885266674402
SPI1	SNORD82	1.3812885266674402
SPI1	SPANXA2	1.3812885266674402
SPI1	FLG	1.116660223317413
SPI1	PRR21	1.3812885266674402
SPI1	KRTAP27-1	1.3812885266674402
SPI1	LOC100169752	1.3812885266674402
SPI1	LYPD1	1.3812885266674402
SPI1	TPRG1L	1.3812885266674402
SPI1	PLA2G3	1.0551016181686426
SPI1	LOC731779	1.3812885266674402
SPI1	ADH7	1.3812885266674402
SPI1	SLC5A2	1.3812885266674402
SPI1	ADAM5P	1.3812885266674402
SPI1	MEG8	1.3812885266674402
SPI1	SKA1	1.3812885266674402
SPI1	SNORA5C	1.3812885266674402
SPI1	C3	1.3812885266674402
SPI1	OR5M11	1.3812885266674402
SPI1	C7	1.3812885266674402
SPI1	GALR2	1.3812885266674402
SPI1	SCGB1D2	1.3812885266674402
SPI1	HAO1	1.0551016181686426
SPI1	FZD1	1.3812885266674402
SPI1	LRRC37A3	1.0551016181686426
SPI1	C10orf53	1.3812885266674402
SPI1	OR5P2	1.3812885266674402
SPI1	GRIN2B	1.3812885266674402
SPI1	KIAA0391	1.116660223317413
SPI1	LOC285692	1.3812885266674402
SPI1	PGA4	1.3812885266674402
SPI1	FAM123C	1.3812885266674402
SPI1	CYP2C8	1.3812885266674402
SPI1	FAM135B	1.3812885266674402
SPI1	GJB1	1.3812885266674402
SPI1	GIPC1	1.3812885266674402
SPI1	LOC572558	1.3812885266674402
SPI1	LYPD6B	1.116660223317413
SPI1	LOC149620	1.3812885266674402
SPI1	HOXD3	1.3812885266674402
SPI1	SNORA46	1.3812885266674402
SPI1	BTG4	1.3812885266674402
SPI1	STAG3L3	1.0551016181686426
SPI1	LOC285627	1.3812885266674402
SPI1	IL1F8	1.3812885266674402
SPI1	LOC285501	1.3812885266674402
SPI1	IL1F9	1.3812885266674402
SPI1	FMN2	1.3812885266674402
SPI1	PYGL	1.3812885266674402
SPI1	HOXC12	1.3812885266674402
SPI1	SERPINA5	1.3812885266674402
SPI1	DEC1	1.3812885266674402
SPI1	TRIM9	1.3812885266674402
SPI1	C14orf178	1.3812885266674402
SPI1	OR6Y1	1.3812885266674402
SPI1	RBPMS2	1.3812885266674402
SPI1	TEAD2	1.3812885266674402
SPI1	LOC284788	1.3812885266674402
SPI1	TSPY4	1.3812885266674402
SPI1	TMEM177	1.3812885266674402
SPI1	C11orf86	1.3812885266674402
SPI1	SLC7A5	1.3812885266674402
SPI1	MBLAC1	1.3812885266674402
SPI1	MMP13	1.3812885266674402
SPI1	C14orf165	1.0551016181686426
SPI1	PAX7	1.3812885266674402
SPI1	TMSB15A	1.3812885266674402
SPI1	C13orf26	1.3812885266674402
SPI1	PIGF	1.116660223317413
SPI1	SNORA66	1.3812885266674402
SPI1	SNORA70C	1.3812885266674402
SPI1	KRTAP25-1	1.3812885266674402
SPI1	RNASEL	1.3812885266674402
SPI1	ASCL4	1.3812885266674402
SPI1	OR10H3	1.3812885266674402
SPI1	LOC339674	1.3812885266674402
SPI1	LOC284798	1.3812885266674402
SPI1	HOXD12	1.3812885266674402
SPI1	HOXD11	1.3812885266674402
SPI1	OVCA2	1.3812885266674402
SPI1	OR1M1	1.3812885266674402
SPI1	NCRNA00160	1.3812885266674402
SPI1	OR4S2	1.3812885266674402
SPI1	PRAMEF6	1.3812885266674402
SPI1	NCRNA00158	1.3812885266674402
SPI1	PRAMEF4	1.3812885266674402
SPI1	TCOF1	1.3812885266674402
SPI1	PRAMEF1	1.3812885266674402
SPI1	PATE3	1.3812885266674402
SPI1	SLC17A5	1.3812885266674402
SPI1	AGR3	1.3812885266674402
SPI1	C7orf34	1.3812885266674402
SPI1	KRTAP2-1	1.3812885266674402
SPI1	LOC145474	1.3812885266674402
SPI1	CCL16	1.3812885266674402
SPI1	PRAMEF8	1.3812885266674402
SPI1	CCL15	1.3812885266674402
SPI1	LOC29034	1.3812885266674402
SPI1	C4orf7	1.3812885266674402
SPI1	MBD4	1.3812885266674402
SPI1	ZNF462	1.0551016181686426
SPI1	GSX1	1.3812885266674402
SPI1	GSX2	1.3812885266674402
SPI1	LOC284688	1.3812885266674402
SPI1	C22orf13	1.3812885266674402
SPI1	FAM104A	1.1017971915988418
SPI1	LOC651250	1.116660223317413
SPI1	OR5T3	1.3812885266674402
SPI1	FABP1	1.3812885266674402
SPI1	OR5T1	1.3812885266674402
SPI1	C11orf64	1.3812885266674402
SPI1	NCRNA00029	1.3812885266674402
SPI1	NCRNA00028	1.3812885266674402
SPI1	LOC653544	1.3812885266674402
SPI1	OR10G8	1.3812885266674402
SPI1	C18orf18	1.3812885266674402
SPI1	FAM25A	1.0551016181686426
SPI1	RASL11A	1.116660223317413
SPI1	HP	1.3812885266674402
SPI1	DEFB1	1.3812885266674402
SPI1	GUCA1C	1.3812885266674402
SPI1	IL1RAP	1.3812885266674402
SPI1	FGF3	1.3812885266674402
SPI1	FGF4	1.3812885266674402
SPI1	SNAR-G1	1.3812885266674402
SPI1	SALL1	1.3812885266674402
SPI1	SALL4	1.3812885266674402
SPI1	C18orf21	1.3812885266674402
SPI1	LOC157627	1.3812885266674402
SPI1	SSX2	1.3812885266674402
SPI1	IGFBP1	1.3812885266674402
SPI1	LOC100144603	1.3812885266674402
SPI1	LOC100144604	1.3812885266674402
SPI1	HRNBP3	1.3812885266674402
SPI1	LOC255167	1.3812885266674402
SPI1	IFNA17	1.3812885266674402
SPI1	DEFB114	1.3812885266674402
SPI1	DEFB112	1.3812885266674402
SPI1	ZBTB34	1.116660223317413
SPI1	SNORD114-10	1.3812885266674402
SPI1	ADAM6	1.3812885266674402
SPI1	OR4X1	1.3812885266674402
SPI1	LY6D	1.3812885266674402
SPI1	ZNF559	1.3812885266674402
SPI1	TSSK4	1.3812885266674402
SPI1	LY6H	1.3812885266674402
SPI1	C20orf94	1.3812885266674402
SPI1	S100A8	1.3812885266674402
SPI1	S100A7	1.3812885266674402
SPI1	GRIA2	1.3812885266674402
SPI1	ZNF671	1.116660223317413
SPI1	CUL7	1.116660223317413
SPI1	CD151	1.116660223317413
SPI1	LOC284632	1.3812885266674402
SPI1	HBII-52-45	1.3812885266674402
SPI1	C6orf27	1.3812885266674402
SPI1	CT45A1	1.3812885266674402
SPI1	LOC728410	1.3812885266674402
SPI1	KHDC1	1.3812885266674402
SPI1	GPR116	1.3812885266674402
SPI1	SMYD2	1.3812885266674402
SPI1	DRD1	1.3812885266674402
SPI1	KRTAP4-1	1.3812885266674402
SPI1	NDP	1.3812885266674402
SPI1	DSCR8	1.3812885266674402
SPI1	IFNA21	1.3812885266674402
SPI1	ANKRD34C	1.3812885266674402
SPI1	CCDC12	1.3812885266674402
SPI1	FANCL	1.116660223317413
SPI1	LOC285735	1.3812885266674402
SPI1	AMBN	1.3812885266674402
SPI1	KRTAP4-5	1.3812885266674402
SPI1	INADL	1.0551016181686426
SPI1	C9orf93	1.116660223317413
SPI1	C14orf23	1.116660223317413
SPI1	LOC100128675	1.3812885266674402
SPI1	TBXAS1	1.3812885266674402
SPI1	NF1	1.0551016181686426
SPI1	PIN1	1.3812885266674402
SPI1	LHX5	1.3812885266674402
SPI1	LCN6	1.3812885266674402
SPI1	RNF187	1.3812885266674402
SPI1	ZNF512B	1.116660223317413
SPI1	GADL1	1.0551016181686426
SPI1	CELF5	1.3812885266674402
SPI1	LOC644669	1.3812885266674402
SPI1	PIK3C2G	1.3812885266674402
SPI1	NCRNA00099	1.3812885266674402
SPI1	CNGA2	1.3812885266674402
SPI1	UGT2A3	1.3812885266674402
SPI1	CNGA3	1.3812885266674402
SPI1	DGCR6	1.116660223317413
SPI1	UGT2A1	1.3812885266674402
SPI1	SPANXC	1.3812885266674402
SPI1	INSL5	1.3812885266674402
SPI1	MSMB	1.3812885266674402
SPI1	OR7A17	1.3812885266674402
SPI1	LOC283856	1.3812885266674402
SPI1	VBP1	1.3812885266674402
SPI1	HTR3C	1.3812885266674402
SPI1	HTR3D	1.3812885266674402
SPI1	KRTAP19-1	1.3812885266674402
SPI1	TFIP11	1.3812885266674402
SPI1	KRTAP19-3	1.3812885266674402
SPI1	KRTAP19-6	1.3812885266674402
SPI1	TMED10P1	1.3812885266674402
SPI1	LOC100130522	1.3812885266674402
SPI1	CXorf22	1.3812885266674402
SPI1	OR56A5	1.3812885266674402
SPI1	ACPT	1.3812885266674402
SPI1	LOC400696	1.3812885266674402
SPI1	SMCR5	1.3812885266674402
SPI1	FOXD4L3	1.3812885266674402
SPI1	C9orf72	1.3812885266674402
SPI1	CNTNAP4	1.3812885266674402
SPI1	C1S	1.3812885266674402
SPI1	PLUNC	1.3812885266674402
SPI1	LRTM1	1.3812885266674402
SPI1	C2orf81	1.3812885266674402
SPI1	FSCB	1.3812885266674402
SPI1	CACNG7	1.3812885266674402
SPI1	SLITRK2	1.0551016181686426
SPI1	C14orf53	1.3812885266674402
SPI1	DNAJB3	1.3812885266674402
SPI1	OR6C68	1.3812885266674402
SPI1	TRIM47	1.3812885266674402
SPI1	C4orf11	1.3812885266674402
SPI1	MEST	1.3812885266674402
SPI1	C9orf40	1.116660223317413
SPI1	LOC100132831	1.3812885266674402
SPI1	C1orf104	1.3812885266674402
SPI1	C1orf122	1.3812885266674402
SPI1	FKRP	1.116660223317413
SPI1	KRTAP6-3	1.3812885266674402
SPI1	CXorf48	1.3812885266674402
SPI1	LOC100128239	1.3812885266674402
SPI1	SYT17	1.1017971915988418
SPI1	SYT10	1.3812885266674402
SPI1	LOC154449	1.3812885266674402
SPI1	SLC25A33	1.3812885266674402
SPI1	PRINS	1.3812885266674402
SPI1	AQP7	1.3812885266674402
SPI1	C2orf60	1.3812885266674402
SPI1	AQP2	1.3812885266674402
SPI1	AADACL4	1.3812885266674402
SPI1	C2orf69	1.116660223317413
