Regulator	Target	MI
FOXA1	DNAJB8	1.2341113432738555
CCNT2	SENP7	1.0551016181686426
CCNT2	PAN3	1.0551016181686426
CCNT2	KIAA1012	1.0551016181686426
CCNT2	TNS3	1.0551016181686426
SMARCB1	ARG1	1.0551016181686426
SMARCB1	ZNF639	1.116660223317413
SMARCB1	MTERFD1	1.0551016181686426
SMARCB1	PABPC4	1.1649599709324299
SMARCB1	TMEM208	1.0551016181686426
SMARCB1	LZTR1	1.0551016181686426
SMARCB1	PHRF1	1.0551016181686426
SPI1	SNORD115-6	1.0551016181686426
SPI1	SNORD115-8	1.3812885266674402
SPI1	SNORD115-9	1.3812885266674402
SPI1	GAGE8	1.3812885266674402
SPI1	LOC284578	1.3812885266674402
SPI1	FLJ12825	1.3812885266674402
SPI1	OR4Q3	1.3812885266674402
SPI1	NBLA00301	1.3812885266674402
SPI1	DKFZP686I15217	1.3812885266674402
SPI1	TDO2	1.3812885266674402
SPI1	NDST4	1.3812885266674402
SPI1	SNORD115-48	1.0551016181686426
SPI1	NKX1-2	1.3812885266674402
SPI1	SNORA35	1.3812885266674402
SPI1	TMEM8B	1.3812885266674402
SPI1	FLJ45983	1.3812885266674402
SPI1	OR4P4	1.3812885266674402
SPI1	ZNF12	1.0551016181686426
SPI1	LOC643923	1.3812885266674402
SPI1	AAA1	1.3812885266674402
SPI1	OPTC	1.3812885266674402
SPI1	OR4K15	1.3812885266674402
SPI1	RBP1	1.3812885266674402
SPI1	LOC100128292	1.3812885266674402
SPI1	SPARCL1	1.3812885266674402
SPI1	PADI1	1.3812885266674402
SPI1	TTYH3	1.3812885266674402
SPI1	HHLA1	1.3812885266674402
SPI1	TTYH1	1.3812885266674402
SPI1	KRTAP27-1	1.3812885266674402
SPI1	LOC285205	1.3812885266674402
SPI1	DAZ3	1.3812885266674402
SPI1	SLC5A2	1.3812885266674402
SPI1	ADAM5P	1.3812885266674402
SPI1	LOC643955	1.3812885266674402
SPI1	TEX28	1.3812885266674402
SPI1	SNORD115-30	1.0551016181686426
SPI1	C3	1.0551016181686426
SPI1	HPX	1.3812885266674402
SPI1	SCGB1D2	1.3812885266674402
SPI1	KCNQ1OT1	1.3812885266674402
SPI1	NCRNA00113	1.3812885266674402
SPI1	KCNMB2	1.3812885266674402
SPI1	TIPARP	1.3812885266674402
SPI1	OR4N4	1.0551016181686426
SPI1	OR4N2	1.3812885266674402
SPI1	NBPF22P	1.3812885266674402
SPI1	GRIN2B	1.0551016181686426
SPI1	PGA4	1.0551016181686426
SPI1	CS	1.3812885266674402
SPI1	SNORD115-35	1.3812885266674402
SPI1	LOC400794	1.3812885266674402
SPI1	NOX4	1.3812885266674402
SPI1	OR10C1	1.3812885266674402
SPI1	SNORA46	1.3812885266674402
SPI1	HRG	1.3812885266674402
SPI1	DMRTC1B	1.3812885266674402
SPI1	SFTA3	1.3812885266674402
SPI1	OR10J5	1.3812885266674402
SPI1	SNAR-I	1.3812885266674402
SPI1	WFIKKN1	1.3812885266674402
SPI1	WFIKKN2	1.3812885266674402
SPI1	LRRC4	1.116660223317413
SPI1	LRRC3	1.3812885266674402
SPI1	FRG2B	1.3812885266674402
SPI1	HOXC13	1.3812885266674402
SPI1	SNAR-H	1.3812885266674402
SPI1	HOXC12	1.3812885266674402
SPI1	HOXC11	1.3812885266674402
SPI1	LRRC31	1.3812885266674402
SPI1	GPRC6A	1.3812885266674402
SPI1	TCP11L2	1.0551016181686426
SPI1	POM121L1P	1.3812885266674402
SPI1	FGFBP1	1.3812885266674402
SPI1	RBMY1F	1.3812885266674402
SPI1	GPR37	1.3812885266674402
