Regulator	Target	MI
ATF1	DLEU1	1.3812885266674402
ATF1	HNRNPH3	1.3812885266674402
ATF1	RPL28	1.0551016181686426
FOXA1	C1orf51	1.1017971915988418
FOXA1	REG1A	1.0551016181686426
FOXA1	TMEM91	1.1649599709324299
FOXA1	IGF1R	1.0551016181686426
FOXA1	PPP3CA	1.1017971915988418
FOXA1	CAPNS1	1.1017971915988418
FOXA1	FAM174B	1.0551016181686426
FOXA1	DUOXA2	1.0551016181686426
FOXA1	PBK	1.0551016181686426
FOXA1	ZNF689	1.1649599709324299
FOXA1	INSL3	1.1649599709324299
FOXA1	ZNF764	1.1649599709324299
FOXA1	TMC1	1.1017971915988418
FOXA1	JAGN1	1.1017971915988418
FOXA1	PRKAB2	1.1649599709324299
FOXA1	TFE3	1.1017971915988418
FOXA1	IL19	1.1649599709324299
FOXA1	KCNK17	1.1017971915988418
FOXA1	PDCD1LG2	1.1017971915988418
FOXA1	LGALS9B	1.1017971915988418
FOXA1	RNF123	1.1649599709324299
FOXA1	MRPS9	1.0551016181686426
FOXA1	CREB1	1.1017971915988418
FOXA1	NCRNA00167	1.1649599709324299
FOXA1	HIST1H2BF	1.2341113432738557
FOXA1	PADI2	1.1017971915988418
FOXA1	VAMP5	1.1017971915988418
FOXA1	CLEC4G	1.1649599709324299
FOXA1	SERPINB10	1.1649599709324299
FOXA1	COX19	1.1017971915988418
FOXA1	OCA2	1.1649599709324299
FOXA1	ENPEP	1.3812885266674402
FOXA1	KDM3A	1.1649599709324299
FOXA1	CCDC25	1.0551016181686426
FOXA1	TULP4	1.1017971915988418
FOXA1	ZNF24	1.1017971915988418
FOXA1	OR2T33	1.1649599709324299
FOXA1	ATXN3	1.1649599709324299
FOXA1	DCAF17	1.1649599709324299
FOXA1	KLC2	1.1017971915988418
FOXA1	ARL13B	1.1649599709324299
FOXA1	PNMA1	1.1017971915988418
FOXA1	CECR6	1.1017971915988418
FOXA1	ADAMTS18	1.1649599709324299
FOXA1	TAF1A	1.3812885266674402
FOXA1	SCN3A	1.1649599709324299
FOXA1	KCNJ2	1.1017971915988418
FOXA1	FLJ42627	1.1649599709324299
FOXA1	LUM	1.0551016181686426
FOXA1	NMNAT2	1.1017971915988418
FOXA1	ELL2	1.1017971915988418
FOXA1	KISS1	1.1017971915988418
FOXA1	C5orf33	1.1017971915988418
FOXA1	SNRNP40	1.1017971915988418
FOXA1	C9orf131	1.1649599709324299
FOXA1	C17orf64	1.0551016181686426
FOXA1	TNIP2	1.116660223317413
FOXA1	FAM187B	1.1649599709324299
FOXA1	RAB18	1.1649599709324299
FOXA1	RAET1L	1.1649599709324299
FOXA1	FAS	1.1649599709324299
FOXA1	SPATS2L	1.1649599709324299
FOXA1	DYNLRB1	1.1017971915988418
FOXA1	ITM2B	1.1017971915988418
ATF2	C17orf65	1.0551016181686426
ATF2	TPK1	1.1017971915988418
ATF2	SCARNA17	1.1649599709324299
ATF2	EIF4B	1.116660223317413
ATF2	SDHAP2	1.3812885266674402
CCNT2	OTUD4	1.3812885266674402
CCNT2	FAM49B	1.1017971915988418
CCNT2	LOC375190	1.0551016181686426
CCNT2	SLC35B1	1.0551016181686426
CCNT2	AMAC1	1.0551016181686426
CCNT2	CAPN7	1.0551016181686426
CCNT2	TUBB1	1.1017971915988418
CCNT2	C3AR1	1.1017971915988418
CCNT2	ZNF569	1.0551016181686426
CCNT2	UBASH3A	1.0551016181686426
CCNT2	ZFP161	1.1017971915988418
CCNT2	PHLDA2	1.1017971915988418
CCNT2	SNORD95	1.1017971915988418
CCNT2	TCP10	1.1649599709324299
CCNT2	ACSL6	1.1649599709324299
CCNT2	WDR78	1.0551016181686426
CCNT2	OR10AD1	1.3812885266674402
CCNT2	MAPK8IP1	1.0551016181686426
