Regulator	Target	MI
ATF1	SLC48A1	1.2341113432738555
ATF1	PRIM2	1.116660223317413
ATF1	GYPA	1.3812885266674402
ATF1	UHRF1BP1L	1.3812885266674402
ATF1	ABCB6	1.3812885266674402
ATF1	CLSTN3	1.1017971915988418
ATF1	PARS2	1.0551016181686426
ATF1	HIST1H2BK	1.0551016181686426
ATF1	PREP	1.0551016181686426
ATF1	CDKN2AIP	1.0551016181686426
ATF1	TBC1D3G	1.0551016181686426
ATF1	LOC100130933	1.3812885266674402
ATF1	SLITRK5	1.0551016181686426
ATF1	FLNB	1.0551016181686426
ATF1	HRAS	1.1017971915988418
ATF1	C14orf159	1.116660223317413
ATF1	TIGD5	1.0551016181686426
ATF1	EYA1	1.2341113432738555
ATF1	BTBD16	1.3812885266674402
ATF1	MST1	1.3812885266674402
ATF1	ZNF33B	1.1017971915988418
ATF1	ITPKB	1.1017971915988418
ATF1	C21orf49	1.116660223317413
ATF1	BIN1	1.1017971915988418
ATF1	ALDH1A1	1.1017971915988418
ATF1	CDH11	1.1017971915988418
ATF1	GNB1L	1.1017971915988418
ATF1	TUBGCP4	1.3812885266674402
ATF1	ZSCAN2	1.0551016181686426
ATF1	BCAT2	1.0551016181686426
ATF1	C6orf155	1.0551016181686426
FOXA1	LOH12CR2	1.2341113432738557
FOXA1	HIST1H2BO	1.2341113432738557
FOXA1	TMEM202	1.2341113432738557
FOXA1	TMF1	1.2341113432738557
FOXA1	ZNF382	1.2341113432738557
FOXA1	DPY19L2P4	1.2341113432738557
FOXA1	USH1C	1.2341113432738557
FOXA1	SLC2A2	1.2341113432738557
FOXA1	TRIP4	1.2341113432738557
FOXA1	ASS1	1.2341113432738555
FOXA1	GLB1L3	1.2341113432738555
ATF2	C1orf133	1.116660223317413
ATF2	MAOA	1.2341113432738557
ATF2	NPRL3	1.2341113432738557
ATF2	RTKN2	1.116660223317413
ATF2	SETD7	1.0551016181686426
ATF2	CYorf15A	1.2341113432738557
ATF2	WDR63	1.3812885266674402
ATF2	C8orf85	1.2341113432738557
ATF2	HPR	1.1649599709324299
ATF2	OR2T33	1.116660223317413
ATF2	MUDENG	1.0551016181686426
ATF2	SOCS2	1.2341113432738555
ATF2	DSTYK	1.1017971915988418
ATF2	KIAA0652	1.3812885266674402
ATF2	LCN12	1.0551016181686426
ATF2	NXF5	1.2341113432738557
ATF2	NR2C2AP	1.3812885266674402
ATF2	FARP2	1.2341113432738557
ATF2	BUD31	1.2341113432738555
ATF2	ZBTB38	1.3812885266674402
ATF2	CCDC59	1.116660223317413
ATF2	EXOC6B	1.3812885266674402
ATF2	BRAF	1.2341113432738555
ATF2	CHD1L	1.3812885266674402
ATF2	UBE2A	1.1017971915988418
ATF2	MEIS2	1.2341113432738555
ATF2	PGF	1.2341113432738557
ATF2	BMP3	1.116660223317413
ATF2	VGF	1.3812885266674402
ATF2	TMEM116	1.2341113432738555
ATF2	CSDE1	1.1017971915988418
ATF2	GUF1	1.3812885266674402
ATF2	CD48	1.2341113432738555
ATF2	CDK14	1.0551016181686426
SMARCB1	LRRC14B	1.0551016181686426
SMARCB1	PGLYRP3	1.0551016181686426
SMARCB1	SPI1	1.0551016181686426
SMARCB1	PWWP2B	1.0551016181686426
SMARCB1	GAGE8	1.0551016181686426
SMARCB1	LOC284578	1.0551016181686426
SMARCB1	SPINT4	1.0551016181686426
SMARCB1	FLJ12825	1.0551016181686426
SMARCB1	OR4Q3	1.0551016181686426
SMARCB1	NBLA00301	1.0551016181686426
SMARCB1	NDST4	1.0551016181686426
SMARCB1	PWWP2A	1.0551016181686426
SMARCB1	C14orf70	1.0551016181686426
SMARCB1	HEMK1	1.3812885266674402
SMARCB1	ESX1	1.0551016181686426
SMARCB1	HDGFRP2	1.0551016181686426
SMARCB1	OR4P4	1.0551016181686426
SMARCB1	ISL1	1.0551016181686426
SMARCB1	SCO1	1.0551016181686426
SMARCB1	SPINT1	1.0551016181686426
SMARCB1	OPTC	1.0551016181686426
SMARCB1	C14orf86	1.0551016181686426
SMARCB1	UNC50	1.3812885266674402
SMARCB1	LOC100128292	1.0551016181686426
SMARCB1	LOC643719	1.0551016181686426
SMARCB1	LYPD1	1.0551016181686426
SMARCB1	TPRG1L	1.0551016181686426
SMARCB1	ADAM5P	1.0551016181686426
SMARCB1	TEX28	1.0551016181686426
SMARCB1	SCGB1D2	1.0551016181686426
SMARCB1	KCNQ1OT1	1.0551016181686426
