Regulator	Target	MI
ATF1	CCDC39	1.1017971915988418
ATF1	KDM5D	1.1017971915988418
ATF1	CRADD	1.1017971915988418
ATF1	ARHGEF38	1.0551016181686426
ATF1	UBE3A	1.1017971915988418
ATF1	HIF1A	1.1017971915988418
ATF1	CNN2	1.1649599709324299
ATF1	ZMAT1	1.1017971915988418
ATF1	BBS12	1.116660223317413
ATF1	NSD1	1.1017971915988418
ATF1	ACOT1	1.0551016181686426
ATF1	SMN1	1.1017971915988418
ATF1	C20orf200	1.1017971915988418
FOXA1	CSDE1	1.1017971915988418
FOXA1	SEMA6D	1.3812885266674402
FOXA1	RAB24	1.116660223317413
FOXA1	GPR64	1.116660223317413
FOXA1	PRKCZ	1.3812885266674402
ATF2	C2orf34	1.3812885266674402
ATF2	EIF5A	1.1017971915988418
ATF2	TES	1.1017971915988418
ATF2	PERP	1.1017971915988418
ATF2	CEP164	1.1017971915988418
ATF2	DHX58	1.1017971915988418
ATF2	LOC388692	1.1017971915988418
ATF2	DYNLRB1	1.2341113432738555
ATF2	CDKL1	1.1017971915988418
ATF2	MUTYH	1.116660223317413
CCNT2	YWHAE	1.0551016181686426
SMARCB1	WDR49	1.0551016181686426
SMARCB1	HMX3	1.0551016181686426
SMARCB1	KCNG3	1.0551016181686426
SMARCB1	TPSB2	1.0551016181686426
SMARCB1	TRAF3IP3	1.0551016181686426
SMARCB1	P704P	1.0551016181686426
SMARCB1	KCNC2	1.0551016181686426
SMARCB1	LOC145845	1.0551016181686426
SMARCB1	HSPB8	1.0551016181686426
SMARCB1	KEAP1	1.0551016181686426
SMARCB1	CALML3	1.0551016181686426
SMARCB1	TREM2	1.0551016181686426
SMARCB1	AADACL2	1.0551016181686426
SMARCB1	REG1P	1.0551016181686426
SMARCB1	ENDOU	1.1017971915988418
SMARCB1	HMG20B	1.3812885266674402
SMARCB1	TRIM69	1.0551016181686426
SMARCB1	UTY	1.0551016181686426
SMARCB1	TPSAB1	1.0551016181686426
SMARCB1	RRP15	1.0551016181686426
SMARCB1	ARL6IP6	1.0551016181686426
SMARCB1	MEN1	1.0551016181686426
