Regulator	Target	MI
ATF1	KIAA0513	1.0551016181686426
ATF1	UBE2I	1.1649599709324299
ATF1	EIF3K	1.1649599709324299
ATF1	VGF	1.2341113432738557
ATF1	CEACAM21	1.0551016181686426
ATF1	SPDYE3	1.1017971915988418
ATF1	ZNF414	1.1649599709324299
ATF1	RHOF	1.1649599709324299
ATF1	C9orf84	1.2341113432738557
ATF1	HIST1H4F	1.1017971915988418
FOXA1	RBM27	1.1017971915988418
FOXA1	ZNF177	1.1649599709324299
FOXA1	C1orf131	1.0551016181686426
FOXA1	MCM9	1.1649599709324299
FOXA1	MLC1	1.2341113432738555
FOXA1	TMEM52	1.1649599709324299
FOXA1	ADAMTS4	1.0551016181686426
FOXA1	THTPA	1.1649599709324299
FOXA1	LOC285074	1.1649599709324299
FOXA1	CA1	1.1649599709324299
FOXA1	ZNF727	1.1649599709324299
FOXA1	ZNF407	1.1017971915988418
FOXA1	LOC149134	1.1649599709324299
FOXA1	SLC25A45	1.1649599709324299
FOXA1	UNKL	1.2341113432738557
FOXA1	LOC100286844	1.1649599709324299
FOXA1	SCN1A	1.1649599709324299
FOXA1	C9orf9	1.1649599709324299
FOXA1	ZNF485	1.1649599709324299
FOXA1	TIGD2	1.1017971915988418
FOXA1	C20orf196	1.2341113432738555
FOXA1	NAT8B	1.1649599709324299
FOXA1	TMEM150A	1.2341113432738557
FOXA1	PLA2G4D	1.2341113432738557
FOXA1	USP45	1.1017971915988418
FOXA1	DYRK1A	1.1017971915988418
FOXA1	TOMM34	1.1649599709324299
FOXA1	C2orf50	1.1017971915988418
FOXA1	ALG10	1.1649599709324299
FOXA1	DPM2	1.2341113432738557
FOXA1	POLR1D	1.1649599709324299
FOXA1	HRASLS	1.2341113432738557
FOXA1	CHST5	1.2341113432738557
FOXA1	CAMK1G	1.1649599709324299
FOXA1	ZNF157	1.1649599709324299
FOXA1	NAPB	1.1649599709324299
FOXA1	ZNF350	1.1649599709324299
FOXA1	SRCAP	1.1649599709324299
FOXA1	TAS2R43	1.1649599709324299
FOXA1	URM1	1.1649599709324299
FOXA1	CT45A3	1.1017971915988418
FOXA1	PSORS1C3	1.2341113432738557
FOXA1	SNX32	1.1017971915988418
FOXA1	EVPL	1.0551016181686426
FOXA1	ANKRD19	1.1017971915988418
FOXA1	KIAA0317	1.1017971915988418
FOXA1	ELP2P	1.1649599709324299
FOXA1	TYW1	1.2341113432738557
FOXA1	C4orf14	1.1017971915988418
FOXA1	AMELX	1.2341113432738557
FOXA1	PPIAL4D	1.1649599709324299
FOXA1	PMS1	1.1017971915988418
FOXA1	KDM4B	1.1649599709324299
FOXA1	F10	1.1649599709324299
FOXA1	HTR1F	1.1649599709324299
FOXA1	NICN1	1.1649599709324299
FOXA1	NTRK3	1.2341113432738557
FOXA1	KLHL2	1.1649599709324299
FOXA1	HIPK3	1.1017971915988418
FOXA1	LRPPRC	1.1649599709324299
FOXA1	EIF3M	1.1017971915988418
FOXA1	SCGB1A1	1.1649599709324299
FOXA1	TARM1	1.1649599709324299
FOXA1	C9orf57	1.1649599709324299
FOXA1	LOC100302401	1.2341113432738557
ATF2	C20orf132	1.1649599709324299
ATF2	CEBPA	1.2341113432738557
ATF2	CELA3A	1.1649599709324299
ATF2	GABRB1	1.1017971915988418
ATF2	KIAA0240	1.0551016181686426
ATF2	CYP4F22	1.1017971915988418
ATF2	LASS5	1.2341113432738557
ATF2	AZIN1	1.1017971915988418
ATF2	PHOX2A	1.2341113432738557
ATF2	TYMP	1.1017971915988418
ATF2	TM9SF2	1.1017971915988418
ATF2	ACER1	1.2341113432738557
ATF2	ARMC2	1.1017971915988418
ATF2	CYSLTR1	1.1017971915988418
ATF2	HIST1H4G	1.1649599709324299
ATF2	TRMT12	1.1017971915988418
ATF2	DNAJB9	1.2341113432738557
ATF2	ZSCAN12	1.1017971915988418
ATF2	OR13D1	1.1017971915988418
ATF2	SLC26A6	1.1017971915988418
ATF2	F2RL3	1.1649599709324299
ATF2	PHF19	1.1017971915988418
CCNT2	SEMA5A	1.2341113432738555
CCNT2	SUV420H2	1.116660223317413
CCNT2	ZNF451	1.2341113432738555
CCNT2	C1orf210	1.2341113432738555
CCNT2	RRP9	1.2341113432738555
CCNT2	EFEMP1	1.1649599709324299
CCNT2	AMAC1	1.3812885266674402
CCNT2	DIMT1L	1.116660223317413
CCNT2	SNORD115-48	1.2341113432738555
CCNT2	C10orf32	1.116660223317413
CCNT2	ATXN7L2	1.116660223317413
CCNT2	TTTY17B	1.2341113432738555
CCNT2	C6orf221	1.2341113432738555
CCNT2	SECISBP2	1.2341113432738555
CCNT2	FRS3	1.116660223317413
CCNT2	LEMD1	1.2341113432738555
CCNT2	PISD	1.2341113432738555
CCNT2	CLDN6	1.2341113432738555
CCNT2	FCAMR	1.2341113432738555
CCNT2	FAM185A	1.116660223317413
CCNT2	UCA1	1.0551016181686426
CCNT2	LOC441204	1.0551016181686426
CCNT2	COX17	1.1017971915988418
CCNT2	FLJ26850	1.2341113432738555
CCNT2	CT45A5	1.116660223317413
CCNT2	TMTC4	1.2341113432738557
CCNT2	C3	1.2341113432738555
CCNT2	ALDH3B2	1.1649599709324299
CCNT2	NKAIN4	1.2341113432738555
CCNT2	NEUROD4	1.2341113432738555
CCNT2	SNX2	1.2341113432738557
CCNT2	C7	1.2341113432738555
CCNT2	DPH1	1.2341113432738555
CCNT2	GPR116	1.2341113432738555
CCNT2	RALGDS	1.116660223317413
CCNT2	CREBBP	1.116660223317413
CCNT2	SUGT1P1	1.116660223317413
CCNT2	CBX2	1.2341113432738555
CCNT2	TFPI2	1.2341113432738555
CCNT2	UPF3B	1.116660223317413
CCNT2	NR2F2	1.1649599709324299
CCNT2	SYT8	1.116660223317413
CCNT2	COQ6	1.2341113432738555
CCNT2	TADA3	1.116660223317413
CCNT2	FAT1	1.1017971915988418
CCNT2	LOC256880	1.2341113432738555
CCNT2	C8ORFK29	1.2341113432738555
CCNT2	CCNJL	1.0551016181686426
CCNT2	ZNF134	1.2341113432738555
CCNT2	ABCD4	1.2341113432738555
CCNT2	GPSM1	1.2341113432738555
CCNT2	INVS	1.2341113432738555
CCNT2	RNPEPL1	1.116660223317413
CCNT2	STAG3L4	1.2341113432738555
CCNT2	LOC284379	1.2341113432738555
CCNT2	DDX43	1.116660223317413
CCNT2	ZC3H8	1.116660223317413
CCNT2	ADAMTSL1	1.1017971915988418
CCNT2	DUSP12	1.116660223317413
CCNT2	LRRTM3	1.2341113432738555
CCNT2	C11orf92	1.2341113432738555
CCNT2	C15orf42	1.2341113432738557
CCNT2	CNGA3	1.2341113432738555
CCNT2	OR4D6	1.2341113432738555
CCNT2	MYST4	1.116660223317413
CCNT2	RFPL2	1.1649599709324299
CCNT2	DENND2A	1.2341113432738557
CCNT2	GPX5	1.2341113432738555
CCNT2	C3orf1	1.116660223317413
CCNT2	HEXDC	1.2341113432738555
CCNT2	INMT	1.2341113432738555
CCNT2	CXorf23	1.2341113432738555
CCNT2	MATN1	1.2341113432738555
CCNT2	CLDN16	1.2341113432738555
CCNT2	FOXD4L3	1.2341113432738555
CCNT2	C12orf10	1.2341113432738555
CCNT2	RPL29P2	1.116660223317413
CCNT2	ENG	1.2341113432738555
CCNT2	LUZP2	1.2341113432738555
CCNT2	SSNA1	1.2341113432738555
CCNT2	SEMA3G	1.1017971915988418
CCNT2	ASB11	1.2341113432738555
CCNT2	LYPLA2P1	1.1649599709324299
CCNT2	TMEM65	1.2341113432738557
CCNT2	USP1	1.2341113432738555
CCNT2	CIZ1	1.116660223317413
CCNT2	HNRNPA3	1.2341113432738557
CCNT2	KLHL3	1.2341113432738555
CCNT2	LOC100128239	1.2341113432738555
CCNT2	TMEM60	1.116660223317413
CCNT2	HILS1	1.2341113432738555
CCNT2	TM9SF1	1.2341113432738555
CCNT2	CROCC	1.2341113432738555
CCNT2	C6orf138	1.116660223317413
CCNT2	KRTAP21-1	1.2341113432738555
CCNT2	SEC24C	1.3812885266674402
CCNT2	CUL4B	1.116660223317413
SMARCB1	CREBZF	1.0551016181686426
SMARCB1	C19orf42	1.0551016181686426
SMARCB1	CCDC149	1.0551016181686426
SMARCB1	C7orf50	1.0551016181686426
SMARCB1	GEMIN8P4	1.0551016181686426
SMARCB1	FBXO25	1.0551016181686426
SMARCB1	MGC21881	1.3812885266674402
SMARCB1	PTEN	1.0551016181686426
SMARCB1	GRAMD4	1.0551016181686426
SMARCB1	MYLK	1.0551016181686426
SMARCB1	NOL6	1.0551016181686426
SMARCB1	RASGRP3	1.0551016181686426
SMARCB1	ATXN3L	1.2341113432738557
SMARCB1	KRTCAP3	1.0551016181686426
SMARCB1	DHRSX	1.3812885266674402
SMARCB1	AP1G2	1.3812885266674402
SMARCB1	UROD	1.0551016181686426
SMARCB1	PRDM16	1.0551016181686426
SMARCB1	ZXDC	1.0551016181686426
SMARCB1	FAM3A	1.0551016181686426
SMARCB1	C15orf62	1.3812885266674402
SMARCB1	C17orf95	1.0551016181686426
SMARCB1	ZNF304	1.0551016181686426
SMARCB1	CCNL2	1.0551016181686426
SMARCB1	NEK8	1.0551016181686426
SMARCB1	ZNF584	1.0551016181686426
SMARCB1	NUDC	1.0551016181686426
SMARCB1	LOC550112	1.3812885266674402
SMARCB1	ZBTB38	1.2341113432738557
SMARCB1	KLHL22	1.3812885266674402
SMARCB1	MTHFR	1.0551016181686426
SMARCB1	TBR1	1.2341113432738557
SMARCB1	ARFGAP3	1.0551016181686426
SMARCB1	FLI1	1.2341113432738557
SMARCB1	MGAT4C	1.0551016181686426
SMARCB1	LOC100190939	1.0551016181686426
SMARCB1	SCNN1B	1.0551016181686426
SMARCB1	ZNF238	1.0551016181686426
SMARCB1	MAN1B1	1.0551016181686426
SMARCB1	NAT9	1.0551016181686426
SMARCB1	SLC25A4	1.0551016181686426
SMARCB1	VPS25	1.3812885266674402
SMARCB1	BET1	1.0551016181686426
SMARCB1	SNORD61	1.0551016181686426
SPI1	PWWP2B	1.0551016181686426
SPI1	GAGE8	1.0551016181686426
SPI1	LOC284578	1.0551016181686426
SPI1	SPINT4	1.0551016181686426
SPI1	FLJ12825	1.0551016181686426
SPI1	OR4Q3	1.0551016181686426
SPI1	NBLA00301	1.0551016181686426
SPI1	LOC134466	1.0551016181686426
SPI1	NDST4	1.0551016181686426
SPI1	C14orf70	1.0551016181686426
SPI1	TTTY17B	1.0551016181686426
SPI1	TTTY17A	1.0551016181686426
SPI1	FAM19A3	1.0551016181686426
SPI1	SECISBP2	1.0551016181686426
SPI1	OR4P4	1.0551016181686426
SPI1	ZNF12	1.0551016181686426
SPI1	LOC284100	1.0551016181686426
SPI1	SCO1	1.3812885266674402
SPI1	OPTC	1.3812885266674402
SPI1	C14orf86	1.3812885266674402
SPI1	LOC100128292	1.0551016181686426
SPI1	GTSF1	1.3812885266674402
SPI1	LYPD1	1.0551016181686426
SPI1	TPRG1L	1.0551016181686426
SPI1	PLA2G5	1.3812885266674402
SPI1	ADAM5P	1.0551016181686426
SPI1	TEX28	1.0551016181686426
SPI1	ADAMTS15	1.116660223317413
SPI1	EPB41L5	1.116660223317413
SPI1	SCGB1D2	1.0551016181686426
SPI1	ADAMTS18	1.0551016181686426
SPI1	KCNQ1OT1	1.0551016181686426
SPI1	SCGB1D4	1.0551016181686426
SPI1	A2BP1	1.3812885266674402
SPI1	BTBD17	1.0551016181686426
SPI1	BTBD18	1.0551016181686426
SPI1	TIPARP	1.3812885266674402
SPI1	OR4N5	1.0551016181686426
SPI1	OR4N4	1.3812885266674402
SPI1	OR4N2	1.0551016181686426
SPI1	NBPF22P	1.0551016181686426
SPI1	LOC606724	1.116660223317413
SPI1	PGA4	1.3812885266674402
SPI1	F13B	1.0551016181686426
SPI1	HYOU1	1.1017971915988418
SPI1	SFTA2	1.0551016181686426
SPI1	LOC440173	1.0551016181686426
SPI1	CSDAP1	1.3812885266674402
SPI1	LOC92973	1.0551016181686426
SPI1	FRG2B	1.0551016181686426
SPI1	HOXC13	1.0551016181686426
SPI1	HOXC12	1.0551016181686426
SPI1	ANXA8L2	1.3812885266674402
SPI1	MMP27	1.3812885266674402
SPI1	OR52B4	1.3812885266674402
SPI1	TCP11L2	1.0551016181686426
SPI1	CSN1S1	1.0551016181686426
SPI1	POM121L1P	1.0551016181686426
SPI1	ZNF487	1.0551016181686426
SPI1	IFT140	1.0551016181686426
SPI1	CSN1S2A	1.0551016181686426
SPI1	TEX15	1.0551016181686426
SPI1	SLC39A14	1.0551016181686426
SPI1	SLC7A4	1.116660223317413
SPI1	SLC7A5	1.0551016181686426
SPI1	TMEFF1	1.0551016181686426
SPI1	OR52A4	1.3812885266674402
SPI1	PPARA	1.0551016181686426
SPI1	ERGIC2	1.0551016181686426
SPI1	SAMD5	1.0551016181686426
SPI1	KRTAP25-1	1.0551016181686426
SPI1	SAMD7	1.0551016181686426
SPI1	SAMD8	1.0551016181686426
SPI1	SPESP1	1.116660223317413
SPI1	CRCT1	1.0551016181686426
SPI1	DLST	1.0551016181686426
SPI1	LOC285401	1.3812885266674402
SPI1	SNX32	1.2341113432738557
SPI1	KCNA7	1.0551016181686426
SPI1	SLC7A1	1.0551016181686426
SPI1	EGFR	1.116660223317413
SPI1	SLC7A2	1.0551016181686426
SPI1	OR4S2	1.0551016181686426
SPI1	OR4S1	1.0551016181686426
SPI1	LOC643763	1.0551016181686426
SPI1	PABPC1P2	1.3812885266674402
SPI1	C4orf7	1.0551016181686426
SPI1	MBD3	1.3812885266674402
SPI1	MBD4	1.0551016181686426
SPI1	ODAM	1.0551016181686426
SPI1	MBD1	1.0551016181686426
SPI1	BBOX1	1.0551016181686426
SPI1	UNCX	1.0551016181686426
SPI1	SNX20	1.0551016181686426
SPI1	LOC653545	1.3812885266674402
SPI1	ADAM21P1	1.3812885266674402
SPI1	ZNF451	1.0551016181686426
SPI1	KCNG4	1.0551016181686426
SPI1	LOC257358	1.0551016181686426
SPI1	FBXO24	1.0551016181686426
SPI1	IL1RAP	1.0551016181686426
SPI1	C21orf15	1.3812885266674402
SPI1	POTED	1.3812885266674402
SPI1	POTEB	1.0551016181686426
SPI1	IFNA14	1.0551016181686426
SPI1	OR14C36	1.3812885266674402
SPI1	LOC255167	1.0551016181686426
SPI1	IFNA17	1.0551016181686426
SPI1	ADIPOQ	1.0551016181686426
SPI1	SDCBP2	1.0551016181686426
SPI1	NPAS4	1.0551016181686426
SPI1	OR4X1	1.0551016181686426
SPI1	OR51T1	1.3812885266674402
SPI1	LY6D	1.3812885266674402
SPI1	SMS	1.0551016181686426
SPI1	FTL	1.0551016181686426
SPI1	IFNA10	1.0551016181686426
SPI1	GRIA1	1.0551016181686426
SPI1	GRIA2	1.0551016181686426
SPI1	LOC285847	1.0551016181686426
SPI1	SPATA5	1.1017971915988418
SPI1	C6orf27	1.3812885266674402
SPI1	OR51S1	1.0551016181686426
SPI1	KHDC1	1.0551016181686426
SPI1	KRTAP4-4	1.0551016181686426
SPI1	SMYD2	1.3812885266674402
SPI1	KRTAP4-3	1.0551016181686426
SPI1	ZKSCAN2	1.3812885266674402
SPI1	KRTAP4-2	1.0551016181686426
SPI1	KRTAP4-1	1.3812885266674402
SPI1	PGK2	1.3812885266674402
SPI1	ZKSCAN1	1.0551016181686426
SPI1	IFNA21	1.0551016181686426
SPI1	FAM38A	1.3812885266674402
SPI1	KRTAP4-9	1.0551016181686426
SPI1	ODF1	1.0551016181686426
SPI1	BOD1	1.1017971915988418
SPI1	KRTAP4-5	1.0551016181686426
SPI1	HTR1A	1.0551016181686426
SPI1	CTAG2	1.0551016181686426
SPI1	IGSF10	1.2341113432738557
SPI1	LOC100128675	1.0551016181686426
SPI1	TBXAS1	1.0551016181686426
SPI1	LCN6	1.0551016181686426
SPI1	SP9	1.0551016181686426
SPI1	LOC100133612	1.0551016181686426
SPI1	OR7A10	1.3812885266674402
SPI1	PIWIL1	1.0551016181686426
SPI1	BCAR4	1.0551016181686426
SPI1	ITGB5	1.116660223317413
SPI1	NUMA1	1.0551016181686426
SPI1	ONECUT3	1.0551016181686426
SPI1	ONECUT1	1.0551016181686426
SPI1	HTR2C	1.0551016181686426
SPI1	C14orf28	1.0551016181686426
SPI1	RLBP1	1.0551016181686426
SPI1	C14orf34	1.0551016181686426
SPI1	ZNF407	1.2341113432738557
SPI1	UGT2A3	1.3812885266674402
SPI1	ITGB6	1.0551016181686426
SPI1	UGT2A1	1.0551016181686426
SPI1	TRIM64	1.0551016181686426
SPI1	NKX3-2	1.3812885266674402
SPI1	MSMB	1.0551016181686426
SPI1	OR7A17	1.0551016181686426
SPI1	DHPS	1.0551016181686426
SPI1	HTR3C	1.3812885266674402
SPI1	TFIP11	1.0551016181686426
SPI1	LOC100130522	1.0551016181686426
SPI1	OR56A5	1.0551016181686426
SPI1	HAND1	1.0551016181686426
SPI1	TRIM58	1.3812885266674402
SPI1	SPACA5	1.0551016181686426
SPI1	OR56A3	1.0551016181686426
SPI1	TRIM50	1.0551016181686426
SPI1	HCG2P7	1.0551016181686426
SPI1	TRIM52	1.0551016181686426
SPI1	C1S	1.0551016181686426
SPI1	LRTM1	1.0551016181686426
SPI1	LENG8	1.3812885266674402
SPI1	ATP10A	1.0551016181686426
SPI1	FSCB	1.3812885266674402
SPI1	FKSG73	1.0551016181686426
SPI1	C14orf53	1.0551016181686426
SPI1	IGF2BP1	1.3812885266674402
SPI1	TRIM46	1.0551016181686426
SPI1	TRIM47	1.3812885266674402
SPI1	OR12D3	1.0551016181686426
SPI1	LOC401431	1.0551016181686426
SPI1	OR12D2	1.0551016181686426
SPI1	HNRNPA1	1.0551016181686426
