Regulator	Target	MI
ATF1	SNORA31	1.2341113432738555
FOXA1	CPD	1.1017971915988418
CCNT2	ZFHX4	1.0551016181686426
SMARCB1	SNORA16A	1.1017971915988418
SMARCB1	OR6C70	1.3812885266674402
SMARCB1	SERPINB2	1.3812885266674402
SMARCB1	SYT1	1.3812885266674402
SMARCB1	GPR32	1.3812885266674402
SMARCB1	ANO4	1.3812885266674402
SMARCB1	CLN8	1.3812885266674402
SMARCB1	EFCAB10	1.3812885266674402
SMARCB1	CLDN10	1.3812885266674402
SMARCB1	OR4N3P	1.116660223317413
SMARCB1	P2RX3	1.3812885266674402
SMARCB1	TRIM5	1.116660223317413
SMARCB1	C9orf117	1.116660223317413
SMARCB1	C21orf29	1.116660223317413
SMARCB1	KRT6C	1.3812885266674402
SMARCB1	KRT6B	1.3812885266674402
SPI1	LRRC14B	1.3812885266674402
SPI1	SNORD115-8	1.3812885266674402
SPI1	PWWP2B	1.3812885266674402
SPI1	SPINT4	1.0551016181686426
SPI1	OR4K17	1.3812885266674402
SPI1	OR4Q3	1.3812885266674402
SPI1	SNORD115-3	1.3812885266674402
SPI1	NDST4	1.3812885266674402
SPI1	NKX1-2	1.0551016181686426
SPI1	C14orf70	1.0551016181686426
SPI1	SNORA35	1.3812885266674402
SPI1	AAA1	1.3812885266674402
SPI1	SLC5A8	1.0551016181686426
SPI1	HGC6.3	1.3812885266674402
SPI1	MYL7	1.3812885266674402
SPI1	SCO1	1.3812885266674402
SPI1	SPINT1	1.0551016181686426
SPI1	C14orf86	1.3812885266674402
SPI1	OR4K14	1.0551016181686426
SPI1	SPARCL1	1.0551016181686426
SPI1	NOBOX	1.0551016181686426
SPI1	GRID2IP	1.0551016181686426
SPI1	LOC643719	1.0551016181686426
SPI1	LOC550643	1.0551016181686426
SPI1	TTYH2	1.3812885266674402
SPI1	LOC285205	1.0551016181686426
SPI1	DAZ4	1.3812885266674402
SPI1	LYPD1	1.0551016181686426
SPI1	SNORD115-32	1.116660223317413
SPI1	TPRG1L	1.0551016181686426
SPI1	IL20RB	1.0551016181686426
SPI1	DAZ2	1.0551016181686426
SPI1	DAZ1	1.3812885266674402
SPI1	SLC5A2	1.3812885266674402
SPI1	TEX28	1.0551016181686426
SPI1	LOC729467	1.0551016181686426
SPI1	C7	1.0551016181686426
SPI1	SCGB1D2	1.0551016181686426
SPI1	NCRNA00113	1.3812885266674402
SPI1	LOC100132354	1.0551016181686426
SPI1	TIPARP	1.0551016181686426
SPI1	NR0B1	1.0551016181686426
SPI1	OR4N2	1.3812885266674402
SPI1	GRIN2B	1.0551016181686426
