Regulator	Target	MI
ATF1	BNC2	1.1017971915988418
ATF1	EPB42	1.2341113432738557
ATF1	MGC16275	1.1649599709324299
ATF1	SNORA47	1.0551016181686426
ATF1	AHSP	1.2341113432738557
ATF1	C20orf103	1.2341113432738557
ATF1	LOC441454	1.1649599709324299
FOXA1	COL17A1	1.1017971915988418
FOXA1	GRAMD1B	1.1017971915988418
FOXA1	NDUFB9	1.1017971915988418
FOXA1	CSF3	1.1017971915988418
FOXA1	PXK	1.0551016181686426
FOXA1	TPH1	1.1017971915988418
FOXA1	C7orf10	1.1017971915988418
FOXA1	PKDCC	1.1017971915988418
FOXA1	STEAP4	1.1017971915988418
FOXA1	CD80	1.1017971915988418
FOXA1	PON2	1.1017971915988418
FOXA1	RASEF	1.1017971915988418
FOXA1	FITM2	1.1017971915988418
FOXA1	HAPLN3	1.1017971915988418
FOXA1	FAM127B	1.1017971915988418
FOXA1	FBL	1.1017971915988418
FOXA1	LOH12CR2	1.1017971915988418
FOXA1	GPNMB	1.1017971915988418
FOXA1	HAUS8	1.1017971915988418
FOXA1	RB1CC1	1.1017971915988418
FOXA1	SPIN1	1.1017971915988418
FOXA1	AOX1	1.1017971915988418
FOXA1	NTRK2	1.1017971915988418
FOXA1	HLA-H	1.1017971915988418
FOXA1	SNORD7	1.1649599709324299
FOXA1	GADD45A	1.1017971915988418
FOXA1	FUCA1	1.1017971915988418
FOXA1	TPM1	1.1017971915988418
FOXA1	MTUS1	1.1017971915988418
FOXA1	PRG4	1.1017971915988418
FOXA1	TMLHE	1.1017971915988418
FOXA1	CD5	1.1017971915988418
FOXA1	HMBS	1.1017971915988418
FOXA1	NCRNA00167	1.1017971915988418
FOXA1	RFX5	1.1017971915988418
FOXA1	STAC2	1.1017971915988418
FOXA1	ZNF439	1.1649599709324299
FOXA1	ZNF878	1.1017971915988418
FOXA1	RHAG	1.1017971915988418
FOXA1	ZNF236	1.1017971915988418
FOXA1	VCL	1.1017971915988418
FOXA1	ZSCAN2	1.1649599709324299
FOXA1	FOXD4L2	1.1017971915988418
FOXA1	TNRC6B	1.1017971915988418
CCNT2	SUV420H2	1.3812885266674402
CCNT2	SMAD5OS	1.3812885266674402
CCNT2	ACAA2	1.1017971915988418
CCNT2	DCLRE1C	1.1017971915988418
CCNT2	ARID4B	1.0551016181686426
CCNT2	NUDT5	1.1017971915988418
CCNT2	HS6ST1	1.1017971915988418
CCNT2	FGF7	1.2341113432738557
CCNT2	SPATA21	1.2341113432738557
CCNT2	C3orf62	1.2341113432738555
CCNT2	NIPAL1	1.1017971915988418
CCNT2	SIT1	1.1017971915988418
CCNT2	KIAA1467	1.1017971915988418
CCNT2	EPSTI1	1.1649599709324299
CCNT2	FAM3D	1.1649599709324299
CCNT2	KPNA2	1.2341113432738557
CCNT2	TBC1D22A	1.2341113432738555
CCNT2	PAQR8	1.1017971915988418
CCNT2	PIAS4	1.1017971915988418
CCNT2	LOC284900	1.0551016181686426
CCNT2	MGC2752	1.1017971915988418
CCNT2	SP110	1.0551016181686426
CCNT2	TSTD2	1.1017971915988418
CCNT2	ARID5A	1.0551016181686426
CCNT2	RECQL	1.2341113432738557
CCNT2	TAS2R13	1.2341113432738557
CCNT2	ACSL5	1.1017971915988418
CCNT2	GTPBP8	1.3812885266674402
CCNT2	DICER1	1.3812885266674402
CCNT2	LEMD2	1.1017971915988418
CCNT2	CCNB1IP1	1.2341113432738557
CCNT2	PRSS53	1.1649599709324299
CCNT2	CNBD1	1.1017971915988418
CCNT2	CXorf65	1.1017971915988418
CCNT2	FRMD7	1.1649599709324299
CCNT2	KCNQ3	1.2341113432738555
CCNT2	PADI3	1.1649599709324299
CCNT2	C12orf53	1.1017971915988418
CCNT2	CCDC83	1.0551016181686426
CCNT2	DDX5	1.116660223317413
CCNT2	KLHL14	1.3812885266674402
CCNT2	YTHDC2	1.2341113432738555
CCNT2	BAZ2A	1.3812885266674402
CCNT2	KIAA1012	1.0551016181686426
CCNT2	LPAR4	1.1649599709324299
CCNT2	PTTG1IP	1.1017971915988418
CCNT2	PKMYT1	1.2341113432738557
CCNT2	EFNA4	1.1017971915988418
CCNT2	TAF5L	1.0551016181686426
CCNT2	HSP90B1	1.2341113432738557
CCNT2	CD79A	1.2341113432738555
CCNT2	KLC2	1.0551016181686426
CCNT2	ZNF876P	1.2341113432738557
CCNT2	PPCS	1.1017971915988418
CCNT2	SNORD50A	1.3812885266674402
CCNT2	RAB9BP1	1.1017971915988418
CCNT2	PCDHA9	1.1649599709324299
CCNT2	RALGDS	1.3812885266674402
CCNT2	GPR114	1.1017971915988418
CCNT2	SULT1A3	1.2341113432738555
CCNT2	ZC3H15	1.3812885266674402
CCNT2	CCDC135	1.1017971915988418
CCNT2	KIR2DS4	1.2341113432738557
CCNT2	OSBPL2	1.2341113432738557
CCNT2	STYX	1.3812885266674402
CCNT2	C20orf29	1.1649599709324299
CCNT2	ZFHX4	1.0551016181686426
CCNT2	LARP6	1.2341113432738555
CCNT2	BMP3	1.1017971915988418
CCNT2	PTPRE	1.1017971915988418
CCNT2	KIAA0427	1.2341113432738555
CCNT2	MAN2B2	1.1649599709324299
CCNT2	CDK1	1.0551016181686426
CCNT2	SAE1	1.1017971915988418
CCNT2	ZNF254	1.2341113432738555
CCNT2	FXC1	1.0551016181686426
CCNT2	MTMR10	1.2341113432738555
CCNT2	MRFAP1L1	1.3812885266674402
CCNT2	DIRAS1	1.1017971915988418
CCNT2	CBWD3	1.1017971915988418
CCNT2	MRS2P2	1.1017971915988418
CCNT2	ZC3H8	1.3812885266674402
CCNT2	FHL5	1.1017971915988418
CCNT2	TRIAP1	1.1017971915988418
CCNT2	TTC27	1.1017971915988418
CCNT2	C8G	1.1017971915988418
CCNT2	ALDH2	1.2341113432738557
CCNT2	GATAD1	1.3812885266674402
CCNT2	TMEM109	1.2341113432738557
CCNT2	EMB	1.1649599709324299
CCNT2	JARID2	1.0551016181686426
CCNT2	CELA2A	1.1649599709324299
CCNT2	SUN1	1.3812885266674402
CCNT2	CCDC115	1.2341113432738557
CCNT2	KIF23	1.2341113432738557
CCNT2	C9orf4	1.1017971915988418
CCNT2	TACR1	1.1649599709324299
CCNT2	SUN5	1.1649599709324299
CCNT2	IQCK	1.2341113432738555
CCNT2	TMIGD1	1.1017971915988418
CCNT2	C14orf167	1.1649599709324299
CCNT2	CDC42EP5	1.1649599709324299
CCNT2	B3GNT5	1.1017971915988418
CCNT2	CEP63	1.0551016181686426
CCNT2	CD46	1.2341113432738555
CCNT2	ZNF599	1.0551016181686426
CCNT2	FAM72B	1.2341113432738557
CCNT2	MATN2	1.2341113432738557
CCNT2	SDCCAG3	1.0551016181686426
CCNT2	SNORD116-8	1.1017971915988418
CCNT2	ACCSL	1.1017971915988418
CCNT2	ZBTB45	1.2341113432738555
CCNT2	WDR24	1.1017971915988418
CCNT2	GMCL1L	1.1017971915988418
CCNT2	HLA-DMA	1.2341113432738555
CCNT2	HSF2	1.2341113432738555
CCNT2	BCO2	1.1017971915988418
CCNT2	ZSWIM7	1.2341113432738557
CCNT2	FNIP1	1.0551016181686426
CCNT2	RELT	1.1017971915988418
CCNT2	SMNDC1	1.2341113432738555
CCNT2	CMTM8	1.1649599709324299
CCNT2	HIPK4	1.2341113432738555
CCNT2	PPIL1	1.1649599709324299
CCNT2	YTHDF1	1.0551016181686426
CCNT2	TRPA1	1.1017971915988418
CCNT2	PCDHB14	1.2341113432738555
CCNT2	VAX1	1.1017971915988418
CCNT2	CABLES2	1.1649599709324299
CCNT2	PNRC2	1.2341113432738555
CCNT2	SLC25A38	1.0551016181686426
CCNT2	HEYL	1.1649599709324299
CCNT2	TPPP3	1.2341113432738557
CCNT2	SRRD	1.2341113432738557
CCNT2	LTBR	1.1649599709324299
CCNT2	ZNF611	1.2341113432738555
CCNT2	LOC728743	1.116660223317413
CCNT2	CUL4B	1.3812885266674402
SMARCB1	MTRF1	1.0551016181686426
SMARCB1	PARP4	1.0551016181686426
SMARCB1	ZNF691	1.0551016181686426
SMARCB1	ARG1	1.0551016181686426
SMARCB1	ZNF502	1.0551016181686426
SMARCB1	MLYCD	1.0551016181686426
SMARCB1	ZNF8	1.0551016181686426
SMARCB1	PDRG1	1.0551016181686426
SPI1	PGLYRP3	1.0551016181686426
SPI1	TRIO	1.0551016181686426
SPI1	PWWP2B	1.0551016181686426
SPI1	RAX	1.3812885266674402
SPI1	SPINT4	1.3812885266674402
SPI1	NBLA00301	1.0551016181686426
SPI1	SNORD115-3	1.0551016181686426
SPI1	DKFZP686I15217	1.0551016181686426
SPI1	GJA5	1.0551016181686426
SPI1	NKX1-2	1.3812885266674402
SPI1	PRR20C	1.3812885266674402
SPI1	GJA8	1.3812885266674402
SPI1	SNORA35	1.0551016181686426
SPI1	LOC441177	1.3812885266674402
SPI1	NKX2-8	1.3812885266674402
SPI1	CSNK2A1	1.116660223317413
SPI1	ESX1	1.0551016181686426
SPI1	OR11G2	1.3812885266674402
SPI1	SOX11	1.3812885266674402
SPI1	LCE1E	1.3812885266674402
SPI1	LCE1C	1.0551016181686426
SPI1	OR5R1	1.3812885266674402
SPI1	GABRG1	1.0551016181686426
SPI1	LCE1D	1.3812885266674402
SPI1	LCE2C	1.0551016181686426
SPI1	SLC5A8	1.0551016181686426
