Regulator	Target	MI
ATF1	ABTB1	1.1649599709324299
ATF1	PREX1	1.1649599709324299
ATF1	FAM180B	1.1017971915988418
ATF1	PREP	1.116660223317413
ATF1	LTBP2	1.2341113432738557
ATF1	DSC1	1.1649599709324299
FOXA1	PMS2L2	1.1017971915988418
FOXA1	NRIP3	1.1017971915988418
ATF2	COL28A1	1.1017971915988418
ATF2	OLFML2B	1.2341113432738555
ATF2	C3orf70	1.1017971915988418
ATF2	DPYSL3	1.1017971915988418
ATF2	SRP54	1.3812885266674402
ATF2	F13A1	1.2341113432738557
ATF2	HBB	1.2341113432738555
ATF2	HOXC4	1.1017971915988418
ATF2	WNT9A	1.2341113432738557
ATF2	ZNF785	1.0551016181686426
CCNT2	KLC2	1.0551016181686426
CCNT2	TMEM136	1.1017971915988418
CCNT2	ODF3L2	1.116660223317413
CCNT2	TBX22	1.116660223317413
CCNT2	ATAD2	1.3812885266674402
CCNT2	C1RL	1.0551016181686426
CCNT2	PIK3C3	1.116660223317413
CCNT2	ZFHX4	1.3812885266674402
SMARCB1	LRRC14B	1.0551016181686426
SMARCB1	SPI1	1.0551016181686426
SMARCB1	PWWP2B	1.0551016181686426
SMARCB1	GAGE8	1.0551016181686426
SMARCB1	LOC284578	1.0551016181686426
SMARCB1	SPINT4	1.0551016181686426
SMARCB1	FLJ12825	1.0551016181686426
SMARCB1	OR4Q3	1.0551016181686426
SMARCB1	NBLA00301	1.0551016181686426
SMARCB1	NDST4	1.0551016181686426
SMARCB1	PWWP2A	1.0551016181686426
SMARCB1	C14orf70	1.0551016181686426
SMARCB1	PRKAB2	1.3812885266674402
SMARCB1	ESX1	1.0551016181686426
SMARCB1	HDGFRP2	1.0551016181686426
SMARCB1	OR4P4	1.0551016181686426
SMARCB1	ISL1	1.0551016181686426
SMARCB1	SCO1	1.0551016181686426
SMARCB1	SPINT1	1.0551016181686426
SMARCB1	OPTC	1.0551016181686426
SMARCB1	C14orf86	1.0551016181686426
SMARCB1	LOC100128292	1.0551016181686426
SMARCB1	ATF6	1.116660223317413
SMARCB1	LOC643719	1.0551016181686426
SMARCB1	LYPD1	1.0551016181686426
SMARCB1	TPRG1L	1.0551016181686426
SMARCB1	ADAM5P	1.0551016181686426
SMARCB1	TEX28	1.0551016181686426
SMARCB1	SCGB1D2	1.0551016181686426
SMARCB1	KCNQ1OT1	1.0551016181686426
SMARCB1	SCGB1D4	1.0551016181686426
SMARCB1	BTBD17	1.0551016181686426
SMARCB1	TIPARP	1.0551016181686426
SMARCB1	OR4N4	1.3812885266674402
SMARCB1	OR4N2	1.0551016181686426
SMARCB1	NBPF22P	1.0551016181686426
SMARCB1	PGA4	1.0551016181686426
SMARCB1	F13B	1.0551016181686426
SMARCB1	SFTA2	1.0551016181686426
SMARCB1	SFTA3	1.0551016181686426
SMARCB1	LOC440173	1.0551016181686426
SMARCB1	KCNC2	1.0551016181686426
SMARCB1	CSDAP1	1.0551016181686426
SMARCB1	LOC92973	1.0551016181686426
SMARCB1	FRG2B	1.0551016181686426
SMARCB1	HOXC13	1.0551016181686426
SMARCB1	FRG2C	1.0551016181686426
SMARCB1	HOXC12	1.0551016181686426
SMARCB1	ANXA8L2	1.0551016181686426
SMARCB1	MMP21	1.0551016181686426
SMARCB1	GGTLC2	1.116660223317413
SMARCB1	MMP27	1.0551016181686426
SMARCB1	TCP11L2	1.0551016181686426
SMARCB1	POM121L1P	1.0551016181686426
SMARCB1	SLC18A1	1.116660223317413
SMARCB1	SULT1C4	1.0551016181686426
SMARCB1	DUSP3	1.116660223317413
SMARCB1	CSN1S2A	1.0551016181686426
SMARCB1	TEX15	1.0551016181686426
SMARCB1	DDB1	1.116660223317413
SMARCB1	SLC7A5	1.0551016181686426
SMARCB1	TMEFF1	1.0551016181686426
SMARCB1	MMP13	1.0551016181686426
SMARCB1	PLSCR5	1.0551016181686426
SMARCB1	OR52A4	1.0551016181686426
SMARCB1	KRTAP25-1	1.0551016181686426
SMARCB1	URM1	1.0551016181686426
SMARCB1	WRB	1.0551016181686426
SMARCB1	CRCT1	1.0551016181686426
SMARCB1	LOC285401	1.0551016181686426
SMARCB1	KCNA7	1.0551016181686426
SMARCB1	SLC7A1	1.0551016181686426
SMARCB1	SLC7A2	1.0551016181686426
SMARCB1	OR4S2	1.0551016181686426
SMARCB1	OR4S1	1.0551016181686426
SMARCB1	LOC643763	1.0551016181686426
SMARCB1	PABPC1P2	1.0551016181686426
SMARCB1	AGR3	1.0551016181686426
SMARCB1	C4orf7	1.0551016181686426
SMARCB1	MBD3	1.0551016181686426
SMARCB1	LOC339788	1.0551016181686426
SMARCB1	MBD4	1.0551016181686426
SMARCB1	ODAM	1.0551016181686426
SMARCB1	MBD1	1.0551016181686426
SMARCB1	UNCX	1.0551016181686426
SMARCB1	NOC3L	1.0551016181686426
SMARCB1	LOC100130148	1.0551016181686426
SMARCB1	SNX19	1.116660223317413
SMARCB1	LOC653545	1.0551016181686426
SMARCB1	LOC653544	1.0551016181686426
SMARCB1	ADAM21P1	1.0551016181686426
SMARCB1	KCNG3	1.0551016181686426
SMARCB1	KCNG4	1.0551016181686426
SMARCB1	REG1B	1.0551016181686426
SMARCB1	CASC2	1.0551016181686426
SMARCB1	MSI1	1.0551016181686426
SMARCB1	FBXO24	1.0551016181686426
SMARCB1	IL1RAP	1.0551016181686426
SMARCB1	C21orf15	1.0551016181686426
SMARCB1	REG1P	1.0551016181686426
SMARCB1	POTEH	1.0551016181686426
SMARCB1	KIAA1984	1.3812885266674402
SMARCB1	POTED	1.0551016181686426
SMARCB1	POTEA	1.0551016181686426
SMARCB1	POTEB	1.0551016181686426
SMARCB1	POTEC	1.0551016181686426
SMARCB1	IFNA14	1.0551016181686426
SMARCB1	OR14C36	1.0551016181686426
SMARCB1	LOC255167	1.0551016181686426
SMARCB1	IFNA17	1.0551016181686426
SMARCB1	CNPY2	1.0551016181686426
SMARCB1	POLRMT	1.3812885266674402
SMARCB1	SDCBP2	1.0551016181686426
SMARCB1	FKSG83	1.0551016181686426
SMARCB1	ACLY	1.3812885266674402
SMARCB1	OR4X2	1.0551016181686426
SMARCB1	OR4X1	1.0551016181686426
SMARCB1	OR51T1	1.0551016181686426
SMARCB1	LY6D	1.0551016181686426
SMARCB1	SMS	1.0551016181686426
SMARCB1	LY6H	1.0551016181686426
SMARCB1	FTL	1.0551016181686426
SMARCB1	IFNA10	1.0551016181686426
SMARCB1	INO80C	1.116660223317413
SMARCB1	DLX1	1.0551016181686426
SMARCB1	GRIA2	1.0551016181686426
SMARCB1	REG3A	1.0551016181686426
SMARCB1	LOC285847	1.0551016181686426
SMARCB1	DLX6	1.0551016181686426
SMARCB1	REG3G	1.0551016181686426
SMARCB1	C6orf27	1.0551016181686426
SMARCB1	OR51S1	1.0551016181686426
SMARCB1	KHDC1	1.0551016181686426
SMARCB1	KRTAP4-4	1.0551016181686426
SMARCB1	SMYD2	1.0551016181686426
SMARCB1	BAT2L2	1.3812885266674402
SMARCB1	KRTAP4-3	1.0551016181686426
SMARCB1	ZKSCAN2	1.0551016181686426
SMARCB1	KRTAP4-2	1.0551016181686426
SMARCB1	ZKSCAN5	1.0551016181686426
SMARCB1	KRTAP4-1	1.0551016181686426
SMARCB1	PGK2	1.0551016181686426
SMARCB1	IFNA21	1.0551016181686426
SMARCB1	NEK9	1.3812885266674402
SMARCB1	KRTAP4-9	1.0551016181686426
SMARCB1	HTR1E	1.0551016181686426
SMARCB1	KRTAP4-7	1.0551016181686426
SMARCB1	KRTAP4-5	1.0551016181686426
SMARCB1	ODF4	1.0551016181686426
SMARCB1	HTR1A	1.0551016181686426
