Regulator	Target	MI
ATF1	TBC1D20	1.1017971915988418
FOXA1	UFD1L	1.1017971915988418
FOXA1	LRRC57	1.2341113432738557
FOXA1	MLF1IP	1.3812885266674402
FOXA1	LRRC39	1.2341113432738557
FOXA1	OTUD7A	1.1017971915988418
FOXA1	PRKAG2	1.2341113432738557
FOXA1	SLA	1.1017971915988418
FOXA1	MIA3	1.1017971915988418
FOXA1	GOLGA9P	1.1017971915988418
FOXA1	KIR2DL3	1.1649599709324299
FOXA1	SPPL3	1.2341113432738557
FOXA1	KIR2DL4	1.1017971915988418
FOXA1	HEPHL1	1.2341113432738557
FOXA1	TFG	1.2341113432738557
FOXA1	GUK1	1.1017971915988418
FOXA1	ZNF280B	1.1649599709324299
FOXA1	FLNA	1.2341113432738555
FOXA1	GSC2	1.1649599709324299
FOXA1	CSMD1	1.1649599709324299
FOXA1	PAG1	1.2341113432738555
FOXA1	TAPT1	1.1649599709324299
FOXA1	ZNF222	1.1649599709324299
FOXA1	IL4R	1.1017971915988418
FOXA1	C10orf4	1.2341113432738557
FOXA1	DMRT2	1.1649599709324299
FOXA1	KLHL28	1.1017971915988418
FOXA1	B3GALT4	1.1649599709324299
FOXA1	CYBRD1	1.2341113432738557
FOXA1	CGRRF1	1.1649599709324299
FOXA1	KIR3DL3	1.1649599709324299
FOXA1	IL17RC	1.2341113432738557
FOXA1	MYO1E	1.1017971915988418
FOXA1	SLC9A3	1.1649599709324299
FOXA1	ARHGAP31	1.1649599709324299
FOXA1	GAP43	1.1649599709324299
FOXA1	GORASP1	1.2341113432738557
FOXA1	PSMC2	1.1649599709324299
FOXA1	SASS6	1.1649599709324299
FOXA1	AKNAD1	1.1649599709324299
FOXA1	HECA	1.1649599709324299
FOXA1	UBE2K	1.2341113432738557
FOXA1	CHST2	1.1017971915988418
FOXA1	C14orf149	1.1017971915988418
FOXA1	OR2A2	1.1649599709324299
ATF2	PTGIR	1.2341113432738557
ATF2	STK25	1.116660223317413
ATF2	TMEM22	1.116660223317413
ATF2	CHDH	1.1017971915988418
ATF2	FZD9	1.1017971915988418
ATF2	KIF13B	1.1017971915988418
ATF2	ARID1A	1.1017971915988418
ATF2	ZNF167	1.1017971915988418
CCNT2	UBFD1	1.0551016181686426
SMARCB1	C6orf70	1.116660223317413
SMARCB1	C19orf42	1.116660223317413
SMARCB1	MTG1	1.0551016181686426
SMARCB1	NDNL2	1.1017971915988418
SMARCB1	UBD	1.1017971915988418
SMARCB1	RPP40	1.0551016181686426
SMARCB1	C3orf37	1.0551016181686426
SMARCB1	TBC1D29	1.116660223317413
SPI1	SNORD115-6	1.3812885266674402
SPI1	KRTAP20-3	1.3812885266674402
SPI1	TRIO	1.3812885266674402
SPI1	FRMPD2	1.3812885266674402
SPI1	LOC284578	1.3812885266674402
SPI1	MRGPRF	1.0551016181686426
SPI1	LDLRAD2	1.3812885266674402
SPI1	LOC121838	1.3812885266674402
SPI1	MRGPRG	1.3812885266674402
SPI1	GOLGA2	1.3812885266674402
SPI1	IPW	1.0551016181686426
SPI1	OR10W1	1.3812885266674402
SPI1	LOC645323	1.3812885266674402
SPI1	LOC729121	1.3812885266674402
SPI1	RESP18	1.3812885266674402
SPI1	C8orf4	1.0551016181686426
SPI1	TTTY23	1.3812885266674402
SPI1	MS4A14	1.3812885266674402
SPI1	SNORD97	1.3812885266674402
SPI1	LGALS7	1.3812885266674402
SPI1	TTTY20	1.3812885266674402
SPI1	TMEM8B	1.3812885266674402
SPI1	NKX2-8	1.3812885266674402
SPI1	TAAR6	1.3812885266674402
SPI1	KRT1	1.3812885266674402
SPI1	C16orf79	1.3812885266674402
SPI1	LOC339240	1.3812885266674402
SPI1	SOX11	1.3812885266674402
SPI1	LOC286094	1.3812885266674402
SPI1	PSG2	1.3812885266674402
SPI1	LCE1E	1.3812885266674402
SPI1	LCE1F	1.3812885266674402
SPI1	LOC340017	1.3812885266674402
SPI1	SLC5A8	1.3812885266674402
SPI1	SLC5A9	1.3812885266674402
SPI1	SCO1	1.3812885266674402
SPI1	SLPI	1.3812885266674402
SPI1	HOXB1	1.3812885266674402
SPI1	OR4C15	1.3812885266674402
SPI1	PADI1	1.0551016181686426
SPI1	LOC728723	1.3812885266674402
SPI1	C4orf51	1.3812885266674402
SPI1	OR9I1	1.3812885266674402
SPI1	FLJ25363	1.3812885266674402
SPI1	PRR21	1.3812885266674402
SPI1	C10orf62	1.3812885266674402
SPI1	LOC100169752	1.3812885266674402
SPI1	SNORD115-32	1.0551016181686426
SPI1	KLK4	1.3812885266674402
SPI1	OR1I1	1.3812885266674402
SPI1	PPP1R3A	1.0551016181686426
SPI1	DAZ1	1.3812885266674402
SPI1	KLK2	1.3812885266674402
SPI1	PCDH12	1.3812885266674402
SPI1	SLC5A2	1.3812885266674402
SPI1	KLK7	1.3812885266674402
SPI1	C3	1.3812885266674402
SPI1	KRT33A	1.3812885266674402
SPI1	MC2R	1.3812885266674402
SPI1	PRAMEF13	1.3812885266674402
SPI1	SNORD115-25	1.0551016181686426
SPI1	GALR1	1.3812885266674402
SPI1	KCNMB2	1.0551016181686426
SPI1	NCRNA00112	1.3812885266674402
SPI1	SCGB1D4	1.3812885266674402
SPI1	FLJ42709	1.3812885266674402
SPI1	ARSI	1.3812885266674402
SPI1	LOC84856	1.3812885266674402
SPI1	ARSG	1.3812885266674402
SPI1	DKFZp566F0947	1.0551016181686426
SPI1	FAM43B	1.3812885266674402
SPI1	CGA	1.3812885266674402
SPI1	HOXC8	1.3812885266674402
SPI1	PRR24	1.3812885266674402
SPI1	SPRR2D	1.3812885266674402
SPI1	FZD1	1.3812885266674402
SPI1	FMO9P	1.3812885266674402
SPI1	GRXCR1	1.3812885266674402
SPI1	GDF2	1.0551016181686426
SPI1	OR2J2	1.3812885266674402
SPI1	GDEP	1.3812885266674402
SPI1	GDF3	1.0551016181686426
SPI1	SOX30	1.3812885266674402
SPI1	ZBTB9	1.3812885266674402
SPI1	FAM123A	1.3812885266674402
SPI1	TDP2	1.3812885266674402
SPI1	LOC400794	1.3812885266674402
SPI1	SNORA46	1.3812885266674402
SPI1	OR7C2	1.0551016181686426
SPI1	SLC22A9	1.3812885266674402
SPI1	SERPINA3	1.3812885266674402
SPI1	LOC440173	1.3812885266674402
SPI1	NRSN1	1.3812885266674402
SPI1	WFIKKN1	1.3812885266674402
SPI1	IL26	1.3812885266674402
SPI1	TPI1P2	1.3812885266674402
SPI1	FMN2	1.3812885266674402
SPI1	FRG2B	1.3812885266674402
SPI1	SNAR-C4	1.3812885266674402
SPI1	HOXC12	1.3812885266674402
SPI1	MMP21	1.3812885266674402
SPI1	LRRC31	1.3812885266674402
SPI1	DMBX1	1.3812885266674402
SPI1	TRIM9	1.3812885266674402
SPI1	UPF0639	1.3812885266674402
SPI1	KRT28	1.0551016181686426
SPI1	GAST	1.3812885266674402
SPI1	OR5AP2	1.3812885266674402
SPI1	OR5B17	1.3812885266674402
SPI1	SULT1C4	1.0551016181686426
SPI1	C6orf163	1.3812885266674402
SPI1	C7orf41	1.3812885266674402
SPI1	RBMY1F	1.3812885266674402
SPI1	OPALIN	1.0551016181686426
SPI1	ZSCAN5B	1.0551016181686426
SPI1	RBMY1J	1.3812885266674402
SPI1	SNAR-B2	1.3812885266674402
SPI1	TSPY4	1.3812885266674402
SPI1	OTOS	1.3812885266674402
SPI1	PAX1	1.3812885266674402
SPI1	OR5V1	1.3812885266674402
SPI1	ANGPTL6	1.3812885266674402
SPI1	C14orf165	1.0551016181686426
SPI1	PSMA2	1.0551016181686426
SPI1	FRG2	1.3812885266674402
SPI1	LOC644145	1.3812885266674402
SPI1	LOC154822	1.3812885266674402
SPI1	KIF2B	1.0551016181686426
SPI1	OR3A4	1.3812885266674402
SPI1	CYLC1	1.3812885266674402
SPI1	GPR125	1.3812885266674402
SPI1	IVL	1.3812885266674402
SPI1	HMX1	1.3812885266674402
SPI1	CCL13	1.3812885266674402
SPI1	KRTAP25-1	1.3812885266674402
SPI1	POPDC3	1.3812885266674402
SPI1	CSTA	1.3812885266674402
SPI1	OR10H3	1.3812885266674402
SPI1	OR10H4	1.3812885266674402
SPI1	NCRNA00161	1.3812885266674402
SPI1	AFP	1.3812885266674402
SPI1	HOXD12	1.3812885266674402
SPI1	CST6	1.3812885266674402
SPI1	CYP7A1	1.0551016181686426
SPI1	CPN2	1.3812885266674402
SPI1	CST5	1.3812885266674402
SPI1	NPS	1.3812885266674402
SPI1	NTF4	1.3812885266674402
SPI1	CST2	1.3812885266674402
SPI1	NCRNA00158	1.3812885266674402
SPI1	CST1	1.0551016181686426
SPI1	EXTL1	1.0551016181686426
SPI1	TCOF1	1.3812885266674402
SPI1	PRAMEF1	1.3812885266674402
SPI1	PSMB3	1.3812885266674402
SPI1	FLJ43950	1.3812885266674402
SPI1	ASZ1	1.3812885266674402
SPI1	PATE3	1.3812885266674402
SPI1	PDPN	1.3812885266674402
SPI1	SLC17A5	1.0551016181686426
SPI1	C6orf125	1.3812885266674402
SPI1	CCT8	1.0551016181686426
SPI1	CCL16	1.3812885266674402
SPI1	GABRA1	1.3812885266674402
SPI1	LOC283914	1.3812885266674402
SPI1	OR8J1	1.3812885266674402
SPI1	C20orf173	1.0551016181686426
SPI1	CDX1	1.3812885266674402
SPI1	GABRA5	1.3812885266674402
SPI1	SNORD32A	1.3812885266674402
SPI1	C22orf13	1.3812885266674402
SPI1	NCRNA00032	1.3812885266674402
SPI1	GPR3	1.3812885266674402
SPI1	LBX1	1.3812885266674402
SPI1	DEFB131	1.0551016181686426
SPI1	GPR141	1.3812885266674402
SPI1	OR5T1	1.3812885266674402
SPI1	TTTY9B	1.3812885266674402
SPI1	C11orf64	1.3812885266674402
SPI1	DHRS7	1.3812885266674402
SPI1	FABP7	1.0551016181686426
SPI1	SHKBP1	1.0551016181686426
SPI1	OR10G8	1.3812885266674402
SPI1	OR10G7	1.3812885266674402
SPI1	CAPS	1.0551016181686426
SPI1	OTC	1.3812885266674402
SPI1	C18orf18	1.3812885266674402
SPI1	MAGEB16	1.3812885266674402
SPI1	CIB4	1.3812885266674402
SPI1	HP	1.3812885266674402
SPI1	C3orf66	1.3812885266674402
SPI1	DEFB1	1.3812885266674402
SPI1	GPR61	1.0551016181686426
SPI1	DUX4	1.3812885266674402
SPI1	FGF3	1.3812885266674402
SPI1	RDM1	1.3812885266674402
SPI1	OR5H15	1.3812885266674402
SPI1	OR5H14	1.3812885266674402
