Regulator	Target	MI
ATF1	NLGN3	1.2341113432738557
ATF1	CGREF1	1.0551016181686426
ATF1	LOC642826	1.2341113432738555
ATF1	AHCYL1	1.2341113432738555
ATF1	TRAPPC2L	1.3812885266674402
ATF1	TRIM49L	1.2341113432738555
ATF1	CABP7	1.1649599709324299
ATF1	SSNA1	1.1649599709324299
ATF1	CHRNA9	1.1649599709324299
ATF1	ALKBH7	1.2341113432738555
ATF1	EID3	1.1649599709324299
ATF1	SCCPDH	1.3812885266674402
ATF1	NCRNA00176	1.1649599709324299
ATF1	KIF5B	1.2341113432738557
ATF1	SNORD22	1.2341113432738557
ATF1	PAF1	1.2341113432738555
ATF1	LTB	1.2341113432738557
ATF1	TIMP1	1.2341113432738555
ATF1	NXF5	1.1017971915988418
ATF1	ZNF167	1.2341113432738557
FOXA1	RTP1	1.0551016181686426
FOXA1	INHA	1.0551016181686426
FOXA1	CGNL1	1.0551016181686426
FOXA1	TMEM220	1.1017971915988418
ATF2	EIF5B	1.2341113432738557
ATF2	LOC440461	1.1649599709324299
ATF2	ZNF19	1.2341113432738555
ATF2	C16orf80	1.3812885266674402
ATF2	LOC389458	1.2341113432738557
ATF2	TTC1	1.1017971915988418
ATF2	ANK3	1.1017971915988418
ATF2	FBXL16	1.1649599709324299
ATF2	GATA3	1.1017971915988418
ATF2	ICAM5	1.2341113432738557
ATF2	NUBP1	1.2341113432738557
ATF2	JAKMIP2	1.1017971915988418
ATF2	CAPN10	1.2341113432738557
ATF2	FAM153B	1.1017971915988418
ATF2	PI4KAP2	1.2341113432738557
ATF2	CD200R1L	1.1017971915988418
ATF2	RPL13	1.2341113432738557
ATF2	NUDT17	1.1649599709324299
ATF2	PLIN1	1.1017971915988418
ATF2	TRIM38	1.1017971915988418
ATF2	C12orf54	1.1017971915988418
ATF2	C12orf76	1.1649599709324299
ATF2	RMRP	1.2341113432738557
CCNT2	SETD4	1.3812885266674402
CCNT2	C20orf197	1.1649599709324299
CCNT2	FKRP	1.2341113432738555
CCNT2	WIPF2	1.1649599709324299
CCNT2	NTN4	1.1649599709324299
CCNT2	C8orf38	1.1649599709324299
CCNT2	BTD	1.2341113432738555
CCNT2	TRIM28	1.0551016181686426
CCNT2	SAGE1	1.0551016181686426
CCNT2	MTF1	1.2341113432738557
CCNT2	PHYHD1	1.2341113432738555
CCNT2	STX6	1.2341113432738555
CCNT2	TCP10L2	1.1017971915988418
CCNT2	AVL9	1.1649599709324299
CCNT2	CPVL	1.2341113432738557
SMARCB1	PIGS	1.0551016181686426
SMARCB1	SCARB2	1.0551016181686426
SMARCB1	ZNF330	1.0551016181686426
SMARCB1	PEG3AS	1.1017971915988418
SMARCB1	MRFAP1L1	1.116660223317413
SMARCB1	RPLP0	1.0551016181686426
SMARCB1	HSCB	1.0551016181686426
SMARCB1	KIAA0100	1.0551016181686426
SMARCB1	HINT1	1.3812885266674402
SMARCB1	NSDHL	1.0551016181686426
SMARCB1	ZFYVE26	1.3812885266674402
SMARCB1	PSMD7	1.0551016181686426
SMARCB1	NIPAL2	1.0551016181686426
SMARCB1	SNORD57	1.0551016181686426
SMARCB1	MACROD1	1.3812885266674402
SMARCB1	BANF1	1.0551016181686426
SMARCB1	BBS5	1.2341113432738555
SMARCB1	SEPHS2	1.116660223317413
SMARCB1	SCYL2	1.2341113432738555
SMARCB1	POLG	1.0551016181686426
SMARCB1	DAPK1	1.0551016181686426
SMARCB1	EED	1.0551016181686426
SMARCB1	SFMBT2	1.2341113432738557
SMARCB1	EPDR1	1.0551016181686426
SMARCB1	FRMD4A	1.1649599709324299
SMARCB1	MMD2	1.1649599709324299
SMARCB1	WRNIP1	1.0551016181686426
SMARCB1	RPL19P12	1.0551016181686426
SMARCB1	MRPL45	1.0551016181686426
SMARCB1	DDB1	1.0551016181686426
SMARCB1	NISCH	1.0551016181686426
SMARCB1	TMEM211	1.0551016181686426
SMARCB1	ARMCX1	1.2341113432738557
SMARCB1	SLC7A7	1.116660223317413
SMARCB1	CDH10	1.1649599709324299
SMARCB1	MAP7D1	1.116660223317413
SMARCB1	SNURF	1.0551016181686426
SMARCB1	POLR1E	1.3812885266674402
SMARCB1	PRR15	1.116660223317413
SMARCB1	PLEKHO1	1.2341113432738557
SMARCB1	VAMP2	1.0551016181686426
SMARCB1	PSMD10	1.0551016181686426
SMARCB1	ZNF28	1.0551016181686426
SMARCB1	METTL2B	1.0551016181686426
SMARCB1	FBLIM1	1.3812885266674402
SMARCB1	POLDIP3	1.0551016181686426
SMARCB1	TIMM9	1.0551016181686426
SMARCB1	ALOX15	1.2341113432738555
SMARCB1	C17orf79	1.3812885266674402
SMARCB1	GNG3	1.0551016181686426
SMARCB1	DPP7	1.3812885266674402
SMARCB1	SNORD37	1.0551016181686426
SMARCB1	DPH1	1.3812885266674402
SMARCB1	POLR2D	1.3812885266674402
SMARCB1	AK3L1	1.3812885266674402
SMARCB1	NHEDC2	1.0551016181686426
SMARCB1	ZNF502	1.0551016181686426
SMARCB1	HNRNPA1	1.0551016181686426
SMARCB1	SLC38A3	1.0551016181686426
SMARCB1	TBC1D17	1.3812885266674402
SMARCB1	ZNF148	1.0551016181686426
SMARCB1	SAC3D1	1.3812885266674402
SMARCB1	CTHRC1	1.1649599709324299
SMARCB1	KLRG1	1.1649599709324299
SMARCB1	RPL19	1.0551016181686426
SMARCB1	CYB5B	1.2341113432738557
SMARCB1	BCL11A	1.0551016181686426
SMARCB1	FAM78A	1.0551016181686426
SMARCB1	PTGES2	1.1649599709324299
SMARCB1	FBXO38	1.3812885266674402
SMARCB1	TMEM176B	1.3812885266674402
SMARCB1	B3GAT1	1.1649599709324299
SMARCB1	NACA2	1.0551016181686426
SMARCB1	MRE11A	1.0551016181686426
SMARCB1	C19orf2	1.3812885266674402
SMARCB1	PDCL3	1.116660223317413
SMARCB1	PDCL2	1.0551016181686426
SMARCB1	DNAJA3	1.3812885266674402
SMARCB1	INTS7	1.0551016181686426
SMARCB1	PKN2	1.1649599709324299
SMARCB1	ZNF579	1.0551016181686426
SMARCB1	FARSA	1.0551016181686426
SMARCB1	FARSB	1.3812885266674402
SPI1	IFT172	1.3812885266674402
SPI1	PWWP2B	1.3812885266674402
SPI1	GAGE8	1.3812885266674402
SPI1	SPINT4	1.3812885266674402
SPI1	NBLA00301	1.3812885266674402
SPI1	SNORD121A	1.2341113432738557
SPI1	ALKBH3	1.0551016181686426
SPI1	CRHBP	1.3812885266674402
SPI1	ALKBH5	1.3812885266674402
SPI1	PWWP2A	1.3812885266674402
SPI1	HEMK1	1.0551016181686426
SPI1	CXADR	1.3812885266674402
SPI1	SDS	1.3812885266674402
SPI1	ESX1	1.3812885266674402
SPI1	SCO1	1.3812885266674402
SPI1	SPINT1	1.3812885266674402
SPI1	OPTC	1.3812885266674402
SPI1	ZC3H11A	1.0551016181686426
SPI1	ORAI3	1.0551016181686426
SPI1	LOC100128292	1.3812885266674402
SPI1	ASPHD2	1.1017971915988418
SPI1	SF4	1.0551016181686426
SPI1	PLK5P	1.3812885266674402
SPI1	UNC119B	1.0551016181686426
SPI1	LOC643719	1.3812885266674402
SPI1	LOC550643	1.0551016181686426
SPI1	LYPD1	1.3812885266674402
SPI1	ADAM5P	1.3812885266674402
SPI1	TEX28	1.3812885266674402
SPI1	KCNQ1OT1	1.3812885266674402
SPI1	LOC146481	1.3812885266674402
SPI1	LOC100132354	1.0551016181686426
SPI1	HCRT	1.3812885266674402
SPI1	GSTM4	1.116660223317413
SPI1	BTBD19	1.0551016181686426
SPI1	GSTM2	1.0551016181686426
SPI1	BTBD17	1.3812885266674402
