Regulator	Target	MI
ATF1	SLC41A2	1.1017971915988418
ATF1	HNRNPH3	1.2341113432738557
FOXA1	FEN1	1.0551016181686426
FOXA1	PPIL1	1.3812885266674402
FOXA1	HEPHL1	1.2341113432738557
FOXA1	NPW	1.0551016181686426
FOXA1	POLD1	1.0551016181686426
FOXA1	MBOAT2	1.1017971915988418
FOXA1	SLC39A5	1.0551016181686426
FOXA1	INHBC	1.1017971915988418
FOXA1	RND1	1.1017971915988418
ATF2	ZFAT	1.116660223317413
ATF2	SQRDL	1.1017971915988418
CCNT2	BARHL1	1.0551016181686426
CCNT2	OTUD5	1.2341113432738557
CCNT2	DDX4	1.1017971915988418
CCNT2	PIGZ	1.2341113432738555
CCNT2	ARID4B	1.0551016181686426
CCNT2	RSPH9	1.2341113432738557
CCNT2	BACH1	1.0551016181686426
CCNT2	GRAMD4	1.2341113432738557
CCNT2	C11orf93	1.2341113432738557
CCNT2	EP300	1.0551016181686426
CCNT2	SLC17A8	1.2341113432738557
CCNT2	PSPN	1.2341113432738557
CCNT2	SEZ6L	1.0551016181686426
CCNT2	KAT2B	1.2341113432738557
CCNT2	PNKD	1.2341113432738555
CCNT2	CCNYL1	1.0551016181686426
CCNT2	FAS	1.3812885266674402
CCNT2	PTX3	1.2341113432738557
CCNT2	NFE2L2	1.2341113432738557
SPI1	OR8I2	1.3812885266674402
SPI1	SNORD115-8	1.3812885266674402
SPI1	PWWP2B	1.3812885266674402
SPI1	MRGPRF	1.0551016181686426
SPI1	FLJ12825	1.3812885266674402
SPI1	AQP2	1.0551016181686426
SPI1	OR4Q3	1.3812885266674402
SPI1	OR5D18	1.3812885266674402
SPI1	OR10W1	1.3812885266674402
SPI1	KRTAP7-1	1.3812885266674402
SPI1	PRR20C	1.3812885266674402
SPI1	TTTY22	1.3812885266674402
SPI1	MAGEA5	1.3812885266674402
SPI1	OR5D13	1.3812885266674402
SPI1	TMEM8B	1.3812885266674402
SPI1	EPHA5	1.3812885266674402
SPI1	CHIA	1.3812885266674402
SPI1	IQCF3	1.0551016181686426
SPI1	NKX2-6	1.0551016181686426
SPI1	TAAR9	1.3812885266674402
SPI1	NPFF	1.3812885266674402
SPI1	CTRB1	1.3812885266674402
SPI1	EPR1	1.3812885266674402
SPI1	LOC285796	1.3812885266674402
SPI1	WDR72	1.2341113432738557
SPI1	C22orf34	1.3812885266674402
SPI1	LOC286094	1.3812885266674402
SPI1	TAS2R16	1.3812885266674402
SPI1	LOC643923	1.3812885266674402
SPI1	RNASE1	1.2341113432738557
SPI1	AAA1	1.3812885266674402
SPI1	GCAT	1.3812885266674402
SPI1	OR52M1	1.2341113432738557
SPI1	FCAMR	1.0551016181686426
SPI1	FLJ40852	1.3812885266674402
SPI1	CLDN4	1.3812885266674402
SPI1	SPINT1	1.3812885266674402
SPI1	C14orf86	1.3812885266674402
SPI1	KRTAP4-11	1.3812885266674402
SPI1	NCRNA00200	1.3812885266674402
SPI1	RBP1	1.3812885266674402
SPI1	OR6C6	1.3812885266674402
SPI1	CFLP1	1.3812885266674402
SPI1	KRTAP20-1	1.3812885266674402
SPI1	CBLL1	1.3812885266674402
SPI1	PFN3	1.3812885266674402
SPI1	RNF121	1.3812885266674402
SPI1	KPRP	1.0551016181686426
SPI1	C17orf102	1.3812885266674402
SPI1	OR9I1	1.3812885266674402
SPI1	SNORD114-8	1.3812885266674402
SPI1	HHLA1	1.3812885266674402
SPI1	DEFB109P1	1.3812885266674402
SPI1	SLC22A2	1.0551016181686426
SPI1	DAZ4	1.3812885266674402
SPI1	SNORD115-32	1.0551016181686426
SPI1	OR1I1	1.3812885266674402
SPI1	LOC100129935	1.3812885266674402
SPI1	SDSL	1.0551016181686426
SPI1	SNORA5C	1.3812885266674402
SPI1	NEU2	1.3812885266674402
SPI1	NCRNA00235	1.3812885266674402
SPI1	OR5M10	1.3812885266674402
SPI1	A2BP1	1.3812885266674402
SPI1	LOC84856	1.3812885266674402
SPI1	MAGEC2	1.3812885266674402
SPI1	NCRNA00119	1.3812885266674402
SPI1	NKX2-5	1.0551016181686426
SPI1	HOXC8	1.3812885266674402
SPI1	FZD1	1.3812885266674402
SPI1	GLYATL1	1.3812885266674402
SPI1	SYNRG	1.3812885266674402
SPI1	KRTAP8-1	1.3812885266674402
SPI1	OR2J3	1.3812885266674402
SPI1	PRG1	1.3812885266674402
SPI1	TMEM192	1.3812885266674402
SPI1	OR4N2	1.3812885266674402
SPI1	C21orf96	1.3812885266674402
SPI1	IGFL1	1.3812885266674402
SPI1	OR5P2	1.0551016181686426
SPI1	A1CF	1.3812885266674402
SPI1	LOC158696	1.3812885266674402
SPI1	FERMT1	1.3812885266674402
SPI1	LOC100130987	1.3812885266674402
SPI1	CCDC64B	1.3812885266674402
SPI1	PPP1R1C	1.0551016181686426
SPI1	OR9G4	1.3812885266674402
SPI1	SLC22A7	1.3812885266674402
SPI1	SNORA41	1.3812885266674402
SPI1	COX7B	1.3812885266674402
SPI1	IL20	1.0551016181686426
SPI1	RBMY3AP	1.3812885266674402
SPI1	IL26	1.3812885266674402
SPI1	EFCAB3	1.3812885266674402
SPI1	LOC285501	1.3812885266674402
SPI1	C6orf47	1.3812885266674402
SPI1	FRG2B	1.3812885266674402
SPI1	C8A	1.3812885266674402
SPI1	SNAR-D	1.3812885266674402
SPI1	UPF0639	1.3812885266674402
SPI1	C14orf178	1.3812885266674402
SPI1	SPANXN2	1.3812885266674402
SPI1	MMP27	1.3812885266674402
SPI1	RBPMS2	1.3812885266674402
SPI1	SULT1C4	1.3812885266674402
SPI1	OR4D1	1.3812885266674402
SPI1	SFTPB	1.3812885266674402
SPI1	RBMY1E	1.3812885266674402
SPI1	MYOC	1.3812885266674402
SPI1	KIF25	1.3812885266674402
SPI1	KRT32	1.3812885266674402
SPI1	LOC283332	1.3812885266674402
SPI1	KRTAP9-9	1.3812885266674402
SPI1	GSTTP2	1.3812885266674402
SPI1	SERPINB6	1.0551016181686426
SPI1	MMP13	1.0551016181686426
SPI1	OR6X1	1.0551016181686426
SPI1	RIPPLY2	1.3812885266674402
SPI1	FRG2	1.3812885266674402
SPI1	FIBIN	1.3812885266674402
SPI1	CYLC2	1.3812885266674402
SPI1	OR4A15	1.3812885266674402
SPI1	PRR23C	1.3812885266674402
SPI1	SNORA70C	1.3812885266674402
SPI1	SERPINB10	1.2341113432738557
SPI1	FAM47C	1.2341113432738557
SPI1	OR8K1	1.3812885266674402
SPI1	DEFB128	1.3812885266674402
SPI1	OR10H5	1.3812885266674402
SPI1	OR10H4	1.3812885266674402
SPI1	SAA4	1.3812885266674402
SPI1	HOXD12	1.3812885266674402
SPI1	LYZL2	1.3812885266674402
SPI1	VWCE	1.3812885266674402
SPI1	SLED1	1.3812885266674402
SPI1	NCRNA00160	1.3812885266674402
SPI1	OR4S2	1.3812885266674402
SPI1	OR4S1	1.3812885266674402
