Regulator	Target	MI
ATF1	SNORA11D	1.0551016181686426
ATF1	CRELD1	1.1017971915988418
ATF1	RNF152	1.116660223317413
FOXA1	SGCA	1.1017971915988418
FOXA1	PPP2R5E	1.116660223317413
FOXA1	MYH11	1.116660223317413
FOXA1	CNGA4	1.1017971915988418
FOXA1	NBPF16	1.1017971915988418
FOXA1	TIGD1	1.116660223317413
ATF2	ATM	1.0551016181686426
ATF2	GABPA	1.0551016181686426
CCNT2	CLDND1	1.116660223317413
CCNT2	RABGAP1	1.0551016181686426
CCNT2	UBA7	1.1017971915988418
CCNT2	RNMT	1.116660223317413
CCNT2	ARID4B	1.0551016181686426
CCNT2	CDC14B	1.1017971915988418
CCNT2	DNMT3L	1.0551016181686426
CCNT2	RASSF1	1.2341113432738557
CCNT2	MED13	1.0551016181686426
CCNT2	SGCD	1.1017971915988418
CCNT2	SIT1	1.1017971915988418
CCNT2	KIAA1468	1.0551016181686426
CCNT2	TNS3	1.0551016181686426
CCNT2	ARHGEF33	1.2341113432738557
CCNT2	ACBD5	1.2341113432738557
CCNT2	C1orf85	1.2341113432738557
CCNT2	BRPF1	1.2341113432738557
CCNT2	OR6N1	1.2341113432738557
CCNT2	FTSJD2	1.2341113432738557
CCNT2	MARCH6	1.3812885266674402
CCNT2	CXorf21	1.1017971915988418
CCNT2	PAN3	1.0551016181686426
CCNT2	SNTN	1.116660223317413
CCNT2	NCRNA00201	1.0551016181686426
CCNT2	TTC4	1.2341113432738555
CCNT2	ALDOC	1.2341113432738555
CCNT2	CALM3	1.1017971915988418
CCNT2	CGGBP1	1.2341113432738557
CCNT2	MAD2L1	1.2341113432738557
CCNT2	PLIN5	1.1017971915988418
SMARCB1	FLG	1.1649599709324299
SMARCB1	ZNF394	1.1017971915988418
SMARCB1	MAST4	1.2341113432738555
SMARCB1	PLA2G1B	1.2341113432738555
SMARCB1	IFIT1	1.1649599709324299
SMARCB1	CCDC102B	1.1017971915988418
SMARCB1	TRO	1.1017971915988418
SMARCB1	SGCD	1.2341113432738555
SMARCB1	SIT1	1.2341113432738555
SMARCB1	B4GALNT1	1.2341113432738557
SMARCB1	TRIM6-TRIM34	1.0551016181686426
SMARCB1	C1orf91	1.2341113432738555
SMARCB1	CENPV	1.2341113432738557
SMARCB1	MPP4	1.116660223317413
SMARCB1	CCDC138	1.116660223317413
SMARCB1	SNORD12C	1.1649599709324299
SMARCB1	SNORD88B	1.1017971915988418
SMARCB1	XAGE1D	1.0551016181686426
SMARCB1	TAP2	1.116660223317413
SMARCB1	TBC1D8	1.2341113432738557
SMARCB1	TRIP4	1.1017971915988418
SMARCB1	KIAA1024	1.1017971915988418
SMARCB1	SLC6A11	1.1649599709324299
SMARCB1	ACVR2B	1.1017971915988418
SMARCB1	POLR1C	1.2341113432738557
SMARCB1	SNAI1	1.2341113432738555
SMARCB1	CALM3	1.2341113432738555
SPI1	LRRC14B	1.3812885266674402
SPI1	SNORD115-8	1.3812885266674402
SPI1	SNORD115-9	1.3812885266674402
SPI1	PWWP2B	1.3812885266674402
SPI1	SPINT4	1.3812885266674402
SPI1	FLJ12825	1.3812885266674402
SPI1	OR4K17	1.3812885266674402
SPI1	NBLA00301	1.3812885266674402
SPI1	SNORD115-3	1.3812885266674402
SPI1	TDO2	1.3812885266674402
SPI1	SNORA35	1.3812885266674402
SPI1	SNORA1	1.3812885266674402
SPI1	TMEM8B	1.3812885266674402
SPI1	FLJ45983	1.3812885266674402
SPI1	HDGFRP2	1.3812885266674402
SPI1	C22orf34	1.3812885266674402
SPI1	ZNF12	1.0551016181686426
SPI1	LOC643923	1.3812885266674402
SPI1	PDYN	1.3812885266674402
SPI1	AAA1	1.3812885266674402
SPI1	CLDN4	1.3812885266674402
SPI1	HGC6.3	1.3812885266674402
SPI1	MYL7	1.3812885266674402
SPI1	SLC5A9	1.3812885266674402
SPI1	OPTC	1.3812885266674402
SPI1	RBP1	1.3812885266674402
SPI1	SPARCL1	1.3812885266674402
SPI1	CELA3B	1.3812885266674402
SPI1	HHLA1	1.3812885266674402
SPI1	TTYH2	1.3812885266674402
SPI1	KRTAP27-1	1.3812885266674402
SPI1	LOC285205	1.3812885266674402
SPI1	TPRG1L	1.3812885266674402
SPI1	DAZ2	1.3812885266674402
SPI1	EDDM3A	1.3812885266674402
SPI1	DAZ1	1.3812885266674402
SPI1	EDDM3B	1.3812885266674402
SPI1	TEX28	1.3812885266674402
SPI1	SNORA5C	1.3812885266674402
SPI1	C3	1.0551016181686426
SPI1	HPX	1.3812885266674402
SPI1	C7	1.0551016181686426
SPI1	GRPEL1	1.3812885266674402
SPI1	NCRNA00112	1.3812885266674402
SPI1	SCGB1D4	1.3812885266674402
SPI1	LOC100132111	1.0551016181686426
SPI1	VTI1B	1.3812885266674402
SPI1	OR2J2	1.3812885266674402
SPI1	OR4N2	1.3812885266674402
SPI1	NBPF22P	1.3812885266674402
SPI1	SNUPN	1.3812885266674402
SPI1	LOC285692	1.3812885266674402
SPI1	FAM135B	1.3812885266674402
SPI1	TDP2	1.3812885266674402
SPI1	TDP1	1.3812885266674402
SPI1	NOX4	1.3812885266674402
SPI1	SNORA46	1.3812885266674402
SPI1	NCRNA00107	1.3812885266674402
SPI1	SNORA41	1.3812885266674402
SPI1	SNORA42	1.3812885266674402
SPI1	C7orf53	1.3812885266674402
SPI1	OR10J1	1.0551016181686426
SPI1	LOC285627	1.3812885266674402
SPI1	LOC440173	1.3812885266674402
SPI1	OR10J5	1.3812885266674402
SPI1	SNAR-I	1.3812885266674402
SPI1	CSDAP1	1.3812885266674402
SPI1	FRG2B	1.3812885266674402
SPI1	ANXA8L2	1.3812885266674402
SPI1	HOXC11	1.3812885266674402
SPI1	AACS	1.3812885266674402
SPI1	MMP21	1.3812885266674402
SPI1	SNAR-D	1.3812885266674402
SPI1	MMP27	1.3812885266674402
SPI1	OR6Y1	1.3812885266674402
SPI1	POM121L1P	1.3812885266674402
SPI1	C7orf41	1.3812885266674402
SPI1	LOC339568	1.3812885266674402
SPI1	RBMY1F	1.3812885266674402
SPI1	RBMY1E	1.3812885266674402
SPI1	MYOC	1.3812885266674402
SPI1	CSN1S2A	1.0551016181686426
SPI1	DUSP9	1.2341113432738557
SPI1	MRPL53	1.3812885266674402
SPI1	SLC7A5	1.3812885266674402
SPI1	TEDDM1	1.3812885266674402
SPI1	RBMY1B	1.3812885266674402
SPI1	SNORA63	1.3812885266674402
SPI1	KRTAP25-1	1.3812885266674402
SPI1	RNASEL	1.3812885266674402
SPI1	C20orf186	1.3812885266674402
SPI1	SAMD8	1.3812885266674402
SPI1	SERPINB13	1.3812885266674402
SPI1	STAU1	1.3812885266674402
SPI1	CRCT1	1.3812885266674402
SPI1	LOC284798	1.3812885266674402
SPI1	OR10H4	1.3812885266674402
SPI1	KCNA7	1.3812885266674402
SPI1	OVCA2	1.3812885266674402
SPI1	NCRNA00160	1.3812885266674402
SPI1	OR4S2	1.3812885266674402
SPI1	NCRNA00159	1.3812885266674402
SPI1	NCRNA00158	1.0551016181686426
SPI1	NCRNA00157	1.3812885266674402
SPI1	PABPC1P2	1.3812885266674402
SPI1	NTF3	1.3812885266674402
SPI1	ANO10	1.3812885266674402
SPI1	KRTAP2-4	1.3812885266674402
SPI1	KRTAP2-1	1.3812885266674402
SPI1	LOC29034	1.3812885266674402
SPI1	C4orf7	1.3812885266674402
SPI1	LOC144486	1.3812885266674402
SPI1	MBD3	1.3812885266674402
SPI1	MBD4	1.3812885266674402
SPI1	GSX1	1.3812885266674402
SPI1	OR10G2	1.0551016181686426
SPI1	GSX2	1.3812885266674402
SPI1	OR10G3	1.3812885266674402
SPI1	C22orf13	1.3812885266674402
SPI1	FABP9	1.3812885266674402
SPI1	PASD1	1.3812885266674402
SPI1	GPR50	1.3812885266674402
SPI1	FAM92A3	1.3812885266674402
SPI1	FABP1	1.0551016181686426
SPI1	SPSB1	1.0551016181686426
SPI1	LOC653544	1.3812885266674402
SPI1	OR10G9	1.3812885266674402
SPI1	ZNF451	1.3812885266674402
SPI1	LOC257358	1.3812885266674402
SPI1	LOC283404	1.3812885266674402
SPI1	LOC654433	1.2341113432738557
SPI1	MUM1	1.3812885266674402
SPI1	DEFB1	1.3812885266674402
SPI1	MSI1	1.3812885266674402
SPI1	FBXO24	1.3812885266674402
SPI1	SNAR-G1	1.3812885266674402
SPI1	KPNA7	1.3812885266674402
SPI1	POTEA	1.3812885266674402
SPI1	POTEC	1.0551016181686426
SPI1	LOC284749	1.3812885266674402
SPI1	IFNA14	1.3812885266674402
SPI1	GPR78	1.3812885266674402
SPI1	LOC255167	1.3812885266674402
SPI1	UBE2E2	1.3812885266674402
SPI1	CNPY2	1.3812885266674402
SPI1	SDCBP2	1.3812885266674402
SPI1	FRMD1	1.3812885266674402
SPI1	NPAS4	1.0551016181686426
SPI1	OR2T2	1.3812885266674402
SPI1	OR4X2	1.0551016181686426
SPI1	LOC348021	1.3812885266674402
SPI1	LY6D	1.3812885266674402
SPI1	SMS	1.3812885266674402
SPI1	LY6H	1.3812885266674402
SPI1	KIAA0408	1.3812885266674402
SPI1	REG3A	1.3812885266674402
SPI1	LOC145783	1.3812885266674402
SPI1	LOC285847	1.0551016181686426
SPI1	HBII-52-46	1.3812885266674402
SPI1	HBII-52-45	1.3812885266674402
SPI1	REG3G	1.3812885266674402
SPI1	ATXN3	1.3812885266674402
