Regulator	Target	MI
FOXA1	G6PD	1.1017971915988418
FOXA1	ZNF449	1.116660223317413
FOXA1	C2orf18	1.1017971915988418
ATF2	BECN1	1.116660223317413
ATF2	SLBP	1.1017971915988418
ATF2	VIPR1	1.2341113432738557
ATF2	C16orf81	1.2341113432738557
ATF2	CCDC120	1.3812885266674402
ATF2	MLLT3	1.116660223317413
ATF2	NR2C2	1.2341113432738555
ATF2	RAB22A	1.116660223317413
ATF2	ARFRP1	1.3812885266674402
ATF2	SENP7	1.2341113432738555
ATF2	SLC25A29	1.1017971915988418
ATF2	DPYSL4	1.2341113432738557
ATF2	GNG4	1.2341113432738557
ATF2	MAN1A2	1.0551016181686426
ATF2	H1FX	1.1017971915988418
ATF2	BPTF	1.0551016181686426
ATF2	TBC1D10B	1.2341113432738557
ATF2	CDKN2D	1.2341113432738557
ATF2	CCDC39	1.2341113432738555
ATF2	DR1	1.3812885266674402
ATF2	SF3A2	1.0551016181686426
ATF2	ANXA4	1.2341113432738557
ATF2	TRAPPC4	1.116660223317413
ATF2	SUPT5H	1.2341113432738557
ATF2	BYSL	1.3812885266674402
ATF2	CYP2W1	1.1017971915988418
ATF2	BRMS1	1.0551016181686426
ATF2	SYPL1	1.116660223317413
ATF2	TBPL2	1.2341113432738555
ATF2	FGFR1OP	1.2341113432738557
ATF2	PIN1L	1.3812885266674402
ATF2	POLR1E	1.1017971915988418
ATF2	TBC1D25	1.0551016181686426
ATF2	KCTD11	1.3812885266674402
ATF2	UHRF1BP1	1.3812885266674402
ATF2	HSPA1A	1.2341113432738555
CCNT2	CRTC2	1.2341113432738557
CCNT2	SNORA4	1.0551016181686426
CCNT2	HSPB6	1.1017971915988418
CCNT2	SFRS2B	1.0551016181686426
CCNT2	ZDHHC1	1.0551016181686426
CCNT2	ALKBH6	1.2341113432738557
CCNT2	SOX2	1.2341113432738557
CCNT2	LOC285074	1.0551016181686426
CCNT2	MED14	1.0551016181686426
CCNT2	SLC22A14	1.0551016181686426
CCNT2	ZUFSP	1.0551016181686426
CCNT2	CSRP1	1.116660223317413
CCNT2	KIAA1468	1.0551016181686426
CCNT2	FAM53B	1.2341113432738557
CCNT2	POLK	1.0551016181686426
CCNT2	SNORA76	1.0551016181686426
CCNT2	ATXN7L3	1.2341113432738557
CCNT2	EPM2A	1.0551016181686426
CCNT2	PCYT1B	1.2341113432738557
CCNT2	IRAK3	1.116660223317413
CCNT2	RANGAP1	1.0551016181686426
CCNT2	ATRN	1.0551016181686426
CCNT2	CYP2U1	1.0551016181686426
CCNT2	LIX1	1.2341113432738557
CCNT2	NCRNA00201	1.0551016181686426
CCNT2	PHIP	1.0551016181686426
CCNT2	SNORA74B	1.0551016181686426
CCNT2	TAX1BP3	1.2341113432738557
CCNT2	SNORD43	1.0551016181686426
CCNT2	GAPDH	1.0551016181686426
CCNT2	TRIM56	1.2341113432738557
CCNT2	SNORA62	1.0551016181686426
CCNT2	ZNF592	1.0551016181686426
CCNT2	DAPL1	1.2341113432738557
CCNT2	ARHGAP19	1.2341113432738557
CCNT2	WDR62	1.0551016181686426
CCNT2	CLN8	1.0551016181686426
CCNT2	HSD17B8	1.1017971915988418
CCNT2	SFRS6	1.0551016181686426
CCNT2	RNF113A	1.0551016181686426
CCNT2	FAM184B	1.0551016181686426
CCNT2	KIAA0753	1.0551016181686426
CCNT2	ACBD5	1.2341113432738557
CCNT2	SNORD12B	1.0551016181686426
CCNT2	DMRT2	1.2341113432738557
CCNT2	FTSJD2	1.2341113432738557
CCNT2	MARCH6	1.0551016181686426
CCNT2	TTC18	1.0551016181686426
CCNT2	HIPK3	1.0551016181686426
CCNT2	WARS2	1.2341113432738557
CCNT2	PAN3	1.0551016181686426
CCNT2	TARM1	1.0551016181686426
CCNT2	CCNYL1	1.0551016181686426
CCNT2	OGT	1.0551016181686426
CCNT2	VSX2	1.116660223317413
SMARCB1	PTPRT	1.2341113432738557
SMARCB1	TAS2R7	1.2341113432738555
SMARCB1	C1orf156	1.116660223317413
SMARCB1	CATSPER4	1.1017971915988418
SMARCB1	CLTB	1.2341113432738557
SMARCB1	LRRC32	1.2341113432738557
SMARCB1	PHRF1	1.116660223317413
SMARCB1	FBLN5	1.2341113432738555
SMARCB1	FAM134C	1.116660223317413
SMARCB1	RIMS2	1.2341113432738555
SMARCB1	SLC25A27	1.2341113432738555
SMARCB1	ESPNL	1.1017971915988418
SMARCB1	LOC100128164	1.1017971915988418
SMARCB1	ITGB8	1.1017971915988418
SMARCB1	MLYCD	1.2341113432738555
SMARCB1	C1orf226	1.2341113432738555
SMARCB1	BRAP	1.116660223317413
SMARCB1	DNAH17	1.1017971915988418
SMARCB1	MSL3	1.2341113432738555
SMARCB1	TRIP4	1.1017971915988418
SMARCB1	GATAD2A	1.116660223317413
SMARCB1	LOC151174	1.1017971915988418
SMARCB1	MEIS1	1.3812885266674402
SMARCB1	THAP7	1.3812885266674402
SMARCB1	LOC390595	1.2341113432738555
SMARCB1	BTK	1.2341113432738557
SMARCB1	C9orf57	1.2341113432738555
SMARCB1	PPIE	1.2341113432738557
SMARCB1	EIF1B	1.1017971915988418
SMARCB1	PCYOX1	1.1017971915988418
SPI1	LRRC14B	1.0551016181686426
SPI1	SNORD115-8	1.0551016181686426
SPI1	C10orf41	1.0551016181686426
SPI1	LOC285548	1.0551016181686426
SPI1	OR11H1	1.0551016181686426
SPI1	DCAF8	1.0551016181686426
SPI1	OR2M4	1.0551016181686426
SPI1	CWH43	1.0551016181686426
SPI1	NBLA00301	1.3812885266674402
SPI1	SNORD115-3	1.0551016181686426
SPI1	LOC100133308	1.0551016181686426
SPI1	CDK5RAP1	1.0551016181686426
SPI1	PRR20B	1.0551016181686426
SPI1	PWWP2A	1.3812885266674402
SPI1	SNORA1	1.0551016181686426
SPI1	FAM19A5	1.116660223317413
SPI1	NCRNA00219	1.0551016181686426
SPI1	SULT2A1	1.0551016181686426
SPI1	CHIA	1.3812885266674402
SPI1	MGC57346	1.0551016181686426
SPI1	TAAR6	1.0551016181686426
SPI1	OR11G2	1.3812885266674402
SPI1	SOX13	1.3812885266674402
SPI1	HDGFRP2	1.0551016181686426
SPI1	SOX11	1.3812885266674402
SPI1	LCE1E	1.0551016181686426
SPI1	LOC284100	1.0551016181686426
SPI1	LCE1C	1.0551016181686426
SPI1	OR5R1	1.0551016181686426
SPI1	LCE2C	1.3812885266674402
SPI1	NCRNA00202	1.3812885266674402
SPI1	HGC6.3	1.0551016181686426
SPI1	NGFRAP1	1.0551016181686426
SPI1	OPTC	1.0551016181686426
SPI1	NCRNA00200	1.0551016181686426
SPI1	SNORD86	1.0551016181686426
SPI1	GTSF1	1.0551016181686426
SPI1	LOC441046	1.0551016181686426
SPI1	SPANXA2	1.0551016181686426
SPI1	CELA3B	1.0551016181686426
SPI1	SYCP2L	1.0551016181686426
SPI1	DAZ2	1.3812885266674402
SPI1	XPC	1.0551016181686426
SPI1	LOC731779	1.0551016181686426
SPI1	SNORD114-2	1.0551016181686426
SPI1	ADH7	1.3812885266674402
SPI1	SLC5A2	1.3812885266674402
SPI1	SNORD114-4	1.3812885266674402
SPI1	OR5M11	1.3812885266674402
SPI1	NCRNA00235	1.3812885266674402
SPI1	GRPEL1	1.3812885266674402
SPI1	NCRNA00111	1.3812885266674402
SPI1	SCGB1D4	1.3812885266674402
SPI1	A2BP1	1.0551016181686426
SPI1	MGC16703	1.0551016181686426
SPI1	PLAC1	1.3812885266674402
SPI1	NCRNA00119	1.0551016181686426
SPI1	VTI1B	1.0551016181686426
SPI1	CT47A10	1.0551016181686426
SPI1	BTBD17	1.0551016181686426
SPI1	ST13	1.3812885266674402
SPI1	TMEM192	1.0551016181686426
SPI1	OR4N2	1.0551016181686426
SPI1	LOC285696	1.3812885266674402
SPI1	LOC731789	1.0551016181686426
SPI1	A1CF	1.0551016181686426
SPI1	GRIN2B	1.0551016181686426
SPI1	ISX	1.3812885266674402
SPI1	PGA4	1.0551016181686426
SPI1	THAP11	1.0551016181686426
SPI1	FAM123C	1.0551016181686426
SPI1	FERMT1	1.3812885266674402
SPI1	LOC730101	1.3812885266674402
SPI1	SLC6A6	1.3812885266674402
SPI1	XKR7	1.0551016181686426
SPI1	TCN2	1.0551016181686426
SPI1	FXYD3	1.116660223317413
SPI1	TDP2	1.3812885266674402
SPI1	NCRNA00107	1.0551016181686426
SPI1	ADC	1.3812885266674402
SPI1	BTG4	1.0551016181686426
SPI1	C7orf53	1.3812885266674402
SPI1	SFTA2	1.0551016181686426
SPI1	GABRB2	1.3812885266674402
SPI1	LOC285629	1.0551016181686426
SPI1	SERPINA3	1.3812885266674402
SPI1	LOC440173	1.3812885266674402
SPI1	OR10J5	1.3812885266674402
SPI1	SNAR-I	1.3812885266674402
SPI1	KRTAP26-1	1.0551016181686426
SPI1	SNAR-E	1.3812885266674402
SPI1	FMN2	1.0551016181686426
SPI1	PYGL	1.3812885266674402
SPI1	SERPINA9	1.3812885266674402
SPI1	SNAR-H	1.3812885266674402
SPI1	SERPINA6	1.0551016181686426
SPI1	HOXC10	1.0551016181686426
SPI1	MMP21	1.3812885266674402
SPI1	C11orf88	1.3812885266674402
SPI1	LRRC31	1.0551016181686426
SPI1	C18orf62	1.3812885266674402
SPI1	GAST	1.3812885266674402
SPI1	KRTAP1-3	1.0551016181686426
SPI1	POM121L1P	1.3812885266674402
SPI1	CHST8	1.116660223317413
SPI1	C7orf41	1.0551016181686426
SPI1	SERPINB4	1.0551016181686426
SPI1	RBMY1F	1.0551016181686426
SPI1	RBMY1E	1.0551016181686426
SPI1	MSGN1	1.0551016181686426
SPI1	EN2	1.0551016181686426
SPI1	CSN1S2A	1.0551016181686426
SPI1	PAX1	1.3812885266674402
SPI1	SLC7A5	1.0551016181686426
SPI1	RIPPLY2	1.3812885266674402
SPI1	TAL2	1.0551016181686426
SPI1	OR52A4	1.3812885266674402
SPI1	C13orf28	1.3812885266674402
SPI1	RGR	1.0551016181686426
SPI1	SNORA63	1.0551016181686426
SPI1	OR52A5	1.0551016181686426
SPI1	NPSR1	1.0551016181686426
SPI1	KRTAP25-1	1.0551016181686426
SPI1	LOC338588	1.0551016181686426
SPI1	C20orf186	1.0551016181686426
SPI1	TP53I13	1.0551016181686426
SPI1	OR10H3	1.0551016181686426
SPI1	LOC285768	1.0551016181686426
SPI1	SPESP1	1.116660223317413
SPI1	NCRNA00162	1.0551016181686426
SPI1	KCNA4	1.0551016181686426
SPI1	HOXD13	1.0551016181686426
SPI1	AFP	1.3812885266674402
SPI1	LOC284551	1.0551016181686426
SPI1	OR4S2	1.3812885266674402
SPI1	PRAMEF5	1.3812885266674402
SPI1	PRAMEF4	1.3812885266674402
SPI1	TCOF1	1.0551016181686426
SPI1	NCRNA00157	1.0551016181686426
SPI1	LOC100129055	1.3812885266674402
SPI1	KRTAP2-4	1.0551016181686426
SPI1	CCL18	1.0551016181686426
SPI1	PPY2	1.3812885266674402
SPI1	KRTAP2-1	1.3812885266674402
SPI1	LOC100190986	1.0551016181686426
SPI1	CCL16	1.3812885266674402
SPI1	ZIM2	1.3812885266674402
SPI1	RPRM	1.0551016181686426
SPI1	GABRA5	1.0551016181686426
SPI1	MBD1	1.0551016181686426
SPI1	FABP9	1.3812885266674402
SPI1	GUCA2B	1.3812885266674402
SPI1	NCRNA00152	1.0551016181686426
SPI1	POU4F2	1.3812885266674402
SPI1	FABP1	1.0551016181686426
SPI1	LOC100130148	1.3812885266674402
SPI1	NCRNA00028	1.3812885266674402
SPI1	RYBP	1.3812885266674402
SPI1	LCE4A	1.0551016181686426
SPI1	VEPH1	1.3812885266674402
SPI1	GPR149	1.0551016181686426
SPI1	OR10G8	1.3812885266674402
