Regulator	Target	MI
ATF1	FAM177B	1.1649599709324299
ATF1	RBL2	1.0551016181686426
ATF1	PSMC1	1.1649599709324299
ATF1	LOC221442	1.1649599709324299
ATF1	PREP	1.116660223317413
ATF1	EMB	1.2341113432738555
ATF1	LGALS9	1.1649599709324299
ATF1	CBFA2T3	1.1017971915988418
ATF1	MTA3	1.116660223317413
ATF1	TRDMT1	1.2341113432738555
FOXA1	PAQR8	1.1017971915988418
FOXA1	WDR27	1.2341113432738557
FOXA1	AGPAT6	1.2341113432738555
FOXA1	CCL24	1.2341113432738557
FOXA1	SPAG7	1.116660223317413
FOXA1	TBCEL	1.1017971915988418
FOXA1	GBP7	1.116660223317413
FOXA1	C1orf198	1.2341113432738557
FOXA1	PLLP	1.1017971915988418
FOXA1	HCG27	1.1017971915988418
FOXA1	LRP4	1.3812885266674402
FOXA1	SLC7A13	1.1017971915988418
FOXA1	TRH	1.1017971915988418
FOXA1	OVOL1	1.2341113432738555
FOXA1	SEL1L3	1.2341113432738555
FOXA1	TMEM82	1.1017971915988418
FOXA1	COQ3	1.2341113432738557
FOXA1	PSTPIP1	1.1017971915988418
FOXA1	ARL6IP5	1.2341113432738555
FOXA1	GPR148	1.1017971915988418
FOXA1	VHLL	1.2341113432738557
FOXA1	IL6ST	1.1017971915988418
FOXA1	CCDC90B	1.2341113432738555
FOXA1	CNTLN	1.1017971915988418
ATF2	PHF3	1.0551016181686426
ATF2	INO80E	1.0551016181686426
ATF2	STX18	1.0551016181686426
ATF2	CXCL1	1.0551016181686426
ATF2	PIK3R1	1.0551016181686426
ATF2	NPIP	1.3812885266674402
ATF2	H1FOO	1.0551016181686426
ATF2	PURB	1.0551016181686426
ATF2	AP3M1	1.0551016181686426
ATF2	DCAF16	1.0551016181686426
ATF2	SBNO2	1.3812885266674402
ATF2	SRR	1.3812885266674402
ATF2	CAPN7	1.3812885266674402
ATF2	RPS6KC1	1.3812885266674402
ATF2	FAM73A	1.3812885266674402
ATF2	EPC2	1.0551016181686426
ATF2	RPRML	1.0551016181686426
ATF2	RBBP7	1.0551016181686426
ATF2	MYST4	1.0551016181686426
ATF2	AQR	1.0551016181686426
ATF2	RANBP3	1.0551016181686426
ATF2	WARS	1.3812885266674402
ATF2	ALG14	1.3812885266674402
ATF2	MSL2	1.0551016181686426
ATF2	ARID3A	1.3812885266674402
