Regulator	Target	MI
ATF1	POLM	1.1017971915988418
ATF1	LRP2BP	1.1017971915988418
ATF2	MRPL42	1.116660223317413
ATF2	LOC389634	1.1017971915988418
ATF2	DNAJC15	1.0551016181686426
CCNT2	CNTFR	1.3812885266674402
CCNT2	DOCK5	1.116660223317413
CCNT2	MTFMT	1.2341113432738557
CCNT2	NXT1	1.2341113432738557
CCNT2	USPL1	1.3812885266674402
CCNT2	MTMR11	1.116660223317413
CCNT2	TRRAP	1.1017971915988418
CCNT2	SLC35B1	1.0551016181686426
CCNT2	PRSS21	1.1017971915988418
CCNT2	CALB1	1.1017971915988418
CCNT2	ADAMTS1	1.2341113432738555
CCNT2	ANXA8	1.1649599709324299
CCNT2	C14orf139	1.116660223317413
CCNT2	EDN1	1.1649599709324299
CCNT2	LOC150786	1.1017971915988418
CCNT2	PAPD4	1.116660223317413
CCNT2	ARMC8	1.1017971915988418
CCNT2	HPCAL4	1.1649599709324299
CCNT2	IQCK	1.2341113432738555
CCNT2	ELF2	1.0551016181686426
CCNT2	LOC100128573	1.0551016181686426
CCNT2	THAP9	1.1017971915988418
CCNT2	EXOC3	1.1649599709324299
CCNT2	OR2B11	1.2341113432738555
CCNT2	DNASE1	1.1649599709324299
CCNT2	FBP1	1.1017971915988418
CCNT2	TRIM11	1.2341113432738557
CCNT2	LRPAP1	1.1649599709324299
CCNT2	NFAT5	1.0551016181686426
CCNT2	VAC14	1.2341113432738557
CCNT2	RABGAP1	1.0551016181686426
CCNT2	IFI6	1.1017971915988418
CCNT2	SEMA3G	1.1649599709324299
CCNT2	XIAP	1.1017971915988418
CCNT2	AGAP3	1.2341113432738557
CCNT2	HSN2	1.3812885266674402
CCNT2	C14orf156	1.2341113432738557
CCNT2	ANKH	1.3812885266674402
CCNT2	POLR2A	1.3812885266674402
CCNT2	C10orf12	1.2341113432738557
CCNT2	SLIT2	1.1017971915988418
CCNT2	MORC1	1.1649599709324299
CCNT2	ZNF225	1.2341113432738557
CCNT2	ZNF146	1.2341113432738557
CCNT2	GLYATL2	1.2341113432738555
CCNT2	CDSN	1.3812885266674402
CCNT2	MBD6	1.0551016181686426
CCNT2	LAMB3	1.1017971915988418
CCNT2	KLHDC1	1.3812885266674402
CCNT2	PHC3	1.0551016181686426
CCNT2	ZFP91-CNTF	1.2341113432738557
CCNT2	ANKRD20A3	1.1649599709324299
CCNT2	EHD3	1.1017971915988418
CCNT2	TRIP6	1.116660223317413
CCNT2	LTBR	1.1649599709324299
CCNT2	PRRT4	1.2341113432738557
CCNT2	C9orf95	1.2341113432738557
CCNT2	SPG21	1.2341113432738557
SMARCB1	LRRC14	1.116660223317413
SMARCB1	ZNF691	1.0551016181686426
SMARCB1	ARG1	1.0551016181686426
SMARCB1	SURF2	1.0551016181686426
SMARCB1	CDNF	1.0551016181686426
SMARCB1	MRS2P2	1.0551016181686426
SMARCB1	PHRF1	1.0551016181686426
SMARCB1	LOC100129637	1.0551016181686426
SMARCB1	C6orf70	1.0551016181686426
SMARCB1	C8G	1.0551016181686426
SMARCB1	TCN1	1.1017971915988418
SMARCB1	MTERFD1	1.0551016181686426
SMARCB1	TMEM208	1.0551016181686426
SMARCB1	PRTN3	1.1017971915988418
SMARCB1	ZNF502	1.0551016181686426
SMARCB1	TJP3	1.0551016181686426
SMARCB1	ANAPC2	1.0551016181686426
SPI1	PGLYRP3	1.0551016181686426
SPI1	SNORD115-8	1.3812885266674402
SPI1	FAM108B1	1.0551016181686426
SPI1	PWWP2B	1.3812885266674402
SPI1	LOC284578	1.3812885266674402
SPI1	SPINT4	1.3812885266674402
SPI1	FLJ12825	1.3812885266674402
SPI1	OR4K17	1.3812885266674402
SPI1	SNORD115-2	1.0551016181686426
SPI1	DKFZP686I15217	1.3812885266674402
SPI1	SCP2	1.0551016181686426
SPI1	TDO2	1.3812885266674402
SPI1	NDST4	1.3812885266674402
SPI1	CKMT1B	1.0551016181686426
SPI1	C14orf70	1.3812885266674402
SPI1	FAM19A3	1.0551016181686426
SPI1	FLJ45983	1.3812885266674402
SPI1	C22orf34	1.3812885266674402
SPI1	AAA1	1.3812885266674402
SPI1	HGC6.3	1.3812885266674402
SPI1	MYL7	1.3812885266674402
SPI1	SLC5A9	1.3812885266674402
SPI1	SCO1	1.3812885266674402
SPI1	SPINT1	1.3812885266674402
SPI1	OPTC	1.3812885266674402
SPI1	OR4K14	1.3812885266674402
SPI1	GTSF1	1.3812885266674402
SPI1	PADI1	1.0551016181686426
SPI1	CELA3B	1.3812885266674402
SPI1	LOC643719	1.3812885266674402
SPI1	LOC550643	1.0551016181686426
SPI1	TPRG1L	1.3812885266674402
SPI1	DAZ2	1.3812885266674402
SPI1	LOC731779	1.3812885266674402
SPI1	SLC5A2	1.3812885266674402
SPI1	SNORA5C	1.3812885266674402
SPI1	NCRNA00114	1.3812885266674402
SPI1	NCRNA00112	1.3812885266674402
SPI1	SNORD115-26	1.0551016181686426
SPI1	LOC100132111	1.3812885266674402
SPI1	OR8B12	1.0551016181686426
SPI1	BTBD17	1.3812885266674402
SPI1	OR4N5	1.3812885266674402
SPI1	NR0B1	1.3812885266674402
SPI1	OR4N2	1.3812885266674402
SPI1	GRIN2B	1.3812885266674402
SPI1	CYP2C8	1.0551016181686426
SPI1	FAM135B	1.3812885266674402
SPI1	TDP1	1.3812885266674402
SPI1	OR10C1	1.3812885266674402
SPI1	HRG	1.3812885266674402
SPI1	LACRT	1.3812885266674402
SPI1	SFTA3	1.3812885266674402
SPI1	OR10J3	1.0551016181686426
SPI1	LOC92973	1.3812885266674402
SPI1	FRG2B	1.3812885266674402
SPI1	SNAR-H	1.3812885266674402
SPI1	HOXC12	1.3812885266674402
SPI1	FAM138E	1.0551016181686426
SPI1	OR6Y1	1.3812885266674402
SPI1	ZNF41	1.0551016181686426
SPI1	OR52B4	1.0551016181686426
SPI1	TCP11L2	1.3812885266674402
SPI1	POM121L1P	1.3812885266674402
SPI1	RBMY1F	1.3812885266674402
SPI1	RBMY1E	1.3812885266674402
SPI1	LOC284788	1.3812885266674402
SPI1	C20orf191	1.0551016181686426
SPI1	TMEFF1	1.3812885266674402
SPI1	OR6X1	1.0551016181686426
SPI1	SNORA68	1.3812885266674402
SPI1	RBMY1B	1.3812885266674402
SPI1	SERPINB13	1.3812885266674402
SPI1	WRB	1.3812885266674402
SPI1	CRCT1	1.3812885266674402
SPI1	NCRNA00162	1.3812885266674402
SPI1	NCRNA00161	1.3812885266674402
SPI1	NCRNA00160	1.3812885266674402
SPI1	OR4S1	1.3812885266674402
SPI1	EXTL1	1.0551016181686426
SPI1	LOC643763	1.3812885266674402
SPI1	NCRNA00157	1.3812885266674402
SPI1	ANO10	1.3812885266674402
SPI1	PRAME	1.3812885266674402
SPI1	KRTAP2-2	1.3812885266674402
SPI1	LOC29034	1.3812885266674402
SPI1	C4orf7	1.3812885266674402
SPI1	LOC144486	1.3812885266674402
SPI1	LRRC25	1.3812885266674402
SPI1	LOC285419	1.3812885266674402
SPI1	OR10G2	1.3812885266674402
SPI1	ODAM	1.0551016181686426
SPI1	MBD1	1.3812885266674402
SPI1	OR10G3	1.3812885266674402
SPI1	FAM92A3	1.3812885266674402
SPI1	FOXR2	1.0551016181686426
SPI1	LOC100130148	1.3812885266674402
SPI1	OR10G8	1.3812885266674402
SPI1	LIMS2	1.2341113432738557
SPI1	DEFB1	1.3812885266674402
SPI1	MSI1	1.3812885266674402
SPI1	FBXO24	1.3812885266674402
SPI1	C21orf15	1.3812885266674402
SPI1	SNAR-G2	1.3812885266674402
SPI1	POTEA	1.3812885266674402
SPI1	PITX3	1.3812885266674402
SPI1	POTEC	1.3812885266674402
SPI1	ZNF442	1.0551016181686426
SPI1	KCNH5	1.0551016181686426
SPI1	OR14C36	1.3812885266674402
SPI1	LOC255167	1.3812885266674402
SPI1	CNPY2	1.3812885266674402
SPI1	OR2T6	1.3812885266674402
SPI1	OR4X2	1.3812885266674402
SPI1	LOC348021	1.3812885266674402
SPI1	LY6H	1.3812885266674402
SPI1	S100A7	1.3812885266674402
SPI1	LOC285847	1.3812885266674402
SPI1	DLX6	1.3812885266674402
SPI1	REG3G	1.3812885266674402
SPI1	CYP19A1	1.0551016181686426
SPI1	LRRC52	1.3812885266674402
SPI1	STK36	1.2341113432738555
SPI1	KHDC1	1.3812885266674402
SPI1	SMYD2	1.3812885266674402
SPI1	IFNA21	1.0551016181686426
SPI1	ODF1	1.3812885266674402
SPI1	ODF4	1.3812885266674402
SPI1	C14orf19	1.3812885266674402
SPI1	CLLU1	1.3812885266674402
SPI1	CTAG2	1.3812885266674402
SPI1	LRIT2	1.3812885266674402
SPI1	LRIT1	1.3812885266674402
SPI1	SCGB3A1	1.3812885266674402
SPI1	C7orf68	1.3812885266674402
SPI1	SP9	1.0551016181686426
SPI1	OR7A10	1.3812885266674402
SPI1	BCAR4	1.0551016181686426
SPI1	ONECUT3	1.3812885266674402
SPI1	ONECUT1	1.0551016181686426
SPI1	CELF5	1.0551016181686426
SPI1	LOC644669	1.3812885266674402
SPI1	RLBP1	1.3812885266674402
SPI1	C14orf34	1.0551016181686426
SPI1	ZNF648	1.3812885266674402
SPI1	OR2Y1	1.3812885266674402
SPI1	PDILT	1.3812885266674402
SPI1	UPP2	1.3812885266674402
SPI1	ITGB6	1.3812885266674402
SPI1	MSMB	1.3812885266674402
SPI1	OR7A17	1.3812885266674402
SPI1	SLC36A1	1.0551016181686426
SPI1	EMX2	1.3812885266674402
SPI1	OR14I1	1.3812885266674402
SPI1	GKN2	1.0551016181686426
SPI1	HTR3D	1.3812885266674402
SPI1	SNORD115-20	1.3812885266674402
SPI1	TMED10P1	1.3812885266674402
SPI1	SNORD115-17	1.0551016181686426
SPI1	HAND1	1.3812885266674402
SPI1	BPI	1.3812885266674402
SPI1	OR10A6	1.3812885266674402
SPI1	LOC283867	1.0551016181686426
SPI1	TRIM52	1.3812885266674402
SPI1	RBMY2EP	1.3812885266674402
SPI1	PLUNC	1.0551016181686426
SPI1	TSPAN32	1.0551016181686426
SPI1	C14orf53	1.3812885266674402
SPI1	SLITRK4	1.3812885266674402
SPI1	IGF2BP1	1.3812885266674402
SPI1	KRTAP6-2	1.3812885266674402
SPI1	OR12D2	1.3812885266674402
SPI1	CYP4B1	1.0551016181686426
SPI1	LOC152024	1.3812885266674402
SPI1	LOC730811	1.3812885266674402
SPI1	HTR5A	1.3812885266674402
SPI1	TBX5	1.3812885266674402
SPI1	USH2A	1.3812885266674402
SPI1	TM6SF2	1.3812885266674402
SPI1	TTTY18	1.3812885266674402
SPI1	EIF3I	1.0551016181686426
SPI1	SYT10	1.3812885266674402
SPI1	TTTY15	1.3812885266674402
SPI1	SLC25A33	1.3812885266674402
SPI1	OR7G1	1.3812885266674402
SPI1	OR9K2	1.3812885266674402
SPI1	SLC23A1	1.0551016181686426
SPI1	SPATA20	1.3812885266674402
SPI1	TCL1A	1.0551016181686426
SPI1	RASSF2	1.0551016181686426
SPI1	RESP18	1.3812885266674402
SPI1	TTTY23	1.3812885266674402
SPI1	TNFSF11	1.3812885266674402
SPI1	TTTY21	1.3812885266674402
SPI1	OR5B3	1.3812885266674402
SPI1	C1orf204	1.3812885266674402
SPI1	CTRB2	1.3812885266674402
SPI1	EGOT	1.0551016181686426
SPI1	C16orf79	1.3812885266674402
SPI1	KCNK18	1.0551016181686426
SPI1	C2orf55	1.3812885266674402
SPI1	C2orf54	1.0551016181686426
SPI1	OR5E1P	1.0551016181686426
SPI1	CTXN3	1.0551016181686426
SPI1	OR5A2	1.3812885266674402
SPI1	LOC728723	1.0551016181686426
SPI1	USHBP1	1.3812885266674402
SPI1	PCDH15	1.3812885266674402
SPI1	TTTY4C	1.3812885266674402
SPI1	NEU2	1.3812885266674402
SPI1	ARSJ	1.3812885266674402
SPI1	KCNN2	1.0551016181686426
SPI1	B4GALNT2	1.3812885266674402
SPI1	FAM9B	1.3812885266674402
SPI1	TAS2R30	1.3812885266674402
SPI1	PRG1	1.3812885266674402
SPI1	PPBP	1.3812885266674402
SPI1	IL1F10	1.3812885266674402
SPI1	CRNN	1.3812885266674402
SPI1	AOX2P	1.3812885266674402
SPI1	OR9G9	1.3812885266674402
SPI1	LOC256880	1.3812885266674402
SPI1	MGC27382	1.3812885266674402
SPI1	OR7C2	1.0551016181686426
SPI1	COX7B	1.3812885266674402
SPI1	IL20	1.0551016181686426
SPI1	MOGAT3	1.3812885266674402
SPI1	CETN1	1.3812885266674402
SPI1	IL26	1.3812885266674402
SPI1	DIRAS2	1.3812885266674402
SPI1	SNAR-C3	1.3812885266674402
SPI1	WFDC1	1.3812885266674402
SPI1	SNAR-C4	1.3812885266674402
SPI1	HSFYL1	1.3812885266674402
SPI1	C8A	1.3812885266674402
SPI1	WFDC3	1.3812885266674402
SPI1	UPF0639	1.3812885266674402
SPI1	SPANXN2	1.3812885266674402
SPI1	SPANXN4	1.3812885266674402
SPI1	DIRC3	1.3812885266674402
SPI1	AGTRAP	1.3812885266674402
SPI1	C5orf53	1.0551016181686426
SPI1	LOC648740	1.0551016181686426
SPI1	PPYR1	1.3812885266674402
SPI1	LOC644145	1.3812885266674402
SPI1	CYLC1	1.3812885266674402
SPI1	POPDC3	1.3812885266674402
SPI1	TMPRSS5	1.3812885266674402
SPI1	DEFB126	1.3812885266674402
SPI1	CRYBA2	1.3812885266674402
SPI1	DEFB125	1.0551016181686426
SPI1	DEFB124	1.3812885266674402
SPI1	DEFB123	1.3812885266674402
SPI1	DEFB107A	1.3812885266674402
SPI1	SLED1	1.3812885266674402
SPI1	PCNP	1.3812885266674402
SPI1	LOC80054	1.3812885266674402
SPI1	DKFZP434K028	1.3812885266674402
