Regulator	Target	MI
ATF1	LRRC26	1.1649599709324299
ATF1	FAM114A2	1.116660223317413
ATF1	FLJ40330	1.116660223317413
FOXA1	FBLN7	1.1017971915988418
FOXA1	FAM129A	1.1017971915988418
FOXA1	SBSN	1.1017971915988418
ATF2	C2orf34	1.0551016181686426
CCNT2	C3orf38	1.116660223317413
CCNT2	SAMD9L	1.0551016181686426
CCNT2	SRRM4	1.116660223317413
CCNT2	RNH1	1.2341113432738557
CCNT2	ZBTB46	1.116660223317413
CCNT2	TMEM51	1.0551016181686426
CCNT2	ASH1L	1.0551016181686426
CCNT2	TMEM53	1.0551016181686426
CCNT2	ARID1B	1.3812885266674402
CCNT2	TMEM170A	1.1017971915988418
CCNT2	SIRT3	1.0551016181686426
CCNT2	SENP6	1.116660223317413
CCNT2	GKAP1	1.0551016181686426
CCNT2	ATXN7L1	1.0551016181686426
SPI1	DEFB1	1.3812885266674402
SPI1	PLGLA	1.0551016181686426
SPI1	SNORD115-1	1.3812885266674402
SPI1	IFI30	1.3812885266674402
SPI1	OR4Q3	1.3812885266674402
SPI1	MIMT1	1.3812885266674402
SPI1	OR5D18	1.3812885266674402
SPI1	SMR3B	1.3812885266674402
SPI1	C18orf21	1.3812885266674402
SPI1	MS4A14	1.3812885266674402
SPI1	SSX4	1.3812885266674402
SPI1	SNORA1	1.3812885266674402
SPI1	KRT6A	1.3812885266674402
SPI1	NANOS2	1.3812885266674402
SPI1	DEFB118	1.3812885266674402
SPI1	CTRB2	1.3812885266674402
SPI1	GABRG3	1.3812885266674402
SPI1	LEMD1	1.3812885266674402
SPI1	FLJ40852	1.3812885266674402
SPI1	C2orf55	1.3812885266674402
SPI1	SLC5A8	1.3812885266674402
SPI1	KRTAP4-11	1.3812885266674402
SPI1	IFNA10	1.0551016181686426
SPI1	C17orf102	1.3812885266674402
SPI1	REG3A	1.3812885266674402
SPI1	MAGEA12	1.3812885266674402
SPI1	NCRNA00230B	1.3812885266674402
SPI1	SNORA36B	1.3812885266674402
SPI1	OR1I1	1.3812885266674402
SPI1	LOC100129935	1.3812885266674402
SPI1	KLK7	1.3812885266674402
SPI1	MYL12A	1.3812885266674402
SPI1	KRT33A	1.3812885266674402
SPI1	PRAMEF18	1.3812885266674402
SPI1	ARSJ	1.3812885266674402
SPI1	NCRNA00113	1.3812885266674402
SPI1	ARSI	1.3812885266674402
SPI1	KRTAP4-1	1.3812885266674402
SPI1	HAO2	1.3812885266674402
SPI1	SPRR2B	1.3812885266674402
SPI1	PRR24	1.3812885266674402
SPI1	TBC1D8B	1.1017971915988418
SPI1	KRTAP4-8	1.3812885266674402
SPI1	LOC255025	1.3812885266674402
SPI1	SOX30	1.3812885266674402
SPI1	C11orf21	1.3812885266674402
SPI1	GJB1	1.3812885266674402
SPI1	LOC100130987	1.3812885266674402
SPI1	UBXN11	1.3812885266674402
SPI1	TDP2	1.3812885266674402
SPI1	GIPC1	1.3812885266674402
SPI1	ALPI	1.3812885266674402
SPI1	HOXD9	1.3812885266674402
SPI1	C7orf53	1.3812885266674402
SPI1	BCAR4	1.0551016181686426
SPI1	UCMA	1.0551016181686426
SPI1	OR13H1	1.3812885266674402
SPI1	PYGL	1.3812885266674402
SPI1	C8A	1.3812885266674402
SPI1	RPTOR	1.3812885266674402
SPI1	C14orf178	1.3812885266674402
SPI1	MMP27	1.3812885266674402
SPI1	OR8D4	1.3812885266674402
SPI1	MOSC1	1.3812885266674402
SPI1	SNORD52	1.3812885266674402
SPI1	NPY5R	1.3812885266674402
SPI1	HTR3C	1.3812885266674402
SPI1	AGTRAP	1.3812885266674402
SPI1	ELSPBP1	1.3812885266674402
SPI1	C3orf36	1.3812885266674402
SPI1	LOC284661	1.3812885266674402
SPI1	LOC100130522	1.3812885266674402
SPI1	DAD1	1.3812885266674402
SPI1	OR10A6	1.3812885266674402
SPI1	OR4A16	1.3812885266674402
SPI1	C1S	1.3812885266674402
SPI1	PTH	1.3812885266674402
SPI1	FAM47A	1.3812885266674402
SPI1	OR4K2	1.3812885266674402
SPI1	AMBRA1	1.3812885266674402
SPI1	DEFB107A	1.3812885266674402
SPI1	CST6	1.3812885266674402
SPI1	NCRNA00160	1.3812885266674402
SPI1	C9orf46	1.3812885266674402
SPI1	CACNG2	1.3812885266674402
SPI1	CCL18	1.0551016181686426
SPI1	C1orf106	1.3812885266674402
SPI1	C6orf124	1.3812885266674402
SPI1	ATOH1	1.3812885266674402
SPI1	C20orf85	1.3812885266674402
SPI1	OR8J3	1.3812885266674402
SPI1	OR14A16	1.3812885266674402
SPI1	GLYCAM1	1.3812885266674402
SPI1	TTTY1B	1.3812885266674402
SPI1	C1orf26	1.3812885266674402
SPI1	NCRNA00032	1.3812885266674402
SPI1	DEFB108B	1.3812885266674402
SPI1	LOC100128239	1.3812885266674402
SPI1	OR5T2	1.3812885266674402
SPI1	SPSB1	1.3812885266674402
SPI1	BRE	1.3812885266674402
SPI1	FAM183A	1.3812885266674402
SPI1	TMEM159	1.3812885266674402
SPI1	MGC4473	1.3812885266674402
SPI1	TRIP10	1.3812885266674402
SPI1	IL17F	1.3812885266674402
KDM1A	STK10	1.0551016181686426
KDM1A	GFM1	1.0551016181686426
KDM1A	FBXW11	1.0551016181686426
KDM1A	USP4	1.116660223317413
KDM1A	BBX	1.116660223317413
KDM1A	MATR3	1.0551016181686426
KDM1A	ABHD5	1.1017971915988418
KDM1A	WDR45	1.116660223317413
GTF2B	RASEF	1.0551016181686426
GTF2B	LRRC50	1.1017971915988418
GTF2B	EMR3	1.1017971915988418
GTF2B	LILRA1	1.1017971915988418
GTF2B	TRHDE	1.1017971915988418
GTF2B	EML4	1.1017971915988418
GTF2B	TMEM158	1.1017971915988418
GTF2B	BIN2	1.1017971915988418
GTF2B	CD300LB	1.1017971915988418
GTF2B	KCP	1.1017971915988418
GTF2B	C6orf225	1.1017971915988418
GTF2B	TAGLN3	1.1017971915988418
GTF2B	CAMK1G	1.1017971915988418
GTF2B	CCR3	1.1017971915988418
PRDM1	KCNH2	1.1017971915988418
PRDM1	KLHL18	1.0551016181686426
PRDM1	KLF12	1.0551016181686426
PRDM1	KIAA0922	1.1017971915988418
PRDM1	EPS8L2	1.1017971915988418
PRDM1	ACVR2B	1.1017971915988418
PRDM1	SNORD111B	1.0551016181686426
PRDM1	CD101	1.1017971915988418
NR3C1	ITSN2	1.0551016181686426
NR3C1	CASZ1	1.0551016181686426
NR3C1	MOBKL2B	1.0551016181686426
NR3C1	PDE1B	1.0551016181686426
NR3C1	ROCK2	1.0551016181686426
NR3C1	NDE1	1.0551016181686426
NR3C1	DNAJB13	1.0551016181686426
NR3C1	LOC729082	1.116660223317413
NR3C1	CD99L2	1.0551016181686426
NR3C1	MYO9B	1.0551016181686426
NR3C1	FAM105B	1.0551016181686426
NR3C1	RELB	1.0551016181686426
NR3C1	TRAIP	1.0551016181686426
NR3C1	CLK1	1.0551016181686426
NR3C1	ADAM18	1.0551016181686426
NR3C1	AMN1	1.1017971915988418
NR3C1	MLANA	1.0551016181686426
NR3C1	SPNS1	1.0551016181686426
NR3C1	JAK2	1.0551016181686426
NR3C1	SIL1	1.0551016181686426
SMC3	AKR7A2	1.0551016181686426
SMC3	APITD1	1.0551016181686426
SMC3	ARMC3	1.1017971915988418
SMC3	SMPDL3A	1.3812885266674402
BACH1	PELI1	1.1017971915988418
