Regulator	Target	MI
FOXA1	KANK1	1.1017971915988418
FOXA1	IGLON5	1.0551016181686426
FOXA1	PMS2L1	1.2341113432738555
FOXA1	CHPT1	1.1017971915988418
FOXA1	CLC	1.2341113432738555
FOXA1	SLC16A14	1.1017971915988418
FOXA1	UNC13D	1.1017971915988418
FOXA1	FAM107B	1.1017971915988418
FOXA1	RBM33	1.1649599709324299
ATF2	ALK	1.0551016181686426
ATF2	NCKAP1	1.2341113432738557
ATF2	USP14	1.0551016181686426
ATF2	FER1L4	1.0551016181686426
ATF2	TGFB3	1.1649599709324299
ATF2	STAB2	1.0551016181686426
ATF2	NR2E1	1.2341113432738555
ATF2	TUBG2	1.2341113432738555
ATF2	THBS4	1.1649599709324299
ATF2	SEPT7P2	1.116660223317413
ATF2	KIAA1267	1.3812885266674402
ATF2	UBN1	1.0551016181686426
ATF2	TIMP2	1.1017971915988418
ATF2	DNAJB9	1.1017971915988418
ATF2	RPRML	1.0551016181686426
ATF2	BPTF	1.3812885266674402
SMARCB1	CIITA	1.3812885266674402
SMARCB1	CTDSPL	1.1017971915988418
SMARCB1	GTF3A	1.3812885266674402
SMARCB1	OXSR1	1.1649599709324299
SMARCB1	GLTSCR2	1.2341113432738555
SMARCB1	ART4	1.1017971915988418
SMARCB1	SOCS3	1.2341113432738555
SMARCB1	GYLTL1B	1.1017971915988418
SMARCB1	LRG1	1.1649599709324299
SMARCB1	SEC14L1	1.2341113432738555
SMARCB1	SLMAP	1.2341113432738557
SMARCB1	E2F2	1.2341113432738557
SMARCB1	SMCR8	1.3812885266674402
SMARCB1	TGM6	1.1649599709324299
SMARCB1	TBC1D16	1.2341113432738557
SPI1	LRRC14B	1.3812885266674402
SPI1	PGLYRP3	1.3812885266674402
SPI1	PWWP2B	1.3812885266674402
SPI1	GAGE8	1.3812885266674402
SPI1	LOC284578	1.3812885266674402
SPI1	SPINT4	1.3812885266674402
SPI1	FLJ12825	1.3812885266674402
SPI1	OR4Q3	1.3812885266674402
SPI1	NBLA00301	1.3812885266674402
SPI1	CRHBP	1.3812885266674402
SPI1	ALKBH1	1.2341113432738557
SPI1	NDST4	1.3812885266674402
SPI1	PWWP2A	1.3812885266674402
SPI1	C14orf70	1.3812885266674402
SPI1	GUSBL1	1.2341113432738555
SPI1	HDGFRP2	1.3812885266674402
SPI1	OR4P4	1.3812885266674402
SPI1	UNC5C	1.1017971915988418
SPI1	ZNF12	1.0551016181686426
SPI1	ISL1	1.3812885266674402
SPI1	ISL2	1.1017971915988418
SPI1	SCO1	1.3812885266674402
SPI1	SPINT1	1.3812885266674402
SPI1	OPTC	1.3812885266674402
SPI1	C14orf86	1.3812885266674402
SPI1	LOC100128292	1.3812885266674402
SPI1	SKAP1	1.1017971915988418
SPI1	LOC643719	1.3812885266674402
SPI1	LYPD1	1.3812885266674402
SPI1	TPRG1L	1.0551016181686426
SPI1	GATA4	1.3812885266674402
SPI1	ADAM5P	1.3812885266674402
SPI1	TEX28	1.3812885266674402
SPI1	SCGB1D2	1.3812885266674402
SPI1	KCNQ1OT1	1.3812885266674402
SPI1	SCGB1D4	1.3812885266674402
SPI1	LOC146481	1.3812885266674402
SPI1	HCRT	1.3812885266674402
SPI1	BTBD19	1.0551016181686426
SPI1	BTBD17	1.3812885266674402
SPI1	TIPARP	1.3812885266674402
SPI1	OR4N2	1.3812885266674402
SPI1	NBPF22P	1.3812885266674402
SPI1	TREML1	1.0551016181686426
SPI1	KIAA1598	1.1017971915988418
SPI1	FAT1	1.1017971915988418
