Regulator	Target	MI	pvalue
MYOD1	LOC100130522	1.333843158158525	0.0
FOXA2	PRO1768	1.2939170333195487	0.0
SIN3A	LOC145837	1.2469762702267586	0.0
SIN3A	LOC145820	1.2181950724180413	0.0
ZKSCAN1	PRSS55	1.120338999868402	6.959141558127158E-6
FOXA2	PWWP2A	1.3088025470010411	0.0
FOXA2	PWWP2B	1.291305931219497	0.0
MYOD1	TMEFF1	1.2969298434349934	0.0
MBD4	LOC100128977	1.3290986213076328	0.0
MBD4	RLBP1	1.3505161768090637	0.0
SPI1	ZNF813	1.3088025470010407	0.0
TAF7	CARD18	1.1147547741144221	4.076348147918907E-10
CHD4	WFDC1	1.0938761695333992	6.959141558127158E-6
CHD4	WFDC3	1.0938761695333992	6.959141558127158E-6
CHD4	WFDC9	1.098184453018372	1.754937175597604E-4
POLR3A	PATE2	1.1529576907182817	6.959141558127158E-6
POLR3A	PATE3	1.1737150394409324	2.531412199857641E-7
MBD4	HIST1H4G	1.132650720898156	6.959141558127158E-6
POLR3A	SNAR-A2	1.14406168412286	2.531412199857641E-7
POLR3A	SNAR-A3	1.1855763815681615	6.959141558127158E-6
POLR3A	SNAR-A4	1.1638305876682415	8.560331110629704E-9
POLR3A	SNAR-B2	1.1638305876682415	8.560331110629704E-9
FOXA2	DKFZp566F0947	1.1871296525610129	0.0
POLR3A	SNAR-C2	1.1303755201299033	4.076348147918907E-10
POLR3A	SNAR-C3	1.1910128300431413	8.560331110629704E-9
POLR3A	SNAR-C4	1.1737150394409324	2.531412199857641E-7
MBD4	DKFZp686A1627	1.095874981730992	0.00402603174455507
MBD4	GABRP	1.3208835436121078	0.0
GTF3C2	SNORD50B	1.1737150394409324	2.531412199857641E-7
POLR3A	SNAR-G1	1.1910128300431413	8.560331110629704E-9
POLR3A	SNAR-G2	1.1855763815681615	6.959141558127158E-6
ETS1	ADRB1	1.2000735775014413	1.754937175597604E-4
CHD4	LOC100270710	1.098184453018372	1.754937175597604E-4
WRNIP1	ELAVL1	1.1706704326847717	1.754937175597604E-4
MBD4	CSPG5	1.2934689743793026	0.0
GTF3C2	SNORD32A	1.1200045656364936	2.531412199857641E-7
TAF7	HIST1H2AA	1.1417782290557392	8.560331110629704E-9
CHD4	LOC100270746	1.1035698073745883	0.00402603174455507
CHD4	HES5	1.1529576907182817	0.0
KAT2A	RPLP0P2	1.0847549734867148	2.531412199857641E-7
SMC3	DSN1	1.1144083288047872	2.531412199857641E-7
SIN3A	LOC145783	1.272559557167841	0.0
ZKSCAN1	HCG2P7	1.091344608001842	1.754937175597604E-4
FOXA2	CXXC1	1.3068950212203467	0.0
SPI1	SDCBP2	1.298359651625374	0.0
