Regulator	Target	MI
ATF1	COLEC12	0.5810652031002719
ATF1	BTG2	0.6480656878342055
ATF1	ASMT	0.5345133832065176
ATF1	DCTN3	0.7694986441986083
ATF1	SLA	0.5429302942262408
ATF1	WIZ	0.8550121174571257
ATF1	GAGE10	0.5831108141538883
ATF1	HSD17B13	0.5318303698011313
ATF1	PLOD2	0.5453891576636294
ATF1	ASCL2	0.6809228423173095
ATF1	CCDC102B	0.5435842523736731
ATF1	RBM3	0.5998064994772205
ATF1	UXT	0.574959019604552
ATF1	CA7	0.5632899843837289
ATF1	KCNN1	0.5879608606996438
ATF1	ASCC3	0.5533809613647431
ATF1	WASF1	0.6268855220993323
ATF1	DGCR2	0.5471523515133767
ATF1	CGREF1	0.6188797361787226
ATF1	ZNF384	0.6714368841770022
ATF1	ANGPT2	0.5775809960048375
ATF1	GLRX3	0.5331626819759432
ATF1	TSTD1	0.7080740734363271
ATF1	COMMD10	0.7275757922040267
ATF1	ARAP2	0.5275082423970963
ATF1	ATP2B4	0.5795333235959244
ATF1	MBOAT1	0.6486937592707251
ATF1	NDUFC2	0.5611263829421871
ATF1	TALDO1	0.5355872036248668
ATF1	AARSD1	0.5773190660640393
ATF1	TAPBP	0.5403801889908562
ATF1	FAM133B	0.6828745539281842
ATF1	GPR141	0.6789351753396455
ATF1	EXT2	0.5868919362378251
ATF1	ATG16L2	0.6809228423173095
ATF1	UBAP1	0.633555490998639
ATF1	PPARG	0.5332038635706686
ATF1	GPRC5D	0.6568344438241489
ATF1	PIGG	0.5315852133041883
ATF1	MET	0.5753032874184303
ATF1	MYO1G	0.6365387095377795
ATF1	R3HDM2	0.6263547540753751
FOXA1	RNF31	0.5611263829421871
FOXA1	LRRC57	0.5534400545201148
FOXA1	ARGFXP2	0.5399651201621833
FOXA1	ATF7IP2	0.5364891705475361
FOXA1	GEMIN8P4	0.5411770009640948
FOXA1	HDAC11	0.5826148474009867
FOXA1	PIK3CB	0.5574231390923821
FOXA1	RDH12	0.5286425173744771
FOXA1	CREB3L4	0.6128851886972853
FOXA1	SNRNP70	0.5958971631887215
FOXA1	TCTN2	0.5377479337728643
FOXA1	ZNF429	0.5561845224611734
FOXA1	CCL3	0.5647262766483658
FOXA1	HAS3	0.5340266188748948
FOXA1	ZNF746	0.545268088580452
FOXA1	REPS1	0.5911432871558597
FOXA1	SNTA1	0.5352849871150283
FOXA1	RBM39	0.6717827644301302
FOXA1	SF3A2	0.7195031689477864
FOXA1	B3GAT1	0.653957701683272
FOXA1	RAB27B	0.5501727445267961
FOXA1	IL17RC	0.692244151227019
FOXA1	RHOA	0.6883594074760424
FOXA1	IL1A	0.5604534340406775
FOXA1	KIAA1614	0.6788209753606469
FOXA1	SLC7A5P2	0.6404028258074024
FOXA1	ZNF835	0.5479363980100396
FOXA1	PPIE	0.5501223771760388
FOXA1	SYCP3	0.5948027956726789
FOXA1	ANKK1	0.5611263829421871
FOXA1	SNORD63	0.584254938594627
FOXA1	PFKP	0.5819887267774289
FOXA1	CDS2	0.5447439648278216
FOXA1	SNRPB	0.6095187861480844
ATF2	ATF1	0.5993471537237762
ATF2	LRRC36	0.5355770431398614
ATF2	THRA	0.7309509352860104
ATF2	CCDC25	0.549028049945989
ATF2	ITGAL	0.6449541782027466
ATF2	GMCL1	0.5692040230522908
ATF2	C17orf100	0.5370515663378326
ATF2	CHST10	0.5388624136235949
ATF2	SUSD5	0.5454993345592949
ATF2	C9orf64	0.8019214890867068
ATF2	TMEM38B	0.5281757776296732
ATF2	ARSB	0.6264859819565234
ATF2	SLC12A9	0.6864312904478336
ATF2	NDUFA7	0.55475669863847
ATF2	USP5	0.5705876377998251
ATF2	ENTPD6	0.5504140448522419
ATF2	PAGE2B	0.6079634934901974
ATF2	ATP2B4	0.5371756490209747
ATF2	TOP1P1	0.8668073865076389
ATF2	NDUFC2	0.621262011251809
ATF2	RNF138P1	0.5393128468226811
ATF2	ACYP2	0.5408140891847015
ATF2	ANO6	0.5343384980983492
ATF2	COX6C	0.5620616188687766
ATF2	PHF20L1	0.7011672448483233
ATF2	CYP26A1	0.5825947322222724
ATF2	SMTN	0.6208188529332519
ATF2	SNORD28	0.6484155475236957
ATF2	SPIRE1	0.6105207825225474
ATF2	CD226	0.5911592032953914
ATF2	FAM32A	0.5473425598558701
ATF2	ZNF215	0.5323250856622757
CCNT2	FKBP10	0.5471105131668201
CCNT2	TOR2A	0.5521647021982283
CCNT2	POP7	0.6247607144667038
CCNT2	SLC46A2	0.5825535099624415
CCNT2	DIS3L	0.6254067169052955
CCNT2	PDE3B	0.5813010051039669
CCNT2	IRS2	0.5342254407672025
CCNT2	MYL6B	0.597012182685384
CCNT2	SIPA1L2	0.5359404539088524
CCNT2	TBK1	0.5385491435694965
CCNT2	DHX15	0.5841218718834091
CCNT2	TLK2	0.6475118202691257
CCNT2	AP3S2	0.6646412036191225
CCNT2	RPL23AP82	0.5566019486068043
CCNT2	GET4	0.7212226157182462
CCNT2	UPF2	0.5405039138107322
CCNT2	AQR	0.5787138721978105
CCNT2	ZSCAN5A	0.5797196956048256
CCNT2	NHLRC3	0.5608092868108598
CCNT2	SPINK8	0.5383182176339449
CCNT2	CTNNBIP1	0.6180669961829164
CCNT2	CNPY2	0.6185655468196853
CCNT2	CACNB2	0.5529351647537193
CCNT2	PRPF4	0.6088256288546137
CCNT2	KDELR2	0.5476070044671455
CCNT2	SNRPE	0.5282108854636625
CCNT2	OR13C3	0.665351409982557
CCNT2	ZNF471	0.5631790034168764
CCNT2	ABHD1	0.5465421889214395
CCNT2	MTMR9	0.5295575815709821
CCNT2	MRPL14	0.5934299882923981
CCNT2	CXCR6	0.5405345501828487
CCNT2	APOLD1	0.5400692353092142
CCNT2	PSMB4	0.5391838831612219
CCNT2	DHRS7B	0.6122131893066829
CCNT2	VPS8	0.7442689070844946
CCNT2	MFAP3L	0.5553352814244281
CCNT2	TIMM8A	0.5930452851087789
CCNT2	ST14	0.5314902534058339
CCNT2	RAB4B	0.5365620587935509
CCNT2	SURF2	0.6046539775171929
CCNT2	NDUFA2	0.5376862640462443
CCNT2	TMEM176A	0.536396361038737
CCNT2	NDUFA1	0.6945796371412745
CCNT2	ZNF804A	0.5818067956333337
CCNT2	LHFPL4	0.5899747349552591
CCNT2	UBOX5	0.5687632720168381
CCNT2	CNOT3	0.5780458286142331
CCNT2	ZNF417	0.6510746509374874
CCNT2	CENPM	0.5395346008223187
CCNT2	ESF1	0.5334025903816033
CCNT2	FAM171B	0.6177283828041102
CCNT2	TBKBP1	0.6648786770575934
CCNT2	APBA3	0.5410785903473476
CCNT2	LPIN2	0.6471831839099402
CCNT2	LRCH3	0.5750557995194776
CCNT2	SNORD2	0.5432607905702209
SMARCB1	ZNF570	0.5363001052320087
SMARCB1	ADPGK	0.8279064675970469
SMARCB1	GDA	0.5869118895747056
SMARCB1	ZFAND2B	0.5296849748055736
SMARCB1	HNMT	0.5465320612981053
SMARCB1	ELK3	0.5284461889848333
SMARCB1	NAGLU	0.5575361394329326
SMARCB1	RUSC1	0.571720511995605
SMARCB1	ZNF649	0.591167799869798
SMARCB1	ADAMTSL2	0.5588005216670302
SMARCB1	ZNF800	0.5781627067718214
SMARCB1	ATXN7L2	0.6031526172790618
SMARCB1	PDE8B	0.6459870399221401
SMARCB1	TMEM38B	0.5730955502257231
SMARCB1	CCDC51	0.5565372282481311
SMARCB1	RAG1	0.604358357318322
SMARCB1	TMEM14C	0.5496273624394186
SMARCB1	TMPO	0.6618551401768835
SMARCB1	KLF10	0.5642938147459358
SMARCB1	PPP1R16B	0.5436822112509021
SMARCB1	GBP5	0.5938536715188234
SMARCB1	CLUL1	0.560375926271719
SMARCB1	UNC5CL	0.664893536729477
SMARCB1	COG4	0.5714927887467107
SMARCB1	PRKCE	0.5284461889848333
SMARCB1	PARP9	0.5533008347840975
SMARCB1	SUMF2	0.7129607364624628
SMARCB1	CEACAM3	0.5793307376096379
SMARCB1	CCNE2	0.602334873870396
SMARCB1	POLR1A	0.562762106746209
SMARCB1	TEX9	0.5729206651175556
SMARCB1	IL3RA	0.5461562429288929
SMARCB1	AGTR1	0.7185066887958986
SMARCB1	RNU6ATAC	0.7152994836119393
SMARCB1	PGAM4	0.7429786275512802
SMARCB1	RELL1	0.5755986038994996
SMARCB1	S100A3	0.5424919404539805
SMARCB1	ZNF674	0.7116542154483647
SMARCB1	LRRC19	0.5857411903675205
SMARCB1	LAMA4	0.6473610045887295
SMARCB1	NOL9	0.6173226802750991
SMARCB1	PRKX	0.7533425617868508
SMARCB1	PDHB	0.5624693769941378
SMARCB1	FOXRED2	0.6649022564176925
SMARCB1	TAF1D	0.6843474752838818
SMARCB1	PPP4C	0.5598424044554902
SMARCB1	MLANA	0.6659349856618766
SMARCB1	GNA12	0.6135501998893895
SMARCB1	APBB2	0.5588362110390386
SMARCB1	SLC25A20	0.581395614830789
SMARCB1	PDZD8	0.6025001795923526
SMARCB1	FKTN	0.5619691762141228
SMARCB1	WNT4	0.6964103438395362
SMARCB1	BRPF1	0.5509814010139862
SMARCB1	EDEM1	0.5993429034312849
SMARCB1	STAT2	0.5603759270507025
SMARCB1	NAGA	0.5353548698832649
SMARCB1	FOXN3	0.5628360775258776
SMARCB1	NR2F6	0.6377726688654248
SMARCB1	SULT1B1	0.6000512379870013
SMARCB1	BHMT	0.5625107021300035
SMARCB1	GNB1	0.5373636350270936
SMARCB1	MANSC1	0.5490219091833377
SMARCB1	TRIP12	0.5278821649980885
SPI1	TRMU	0.5768823571534751
SPI1	JRK	0.7963589561875408
SPI1	SRXN1	0.5856261709765178
SPI1	DPY19L2P2	0.5610799934304693
SPI1	SNORA8	0.6441688864915003
SPI1	HBB	0.6433782917129336
SPI1	CIB1	0.5830404210975715
SPI1	WDR83	0.5946213443991497
SPI1	ZCCHC17	0.6298542226334316
SPI1	WDR46	0.5504919210333141
SPI1	ZDHHC2	0.5434721982431618
SPI1	CCDC28B	0.6584786449922801
SPI1	IL27RA	0.6231486176126197
SPI1	NDST1	0.5340717225069236
SPI1	BEST4	0.6216124947023918
SPI1	GSG1	0.5444177996670692
SPI1	LBP	0.5635184627501841
SPI1	DIP2C	0.5759671807021678
SPI1	ENPP5	0.5904845382822472
SPI1	TRIM65	0.5494252864780775
SPI1	SUN2	0.5691364638999961
SPI1	HSDL2	0.5548171264128747
SPI1	MEF2B	0.6627876979642391
SPI1	REXO1	0.631570650376799
SPI1	KHNYN	0.8647274857066236
SPI1	OR2L8	0.6181250015755286
SPI1	SLC6A16	0.5413819710519663
SPI1	COG3	0.6006192488344282
SPI1	HBE1	0.6544052408718048
SPI1	SPTB	0.5915345507675527
SPI1	ALDH1A3	0.5723058316813345
SPI1	IL1A	0.5385491435694965
SPI1	TPST1	0.5600233892219784
SPI1	DALRD3	0.627625350219787
SPI1	ANAPC5	0.7484041256700547
SPI1	GPRC5C	0.5879230453597981
SPI1	CHST2	0.5995468869672593
SPI1	RPL23P8	0.56739080914853
SPI1	PAOX	0.5563370208232397
SPI1	SLC25A6	0.558288950575228
SPI1	CUL9	0.6008304543795435
SPI1	RNASEH2B	0.5738885327901033
SPI1	TBC1D19	0.5798413753476006
SPI1	TP53I13	0.5775352803494243
SPI1	UHRF2	0.6460473281968837
SPI1	USO1	0.6950493885489615
SPI1	UTP23	0.5510112842657344
SPI1	TMTC3	0.5772010993647072
SPI1	UBR4	0.5682727494575888
SPI1	AK3	0.5314480816350948
SPI1	ARHGAP18	0.6359967318650148
SPI1	PIK3R3	0.5873955589160405
SPI1	THY1	0.7045026060280395
SPI1	PURA	0.614631014651986
SPI1	HIGD1C	0.6434280844210547
SPI1	PRDX4	0.7639423504967788
SPI1	ARL13B	0.5571003157781891
SPI1	CDH24	0.5733773684385688
SPI1	HCG11	0.5637121137795784
SPI1	IARS2	0.7120842907524283
SPI1	ZNF469	0.5638169168530776
SPI1	RPL18	0.7498157039485336
SPI1	MAP9	0.6373283893541446
SPI1	SOCS4	0.5485222008680575
SPI1	ATF7IP	0.5853281592517408
SPI1	HNRNPA3	0.9281203151777384
SPI1	YIPF2	0.6106496148275378
SPI1	DNAJC5B	0.6258500330461958
SPI1	MOCOS	0.6740723544555012
SPI1	FN1	0.5813563745804191
SPI1	GPR52	0.5287517574902099
SPI1	ATP2B2	0.6000200619601808
SPI1	NR1D2	0.6189511446291194
SPI1	EEF2	0.5665672080954915
SPI1	SVIP	0.6382399722647905
SPI1	MRPL22	0.5470384666959887
SPI1	SDHAP3	0.5999420129785502
SPI1	TMPPE	0.5704923783456222
SPI1	SYNJ1	0.8582003390748767
SPI1	CAPZA2	0.5801735336577503
SPI1	ANXA2P1	0.5335997150609892
SPI1	UBA3	0.5284174870323395
SPI1	TMEM39A	0.5691393140608043
SPI1	ZNF335	0.5522195300828949
SPI1	RAB40AL	0.5604415863714354
SPI1	C1QC	0.569707244736116
SPI1	CCNJL	0.6008304543795435
SPI1	MYO1G	0.6038900152746529
KDM1A	ZNF232	0.5533809613647431
KDM1A	PLAG1	0.5347267976677608
KDM1A	RASGRF2	0.5542625894339439
KDM1A	TROAP	0.5705332418341378
KDM1A	DDX60L	0.6399836710334443
KDM1A	AGER	0.5714927887467107
KDM1A	PIGX	0.5335997150609892
KDM1A	SLC2A8	0.5293929732659621
KDM1A	PPP2CA	0.543572745007487
KDM1A	EPB41L4A	0.690845768657061
KDM1A	RPS6KA6	0.571564530281532
KDM1A	SPRED1	0.5277724003349333
KDM1A	SPAST	0.5947890965714611
KDM1A	DVL2	0.5590540775207287
KDM1A	SIRPA	0.5845511863633885
KDM1A	ZNF525	0.6055087534389543
KDM1A	TIGIT	0.5520634523793979
KDM1A	TUB	0.5589644451407607
KDM1A	MAP2K2	0.5296453063763167
KDM1A	FCRL5	0.7019921245450531
KDM1A	RIPK2	0.654461002760228
KDM1A	MRPL48	0.6783473660724391
KDM1A	C22orf39	0.5759671807021687
