Regulator	Target	MI
ATF1	ATE1	0.6233861715333635
ATF1	CTBP2	0.6124484797867211
ATF1	ATP13A1	0.6712311423063206
ATF1	ASMT	0.5374110289741663
ATF1	XYLT1	0.5770419495126831
ATF1	LRP2	0.6430851267575259
ATF1	JOSD1	0.7171074249043943
ATF1	CYP19A1	0.5742912382946868
ATF1	PAX2	0.5585270063307028
ATF1	DENR	0.6371438834156757
ATF1	GLCCI1	0.6015952599945882
ATF1	STX3	0.6053228202356431
ATF1	CES2	0.6537247689594183
FOXA1	TMTC1	0.5583563145244295
FOXA1	UBXN6	0.645008917772357
ATF2	ACER2	0.5341390674145705
ATF2	C3orf18	0.5547520958201289
ATF2	SCNN1B	0.5473115977339384
ATF2	KRT13	0.5445508671572701
ATF2	CD226	0.5499639576627349
ATF2	CCDC93	0.5316773622697251
ATF2	LDLR	0.5306068738973089
CCNT2	GNAO1	0.5477572789348701
CCNT2	CDK11A	0.5778083288389531
CCNT2	ILF3	0.617695145103895
CCNT2	FRMD8	0.5508819228942441
CCNT2	PRR15L	0.7128353842251225
CCNT2	SDC2	0.6233312867871681
CCNT2	SPIN2B	0.5349482747945862
CCNT2	RSRC2	0.5669122058482201
CCNT2	PPARA	0.6139404229196992
CCNT2	LAT	0.7202133753112214
CCNT2	TMEM106A	0.5680278815885322
SMARCB1	PFKFB2	0.6370185702461169
SMARCB1	ADORA2B	0.5506852073906887
SMARCB1	KCNJ13	0.5632050308542524
SMARCB1	CREBL2	0.5451515118037142
SMARCB1	ALG10	0.5359073117588355
SMARCB1	CD55	0.5715497856406273
SMARCB1	SNORA71D	0.6394705775438383
SPI1	RFTN2	0.6077005903783932
SPI1	SNORD117	0.5407410045087926
SPI1	TMPPE	0.5747552999002572
KDM1A	SNRK	0.6194382285648081
KDM1A	C2orf76	0.6095463462317103
KDM1A	PAFAH1B2	0.6711709999871465
KDM1A	FKBP5	0.5414477075837039
KDM1A	GPR179	0.5908079784621485
GTF2B	CHRNB2	0.6193690058490207
GTF2B	ZNF142	0.5333045408731234
GTF2B	HSDL1	0.5408392069579366
GTF2B	PCCA	0.6129892781574244
GTF2B	MAP1S	0.5772275769836339
GTF2B	EIF4A3	0.5784943185318832
GTF2B	MAPKAPK2	0.6063276927459751
GTF2B	MAPRE3	0.5605171690821735
GTF2B	TAF3	0.724481010780901
GTF2B	RHOQ	0.5930741212628732
IKZF1	CAP1	0.5384615343033206
IKZF1	MDH2	0.5880391186957099
IKZF1	SPPL3	0.5911250745934762
PRDM1	MSH6	0.5445879928836126
PRDM1	TRIM4	0.597889300964559
PRDM1	PLEKHB1	0.5738710343569275
PRDM1	KIF23	0.695578480347407
PRDM1	ALDOA	0.5356224758060621
PRDM1	CELSR1	0.5364273231606682
PRDM1	LZTS2	0.5563348948554023
PRDM1	INA	0.5569391668122297
NR3C1	C20orf144	0.5331626819759432
NR3C1	NSUN5P1	0.6154621603394528
NR3C1	TTC23	0.5459684890508791
NR3C1	ZNF296	0.5562467927453776
NR3C1	GALNT4	0.7280497284602592
NR3C1	WNT2B	0.6054900095323759
NR3C1	CFH	0.8029489948673918
NR3C1	CNP	0.5297928871583015
NR3C1	DAPK2	0.5831555562985362
NR3C1	FBXL17	0.6823923521376831
NR3C1	FBXO30	0.617682936726256
NR3C1	RRP7A	0.5442337710259428
NR3C1	THTPA	0.5734395911329351
NR3C1	HAX1	0.6037651786921594
NR3C1	DAAM1	0.6061914993408957
NR3C1	POLR1A	0.6510748737041911
NR3C1	TSPAN18	0.5315953602572461
NR3C1	SLC17A5	0.6157292575321369
NR3C1	TMEM208	0.528956264355398
NR3C1	PLEKHO2	0.7201552439289056
NR3C1	FOXD4L3	0.6933357609398949
NR3C1	GPR155	0.5475443169921288
NR3C1	PRRT4	0.5728337264233279
NR3C1	DSCR9	0.5609681545686347
SMC3	CPA3	0.5667914381065366
SMC3	SAMD9L	0.7332544997274444
SMC3	CLSTN2	0.5413866532634377
SMC3	GALNT3	0.654068398413103
SMC3	SMOX	0.7182229149189938
SMC3	SLC11A1	0.5425224763942191
SMC3	SDC3	0.547345090412612
SMC3	ALOX12B	0.6720683055429122
SMC3	FITM2	0.5352028521881134
SMC3	TM2D3	0.5375367020337816
SMC3	PA2G4P4	0.5507489939956529
SMC3	TMC4	0.570546004465581
SMC3	AZIN1	0.5450877259777331
SMC3	CEACAM1	0.5691380026232902
SMC3	GRIN3B	0.5735741689434732
SMC3	ERCC3	0.7208585681470296
SMC3	SNRPG	0.5506852073906887
SMC3	CNTROB	0.5541262671088147
SMC3	B4GALT6	0.5891565487686066
SMC3	GOLGA7	0.5671397594518464
SMC3	LCMT1	0.5837849228470797
BACH1	B4GALT2	0.5368984271102009
BACH1	BATF2	0.6631303953512488
BACH1	UGT2B11	0.6575671019677563
BACH1	ZBTB47	0.5308598238733717
BACH1	BAD	0.5284391556625145
BACH1	SDC3	0.5652588216694712
BACH1	PIPOX	0.5520855324630998
BACH1	DLEU2L	0.5315172974554985
BACH1	AURKC	0.5736670548842939
BACH1	RUFY1	0.5300575025729417
BACH1	SALL2	0.5865625467582722
BACH1	ATXN7	0.621732572391346
BACH1	AXL	0.7842948311704103
BACH1	EIF3E	0.5766773870656028
BACH1	SLC16A8	0.5669426873032353
BACH1	CENPQ	0.6194231078374224
BACH1	MAPRE2	0.5389198158546376
ELK1	WDR25	0.5448831389404312
ELK1	A4GNT	0.5474849270143389
ELK1	AKR1C1	0.538113319914753
ELK1	OTUD6B	0.539839725262544
ELK1	MAB21L2	0.6233808025535219
ELK1	LPCAT1	0.6089804100988112
ELK1	RPL13A	0.5373478018444451
ELK1	PSMG1	0.6268582039530322
ELK1	SMCR8	0.5321400400691019
ETS1	RYR1	0.6924530121861499
ETS1	FAM102A	0.5350635092092193
ETS1	KLRC3	0.5616448047465301
ETS1	MFAP3L	0.5850932291009858
ELK4	ACOT11	0.5335502690900928
YY1	BRF1	0.5636084488140982
YY1	PCP4L1	0.6211272695332886
YY1	IPP	0.5798137363790254
YY1	GPT	0.6624559080662027
YY1	HPS6	0.5376807311584209
YY1	ZC3HAV1	0.5337355196955786
YY1	NBPF15	0.580664695085372
YY1	SUCLA2	0.537099601929456
YY1	ARSK	0.5839623551772379
YY1	HMBS	0.5477499100621093
YY1	TAGAP	0.6386801950127268
YY1	LANCL2	0.5320237247870918
YY1	GTF2H2B	0.6114675668036766
YY1	EIF4G3	0.5348482782044641
YY1	N4BP1	0.7601881533681873
TRIM28	TPD52	0.5275209415216744
TRIM28	KANK1	0.5641987288712746
TRIM28	EYA1	0.5700751668531021
TRIM28	DCUN1D3	0.5851409202495899
TRIM28	C9orf78	0.5916619334139397
TRIM28	AKR7L	0.548047136962944
TRIM28	BBS7	0.5591369558274972
TRIM28	GAS2L2	0.538107949376943
TRIM28	TRIM67	0.5460777278794469
ZMIZ1	RABGAP1L	0.5441568835230282
ZMIZ1	RNF113A	0.7171898502534351
ZMIZ1	HLA-L	0.5457809251457468
ZMIZ1	MLC1	0.5747305831214113
ZMIZ1	CIB1	0.550118219641059
ZMIZ1	ACVR1B	0.7771749215453454
