Regulator	Target	MI
ATF1	PUS10	0.5881195538538475
ATF1	TRIM16L	0.6539577016832716
ATF1	GTF3C6	0.585056535293623
ATF1	CLEC12B	0.5442917764185551
ATF1	HDLBP	0.5470928874405172
ATF1	HEPACAM2	0.5661626294752691
ATF1	ARRB1	0.7068826132573212
ATF1	ARRB2	0.6603590305858931
ATF1	PRPF19	0.5583690214524419
ATF1	GALNT10	0.7112154110553282
ATF1	SGSH	0.5556942202923221
ATF1	ADAMTS14	0.5716940351556627
ATF1	CASP8	0.7351770130744839
ATF1	CHST10	0.6047466568877331
ATF1	EPB41L3	0.6233861715333635
ATF1	SEPHS2	0.6093785526153095
ATF1	ZNF268	0.7579416354077009
ATF1	DRD4	0.5556485444540762
ATF1	TMED5	0.547079657183291
ATF1	CAP1	0.6587519806033169
ATF1	KLHDC2	0.594938440530477
ATF1	SNORD12C	0.5524247814860344
ATF1	FOXP4	0.5811517790210603
ATF1	OSMR	0.5580214609705734
ATF1	POLRMT	0.7660758205562241
ATF1	SNHG5	0.5421322549218774
ATF1	RNF222	0.6613088357796064
ATF1	NECAP1	0.5902394240257438
ATF1	SFRP2	0.5396240851805696
ATF1	TFDP1	0.5620229430519519
ATF1	NMNAT1	0.5641802597724661
ATF1	UQCRC1	0.5643871902462481
ATF1	TRIB3	0.5788554679132276
ATF1	PEX11G	0.6570028136411525
ATF1	RBM45	0.7474232126870106
ATF1	SEC24C	0.6047689082140253
ATF1	ATF3	0.5780022865472585
FOXA1	PYGO1	0.6867730131058685
FOXA1	SNORD116-26	0.5643106564272804
FOXA1	GAB2	0.5602337160275432
FOXA1	FOXO1	0.5392941711535926
ATF2	ATAD1	0.6080875598478497
ATF2	VAV3	0.6594593961334914
ATF2	WFS1	0.5405345501828487
ATF2	FOXJ3	0.5507593610509383
ATF2	STAM	0.7000106184918855
ATF2	L1CAM	0.5931756565762893
ATF2	SLC9A1	0.5923297069203706
ATF2	AKAP13	0.5685508721313348
ATF2	TTC9	0.5676125806317542
ATF2	C4orf36	0.6823587435199805
ATF2	HECA	0.5548804303537302
ATF2	LRCH3	0.6643381575568945
ATF2	SOCS7	0.5587131404656196
ATF2	BCAS1	0.6381387817735069
CCNT2	TRUB1	0.5445644731612198
CCNT2	CCL3L3	0.5305690561811565
CCNT2	KCNC3	0.5615234881178077
CCNT2	NRM	0.553735185159494
CCNT2	GDPD3	0.6215030086384377
CCNT2	RPL9	0.5401539232039996
CCNT2	PDCD2L	0.5279008959313836
CCNT2	CKS1B	0.5287831965697256
CCNT2	PIGX	0.5306712734337076
CCNT2	SGSH	0.5486455483142887
CCNT2	ABLIM2	0.5426083102212136
CCNT2	IL12A	0.5343384980983488
CCNT2	MAP4	0.5322495253540716
CCNT2	CPA5	0.5296453063763167
CCNT2	AOC2	0.5273992788833737
CCNT2	CMTM4	0.579092163044026
CCNT2	SURF4	0.5534756219657604
CCNT2	HIPK1	0.5997189454752512
CCNT2	SMARCA1	0.5323505718869797
CCNT2	C2orf27A	0.6643675325867102
CCNT2	LSS	0.7029255561224304
CCNT2	GNPAT	0.5318215931223191
CCNT2	YEATS2	0.5906295393596839
CCNT2	PRR15L	0.5707562341236252
CCNT2	SLCO4A1	0.5766773870656028
CCNT2	ALOX5AP	0.5724237907062983
CCNT2	NEIL1	0.6019087748474039
SMARCB1	BCL11B	0.654241466198775
SMARCB1	SYT1	0.595696113209665
SMARCB1	GDPD2	0.5589644451407607
SMARCB1	PAX6	0.6305528607058104
SMARCB1	TIMD4	0.632354263086357
SMARCB1	KIAA0232	0.5377479337728643
SMARCB1	RHOC	0.5303775350538737
SMARCB1	SOBP	0.6316674365371919
SMARCB1	FNDC7	0.6192425162618882
SMARCB1	PLB1	0.6101290085067945
SMARCB1	C5	0.5677236396279497
SMARCB1	RAB20	0.5567880819627375
SMARCB1	CCDC74A	0.5772152864674505
SMARCB1	PPARA	0.6982045242109418
SPI1	ADAL	0.5394878766682094
SPI1	EDAR	0.5958055094213508
SPI1	CYP27B1	0.541822193799903
SPI1	SLC30A9	0.701438081606192
SPI1	SENP5	0.5477758224685063
SPI1	CCDC103	0.5721317339024816
SPI1	RPLP2	0.5293929732659617
SPI1	DNTT	0.5493942085068286
KDM1A	ITGB4	0.5904312650672514
KDM1A	CUL1	0.5702419113057
KDM1A	HSD17B12	0.7490105841404753
KDM1A	KRBA1	0.5577157225097698
KDM1A	ADD2	0.5315282651669806
KDM1A	DRP2	0.5663655805126893
KDM1A	RRP7A	0.5707923882762844
KDM1A	FZR1	0.544651648571334
KDM1A	PGM2	0.5779599362386754
KDM1A	EIF5A	0.6755858161231227
KDM1A	PRRT1	0.7869012529872483
KDM1A	ZNF782	0.5328892430716361
KDM1A	TSFM	0.5271896973947423
KDM1A	PTGIR	0.7004462233141999
KDM1A	RFPL2	0.5636376196105841
KDM1A	PRSS30P	0.6352706065858711
KDM1A	KCNK16	0.5516250403983327
KDM1A	NEAT1	0.5435067393066539
KDM1A	LATS2	0.6650393412932964
KDM1A	LAS1L	0.6755570702211662
KDM1A	SNX17	0.6003309079060974
KDM1A	SLC7A5P2	0.568293651965619
KDM1A	MIR17HG	0.5538407401952639
KDM1A	PITPNM2	0.7293293477398852
KDM1A	RFX5	0.5452146840089873
KDM1A	ITGB1BP2	0.5495675954277415
KDM1A	DNAL4	0.60017226756317
KDM1A	EGFL8	0.5938531310851349
GTF2B	P2RY12	0.5525977590195685
GTF2B	GALE	0.5848465044024249
GTF2B	ABCC2	0.5316135748857773
GTF2B	ANKRD35	0.5352234768759252
GTF2B	POLR1B	0.5794634505078422
GTF2B	PTPRN	0.647112078398361
GTF2B	BTK	0.543572745007487
GTF2B	SMYD2	0.6559558864352186
GTF2B	RAC3	0.6295488920020396
GTF2B	PDIA5	0.5880391186957099
IKZF1	CTU1	0.5542343701455588
IKZF1	KIAA1328	0.5528386250497292
IKZF1	DST	0.5769015008875717
IKZF1	UBE2B	0.5429348791611246
IKZF1	LIPH	0.5292915738280919
IKZF1	HNF1B	0.5682086033023248
IKZF1	IRAK3	0.5310813017791807
IKZF1	FBXO21	0.535946013133485
IKZF1	TMEM18	0.6548762272849844
IKZF1	ELL3	0.5363951081497862
PRDM1	SH3GLB1	0.5361517542251826
PRDM1	AASDH	0.5339110354895724
