Regulator	Target	MI
ATF1	AUTS2	0.5527701546753256
ATF1	CTR9	0.5676663226907421
ATF1	CRYBB3	0.5733178808050772
ATF1	MBOAT2	0.5433779236669118
ATF1	CTSW	0.5316911074028141
ATF1	PEX2	0.582553582331121
ATF1	SORBS2	0.6379967826873938
ATF1	RPL9	0.5951957103225807
ATF1	CTSS	0.6968419476193035
ATF1	RILPL1	0.5296048535623443
ATF1	STRC	0.5558517964331213
ATF1	CSPP1	0.5610875888100271
ATF1	TRA2A	0.548859786706613
ATF1	INPP5K	0.6507795401186476
ATF1	PDSS1	0.7434413638992203
ATF1	ARIH1	0.6070017616219987
ATF1	SNORD95	0.5444177996670692
ATF1	CTNNBL1	0.663230228373147
ATF1	ATP6V0A1	0.5309503305504357
ATF2	VAC14	0.5721411233836613
ATF2	LRP1	0.7620286138285519
ATF2	COX17	0.5348798067571341
ATF2	POMP	0.5422131285064906
ATF2	DTNBP1	0.5360279660275071
ATF2	HSFX2	0.5413304911596089
ATF2	F3	0.5348482782044641
ATF2	RAD23B	0.527885062748735
ATF2	IQCG	0.5760032186657509
ATF2	HS2ST1	0.6339842666028974
ATF2	CCT6A	0.5368325771054514
ATF2	NPEPPS	0.5858852484021906
ATF2	IMMP2L	0.6255028763434853
ATF2	MAEA	0.535946013133485
ATF2	CSRP1	0.5501223771760397
ATF2	SIT1	0.5738885327901033
ATF2	CRYZL1	0.5388946317897667
ATF2	TRIP10	0.6798003325159234
ATF2	MYOZ3	0.5387197466815987
ATF2	RADIL	0.549028049945989
ATF2	CDH26	0.5797341571274517
ATF2	BCAT1	0.5308107570014045
ATF2	VAMP5	0.6173665957124896
CCNT2	CERKL	0.6766959379368642
CCNT2	MRPS15	0.6114637837972094
CCNT2	SLC22A14	0.7064370215295432
CCNT2	PRMT2	0.5873795613861854
CCNT2	TMPRSS5	0.6155257261749059
CCNT2	PSIP1	0.6234519080651011
CCNT2	CNOT10	0.6410451794411269
CCNT2	ZNF304	0.5351168877836336
CCNT2	FBXO46	0.6354073175828785
CCNT2	CTRC	0.5293929732659621
CCNT2	TMEM80	0.5455966533499415
CCNT2	SEL1L3	0.5798413753476006
SMARCB1	ARF3	0.5764796516488908
SMARCB1	CA11	0.5314743534627255
SMARCB1	GABARAPL1	0.5605957003280428
SMARCB1	AMIGO3	0.5275323947817521
SMARCB1	GSTP1	0.6178884582065405
SMARCB1	TDRD9	0.7626419999517133
SMARCB1	ZNF98	0.6210472316468132
SMARCB1	OR2T8	0.5749890585523842
SMARCB1	ARHGAP25	0.5902168352119279
SMARCB1	IGSF9	0.7196881776159474
SMARCB1	RCL1	0.7537790308262378
SMARCB1	RPUSD4	0.5706158570882107
SMARCB1	EPGN	0.5565372282481302
SMARCB1	CNPY4	0.5322227069763539
SMARCB1	DNAJC30	0.5616448047465297
SMARCB1	STX6	0.5842549385946265
SMARCB1	CYP1B1	0.5369350639269674
SMARCB1	TAC4	0.599104681899703
SMARCB1	CENPN	0.6589814649630958
SMARCB1	NAA16	0.5673623266783823
SMARCB1	SMYD4	0.7734537530937602
SPI1	DDX25	0.5647761836084815
SPI1	IRS1	0.6012965358145488
SPI1	ANKRD55	0.8008703469553273
SPI1	HVCN1	0.5399781780580772
SPI1	EFCAB5	0.6907096012490324
SPI1	PSMB4	0.5377479337728643
SPI1	DVL1	0.6716633565341392
SPI1	SPIN1	0.5733623448587042
SPI1	ZBED5	0.557644519850669
SPI1	C1orf226	0.602610378111569
SPI1	HOMER2	1.016740394307749
SPI1	KCNJ14	0.5530556859788875
SPI1	SPINK5	0.6077852006830593
SPI1	TMC8	0.6313376688448975
SPI1	KCNK16	0.5803048392580838
SPI1	TBX6	0.7709939039994356
SPI1	MCOLN2	0.750444072207471
SPI1	AICDA	0.5500395586360445
SPI1	IFFO1	0.5677246013836412
SPI1	SAP30	0.7991820184421088
SPI1	MKLN1	0.7650242522431507
SPI1	SNHG10	0.5723058316813345
SPI1	MMP19	0.5434366886961621
SPI1	GNB5	0.7637835938357087
SPI1	TMEM9	0.6132783465192317
SPI1	RHOQ	0.6720175803288897
SPI1	MCPH1	0.5608092868108598
KDM1A	ZEB1	0.5560423114380146
KDM1A	COL13A1	0.8036564103975659
KDM1A	GUK1	0.7156877059703461
KDM1A	ALG2	0.5538127811833968
KDM1A	HLA-DRA	0.6405345258168995
KDM1A	N4BP2L1	0.6443586072716947
KDM1A	TIMM22	0.607383494247066
KDM1A	ASGR1	0.586537771770621
KDM1A	TAS2R19	0.6376992820296823
IKZF1	PRMT6	0.5318780353833166
IKZF1	BCL11B	0.6866256348308237
IKZF1	POLM	0.5559323910787741
IKZF1	NOTCH4	0.7698678741289924
IKZF1	TESC	0.6413015322738351
IKZF1	NAP1L3	0.6097792382904581
IKZF1	TACR2	0.6470699136213103
IKZF1	CDK9	0.6487117058193035
IKZF1	ARHGAP10	0.553011034525603
IKZF1	EXT2	0.6074381497102879
IKZF1	FAM168B	0.558166055192455
IKZF1	RAB41	0.5332673961052259
IKZF1	NCEH1	0.5620765363102396
IKZF1	RALGAPB	0.5933518177549257
IKZF1	MAT2A	0.5488954341953058
IKZF1	CENPI	0.6703294962059263
IKZF1	ZW10	0.7821306162241393
IKZF1	IGFBP7	0.5631340148158266
IKZF1	MGLL	0.5797368894121497
PRDM1	ASCL3	0.5496890759644448
PRDM1	TBCCD1	0.5733266989279784
PRDM1	SYCP2	0.5291166879409399
PRDM1	PCDHGC5	0.5627662249032479
PRDM1	LRRC39	0.5384497602209684
PRDM1	NAIF1	0.5550403980204348
