Regulator	Target	MI
ATF1	NARF	0.5561996355141923
ATF1	PLEK	0.549157257997702
ATF1	LOXL4	0.6306407501291544
ATF1	GALNT10	0.6329077939428971
ATF1	PABPN1L	0.6249002895737026
ATF1	GPR176	0.5784667043421488
ATF1	HEY1	0.557787903250051
ATF1	ANPEP	0.6991145479416132
ATF1	ZNF208	0.6558787734545377
ATF1	C4orf36	0.691511356049769
ATF1	CCDC50	0.5376401209219739
ATF1	TAS2R5	0.6024066169631848
ATF1	HTATIP2	0.5391854535880909
ATF1	KCNH2	0.5675617245004898
ATF1	LRRC45	0.5450877259777336
ATF1	RING1	0.6030695258771503
ATF1	RMI1	0.5638467676222683
ATF1	SLC30A5	0.5430328018923243
ATF1	MAGI2	0.5331391370955956
ATF1	ARAP3	0.5736294420513879
ATF1	ZFYVE21	0.5572238621588328
ATF1	ASPN	0.5918654732932258
ATF1	PRSS53	0.6816254424577477
ATF1	SCAMP3	0.5612458546244405
ATF1	BACE1	0.5770799384320693
ATF1	HMBS	0.5348166504381253
ATF1	CCDC42	0.5663262085660925
ATF1	HOXB3	0.5984380891929386
ATF1	ATP6V1B1	0.552779569714331
ATF1	CALCRL	0.5675834602012841
ATF1	MRPS31	0.596976405837415
ATF1	C8orf44	0.6329861598125288
ATF1	ASCL2	0.5331207721687576
ATF1	HDAC9	0.5277768584925369
ATF1	PUF60	0.5427489324258659
ATF1	FAM120C	0.5401841582026128
ATF1	SNORA10	0.5858310288095878
ATF1	ZSWIM4	0.6259167508317707
ATF1	SUZ12	0.5391901849867233
ATF1	YIPF3	0.5965415366518814
ATF1	GDF7	0.5950739511866749
ATF1	RSPH3	0.6725678410402671
ATF1	SQLE	0.6589840102480045
ATF1	STAG3	0.5742185769553392
ATF1	IMPDH1	0.6365171942273822
ATF1	NDUFAF4	0.8096951209910048
ATF1	XPNPEP3	0.6591305581315661
ATF1	RNF182	0.5413304911596089
ATF1	PLCH1	0.5474474959728717
ATF1	RGS12	0.5609621064344275
ATF1	CC2D1B	0.5888247580915866
ATF1	GZF1	0.5548478127511363
FOXA1	CNTD1	0.5671412083228731
FOXA1	KCTD21	0.6236541458682758
FOXA1	BBS7	0.5983883208244336
FOXA1	KIFAP3	0.5843568993107513
FOXA1	SFI1	0.6079634934901974
FOXA1	VSIG10	0.5299921536239403
ATF2	TIAL1	0.5783629247455608
ATF2	JMJD4	0.5419706411752667
ATF2	SFPQ	0.7196174111892142
ATF2	LARP1	0.585860558756504
ATF2	TXLNA	0.5676505866556147
ATF2	APOBEC3H	0.5457982604672904
ATF2	GALNT1	0.5992683702842188
ATF2	FLNA	0.5989384046040627
ATF2	FGF13	0.5452538336281063
ATF2	SOCS4	0.6118780754763069
CCNT2	NR5A2	0.5933718179026615
CCNT2	SOAT1	0.6999590706208583
CCNT2	ANKRD11	0.5466932680336445
CCNT2	PDE2A	0.5714460060440385
CCNT2	FBP1	0.5485878195236853
CCNT2	KCNJ2	0.649028899877135
SMARCB1	LRRC34	0.6985792095818724
SMARCB1	TTC23	0.6235046001813038
SMARCB1	MEGF10	0.5351996937217223
SMARCB1	FLT4	0.6611449338134485
