Regulator	Target	MI
ATF1	ITGAM	0.6250627459138345
ATF1	FBXO27	0.6887506722546064
ATF1	MAST2	0.6586535301004481
ATF1	SYAP1	0.6459955681473573
ATF1	ARRB1	0.5454462131061093
ATF1	PWP2	0.5832046955391834
ATF1	OR2T10	0.7547328484296854
ATF1	MECP2	0.5714927887467107
ATF1	AS3MT	0.6064243061058088
ATF1	FAM102A	0.5376807311584209
ATF1	PSD4	0.6341940529747738
ATF1	BAALC	0.754442336494912
ATF1	THSD7A	0.5434744246428771
ATF1	PDK2	0.6114676562768304
ATF1	ARRDC4	0.6112918615438767
ATF1	PLEKHG4	0.5358880061829052
ATF1	ATP6V1G1	0.6112640627985106
ATF1	WSB1	0.5921059875765207
ATF1	AKTIP	0.6703581766639362
ATF1	ATP6AP2	0.5734934763713149
ATF1	ATP11C	0.5332240942885424
ATF1	ATP1B3	0.5341346157732376
ATF1	ELF1	0.6100564366406007
ATF1	COL2A1	0.5547520958201289
ATF1	ASTL	0.6264219566898186
ATF1	ASPHD1	0.5742023761395609
ATF1	PNLDC1	0.5810802620559552
ATF1	MT1F	0.5965801900661716
ATF1	ATP6V0D1	0.5670458450758127
ATF1	PLCB1	0.7211071445877253
ATF1	CES2	0.6953713725539896
ATF1	TLR3	0.5881823885715973
ATF1	TMEM87A	0.5419210855227905
ATF1	SLC1A1	0.6411955518353558
ATF1	RNF8	0.5308105951595707
ATF1	ZNF2	0.5300539992844184
ATF1	THADA	0.556783834954603
ATF1	ATP6AP1L	0.5296048535623443
ATF1	DHX32	0.5710369524275389
ATF1	SRPX2	0.5652993741363388
ATF1	UCP3	0.5637441253754703
ATF1	ATP6V0A2	0.6962714697220003
ATF1	NAA25	0.6905057828392489
ATF1	ANO10	0.5469063616726126
ATF1	ASCC2	0.6732178806935738
ATF1	ASL	0.5365787691577824
ATF1	ATP6V1D	0.5885568248216506
ATF1	SLC35A2	0.5564740905915628
ATF1	USP9X	0.5503729519516867
ATF1	SSH3	0.5750876123485238
ATF1	DCDC1	0.580779214707793
ATF1	XKR8	0.5518782579855239
ATF1	RNF145	0.6847083852332747
ATF1	NECAP2	0.7312871966459187
ATF1	TSGA13	0.5890014930048091
ATF1	PTPRC	0.7622640104469913
ATF1	ATG16L2	0.5836511469649568
ATF1	TTC5	0.5566891902398501
ATF1	ASB7	0.7330247538729382
ATF1	ESYT1	0.5483868585699629
ATF1	ZNF212	0.618363243951678
FOXA1	EIF2B3	0.529378511743336
FOXA1	ATP6V1G2	0.6331309163706438
FOXA1	ZW10	0.6750076094236457
FOXA1	UBE3A	0.5282910112653236
ATF2	H19	0.5383196763141918
ATF2	GCLC	0.6466621608541212
ATF2	SNORD45B	0.5449166722842107
ATF2	PPP1R12A	0.5704067668461064
ATF2	SNORD36C	0.5433690237452242
ATF2	ASNSD1	0.6055483613224539
ATF2	GYPE	0.5959407195839934
ATF2	PNLDC1	0.7089653951437347
ATF2	IPP	0.6992761299846495
ATF2	FKBP3	0.5834165518357075
ATF2	CDC73	0.557787903250051
ATF2	ASB16	0.6025012844595863
CCNT2	RAD23A	0.6308291460308326
CCNT2	SMAD5	0.5409121290130283
CCNT2	LRRC37B	0.6846499231428416
SMARCB1	CHIC2	0.5382745404704083
SMARCB1	FAM114A2	0.5643871902462481
SMARCB1	ACTL7A	0.5689752600095885
SMARCB1	SNORD116-23	0.5409037954913165
SMARCB1	PIGW	0.6872203293986314
SMARCB1	LPP	0.6050077096863036
SMARCB1	SNORD116-4	0.6292838528717235
SMARCB1	HSD11B2	0.5308407874958863
SMARCB1	TMEM169	0.6276768631028831
SMARCB1	SYMPK	0.5369660692193783
SMARCB1	SCAPER	0.5873443827414842
SMARCB1	SNORA30	0.5645438506458627
SMARCB1	STK32C	0.6139553403611622
SMARCB1	WNT4	0.5462028357265334
SMARCB1	STARD3NL	0.5733488531067499
SMARCB1	SCD5	0.7215431154852023
SMARCB1	SDHAP3	0.5696908540153061
SMARCB1	NET1	0.653274610180214
SMARCB1	SLFN11	0.7502844253630405
SMARCB1	CENPN	0.5859432671078451
SMARCB1	UPRT	0.589439536913519
SMARCB1	GRAPL	0.5604547600772913
SMARCB1	SULT6B1	0.6740962282409555
SMARCB1	RCOR2	0.5549172729617937
SMARCB1	SERINC5	0.5611572381467327
SMARCB1	C9orf50	0.5863495840365469
SPI1	HDAC4	0.6114615798000287
SPI1	NLGN2	0.7362471314374632
SPI1	ICAM3	0.7866033404761406
SPI1	N4BP2L1	0.7412923705206769
SPI1	PRCP	0.5678614702203588
SPI1	DTX4	0.6892037471071393
SPI1	RBPJ	0.6967298651461973
SPI1	MED15	0.7121036211072003
SPI1	PRDM10	0.5832831520400656
SPI1	GSTM2P1	0.7460023946230145
SPI1	NDST1	0.533159949691246
SPI1	AKR7A2	0.6430366999721411
SPI1	HERC3	0.5583481352699025
SPI1	MAN2A2	0.5523639527776019
SPI1	TMEM89	0.5600233892219784
SPI1	INSC	0.5582563171553248
SPI1	FFAR3	0.56967448039897
SPI1	ZNF487	0.6266070871857297
SPI1	MUC6	0.7156530498758755
SPI1	PAK4	0.8987090724643725
SPI1	USP47	0.5279753513723535
SPI1	TMEM150B	0.5930305799748825
SPI1	FZD2	0.6844054883508623
SPI1	SLC13A4	0.5546624642191453
SPI1	RPL23	0.5646903505604706
SPI1	FOXJ2	0.646472320794675
SPI1	APEX2	0.5690506551916008
SPI1	DOHH	0.5480501075214961
SPI1	LRRC42	0.5282453349878522
