Regulator	Target	MI
ATF1	TMEM87A	0.541946031313806
ATF1	AKAP8L	0.5559280691965864
ATF1	XYLT1	0.5532396678091591
ATF1	GDPD3	0.6814755210240526
ATF1	HSPA14	0.5643705213654622
ATF1	TSPAN10	0.5714927887467107
ATF1	TMEM121	0.611013156952998
ATF1	CRHBP	0.5760709602987566
ATF1	SMPD2	0.5447829508873108
ATF1	SNX27	0.6116900186594756
ATF1	AMDHD1	0.5787841001279359
ATF1	DHX58	0.585267380130341
ATF1	HABP4	0.540443926408658
ATF1	TEKT4	0.6415126479666826
ATF1	ZNF843	0.5430148584990366
ATF1	GAS2L2	0.6025915947067553
ATF1	TNPO3	0.5536316499531595
ATF1	ATP6V1C2	0.5904176590633026
ATF1	HES7	0.533131825992414
ATF1	BCAS3	0.5273143253538968
ATF1	PRMT5	0.6740707591207253
ATF1	ARL15	0.652960955517579
ATF1	DENND4A	0.5473115977339384
ATF1	GALNT2	0.5537780523411326
ATF1	PRKCB	0.5619878352179635
ATF1	RALGAPA2	0.5775860490047289
ATF1	SEC16A	0.5528386250497292
ATF1	ATP2B4	0.6818435387305919
ATF1	ASH1L	0.6056897951960383
ATF1	ASPN	0.5772576314779729
ATF1	UCKL1	0.5537496854101445
ATF1	RPS25	0.6848406414336581
ATF1	REEP5	0.5807586687889525
ATF1	ERCC4	0.6148539162501105
ATF1	OAS2	0.5524470157078527
ATF1	PKIA	0.6154237056920087
ATF1	PITPNM2	0.5421115810469037
ATF1	ZNF516	0.6004600009268315
ATF1	CDK2AP1	0.6790247999161796
ATF1	QRICH1	0.7509194824926841
ATF1	C17orf80	0.6459870399221401
ATF1	CDC42SE2	0.6874759795767047
FOXA1	GOLGA4	0.7526351462566767
FOXA1	SUN1	0.5349018129141885
FOXA1	TMX1	0.5420147948865113
FOXA1	CCDC6	0.5535024419014465
FOXA1	NDUFA4L2	0.54979620471144
FOXA1	ATP11B	0.6029091022916084
ATF2	RNF31	0.5430687863997159
ATF2	DET1	0.634843758376785
ATF2	ZNF395	0.6695673265070408
ATF2	CCDC89	0.5449690126535471
ATF2	PSEN2	0.5413547244953625
ATF2	LOXL4	0.6207877656006016
ATF2	VLDLR	0.6692621349961958
ATF2	DCST1	0.7180883378874388
ATF2	PEX26	0.5669358771267343
ATF2	ALKBH2	0.6141663040980188
ATF2	CASP10	0.7895230281677583
ATF2	CHN2	0.5861251672757604
ATF2	FAM53C	0.5586306972331214
ATF2	KIF13B	0.6627697521946447
ATF2	BMF	0.5445508671572701
ATF2	ZNF385D	0.6237975581272055
ATF2	DTNB	0.640423786863995
ATF2	PCDHGC5	0.5409089302606458
ATF2	PRMT1	0.5470503907972519
ATF2	RHBDD1	0.5460777278794464
ATF2	TMUB1	0.6011891691935691
ATF2	AHSA1	0.5910353511823874
ATF2	ASNS	0.62748061114526
ATF2	SLC39A13	0.540497650584189
ATF2	TIMM22	0.5498384017002458
ATF2	KRT10	0.5283797013988751
ATF2	RHOA	0.5470813024842127
ATF2	TOMM40L	0.5427520611858752
ATF2	KRT72	0.5913928879815162
ATF2	MYOT	0.5530736325274659
ATF2	LRIT3	0.5353272564725136
ATF2	RPS6KB2	0.5786244912325471
ATF2	LCP2	0.6028625094939684
ATF2	TLN1	0.5327961636147571
ATF2	SNTB2	0.6632944299216841
CCNT2	SMARCAL1	0.6186091276146848
CCNT2	USP16	0.692828079432187
CCNT2	BRI3	0.5955674862567455
CCNT2	EBI3	0.6081391470968178
CCNT2	PINX1	0.5986122459595804
CCNT2	PRRC1	0.6335521666270738
CCNT2	PALM	0.5373636350270936
CCNT2	LONP1	0.5718612879592602
CCNT2	NUDT15	0.5276371486680898
CCNT2	HLA-DQA1	0.5769372943318336
CCNT2	ZNF200	0.5376807311584209
CCNT2	MTX2	0.5615456271892976
CCNT2	HPS3	0.5411504806828691
CCNT2	UBE2E2	0.5425228524807002
CCNT2	B3GALT6	1.0573167844055238
CCNT2	FAM111B	0.5285545865070436
CCNT2	C17orf49	0.5798882296399692
CCNT2	KRT18	0.5295429841728105
CCNT2	LTB4R2	0.5390615824335314
CCNT2	NASP	0.5578537072402945
CCNT2	LPCAT4	0.5684305086080363
CCNT2	CDC42EP3	0.658264896667629
CCNT2	KCNQ3	0.5719649137968466
CCNT2	SHBG	0.5343883908592351
CCNT2	ZNF532	0.5583898312029612
CCNT2	PPIL6	0.5429107759636302
CCNT2	SLC25A6	0.5407184144767685
SMARCB1	HPGDS	0.8678892882540112
SMARCB1	SCUBE1	0.5677029441294259
SMARCB1	TRIM7	0.6152150420708229
SMARCB1	CDH2	0.5415631604516542
SMARCB1	ENTPD3	0.5317887173093547
SMARCB1	RER1	0.5809680757899911
SMARCB1	PDE1B	0.5357886813829396
SMARCB1	CHAD	0.6363873871934174
SMARCB1	GPC5	0.5454613870839977
SMARCB1	C1orf127	0.6828338838571151
SPI1	HOMEZ	0.5820604409601864
SPI1	CCT2	0.5465707956634933
SPI1	LTK	0.5650946057764221
SPI1	C1orf100	0.536808254296544
SPI1	CLEC12A	0.5676547962830014
SPI1	CELF3	0.5777883108077604
SPI1	AFAP1	0.5953983096131354
SPI1	ETFA	0.5417384562343641
SPI1	KIR3DL1	0.5820297151149161
SPI1	FOXO4	0.5472346706846603
SPI1	C19orf44	0.5773848025957773
SPI1	NAPG	0.5899965800494638
SPI1	PLAC8	0.5615937172661432
SPI1	TMEM101	0.5477935811092456
SPI1	PPP1R3B	0.590691156516173
SPI1	C18orf21	0.5852646291832024
SPI1	FKBP7	0.7306792140513045
SPI1	LONRF3	0.6285719666586616
SPI1	FSD1	0.6211272695332886
SPI1	ZNF830	0.53903008596355
SPI1	PFDN5	0.5314902534058339
SPI1	STK32B	0.5360946659210315
SPI1	TRPM6	0.6356957544918598
KDM1A	SEMA5A	0.6873559011087664
KDM1A	DIDO1	0.577405735589172
KDM1A	SCOC	0.6885793985705564
KDM1A	ACAA2	0.5973848178093646
KDM1A	GABPB2	0.5918643440570279
KDM1A	SLC4A1AP	0.6817237628223571
KDM1A	DPY30	0.5658839647705118
KDM1A	N4BP2L1	0.7158369499367092
KDM1A	SMC3	0.5556641483537508
KDM1A	CELSR2	0.7077082345396648
KDM1A	GPR174	0.6521707816699176
KDM1A	RNF157	0.6375082091468687
KDM1A	KIAA1586	0.6982009582426647
KDM1A	SNRNP70	0.5582852090128507
KDM1A	SOX15	0.5941632678601465
KDM1A	FDXR	0.7981930721601054
KDM1A	CCR8	0.6733772863030398
KDM1A	SOX8	0.52814678041273
KDM1A	UGT2A1	0.5376216502651974
KDM1A	SLC12A8	0.7688987828181393
KDM1A	OR4D1	0.8686680358025609
KDM1A	KCNH4	0.6225380382089836
KDM1A	SUN1	0.556783834954603
KDM1A	FCRL5	0.5563370208232397
KDM1A	NHLRC3	0.6522142651883289
KDM1A	KRT2	0.5272679358421799
KDM1A	RPS6	0.5708503379654646
KDM1A	MED8	0.7239559456001934
KDM1A	TTC7B	0.6603509382312964
KDM1A	PROX2	0.6470875656844219
KDM1A	ATP11A	0.6040116995365046
KDM1A	GTPBP2	0.5809561793728126
KDM1A	ETV4	0.5459295647804594
KDM1A	GTPBP4	0.6808996232727123
KDM1A	LZTFL1	0.5280170038641296
KDM1A	SIRT3	0.6188439435134443
KDM1A	PPM1A	0.6256763605409863
KDM1A	ZNF91	0.5701560782576891
KDM1A	ARMC5	0.7281475978643335
KDM1A	OAS2	0.5746304702131471
KDM1A	TMX1	0.5672506719842927
KDM1A	NINJ2	0.6157882608352416
KDM1A	SNORA28	0.5672130921421252
KDM1A	SPATA13	0.5414819127176402
KDM1A	S100A3	0.7032011506157403
KDM1A	DUS3L	0.9700639948062966
KDM1A	VAMP5	0.6841529995444229
KDM1A	GRID2IP	0.5412450583270036
KDM1A	INO80B	0.6227991081120279
KDM1A	ZNF395	0.6707908239688312
KDM1A	PARM1	0.5642938147459358
KDM1A	GPR84	0.5825272361376186
KDM1A	FUT2	0.5325288963976913
KDM1A	EHBP1	0.5398732098583872
KDM1A	GLB1L2	0.5778593260672023
KDM1A	BCL2L12	0.5871886398094457
KDM1A	EFNB1	0.5947673933532238
KDM1A	IL1RL1	0.5574231390923821
KDM1A	SGPL1	0.5638404796168834
KDM1A	PLN	0.6156742226980763
KDM1A	ADAM23	0.8338878453069025
KDM1A	PRDM16	0.5409477926981445
KDM1A	SNCG	0.5501223771760397
KDM1A	SNX6	0.8277092916555784
KDM1A	ZNF860	0.5818331671138584
KDM1A	VASP	0.5704176971768402
KDM1A	ANGPT1	0.6174569165478627
KDM1A	ATAD5	0.5883964012361083
KDM1A	CCDC12	0.5834520101983522
KDM1A	GOLM1	0.6075249920359789
KDM1A	IDH3G	0.5409477926981445
KDM1A	FBXO34	0.6737255006916083
KDM1A	CGN	0.5886367077910255
KDM1A	PRSS33	0.6452585316391466
KDM1A	SYNJ2BP	0.5418683991438749
KDM1A	LRRC66	0.7927582768784367
KDM1A	NAP1L5	0.6560028154725734
KDM1A	DHRS4	0.6069663771860019
KDM1A	IFT20	0.7537934923488638
KDM1A	PM20D1	0.5609816866065804
KDM1A	EEPD1	0.6223523151484787
KDM1A	BFSP2	0.8495413139783672
KDM1A	CYP24A1	1.0106439467411579
KDM1A	UBE2S	0.5331133568936055
KDM1A	MOB2	0.5699909612225555
KDM1A	SCARNA7	0.5348489906597265
KDM1A	CCDC22	0.630600708768708
GTF2B	ZNF394	0.5788374482169862
GTF2B	DCAF4L1	0.6088011161406741
GTF2B	GTF3C5	0.5515742729612376
GTF2B	MAST4	0.6346425119678334
GTF2B	PRKDC	0.5361517542251817
GTF2B	USP11	0.5539375949842422
GTF2B	ETFA	0.5426935629494136
GTF2B	CD1D	0.5321159938622029
GTF2B	RHOBTB1	0.8039735065288931
GTF2B	MYLK4	0.5332063392029633
GTF2B	GYS1	0.581714167136989
GTF2B	SCUBE3	0.7862990586294365
GTF2B	C6orf62	0.5833844718732597
GTF2B	BLOC1S1	0.6491792157889491
GTF2B	ST8SIA5	0.5885202387500126
GTF2B	FAM47E	0.6142128968956597
GTF2B	SNORA71A	0.5525215289184016
GTF2B	MAPK3	0.7736577187462768
GTF2B	MEF2A	0.5759671807021678
GTF2B	CSNK2A1	0.5424513708826395
GTF2B	KCNK12	0.7191860728164596
GTF2B	GLMN	0.5409121290130283
