Regulator	Target	MI
ATF1	AOC3	0.5500698095209224
ATF1	UBL4A	0.706304310189307
ATF1	EGF	0.6225413881383739
ATF1	METTL3	0.6758449206819543
ATF1	TMEM182	0.6793244252383044
ATF1	PTPN12	0.5317915081426157
ATF1	PCSK6	0.7062663468277446
ATF1	GANC	0.6263621766543741
ATF1	GATAD2B	0.5407550769804272
ATF1	TM4SF1	0.5734772515556794
ATF1	LENG1	0.5628879347229248
ATF1	TMX3	0.548112363206601
ATF1	NADK	0.5331230493136023
FOXA1	PRPS2	0.6156813033308373
FOXA1	B4GALT3	0.56645592534792
FOXA1	IFITM1	0.5407407015699754
FOXA1	SMARCD2	0.5820177206421664
FOXA1	SNORD88C	0.5428653294773125
FOXA1	OR2L2	0.5514753219108028
FOXA1	PAX6	0.5293157269917317
FOXA1	TYK2	0.5894395369135181
FOXA1	NR2C1	0.590318429852891
FOXA1	TTLL5	0.5946213443991502
FOXA1	CCND2	0.563849231516854
FOXA1	HECTD1	0.534115001142089
FOXA1	TMEM68	0.5961576853628241
FOXA1	C9orf24	0.6946398952704111
ATF2	MEG3	0.5438724736228813
ATF2	SREBF1	0.692400507908832
ATF2	SARS2	0.7593110199817312
ATF2	SNORA29	0.6345961224561156
ATF2	WDR3	0.5626988617330304
ATF2	PCDHB16	0.668829388856746
ATF2	SEL1L	0.5797093825790265
ATF2	ABCB9	0.5385491435694965
ATF2	SDSL	0.6005133582482163
CCNT2	SLC10A5	0.6663295321323406
CCNT2	ZNF396	0.7670121784545212
CCNT2	CNTF	0.5428653294773125
CCNT2	OSGEPL1	0.5337908891720309
CCNT2	MRPS14	0.5411048800584348
CCNT2	SNAI3	0.7272961992240266
CCNT2	TACO1	0.6794370876521065
CCNT2	SH2D3C	0.5549951707664174
CCNT2	ANO9	0.7482629512766401
CCNT2	PSIP1	0.6218556172778733
CCNT2	UBE2E2	0.5509109855551344
CCNT2	FCHSD1	0.7373173013639116
CCNT2	KIAA1109	0.7405954602976408
CCNT2	PODNL1	0.5448243646101414
CCNT2	DNAJA3	0.5345775715848546
CCNT2	DHX15	0.5932829479441013
CCNT2	PRAME	0.57836292474556
CCNT2	TMCC1	0.5629029575238058
CCNT2	IKBKE	0.548047136962944
CCNT2	MON1B	0.543572745007487
CCNT2	SEC63	0.5544463573593261
SMARCB1	ESRRA	0.5582849886224537
SMARCB1	CIITA	0.5404798931616588
SMARCB1	TTC12	0.5615185501488948
SMARCB1	NCOA3	0.5277371460371953
SMARCB1	WDR61	0.541193366906064
SMARCB1	PARP15	0.5714927887467107
SMARCB1	FCHSD1	0.541822193799903
SMARCB1	ALKBH2	0.5514528159851664
SMARCB1	TATDN2	0.5401024262071679
SMARCB1	XPO4	0.553360846186028
SMARCB1	CD37	0.5317192570986968
SMARCB1	ESAM	0.5294544827260816
SPI1	TAS2R60	0.6357105254869393
SPI1	FZD3	0.5353158430985578
SPI1	NOP14	0.6157767816174693
SPI1	SAP30BP	0.5705355995903219
SPI1	TMEM41B	0.5512072934304268
SPI1	ENTPD4	0.6154763067770901
SPI1	ZBTB16	0.5367941070799231
SPI1	SIRPG	0.6060908139556109
SPI1	NRXN2	0.5329543615795673
