Regulator	Target	MI
ATF1	CENPT	0.6128882451564648
ATF1	MLLT10	0.5317887173093547
ATF1	TTC5	0.6073834942470655
ATF1	ITGA2B	0.5653696176129719
ATF1	LHB	0.8043638259277395
ATF1	WIZ	0.5714927887467107
ATF1	TAF1L	0.5378394113874698
ATF1	ADAP1	0.5406198029110496
ATF1	PPP1R14D	0.6186400913339387
ATF1	RGS6	0.5744428859804009
ATF1	EPHB3	0.5616448047465301
FOXA1	HTR7P1	0.5760764195307355
ATF2	DNAJC19	0.557787903250051
ATF2	ACAN	0.6288802466041683
ATF2	RSC1A1	0.5832549396470643
ATF2	GPR89A	0.5734442663199553
ATF2	SFPQ	0.6190769722660776
ATF2	AKNAD1	0.6873330503609973
ATF2	AP3B1	0.5763333229768737
ATF2	SLC2A5	0.6271643933743691
ATF2	SSTR2	0.6656221166021665
ATF2	COPZ1	0.5330159205666072
CCNT2	TSEN34	0.5948205523162255
CCNT2	PDHX	0.5813675256806627
CCNT2	PRMT7	0.5457809251457468
CCNT2	KLK1	0.7117429295817739
CCNT2	WDSUB1	0.7656306790099974
CCNT2	MRPL18	0.5623516212944524
CCNT2	CXCL17	0.5460258791357506
CCNT2	GLT8D1	0.5588459258615699
CCNT2	SLC3A1	0.54208566290322
CCNT2	ZBTB42	0.6974751390576288
CCNT2	CST6	0.5769608787191909
CCNT2	SMG5	0.5496635165920774
CCNT2	GABPA	0.563945209942589
SMARCB1	EGLN2	0.7016264922360365
SMARCB1	ARMC5	0.5500395586360445
SMARCB1	CNPY4	0.5456032442941434
SMARCB1	IRAK2	0.645944056551425
SMARCB1	B3GNT5	0.54649854384059
SMARCB1	UBE2K	0.5368885513014412
SMARCB1	SIGLEC6	0.6529609555175786
SPI1	PTK6	0.5744382037689295
SPI1	BCS1L	0.5315852133041883
KDM1A	TMEM232	0.5432974344114387
KDM1A	KIF9	0.5277371460371953
KDM1A	ITPRIPL1	0.5288147657875024
KDM1A	PNPLA8	0.5664428252289526
KDM1A	ZNF418	0.6880868554028887
KDM1A	CTNND1	0.5563650871917178
KDM1A	CTSH	0.5759671807021678
KDM1A	IGF2BP3	0.6286037330853156
KDM1A	IPCEF1	0.5376817027321046
KDM1A	RAPGEF5	0.5341564925710158
KDM1A	MED17	0.5702284366582191
GTF2B	SPAG9	0.6287041086070495
GTF2B	ZHX3	0.567547577283869
GTF2B	FAM161A	0.5723964554555248
GTF2B	DLG5	0.5959389599621221
GTF2B	ZNF836	0.5528730916783933
GTF2B	NME2	0.6063244192486055
GTF2B	GTPBP8	0.6249246696440087
GTF2B	SLC38A9	0.568518837224858
GTF2B	CXorf58	0.549028049945989
GTF2B	ESPN	0.5921414703782482
GTF2B	SLC7A1	0.5290231435743427
GTF2B	MTMR7	0.5856843944052099
IKZF1	NAA30	0.6144344247676137
IKZF1	PADI6	0.5923212185812767
IKZF1	TCF25	0.6320730771566603
IKZF1	RTN4RL2	0.6067489775511103
IKZF1	KIF3C	0.5479656575006957
IKZF1	PLCH2	0.5818591945512339
IKZF1	PNPLA2	0.5980062693742849
PRDM1	EFNA3	0.5560314556022208
PRDM1	APEX2	0.5471816186783993
PRDM1	ZNF385B	0.5929555039281107
PRDM1	QRICH1	0.5617285826374157
PRDM1	UAP1	0.5308105951595707
NR3C1	CETP	0.5415631604516542
NR3C1	HELLS	0.5790267415972781
NR3C1	FZR1	0.5337509198011503
NR3C1	AKAP11	0.5297267269108885
NR3C1	USPL1	0.5545482134950164
NR3C1	NKIRAS1	0.5278619757243055
