Regulator	Target	MI
ATF1	ACAP3	0.5678913031060913
ATF1	NDUFS6	0.554294266008331
ATF1	NVL	0.5650825218305191
ATF1	HSBP1L1	0.6479506254411462
ATF1	NIPAL3	0.7371497351623586
ATF1	PACSIN2	0.5827979447544207
ATF1	NDRG2	0.5949384405304774
FOXA1	ABCB7	0.6351664515527182
FOXA1	C1orf174	0.6308291460308326
FOXA1	CHD8	0.6362270023358998
FOXA1	SPPL2A	0.666212315708246
FOXA1	FANCA	0.6771364599995024
FOXA1	PAX6	0.5537184914998661
FOXA1	ASB15	0.5332240942885424
FOXA1	HS6ST2	0.5283076231555142
FOXA1	KTN1	0.5288147657875015
FOXA1	PREPL	0.5331420426496756
FOXA1	RPS6KA2	0.548956532980883
FOXA1	IFIT1B	0.5497921094651157
FOXA1	NARS2	0.594663613756635
FOXA1	FAR1	0.6410248755755896
FOXA1	ACSS1	0.6180202134802442
FOXA1	CLEC4G	0.6855186056310631
FOXA1	PDE9A	0.6322781057930951
FOXA1	RAPSN	0.6897964438481767
ATF2	NRP1	0.6035701283100647
ATF2	SIGLEC9	0.568660335792754
ATF2	NVL	0.5476507739489676
ATF2	CHD8	0.6097792382904581
ATF2	FBXO45	0.5815604703711945
ATF2	DNAJB2	0.6263165601436755
ATF2	NPEPPS	0.6295683599106185
ATF2	C15orf61	0.6877787048166573
ATF2	CAPN2	0.6401456264468974
ATF2	DNMT3B	0.5353405590984193
ATF2	MAN2C1	0.5414547226434516
ATF2	TP63	0.5312378133780937
ATF2	FARP1	0.5350301783723794
ATF2	KIDINS220	0.6220480979667378
ATF2	KCNIP4	0.5600087918238073
ATF2	FLT3LG	0.5374054205623722
ATF2	GANC	0.5336523522527434
ATF2	MED6	0.7003743329786785
ATF2	SMARCA4	0.5308105951595707
ATF2	NLRP14	0.5468771509900048
ATF2	PSMA1	0.6220738224652966
ATF2	MGAT4B	0.5715220551327502
ATF2	REL	0.5496635165920774
ATF2	SNRPA1	0.550202423274412
ATF2	ZNF799	0.6018303992976191
ATF2	GALNTL6	0.5276192033377205
ATF2	CDO1	0.5498050151599738
ATF2	DOCK2	0.6061716134451549
