Regulator	Target	MI
ATF1	RFESD	0.5376807311584209
ATF1	EHMT1	0.7892059320364315
ATF1	YEATS4	0.53771158714195
ATF1	MSI2	0.5365984179585226
ATF1	SCAMP5	0.6051656380821488
ATF1	STS	0.5593916649172512
ATF1	ZNF326	0.5611263829421871
ATF1	BIVM	0.5297578626517176
ATF1	RFX2	0.7942240112514249
ATF1	PHKA1	0.6805093038738654
ATF1	VRK2	0.5537731485210551
ATF1	GAPVD1	0.5572057813408056
ATF1	SLC9A3	0.6721835224739587
ATF1	DOK3	0.6268582039530322
ATF1	TXLNA	0.6573343587097082
ATF1	PSMD10	0.6730705150039249
ATF1	NECAB3	0.5686603357927549
ATF1	FUT10	0.6853457951608002
ATF1	PEX11B	0.6630660055847146
ATF1	ZC3HAV1	0.6835215017464926
ATF1	DYNC2LI1	0.7818333843650023
ATF1	FAM171A1	0.5299395598734677
ATF1	GALR2	0.7577896184915338
ATF1	ESPNP	0.5413274787177418
ATF1	AMZ2	0.7747328636432731
ATF1	SNX8	0.5577825618425929
ATF1	ZNF268	0.5371893652266659
ATF1	CNTLN	0.555234369093121
ATF1	TRAPPC2	0.5590822569229923
ATF1	SMAD4	0.5623143801580173
ATF1	ARHGAP25	0.594938440530477
ATF1	PTK2	0.611857886202523
ATF1	PUM2	0.5496890759644448
ATF1	NR4A2	0.5507163784592075
ATF1	NAT8	0.5425228524807002
ATF1	SLC7A6OS	0.7215818168598513
ATF1	UBXN11	0.5694013411491228
ATF1	UQCRQ	0.5515037733272932
ATF1	SYNM	0.6091275164112178
ATF1	STAG3L2	0.8325614287255032
ATF1	FASTKD2	0.5830404210975715
ATF1	ITGB4	0.6312011725010009
ATF1	PRKCSH	0.6699640233844257
ATF1	HEXB	0.6511716382410326
ATF1	SPIN3	0.5524347919521295
ATF1	ZC3H3	0.533222016689527
ATF1	C21orf62	0.5785237012360653
ATF1	PTPN22	0.5773384130840595
ATF1	ZNF44	0.5803238743484052
ATF1	PIK3CB	0.7224684710839555
ATF1	FYCO1	0.7245551515159963
ATF1	NANP	0.5540207844417253
ATF1	ARL5B	0.5714927887467107
ATF1	SUMO1	0.5957011722866006
ATF1	TAGAP	0.8377012112439037
ATF1	CD34	0.5522534582149525
ATF1	ARHGEF11	0.5745029660109182
ATF1	GPX1	0.5432349510013288
ATF1	STARD3NL	0.6812159484002138
ATF1	ACTR5	0.7405066871764432
ATF1	DYNLL1	0.5560431300316782
ATF1	ARHGEF9	0.5807586687889525
ATF1	ELF2	0.5897505894297161
ATF1	VAMP7	0.5367041705429285
ATF1	CDHR1	0.5276371486680898
ATF1	EXOC4	0.6346425119678334
ATF1	PPP1R15A	0.7326232427087418
ATF1	RNF31	0.7659915064109692
ATF1	TRIM50	0.5673332848620589
ATF1	WBP1	0.5530249787960586
ATF1	PKN3	0.5669759924531843
