Regulator	Target	MI
ATF1	DPAGT1	0.6940413839264141
ATF1	ATF2	0.5947268738770952
ATF1	TPSB2	0.5773848025957773
ATF1	CCNJ	0.5968861172137969
ATF1	ITGA2B	0.7184500448069451
ATF1	IHH	0.6127847541877625
ATF1	XYLT1	0.5476738272036754
ATF1	GCSH	0.6308291460308326
ATF1	CDC23	0.6586281407524623
ATF1	OGFOD1	0.6176629613573614
ATF1	WDR90	0.695684373309926
ATF1	BCAP29	0.8190750224450523
ATF1	TNFRSF8	0.5922260257584671
ATF1	VPS35	0.60614895104445
ATF1	HOXA6	0.5549279963223772
ATF1	ICOSLG	0.7153387238623088
ATF1	FBXO9	0.5426995886810859
ATF1	ATG3	0.635040894032262
ATF1	PRKCI	0.6267891361543456
ATF1	ST6GAL1	0.6984244250533185
ATF1	WSB1	0.7587291197489408
ATF1	STX8	0.5721773360848834
ATF1	ZNF281	0.5726449404859855
ATF1	TINF2	0.5485927252808431
ATF1	ATG10	0.5276691266233264
ATF1	THEMIS	0.5608092868108598
ATF1	TSC2	0.5714927887467107
ATF1	CDKAL1	0.5380159425755431
ATF1	LDOC1	0.5521090366783423
ATF1	RPSA	0.6245964965075066
ATF1	MFSD11	0.5739941601945526
ATF1	GTPBP4	0.6168418680193053
ATF1	CYCSP52	0.6259874854258629
ATF1	DHX40	0.5941342604634618
ATF1	FAM133B	0.527589948774605
ATF1	TRIM17	0.757864317543774
ATF1	GEMIN5	0.5562968713479544
ATF1	ANKK1	0.5973687064667397
ATF1	ABHD3	0.546172691419283
ATF1	PRKRIP1	0.8319667735356364
ATF1	HTRA4	0.5606896740316225
ATF1	PEX11B	0.5346030000399788
ATF1	LYPD5	0.5754201887575361
ATF1	SPATA5	0.5304680853012864
ATF1	MYL12B	0.5330080625735802
ATF1	ADAMTS16	0.6969169496103613
ATF1	SLC9A3R1	0.5345741638858845
ATF1	ARHGAP20	0.6133847323255996
ATF1	NUP85	0.5325965625067264
ATF1	HLTF	0.5747209878489357
ATF1	INPP5K	0.6147142350047101
ATF1	STAP1	0.7488408345806192
ATF1	HIVEP2	0.5519878343016154
ATF1	TBC1D17	0.7146529793386169
ATF1	SOCS7	0.5873548453863231
ATF1	SNX5	0.5761148741781796
ATF1	DSCR9	0.7876264321854194
ATF1	SLC19A2	0.6368978375317216
ATF1	KLHL29	0.8463453600032813
ATF1	MOAP1	0.5927020480670651
ATF1	PRRT2	0.608923470974474
ATF1	APOBEC3H	0.5431384341390983
ATF1	KLHDC1	0.5547520958201289
ATF1	PTCH2	0.5818957452470546
ATF1	TBCB	0.6074784956068755
ATF1	ARHGAP26	0.5558332375214001
ATF1	BHMT	0.5800119784597029
ATF1	TMEM115	0.6009268966916603
ATF1	CILP	0.6718774826716611
ATF1	SCN2A	0.6949591425876425
ATF1	SPAG16	0.5390615824335319
ATF1	LRSAM1	0.601462251052951
ATF1	EDA	0.5727314053779193
ATF1	PIGQ	0.545255029905575
ATF1	ZSCAN12P1	0.5313842950301306
ATF1	WDR4	0.6964891901791668
ATF1	ETFB	0.5808003212807291
ATF1	ABCC10	0.7808483602493688
ATF1	ECSIT	0.5699425503234354
ATF1	HAPLN4	0.5704832413375276
ATF1	SMPD2	0.5962008960193197
ATF1	NHSL1	0.5408140891847015
ATF1	TOP1MT	0.6843757132347079
ATF1	STAB1	0.535461664766852
ATF1	ACADM	0.6609055898413341
ATF1	DGCR6	0.5341075737207648
ATF1	IQCB1	0.5477606866338398
ATF1	MRPS28	0.9990070565388427
ATF1	ZCCHC24	0.6300894537859225
ATF1	ZYG11B	0.5496399526100619
ATF1	RPS6KL1	0.53654558512445
ATF1	LRRC46	0.6270192833823547
ATF1	SERPINB2	0.6000773617929145
ATF1	SENP1	0.5554006633641686
ATF1	ZEB1	0.6860420588117466
ATF1	ESPL1	0.5913204494088724
ATF1	PAX8	0.6296146285337776
ATF1	PIK3CA	0.6035569550434343
ATF1	MTF2	0.6205904156711277
ATF1	GAS2	0.542741489626458
ATF1	TLR9	0.7823158598051752
ATF1	ITGB1BP2	0.5442952797070788
ATF1	PLIN1	0.7612858882972078
ATF1	RCCD1	0.5315726307859219
ATF1	RAB7A	0.551727887149263
ATF1	SASH3	0.5314743534627255
ATF1	SMARCD1	0.852973347376639
ATF1	LEPROT	0.5759671807021678
ATF1	PPM1L	0.7037880770034333
ATF1	MRPS34	0.5460459370530657
ATF1	PRICKLE4	0.5394874111085741
ATF1	TMEM70	0.6597108459852175
ATF1	FZR1	0.6561250971587094
ATF1	ERMP1	0.57812307410948
ATF1	CLMN	0.5405081620370762
ATF1	ZNF627	0.6636853568248378
ATF1	KISS1R	0.5632050308542524
ATF1	RGS20	0.5849056732108346
ATF1	PDSS1	0.5379639210312881
ATF1	SHOC2	0.704443475947655
ATF1	SLC17A7	0.5647108402676988
ATF1	ZNF347	0.5495683827570574
ATF1	ZNF622	0.6182955290345946
ATF1	LEKR1	0.6911000267862808
ATF1	WWOX	0.5811517790210603
ATF1	ZNF583	0.6331842074690974
ATF1	PPIL1	0.7492760592531109
ATF1	ANGPT2	0.7135022334683123
ATF1	KIR3DL1	0.5672439652301282
ATF1	SNX21	0.5306322616873271
ATF1	LHFPL2	0.5843958202968143
ATF1	SUOX	0.6957269851132368
ATF1	USF2	0.5635723841345932
ATF1	ZNF33A	0.6312563642493552
ATF1	UFM1	0.650593430762572
ATF1	GPR142	0.6318591815892756
ATF1	MFAP1	0.528175777629674
ATF1	SNX16	0.5646917343666638
ATF1	MITD1	0.5722795598537047
ATF1	SLC25A32	0.7422414052013786
ATF1	TEK	0.529190896525638
ATF1	CCDC61	0.5277012948233537
