Regulator	Target	MI
ATF1	TMEM185A	0.5331207721687576
ATF1	DTYMK	0.5588899904787743
ATF1	CRYBB1	0.5445817231407997
ATF1	DTX2	0.5731429956969096
ATF1	MSI2	0.5786896038741256
ATF1	NR2E1	0.54180453274591
ATF1	PKMYT1	0.5791430138772307
ATF1	ZNF69	0.6281058416533063
ATF1	NRGN	0.5484811266299432
ATF1	CCNA1	0.708819667011936
ATF1	DPYSL2	0.8233638454781222
ATF1	SP3	0.7607753400323989
ATF1	FAM32A	0.6280299824696263
ATF1	ZNF664	0.5313230653273102
FOXA1	HSD17B12	0.5596593002066728
ATF2	TRIM50	0.7192556225002709
ATF2	PRKCI	0.6137577680734481
ATF2	SHC2	0.5402072135234692
ATF2	NXPH3	0.6431226310757232
ATF2	ICA1	0.5315282651669802
ATF2	ATP11C	0.6608278376821213
ATF2	FHL3	0.5438434516270969
ATF2	THAP2	0.6105175098041613
ATF2	XKR8	0.5974382638249183
ATF2	CEACAM1	0.5466384606144312
ATF2	ANGPTL6	0.5793703710509628
ATF2	GFOD2	0.548176885448346
ATF2	B3GNT2	0.5324770468750111
ATF2	PDE7A	0.5495413236001117
CCNT2	EXD2	0.6277259864572664
CCNT2	POM121	0.5759443125101669
CCNT2	DOC2A	0.5481828864011766
CCNT2	FASTKD3	0.7839889032438006
CCNT2	MRPS12	0.8059030886419181
CCNT2	HSD17B8	0.5419408660591132
CCNT2	RAB22A	0.586157727108775
CCNT2	RRS1	0.6718143271316364
CCNT2	STOM	0.5971811222339936
CCNT2	FLNC	0.6399850133955489
CCNT2	ZNF644	0.600393745468979
CCNT2	HLA-J	0.5434744246428771
CCNT2	UNC45A	0.5279763469458953
CCNT2	AKIRIN1	0.5616532606030669
CCNT2	EED	0.5361886538238423
CCNT2	ZBTB16	0.689970558731503
CCNT2	NBEAL2	0.6915367356968449
CCNT2	RAD23A	0.5721411233836613
CCNT2	HLA-E	0.5341408626742905
CCNT2	SLC5A6	0.6162055580007109
CCNT2	DYNC1LI2	0.5287213504010668
CCNT2	GLUD2	0.5416153527992735
CCNT2	UBOX5	0.5317887173093547
CCNT2	DPY19L4	0.5680582150218316
CCNT2	ZNF415	0.5607097306617743
CCNT2	PMFBP1	0.6179608052398833
CCNT2	INTS9	0.5799078098121226
CCNT2	OR13C2	0.6195051802814993
CCNT2	SNORA22	0.7124981489152233
CCNT2	TNRC6A	0.8682237555122971
CCNT2	FAIM	0.5360314294299084
SMARCB1	NUDT9	0.5372727998533873
SMARCB1	OSBPL9	0.7081586409934797
SMARCB1	CSF1	0.5370357001644464
SMARCB1	PLGLB2	0.548047136962944
SMARCB1	SESN2	0.6008304543795435
SMARCB1	OGDHL	0.5352849871150283
SMARCB1	GUSBP3	0.5809114713080459
SMARCB1	MEST	0.5560431300316782
SMARCB1	BNIPL	0.5463124189380082
SPI1	IKBIP	0.5395391540536276
SPI1	KIAA1755	0.5377479337728643
SPI1	NEK5	0.5738190725794454
SPI1	CCNL2	0.5893996229359106
SPI1	LAGE3	0.7185250467980029
SPI1	BCAS1	0.5845072717049811
SPI1	BOK	0.7990361964340567
KDM1A	GLYATL1	0.5292958403170069
KDM1A	PCNA	0.5506637770343681
KDM1A	TSSC4	0.572360808745815
KDM1A	MAML2	0.6882831065815282
