Regulator	Target	MI
ATF1	DDX3Y	0.5449389593774177
ATF1	WDR49	0.5951527691749385
ATF1	TRMU	0.826394646651158
ATF1	AKAP8L	0.5354222923810288
ATF1	SECTM1	0.6076721747673179
ATF1	YEATS4	0.5940527899627446
ATF1	ZDHHC4	0.6290116643903487
ATF1	HOXA9	0.6832953673161044
ATF1	CDC23	0.6338648095197441
ATF1	SPEG	0.5597185669415867
ATF1	AGFG2	0.5642938147459358
ATF1	SREBF1	0.8368334108562125
ATF1	PAQR6	0.6911576816502372
ATF1	PTGIR	0.5788209997265956
ATF1	SLC38A1	0.5818591945512339
ATF1	PRKCH	0.5552645675458363
ATF1	SERPINB2	0.7780622580791055
ATF1	ATG9B	0.5784923930737924
ATF1	ITGA1	0.5682086033023248
ATF1	SHISA5	0.5434332760388902
ATF1	OLIG2	0.5474046861816984
ATF1	BACE1	0.5536316499531586
ATF1	CNKSR1	0.6693679286849341
ATF1	TMEFF1	0.5537027554647387
ATF1	PPM1B	0.5477054294121899
ATF1	PRR19	0.535456464524227
ATF1	TMEM33	0.5405690578764886
ATF1	HECW2	0.5596286715089231
ATF1	RAB35	0.5733674710062595
ATF1	ZNF878	0.5916650523733225
ATF1	C18orf54	0.5367518377224383
ATF1	PGAM5	0.5365953810479733
ATF1	ANKK1	0.7429814948165623
ATF1	RAB1A	0.5272968269207219
ATF1	BAZ2A	0.5586842493870772
ATF1	MRPL15	0.6610820950323575
ATF1	ZNF24	0.5294318020628066
ATF1	FBXO44	0.6953344701791533
ATF1	GLG1	0.6395879298434792
ATF1	ZNRF3	0.7715045576236625
ATF1	SHOC2	0.5766631243098224
ATF1	ZNF425	0.671565847838461
ATF1	TPPP	0.5750557995194776
ATF1	NTSR1	0.6029129154436825
ATF1	RHBDL1	0.6100798497853663
ATF1	PLEKHA2	0.5747305831214113
ATF1	STAC	0.7786137248859442
ATF1	TXNRD1	0.5312238714445887
ATF1	SORBS3	0.6240813648657819
ATF1	GRIN2D	0.6712849221852832
ATF1	MLLT11	0.6070050087651939
ATF1	EIF5	0.6622454595757299
ATF1	KRT18	0.5584565733882636
ATF1	XPNPEP3	0.5981799414796245
ATF1	INTS4	0.5782515697059312
ATF1	FAM98A	0.5511496796708015
ATF1	HBBP1	0.532563117417892
ATF1	PDE7A	0.7664722799387387
ATF1	ZNF354A	0.5367079539886217
ATF1	CCDC61	0.5364672607590193
FOXA1	TMEM87A	0.5296892210347237
FOXA1	BRF2	0.5317202469349516
FOXA1	CCDC85C	0.6399836710334443
FOXA1	OVCH1	0.5274066907975463
FOXA1	PDE1B	0.6195545008447607
FOXA1	PAK1IP1	0.5527500211049734
FOXA1	SIGLEC10	0.5968861172137969
FOXA1	HOXC4	0.6063556420862812
FOXA1	C11orf49	0.6147066140673276
FOXA1	SNORA52	0.6888559829001215
FOXA1	CRLF2	0.5878617916571205
FOXA1	SSH1	0.5950308059741269
ATF2	VKORC1L1	0.5604456711586221
ATF2	PMS2CL	0.6119015564706758
ATF2	CLEC18C	0.5962773961976326
ATF2	ICAM1	0.6532085735547906
ATF2	PEX26	0.6358306393219229
ATF2	GPR176	0.5697580707217744
ATF2	MAGEA8	0.5510703729020294
ATF2	CAPN5	0.6001588315146473
ATF2	KCNH2	0.6348204977728127
ATF2	LMO1	0.5491713080668013
ATF2	SERPINF1	0.5597115518818399
ATF2	PTH2R	0.5505837627085244
ATF2	TMC6	0.6756585091660448
ATF2	PDRG1	0.5442337710259428
ATF2	PSMA4	0.5837733069661843
