Regulator	Target	MI
ATF1	SLC23A2	0.598430106359713
ATF1	GABPB2	0.5471105131668201
ATF1	ITSN1	0.7075277902068642
ATF1	KLHL35	0.5819294388068501
ATF1	COMTD1	0.5506852073906887
ATF1	OPHN1	0.613417660570728
ATF1	ARL16	0.5634281532819987
ATF1	SPA17	0.8096998759502698
ATF1	PELO	0.5334231736253257
ATF1	DDX17	0.5676925213707094
ATF1	GBAP1	0.6908757096783886
ATF1	MAGI3	0.5293929732659621
ATF1	WDR74	0.6755788148834925
ATF1	ATP11C	0.6507770917705682
ATF1	UNC5C	0.5650252041143276
ATF1	GTPBP1	0.6480656878342055
ATF1	ASTL	0.5332240942885424
ATF1	STIM1	0.589614266325603
ATF1	HHIPL2	0.5389034076895953
ATF1	ANKS6	0.5518782579855239
ATF1	ORAI1	0.5276459253469019
ATF1	TARS2	0.5577451040558548
ATF1	TRIM15	0.559023970994097
ATF1	SLC26A2	0.692888279520941
ATF1	ZNF791	0.6118011321408936
ATF1	TTYH3	0.6014914803979994
ATF1	FAM149B1	0.5377479337728643
ATF1	CTTNBP2	0.5558227569931034
ATF1	SPATA6	0.6036220507096055
ATF1	DPP4	0.5551914828699269
ATF1	KCNQ1OT1	0.6186920392913047
ATF1	DHX37	0.5503841616004936
ATF1	N4BP1	0.6510021221127062
ATF1	OR2B2	0.6295488920020396
ATF1	PLK3	0.5690936370043489
ATF1	OR8B12	0.6328497869923173
ATF1	BCL11A	0.6013263032563354
ATF1	FHDC1	0.5916650523733225
ATF1	GPN2	0.5835475230644525
ATF1	NTAN1	0.6791572497616878
ATF1	PHC3	0.6130859662622452
ATF1	ATP4A	0.6047466568877331
ATF1	SEPSECS	0.5343384980983492
ATF1	CDK7	0.685921568451056
ATF1	ZNF418	0.6056186896844586
ATF1	SFXN3	0.5284174870323395
ATF1	INTS9	0.54215809367243
ATF1	FGFR1	0.5624976153240788
ATF1	BTG3	0.5463477619299164
ATF1	POM121L10P	0.5283797013988747
ATF1	ABCD3	0.6738131099577838
ATF1	AREG	0.6620036936906488
ATF1	CHD1	0.6632944299216841
ATF1	PCSK5	0.5452900955164899
ATF1	SYNE1	0.5868356913061796
ATF1	PCMTD2	0.6539577016832716
ATF1	PPP3CA	0.5762634284709298
ATF1	SLC22A17	0.6252396927347537
ATF1	ZNF280A	0.572768043921076
ATF1	ITGB8	0.6682220630139626
ATF1	EMB	0.6198920882412833
ATF1	LRRFIP1	0.5988628036307535
ATF1	ZNF248	0.5376807311584209
ATF1	PGPEP1	0.576277821764839
