Regulator	Target	MI
ATF1	MGMT	0.560545383851482
ATF1	ALOX15	0.6337381458448901
ATF1	CYP4A22	0.5614095728150552
ATF1	JMJD1C	0.5286855577357885
ATF1	PTPN12	0.5494907277453658
ATF1	PF4V1	0.5747433803015607
FOXA1	ATF2	0.5715650714942035
FOXA1	C19orf53	0.5301243741175199
FOXA1	TUBGCP2	0.5430656430406064
FOXA1	CCDC59	0.5743405641560084
FOXA1	PPP1R16A	0.5954676210230927
FOXA1	SPINK5	0.5583273165285023
FOXA1	NDUFA4L2	0.5395653108502789
FOXA1	OR1J2	0.5443757925832959
FOXA1	PAX6	0.6009210359811439
FOXA1	NUDCD1	0.5835475230644525
FOXA1	NRIP2	0.6329313152626139
FOXA1	PRRG2	0.7698443528092755
FOXA1	BNIP2	0.5940232592368457
FOXA1	ANP32C	0.5610922726188212
FOXA1	SVEP1	0.6354568077914076
FOXA1	RBBP7	0.5413965615547549
FOXA1	TRIP13	0.6161194790044786
FOXA1	KIAA0319L	0.5438565384330221
FOXA1	CCDC61	0.6079546997069123
FOXA1	RAB9B	0.5947789828799448
FOXA1	RAPSN	0.5459684890508791
ATF2	FOXA1	0.5715650714942031
ATF2	CHIC1	0.5343175073353748
ATF2	DDX49	0.5528050738224919
ATF2	KHDRBS3	0.6162174272935035
ATF2	NXN	0.7790128555123084
ATF2	KIAA0040	0.555266533669033
ATF2	MTDH	0.5558925018800083
ATF2	CCDC85B	0.6837124181542378
ATF2	EPB41L1	0.5323988278689988
ATF2	PIP5K1A	0.5787102193296021
ATF2	GPRASP2	0.7386041772614971
ATF2	MEF2D	0.6301699678202368
ATF2	WSB1	0.6322467679244412
ATF2	AP3B1	0.5882098869340036
ATF2	TM9SF1	0.5324216773985588
ATF2	LRG1	0.5284891553801403
ATF2	RBL1	0.6274431622203354
ATF2	TST	0.551079280498084
ATF2	RAPGEF2	0.5415093244004345
ATF2	CEBPZ	0.6128387991855675
ATF2	NUP62CL	0.6157767816174693
ATF2	PDE7A	1.0854259003556583
ATF2	CRYAB	0.5520144269515201
ATF2	MYO1F	0.6649964330674378
ATF2	FAM72A	0.6033479371700099
CCNT2	OTUB2	0.5413547244953625
CCNT2	POMT2	0.6649964330674378
CCNT2	USP38	0.5413274787177418
CCNT2	CUL5	0.5284749101079482
CCNT2	DCTN2	0.9094234868661686
CCNT2	CTNND1	0.5652435509058096
CCNT2	SLCO5A1	0.601043142293499
CCNT2	YBX2	0.6877697592715615
CCNT2	SNX33	0.5832733123773362
CCNT2	ITGAL	0.5661626294752691
CCNT2	USP39	0.6231900842627054
CCNT2	HDAC9	0.7942586270599037
CCNT2	CKS1B	0.5463982276464026
CCNT2	RHD	0.5432652441486354
CCNT2	DTWD2	0.5575297459528445
CCNT2	TRMT112	0.5632050308542524
CCNT2	MUC1	0.6363159795220041
CCNT2	CCND2	0.5504493129700969
CCNT2	IMPA1	0.7147116808610021
CCNT2	ZNF805	0.5708830120504742
CCNT2	CCL5	0.5491967942915061
CCNT2	MAP4	0.5723962659897182
CCNT2	SIL1	0.5469496037618793
CCNT2	S100PBP	0.6665646160420988
CCNT2	MICB	0.5634246885924332
CCNT2	TMEM14C	0.6662522858581101
CCNT2	ZBTB39	0.6996565511722026
CCNT2	KDM2B	0.5587018027447002
CCNT2	SMURF2	0.5461548427972094
CCNT2	ATAD2	0.5371420599737635
CCNT2	FUCA2	0.6094771649600115
CCNT2	ANO9	0.5575161214017399
CCNT2	WASH3P	0.6616672520972688
CCNT2	BTBD10	0.5999551688009483
CCNT2	JMJD8	0.5556924440741571
CCNT2	SLC16A13	0.6553038066117747
CCNT2	NAT1	0.5482854131088151
CCNT2	ELF4	0.5643151518890104
CCNT2	NME7	0.5712903203733988
CCNT2	PRR15L	0.5478223587147766
CCNT2	CCDC65	0.6771785752188708
CCNT2	C2CD2L	0.6050833684291921
CCNT2	CFB	0.5912872809046803
CCNT2	EIF3B	0.576250370575035
SMARCB1	TTC26	0.5325885299867514
SMARCB1	ORM1	0.6029091022916084
SMARCB1	HIBADH	0.5659756824358451
SMARCB1	CLEC10A	0.5455785282942816
SMARCB1	THUMPD1	0.6323382659957275
SMARCB1	CDH9	0.7632057459075479
SMARCB1	GPHN	0.5781167446600066
SMARCB1	GRM3	0.5315852133041883
SMARCB1	RPH3A	0.6186352034602378
SMARCB1	C8G	0.5619691762141228
SMARCB1	ZNF607	0.5582618774828805
SMARCB1	REV3L	0.6002669561749423
SMARCB1	NEFM	0.559680792266847
SMARCB1	CD53	0.5941886206622344
SMARCB1	MAGI1	0.5621553917393634
SMARCB1	KLF11	0.7465122931516701
SMARCB1	IAH1	0.5412671384107051
SMARCB1	RFC1	0.5477054294121899
SMARCB1	HCG4	0.5568428711193798
SMARCB1	YDJC	0.61379345822444
SMARCB1	PPP1R3G	0.5950308059741265
SMARCB1	KIFC1	0.6427859040271136
SMARCB1	RPUSD3	0.56645592534792
SMARCB1	TMEM218	0.6389859326945455
SMARCB1	RDH5	0.5958766149329304
SMARCB1	EXOC5	0.6448270733078729
SMARCB1	ANKK1	0.6134882085441453
SMARCB1	SLU7	0.5290155783403927
SMARCB1	ANAPC1	0.5712863893452149
SMARCB1	EXOC2	0.5796468309795548
SMARCB1	TMEM106A	0.6178282659212209
SMARCB1	SLC47A2	0.5365009254592672
SMARCB1	SUCNR1	0.5309503305504357
SMARCB1	C1R	0.7179073120166195
SMARCB1	ARL1	0.5282453349878522
SMARCB1	ARPP19	0.6254279321220073
SMARCB1	EFNA4	0.5540801390918255
SMARCB1	KIAA0040	0.5521269824479367
SMARCB1	AMN1	0.6157767816174693
SMARCB1	ACTR3C	0.6390935124020753
SMARCB1	FGD6	0.6264190612934888
SMARCB1	C7	0.5417163171628743
SMARCB1	MEST	0.7176108747820513
SMARCB1	CCDC17	0.6124709348381616
SMARCB1	FDPS	0.7489098100610203
SMARCB1	ZRSR2	0.5792635464609943
SMARCB1	RRM1	0.6759885224066906
SMARCB1	OR10G2	0.5398732098583872
SMARCB1	BTBD8	0.57961490221148
SMARCB1	RCL1	0.5614773283972441
SMARCB1	DLG3	0.7131367272168485
SMARCB1	NT5C1B	0.5411469620162617
SMARCB1	HNRNPA3P1	0.5621670429873036
SMARCB1	LCN2	0.8139395784051335
SMARCB1	PPT1	0.5797060334286197
SMARCB1	RBM42	0.5413274787177418
SMARCB1	SERINC1	0.6661168309053433
SPI1	L3MBTL3	0.5460258791357506
SPI1	ICMT	0.6514579885774845
SPI1	RRN3	0.5315282651669806
SPI1	TRAPPC2L	0.5656870560610576
SPI1	IL10RB	0.5420900185551298
SPI1	XRCC2	0.5532396678091587
SPI1	MYH16	0.6050415622943901
SPI1	CISD2	0.5321137426836478
SPI1	DNAJC16	0.6595912408803479
SPI1	APRT	0.6415126479666826
SPI1	ACTA1	0.5583067150222085
SPI1	CSPP1	0.5528052934339054
SPI1	ESPNP	0.675454454040374
SPI1	INTS7	0.5787841001279368
KDM1A	VIT	0.5279753513723535
KDM1A	ARHGAP1	0.5430991357192791
KDM1A	RBPJ	0.5897102435331281
KDM1A	FARS2	0.6391461703093304
KDM1A	SNORD116-19	0.5584859011679977
KDM1A	KIF19	0.5969420864514845
KDM1A	EME2	0.5312268834472298
KDM1A	CTSH	0.6487540166208787
KDM1A	HLA-DOB	0.5285835954616958
KDM1A	TP63	0.6720378427503375
KDM1A	GPR179	0.5734934763713153
KDM1A	EOMES	0.5712534199957555
KDM1A	WDHD1	0.5787164015363433
KDM1A	LAG3	0.5786944275910435
KDM1A	KCND1	0.6201771539852099
KDM1A	IGFBP4	0.5326528477243642
KDM1A	PCDHGA1	0.5778363037370844
KDM1A	APOA2	0.5509360394817455
KDM1A	PPP2R5C	0.67551304786639
KDM1A	KIF7	0.6976370687841902
KDM1A	B3GNT9	0.6229482455007642
KDM1A	AKAP9	0.5342737794267096
KDM1A	RBP1	0.715057496049297
KDM1A	CKS2	0.5313277137209309
KDM1A	TMEM126A	0.5425029418061182
KDM1A	CDHR4	0.5404830365207696
KDM1A	LCP1	0.5632824788564386
KDM1A	NHLRC2	0.6453403636272448
KDM1A	PLIN1	0.5586374679026145
KDM1A	DUS3L	0.5286425173744771
KDM1A	DTHD1	0.6718530415474184
KDM1A	OTUB2	0.5388108702243715
KDM1A	ZNF671	0.5570776203867465
KDM1A	GALT	0.5408903208438365
KDM1A	RETSAT	0.5356737506861071
KDM1A	COX15	0.6400841580911094
KDM1A	SNX4	0.5582746732203474
KDM1A	CUX1	0.6132902930230291
KDM1A	TP53INP2	0.554417826141242
KDM1A	RNF217	0.6005378709621549
KDM1A	C10orf105	0.6322467679244408
KDM1A	RBBP8	0.5519996986361053
KDM1A	ZNF789	0.5301923211627084
KDM1A	NSUN5P1	0.5370628902386345
KDM1A	VCAM1	0.5836821000960071
KDM1A	SLC33A1	0.5798317959613888
KDM1A	IFT20	0.535391965464
KDM1A	ECHDC1	0.825682343247284
KDM1A	CELP	0.5855808310678277
KDM1A	MSX2P1	0.5931202870998371
GTF2B	CLIC6	0.5802473982990168
GTF2B	CSRNP2	0.5335997150609892
GTF2B	PRSS1	0.5507593610509383
GTF2B	CATSPER2	0.5332633178343085
GTF2B	KDM3B	0.568230439434998
GTF2B	CAB39	0.5628754499116995
GTF2B	ZNF250	0.5624167332861134
GTF2B	TAS2R46	0.5528762338192941
GTF2B	GANAB	0.6180669961829164
GTF2B	OTOA	0.6062764007614563
GTF2B	PAIP2B	0.5809883959810178
GTF2B	COL10A1	0.6320774157040963
GTF2B	DECR2	0.6017193007944153
GTF2B	MAP4K5	0.6567007403107059
GTF2B	SEC11A	0.6809265827767637
GTF2B	PLEKHJ1	0.6480937940888052
GTF2B	P2RY12	0.6684545695561237
GTF2B	PTCD2	0.5582618774828805
GTF2B	PCDHB14	0.5483950882988173
GTF2B	RAB27A	0.5712404845637535
