Regulator	Target	MI
ATF1	ANKLE2	0.873096523415783
ATF1	GMEB1	0.6351403265285955
ATF1	COL16A1	0.5574842378779592
ATF1	DGKD	0.8140228162020895
ATF1	HDAC11	0.7228628134895141
ATF1	ARHGAP1	0.6246200360504388
ATF1	CCT6P1	0.6376992820296823
ATF1	C4BPA	0.5494032486174492
ATF1	LIMD1	0.6022016867614344
ATF1	ARHGAP4	0.5789363647187153
ATF1	COIL	0.5693329867137487
ATF1	SART1	0.7081586409934797
ATF1	HTR6	0.6077005903783932
ATF1	SERP1	0.5971139086828154
ATF1	DPYSL4	0.5655666645742783
ATF1	KIF13B	0.6405345258168995
ATF1	RBPMS2	0.5278255751152439
ATF1	TMED3	0.5416311794656519
ATF1	HAVCR1	0.6173633539186945
ATF1	ZNF521	0.74814525296742
ATF1	EIF2A	0.5640031982307274
ATF1	SPINK4	0.5312704642422288
ATF1	PRMT5	0.5605942738421836
ATF1	CELA2A	0.5344803739709358
ATF1	SAP30BP	0.5900024902419769
ATF1	USP7	0.5549291068787681
ATF1	HSDL1	0.529667985881495
ATF1	MECR	0.6427695064109198
ATF1	WSB1	0.6201456440949817
ATF1	BUD31	0.607383494247066
ATF1	ACSL6	0.5309091489557098
ATF1	ATG10	0.628988871412159
ATF1	ACSL3	0.5519295845187484
ATF1	FAM126B	0.7165360796347282
ATF1	LRRC43	0.5866799490240586
ATF1	ETV5	0.5828375025427093
ATF1	WDR76	0.5611907880868054
ATF1	DCT	0.681216719404039
ATF1	POC5	0.5939389641331458
ATF1	SCO2	0.6115283052599705
ATF1	TMX1	0.6023292418378587
ATF1	EHHADH	0.6024723933810439
ATF1	CLDN7	0.7206888502907476
ATF1	MED20	0.5376807311584209
ATF1	NDUFS3	0.5573647230252265
ATF1	ZNF317	0.5318043947959183
ATF1	ZNF559	0.5854966599859868
ATF1	EXOC3	0.6000362867758167
ATF1	SNORA67	0.7777729095601287
ATF1	ZMYND10	0.6580772570416098
ATF1	NBL1	0.5923786086661478
ATF1	FTL	0.5532313238283098
ATF1	TMPRSS9	0.5992116755501367
ATF1	DCTN5	0.7658734107314755
ATF1	NEDD4L	0.5438567546922286
ATF1	LILRA5	0.5566413941402906
ATF1	ZBTB40	0.6330115735394859
ATF1	ALDH3B2	0.531218065324329
ATF1	HIGD1C	0.572864021128602
ATF1	BTAF1	0.5365246122449334
ATF1	DHX34	0.6264529557455347
ATF1	CTNNA1	0.5935903504372222
ATF1	PLXNA2	0.5991972140275101
ATF1	PCDHA3	0.6314415545798884
ATF1	PDE6B	0.5978780926029157
ATF1	UGT3A1	0.5341390674145701
ATF1	MPZL3	0.5632912563142338
ATF1	RFFL	0.5735250471470588
ATF1	MORC2	0.5445508671572705
ATF1	LHPP	0.6480266911951063
ATF1	SLC38A4	0.7961048456408126
ATF1	P2RY12	0.5731745820191585
ATF1	CBX2	0.5307358375587676
ATF1	F12	0.7036378595263044
ATF1	KCNJ14	0.7388183586632251
ATF1	SLC4A10	0.580613107836403
ATF1	WWP2	0.5757092343376953
ATF1	DEK	0.6273537030801513
ATF1	NOC3L	0.5726316873869992
ATF1	MAPK14	0.6857250383334565
ATF1	SOD2	0.5763256739589266
ATF1	USP28	0.5459684890508791
ATF1	UBAC1	0.5408903208438365
ATF1	RPIA	0.6809911213439985
ATF1	SCARNA8	0.809994277469138
ATF1	SPSB3	0.581777059624319
ATF1	GNPTG	0.6063556420862812
ATF1	VNN1	0.7051857703390025
ATF1	NDUFAF4	0.912456180575512
ATF1	CORO6	0.5464354468491286
ATF1	HRC	0.5571517766289915
ATF1	MDM2	0.8207263375468417
ATF1	TAB3	0.6223523151484787
ATF1	CALM3	0.5687406819848131
ATF1	INTS8	0.5651928675924682
FOXA1	N6AMT1	0.5787401440254403
FOXA1	OTUD4	0.5444359913848857
FOXA1	OXTR	0.5408392069579366
FOXA1	TPSB2	0.5522534582149525
FOXA1	NDUFA11	0.5390615824335314
FOXA1	WDSUB1	0.5307581962416705
FOXA1	IRS1	0.6831846283631999
FOXA1	GORAB	0.5886700589554792
FOXA1	MPL	0.6148889480913042
FOXA1	BUB1B	0.5703103402360132
FOXA1	TXNDC11	0.5686255711835746
FOXA1	TATDN1	0.6061519142991556
FOXA1	ANPEP	0.6065444714649053
FOXA1	MYOZ1	0.5530998319864158
FOXA1	TBC1D22A	0.5375734954940397
FOXA1	PDHX	0.5557276479369246
FOXA1	HFM1	0.753976252554533
FOXA1	ANAPC7	0.6295153037338119
FOXA1	SOX13	0.6449194878993283
FOXA1	CYBA	0.5825292917339682
FOXA1	TICAM1	0.5752597651719946
FOXA1	KCTD9	0.8799586028654511
FOXA1	RUFY4	0.5394346274530708
FOXA1	GPR161	0.5602018678708074
FOXA1	JTB	0.6879135562680951
FOXA1	FSCN3	0.5625844954697432
FOXA1	KCTD18	0.6601204221519472
FOXA1	LLGL1	0.5970866202428962
FOXA1	COX17	0.6780767892119752
FOXA1	COMMD9	0.6119443345582751
FOXA1	MED30	0.5585285621584704
FOXA1	ZNF706	0.5286855577357885
FOXA1	TBXA2R	0.6281428900526662
FOXA1	AP4S1	0.5271687066317687
FOXA1	ZNF304	0.5875144198620741
FOXA1	CDH26	0.677032460791501
FOXA1	KIAA0319L	0.5340124565509927
FOXA1	RBM10	0.7471061165556829
FOXA1	SNX5	0.5317887173093547
FOXA1	ABCA1	0.6586797295593985
FOXA1	SIGLEC15	0.6157000297450557
FOXA1	ANKRD27	0.5489065694092852
FOXA1	OSBPL6	0.8007199745610976
FOXA1	AUTS2	0.895812925533896
FOXA1	KY	0.7849922582371534
FOXA1	EIF5	0.6338869116662225
FOXA1	RPL27A	0.5500091666541818
FOXA1	KLRD1	0.5661431112126585
FOXA1	ULBP3	0.6685495534323453
FOXA1	FOXE1	0.7425853350885085
FOXA1	KIF14	0.5314490311460025
FOXA1	PHTF1	0.7191443602181518
FOXA1	HK3	0.6617125177001983
FOXA1	CA3	0.5677164187769068
FOXA1	SNAPC1	0.5843958202968143
FOXA1	AP1G1	0.5872579121122645
FOXA1	ZNF529	0.6737428071536038
FOXA1	TRPS1	0.6096569867499291
FOXA1	EIF5B	0.5946960434513904
FOXA1	GPBAR1	0.5602007861850917
FOXA1	NAV2	0.6013253719686431
FOXA1	APBB1IP	0.5458434287936322
FOXA1	CLDN11	0.5606160212980531
FOXA1	SLC25A15	0.5561691540591758
FOXA1	DNAJC1	0.629019914795347
FOXA1	IFNG	0.5542413673218483
FOXA1	CRY2	0.5682101762345666
FOXA1	RBM12B	0.5527500211049738
FOXA1	PGAM4	0.6136044381444341
FOXA1	FAM20A	0.6055643433058031
FOXA1	RAB7A	0.7407124282681412
FOXA1	GTF3C3	0.5897993850664394
FOXA1	SYNPO2	0.5541919503900496
FOXA1	LAGE3	0.6037308255365064
FOXA1	LILRA3	0.5688360631153309
FOXA1	SELENBP1	0.5283178816960907
FOXA1	NWD1	0.7967862743987162
FOXA1	EXOSC10	0.5648934488406239
FOXA1	ABCF1	0.5698952698493738
FOXA1	SLC35A4	0.6372653639523786
FOXA1	CHURC1	0.5595972750917064
FOXA1	PCGF5	0.5746172082523469
FOXA1	LHFPL4	0.68508133466326
FOXA1	MYO9B	0.6347782284153274
FOXA1	PA2G4P4	0.6431090583726711
FOXA1	CHFR	0.5390519635403117
FOXA1	KLF2	0.539839725262544
FOXA1	MYO1E	0.530373886249007
FOXA1	DHRS9	0.6414374394053453
FOXA1	PRKRA	0.5303738862490066
