Regulator	Target	MI
ATF1	RNF31	0.6187140063412206
ATF1	TSFM	0.5535701397140556
ATF1	BHLHB9	0.6236425292083969
ATF1	ANP32A	0.5496890759644448
ATF1	BTN2A2	0.5718265423916367
ATF1	API5	0.5451284577700224
ATF1	LMO3	0.7651735584981711
ATF1	PLEKHB1	0.5710271367646671
ATF1	VEGFC	0.5929069059001355
ATF1	ZFYVE21	0.5689006423476712
ATF1	HSD17B13	0.5360232586287315
ATF1	ELL2	0.5488527541632777
ATF1	KIF5C	0.6037187415906029
ATF1	DGKQ	0.5302068035299015
ATF1	ORMDL2	0.6318303438378585
ATF1	ZNF404	0.5294942675501031
ATF1	BBS7	0.5379255245926493
ATF1	TTLL9	0.5285212666289283
ATF1	NFKBIB	0.5367830186594325
FOXA1	POLE4	0.5926482686273284
FOXA1	ZNF275	0.5603759270507025
FOXA1	SCARNA11	0.5273143253538977
FOXA1	HFM1	0.538677065870588
FOXA1	CPNE4	0.6620617563446607
FOXA1	BLOC1S3	0.6041704143142597
FOXA1	BCCIP	0.6609013225734359
FOXA1	PARP16	0.5525215289184016
FOXA1	ZNF622	0.548999926247157
FOXA1	TLN1	0.5459248318238594
FOXA1	ZNF124	0.5782944543711572
FOXA1	ELAVL3	0.5631017966496543
ATF2	ARF1	0.6295298039844623
ATF2	VIPR1	0.5277817398499667
ATF2	PKDCC	0.5412682546451264
ATF2	CRYBG3	0.6254279321220073
ATF2	CTBP1	0.592866135109019
ATF2	NRM	0.7401486304090796
ATF2	NADSYN1	0.5305671826864038
ATF2	NDRG2	0.5408057135002791
ATF2	GLI3	0.5505502700298504
ATF2	TNFSF13B	0.5444462499254623
ATF2	CST3	0.53370978908062
ATF2	NPEPPS	0.5598543844846571
ATF2	GLT1D1	0.6047894743532733
ATF2	NRIP2	0.560430583292908
ATF2	APOF	0.5496890759644448
ATF2	FCER1A	0.786690575213802
ATF2	CNNM2	0.7040743378667313
ATF2	PGLYRP1	0.6015247697907502
ATF2	MUC4	0.5353232119713187
ATF2	SULT1A2	0.6110294395382132
ATF2	YTHDF1	0.538289702302126
ATF2	FEM1A	0.6521166979440878
ATF2	APOBEC3H	0.5783719775182008
ATF2	LRRN4	0.6077603777264566
ATF2	PCDHGC3	0.6688611308750794
ATF2	MAGOHB	0.5352028521881134
ATF2	GDF5	0.5909565917426871
ATF2	AGT	0.6608120044994723
ATF2	CD200R1	0.5747263913774829
ATF2	EBNA1BP2	0.6131484272304655
ATF2	ANGPTL6	0.5365345340769707
ATF2	DNAJA4	0.5456032442941434
ATF2	CHMP4C	0.5555818022687742
ATF2	EIF3H	0.840206742352986
ATF2	CCDC87	0.5769580475999376
ATF2	ZNF117	0.7025700078490322
ATF2	TRIM38	0.6093538358364636
ATF2	CLOCK	0.8136944889274709
ATF2	BMPR1A	0.5535384651368616
ATF2	CSNK1G1	0.7889912825696954
CCNT2	SPAG16	0.6074784956068751
CCNT2	EXD2	0.5512822954214847
CCNT2	C1orf54	0.6902332588971429
CCNT2	FAIM2	0.7682263096560056
CCNT2	RNF7	0.5641727352036212
CCNT2	SLC5A10	0.5344694685481111
CCNT2	PHF6	0.5349410283857172
CCNT2	C19orf25	0.5774338426227552
CCNT2	IFIT3	0.8198129723574974
CCNT2	SMPD3	0.6240127891319611
CCNT2	RPSAP52	0.6696611838924795
CCNT2	ING3	0.6894193864101306
CCNT2	WDR70	0.6431580902567071
CCNT2	YWHAQ	0.5289984267954972
CCNT2	PACSIN2	0.5778242535609035
CCNT2	MYOZ1	0.5527701546753265
CCNT2	RBM12	0.5509173638126561
CCNT2	DLGAP2	0.564819205707221
CCNT2	TNPO2	0.6484052967865535
CCNT2	MAP2K5	0.5588005216670311
CCNT2	GPR135	0.6073834942470655
CCNT2	EDARADD	0.6064176032859185
CCNT2	PRKCI	0.6678920981127896
CCNT2	PCGF5	0.5277355007362736
CCNT2	F12	0.7228271317918731
CCNT2	FBXO2	0.5756869833905167
CCNT2	TRAPPC5	0.570953803256049
CCNT2	GZMB	0.5573765470737246
CCNT2	POU2F2	0.5314847197390269
CCNT2	KCTD6	0.5835897924219382
CCNT2	ZNF16	0.6013940266267692
CCNT2	UEVLD	0.5847872117012227
CCNT2	AR	0.6079310474699526
CCNT2	DBNDD1	0.6058371194415972
CCNT2	MYL5	0.8823966162663286
CCNT2	IFT88	0.5603759270507025
CCNT2	RPS28	0.5440253517950113
CCNT2	ZNF319	0.5432652441486354
CCNT2	FAS	0.5843442566685888
CCNT2	XCL1	0.552451038714564
CCNT2	ITGA6	0.6077005903783932
CCNT2	PPIG	0.5308804779278069
CCNT2	DNASE1L2	0.6875106677538634
CCNT2	SLC25A34	0.5733623448587042
CCNT2	CDK14	0.5984347103361509
CCNT2	MYL9	0.6275940831618456
CCNT2	TLR4	0.5551135241404341
SMARCB1	KHDRBS2	0.5749890585523842
SMARCB1	ACTL7A	0.5285184750166834
SMARCB1	CLEC9A	0.5585270063307028
SMARCB1	TFCP2L1	0.6616034654923051
SMARCB1	EPX	0.5282453349878522
SMARCB1	RPAP1	0.6028255424541689
SMARCB1	CELSR3	0.55252551409205
SMARCB1	FGFRL1	0.5316773622697251
SMARCB1	MTM1	0.564622652747861
SMARCB1	TRO	0.5419146088305835
SMARCB1	MMP25	0.5553753479428294
SMARCB1	ABHD11	0.5428691027432646
SMARCB1	AP1G2	0.5751290062508154
SMARCB1	PSMD2	0.5794403774325945
SMARCB1	SLITRK5	0.5434032288791606
SMARCB1	ROMO1	0.560596585583863
SMARCB1	ATXN7L1	0.553735185159494
SMARCB1	HMCN1	0.6193774885505463
SMARCB1	ATP6V0E2	0.6307501711282755
SMARCB1	CNNM2	0.6186712681397437
SMARCB1	ABCD1	0.5971313306839701
SMARCB1	NUDT13	0.6186365225721189
SMARCB1	SLC12A2	0.5438699849494548
SMARCB1	ARSA	0.607859941958373
SMARCB1	TRAP1	0.697617535922479
SMARCB1	AOC2	0.7845304555138557
SMARCB1	CADM4	0.5998454212422666
SMARCB1	NONO	0.5297014785601695
SMARCB1	MOCOS	0.5730377420419894
SMARCB1	ZBTB32	0.5315852133041883
SMARCB1	AMMECR1	0.6029091022916089
SMARCB1	ZNF16	0.5647619965057382
SMARCB1	ARHGAP10	0.557338558154338
SMARCB1	GOLGA8B	0.5385491435694965
SMARCB1	DEPDC1B	0.5583898312029612
SMARCB1	GIPC1	0.5593134264698145
SMARCB1	MYO5B	0.6450089177723566
SMARCB1	AKAP9	0.7487382322199436
SMARCB1	TADA3	0.5863420997536943
SMARCB1	UBA3	0.6271395191730496
SMARCB1	ZNF433	0.6799984413030513
SMARCB1	DBN1	0.6357456736462752
SMARCB1	ZNF333	0.6557840149270149
SMARCB1	ITM2C	0.5912873243633285
SPI1	FZD3	0.5495236799903509
SPI1	ST14	0.5422895306292319
SPI1	NUFIP1	0.5626341422824064
SPI1	ACOT13	0.6216910154891235
SPI1	DNTTIP2	0.582353605915594
SPI1	SPDYE6	0.5464661389246763
SPI1	SLC4A2	0.5694715309195169
SPI1	SIRT2	0.5518790781371563
SPI1	CLIP1	0.5330631851544037
SPI1	TEX9	0.5567294389889166
SPI1	ZNF407	0.7777162465296206
SPI1	SMN2	0.5652601392233851
SPI1	RCCD1	0.6038872244413915
SPI1	INTS8	0.5924646316191899
SPI1	ZNF487	0.617412312655067
KDM1A	LYN	0.7386041772614971
KDM1A	EPHA4	0.5765819734732838
KDM1A	FCRL3	0.6308345727802531
KDM1A	BHLHE41	0.5393128468226815
KDM1A	CASC3	0.790419588277524
KDM1A	FAM91A1	0.5586306972331214
KDM1A	ANK1	0.6041103468691387
KDM1A	SYTL3	0.5885202387500126
KDM1A	LBH	0.6607698307315415
KDM1A	ALS2	0.5724807167895021
KDM1A	BIN1	0.6180381600288225
KDM1A	PITPNM2	0.5278365464901973
KDM1A	BNIP1	0.5865762271970496
KDM1A	PCYOX1L	0.6263547540753747
KDM1A	PLBD1	0.6944408338170853
KDM1A	PKN2	0.6048776570438759
KDM1A	SLAMF6	0.539535632102663
KDM1A	SRFBP1	0.5614189123300894
KDM1A	ATF4	0.6681203690906261
GTF2B	N6AMT1	0.563982935030297
GTF2B	ZNF473	0.593515444814702
GTF2B	MTMR10	0.550024338255763
GTF2B	TNFRSF13B	0.5314743534627255
GTF2B	STXBP4	0.7550035550492953
GTF2B	CLTC	0.5357675740310199
GTF2B	NR1I2	0.6990516949612919
GTF2B	MRPS31	0.6001819599831673
GTF2B	OR1K1	0.5335997150609892
GTF2B	NT5C2	0.5603048207601398
GTF2B	SCARNA17	0.5641949222440639
GTF2B	SUPT6H	0.5930746100433817
GTF2B	SPRED3	0.5907241331608857
GTF2B	C17orf78	0.6611664552402461
GTF2B	MRC1	0.6006069525809585
GTF2B	ROMO1	0.5641802597724661
GTF2B	TK2	0.552604468346956
GTF2B	PDLIM4	0.5537184914998661
GTF2B	C9orf40	0.5524969747603734
GTF2B	TMED5	0.5454325509299034
GTF2B	TRIM23	0.5527500211049738
GTF2B	RRM2	0.5318896288616779
GTF2B	KCNK12	0.5648238991568126
GTF2B	TMOD3	0.5647108402676988
GTF2B	TSC1	0.5611263829421871
GTF2B	GAPVD1	0.5749248701740477
GTF2B	PARP9	0.5546599031770381
GTF2B	CP	0.5712863893452149
GTF2B	SPSB3	0.5695786588875289
GTF2B	RCAN1	0.5477218794605467
GTF2B	NECAP2	0.7228445131279222
GTF2B	SLC4A9	0.5610377789974326
GTF2B	CALU	0.5563348948554023
GTF2B	DHX29	0.583359755873397
GTF2B	SP140L	0.5289529144260081
GTF2B	B4GALT4	0.5861251672757608
GTF2B	C17orf80	0.5609537799371664
GTF2B	PRR14	0.5516711562691512
IKZF1	IPO13	0.5534676707759973
IKZF1	PIGT	0.528954167314958
IKZF1	TAS2R20	0.577006099077825
IKZF1	TNFRSF13B	0.5831220795061278
IKZF1	GIMAP1	0.5830843357559785
IKZF1	CBLB	0.5289984267954981
IKZF1	LDB2	0.7450819768641073
IKZF1	IPO5	0.645210164181309
IKZF1	GYS2	0.5323272373170047
IKZF1	PNN	0.7582951455890918
IKZF1	TRMT112	0.5608754865652807
IKZF1	ALKBH4	0.5393226701599216
IKZF1	CA3	0.5277037834967806
IKZF1	NAGLU	0.8572509229409278
IKZF1	OTUD6B	0.5636234309498738
IKZF1	NUF2	0.5570358488006502
IKZF1	SNORD97	0.55529449146269
IKZF1	JAK2	0.7092472548607818
IKZF1	SPDYE7P	0.5319227717906791
IKZF1	MYOZ2	0.5937175265133288
IKZF1	SLC37A3	0.5431384341390983
IKZF1	IL10	0.6161747020171813
IKZF1	ANKDD1A	0.5475443169921288
IKZF1	TMOD2	0.5368960693540159
IKZF1	MSL2	0.6786514592323205
IKZF1	COPZ2	0.5643862574005896
IKZF1	WDR75	0.5380552173746196
IKZF1	IRAK3	0.5521083413275543
IKZF1	FAM126B	0.6931021015014363
IKZF1	PRAP1	0.5990570349799582
IKZF1	PCP2	0.5652657717247469
IKZF1	KEL	0.7084293476130892
IKZF1	LRTOMT	0.6917373864079028
IKZF1	NPEPL1	0.5293798731469952
IKZF1	ALS2	0.5413819710519663
IKZF1	BIN2	0.6008862886366466
IKZF1	KIF16B	0.5846971803930141
IKZF1	SNORD116-25	0.7619774706447333
IKZF1	DMWD	0.6626814544730646
IKZF1	MMP19	0.7578573740737231
IKZF1	SLC27A3	0.6194845595279621
IKZF1	SMTNL1	0.6938374768224604
IKZF1	CX3CR1	0.691740225609986
IKZF1	GCM2	0.5519579103847616
IKZF1	C3orf49	0.5740622207127526
IKZF1	POM121	0.5499060255468526
IKZF1	DNAH7	0.821442791590314
IKZF1	FICD	0.5663887976753794
IKZF1	HAAO	0.5696080578778449
IKZF1	NPR3	0.5283373638126734
IKZF1	NOLC1	0.5407429739929688
IKZF1	EFNA4	0.5566663973217723
IKZF1	GPR82	0.6987582872129527
IKZF1	CORO1C	0.6632263725587748
IKZF1	CDC42	0.6418442479596873
IKZF1	FGGY	0.5563349843285561
IKZF1	OR2W3	0.60146996315052
IKZF1	CDH20	0.5928943145112822
IKZF1	DDT	0.692244151227019
IKZF1	ASCC3	0.5469733889132748
IKZF1	FAM83C	0.5428195552733368
IKZF1	SLC38A2	0.5412520684284483
IKZF1	ZNF189	0.5615492036254852
IKZF1	LYN	0.5404088771232334
IKZF1	ZNF461	0.7119649231424292
IKZF1	BRF2	0.5370313210208595
IKZF1	APOBEC3G	0.5365009254592672
IKZF1	MMAB	0.5412051555875164
IKZF1	SLC10A1	0.6034533063640888
IKZF1	HAGHL	0.5687024982328537
IKZF1	WDR19	0.5645636311821844
IKZF1	EIF2AK2	0.5784798182812323
IKZF1	PRSS35	0.5361936490541539
IKZF1	NPM3	0.6235223011214188
IKZF1	DEF6	0.5853881307675497
IKZF1	PAFAH2	0.5345160613457511
IKZF1	SLC16A14	0.5373636350270936
IKZF1	SLC16A13	0.6824909579661158
IKZF1	CLCN7	0.6691438148629651
IKZF1	KBTBD3	0.9488456596084065
IKZF1	SGSM1	0.6024723933810443
IKZF1	LBX2	0.5625327285248329
IKZF1	QPCT	0.6687122732042869
IKZF1	FAT2	0.5444869824967347
IKZF1	TAF4B	0.5393916786310613
IKZF1	ALDH18A1	0.5770469854081011
PRDM1	OSCP1	0.5834891147403698
PRDM1	ISCA2	0.5428982691882402
PRDM1	SYCP2	0.6411038224149483
PRDM1	SNORD1C	0.6518790537712067
PRDM1	TESK1	0.6087015599915881
PRDM1	SLC2A3	0.6672721210454258
PRDM1	HEBP2	0.5788371916805604
PRDM1	CAPN7	0.5565441148566528
PRDM1	STMN1	0.5890356094445752
PRDM1	WDR6	0.5721317339024816
PRDM1	KIF1B	0.7419243090700522
PRDM1	SNORD52	0.6093718714189702
PRDM1	SLFN12L	0.572864021128602
PRDM1	ZNF562	0.5981441984013776
PRDM1	KLF12	0.639620353800948
PRDM1	CCDC153	0.5308598238733717
PRDM1	PPP1R12A	0.7545105247750641
PRDM1	DAPK3	0.6413431778528622
PRDM1	ZFP2	0.5377099975444599
PRDM1	ENTPD8	0.6016436274524262
PRDM1	HAUS3	0.5352239327947621
PRDM1	URB2	0.574728076964397
PRDM1	PEX1	0.6491527776770312
PRDM1	CYP7B1	0.6046934076725945
PRDM1	TICAM1	0.5743810759577701
PRDM1	MYT1	0.5525321229197093
PRDM1	ADRA2A	0.5518425389071351
PRDM1	AFG3L2	0.5372632030229441
PRDM1	JMJD7-PLA2G4B	0.8005386705303019
PRDM1	ZP1	0.6839025967903503
PRDM1	LCP1	0.7529981304047495
PRDM1	ANKRD36B	0.609881462059279
PRDM1	CES1	0.5523842151990492
PRDM1	FAM114A2	0.6077135555167761
