Regulator	Target	MI
ATF1	RSPH3	0.557787903250051
ATF1	ZNF131	0.5350140499252811
ATF1	EXOSC4	0.62695504007957
ATF1	DMTF1	0.5442497685557988
ATF1	OXSR1	0.5327734434444724
FOXA1	ITPKB	0.5390615824335319
FOXA1	CD96	0.5364096141377228
FOXA1	ZBTB47	0.6111968601840667
FOXA1	ABI3	0.5409448876128882
FOXA1	ILVBL	0.6663295321323406
FOXA1	SNORD105B	0.5369689921880911
FOXA1	RARB	0.5462752181269206
FOXA1	ERCC6	0.6056936099060795
FOXA1	WASL	0.6317717349439178
FOXA1	PIGF	0.5301058155455576
FOXA1	GANC	0.5873178486401427
ATF2	HEBP2	0.5460383718191149
ATF2	PSMA1	0.594663613756635
ATF2	EFHD2	0.5910686966183274
ATF2	SYCP3	0.7651572596268212
ATF2	WASL	0.5733773684385688
CCNT2	NUP214	0.533911035489572
CCNT2	RAB10	0.5749890585523842
CCNT2	C1orf112	0.5896598685080039
CCNT2	ZNF350	0.562762106746209
CCNT2	PRR15L	0.6337957991115237
CCNT2	HVCN1	0.5451215155181801
CCNT2	GMIP	0.5348256881724396
CCNT2	PRDM11	0.5610922726188208
CCNT2	ZNF764	0.5444210422398479
CCNT2	RHOA	0.5380495333097883
SMARCB1	TFAP2A	0.6901805253368511
SMARCB1	COX7B	0.6181967446683174
SMARCB1	ZNF570	0.6254081515856846
SMARCB1	KRR1	0.6025915947067553
SMARCB1	PRIM1	0.5634826793859453
SMARCB1	ZBTB26	0.5442337710259428
SMARCB1	DUSP19	0.5450800476498858
SMARCB1	PSMA5	0.5865796665995928
SMARCB1	KIF18A	0.6225413881383739
SMARCB1	MAP7D3	0.6092322463458268
SMARCB1	ALKBH1	0.5478223587147766
SMARCB1	AMDHD2	0.5645762632361433
SMARCB1	TREML2	0.6946398952704111
SMARCB1	TFAM	0.7645865519383643
SMARCB1	RSPH10B2	0.5882443668757089
SPI1	TMEM41B	0.5897102435331281
SPI1	WFIKKN1	0.5349136996512129
SPI1	MLNR	0.5563318227068748
SPI1	MRPL19	0.5477542506067388
SPI1	TEX261	0.653957701683272
SPI1	ZDHHC8	0.6270909293276223
SPI1	HINT1	0.5565653519469622
SPI1	ERI2	0.5871875414584822
SPI1	MGAT3	0.5592639936517512
SPI1	C15orf40	0.5668920836450555
SPI1	ZNF366	0.5718664539929375
SPI1	SH3GL1	0.5485505868406011
SPI1	TMED8	0.5598314021559472
SPI1	EDN3	0.5880391186957099
SPI1	TCF15	0.5411904850416818
SPI1	USP4	0.6129397879488954
SPI1	ITGA2	0.599240327536485
SPI1	PMM2	0.591128912524391
SPI1	PCDHB15	0.6535029888937749
SPI1	RANBP6	0.5431691196983772
SPI1	PIGB	0.5716255903390848
SPI1	NPLOC4	0.6691013739231306
SPI1	PLSCR3	0.5954703134216683
SPI1	BUD13	0.533030231351451
SPI1	QRICH2	0.5920220442196862
SPI1	SGK2	0.5310118415685223
KDM1A	TRAM1	0.5598543844846571
KDM1A	ACAA2	0.6166698639965356
KDM1A	ZHX3	0.605304846335001
KDM1A	EIF2AK2	0.5843442566685888
KDM1A	GAB2	0.6456847771258878
KDM1A	NSUN7	0.6223523151484787
KDM1A	ESPN	0.5398332168667626
KDM1A	CORO2B	0.5388065882283053
KDM1A	GPN1	0.8361255451444878
KDM1A	MYOM2	0.6000750935098838
KDM1A	SPRED2	0.5494286770725743
KDM1A	HNRNPUL1	0.5326981141062772
KDM1A	SELL	0.545844139251701
KDM1A	FAM86B2	0.5608337995247994
KDM1A	SPOCK2	0.5342254407672025
KDM1A	SNX7	0.6991634675708478
KDM1A	YAF2	0.5799056345366496
GTF2B	TSKS	0.5445508671572701
GTF2B	SRC	0.6091140921177693
GTF2B	TMPRSS6	0.5490668787428321
GTF2B	ATL1	0.6044295607564063
GTF2B	CDCA5	0.5696004945809761
GTF2B	SLCO5A1	0.5707435857441765
GTF2B	CLCN1	0.6104173237482335
GTF2B	DEAF1	0.6173595806527428
GTF2B	RUVBL2	0.5660000398415868
GTF2B	PSAP	0.5472081141807834
GTF2B	TP53BP2	0.5319699449081297
GTF2B	DSCR9	0.6255228757122375
GTF2B	FCRL2	0.5519579103847616
GTF2B	ANGEL2	0.6848432781288025
GTF2B	NDUFA2	0.5409305988908204
GTF2B	AXIN1	0.5797381423011001
GTF2B	MRPS21	0.5317202469349516
GTF2B	MAPK15	0.548999926247157
GTF2B	SRP9	0.5479619908123712
GTF2B	MLLT10	0.555234369093121
GTF2B	TCEA3	0.6038872244413915
GTF2B	PPT1	0.6024212473520945
GTF2B	FKBP7	0.548055027606952
GTF2B	MMP19	0.5355123744343668
GTF2B	GAS6	0.536394805210969
IKZF1	TOE1	0.5357886813829404
IKZF1	KCNJ8	0.5296048535623443
PRDM1	MS4A7	0.5357886813829396
PRDM1	HMMR	0.6151509529061552
PRDM1	CFP	0.5750268324481396
PRDM1	SLC9A1	0.6388954260174815
PRDM1	SENP6	0.685287788989204
PRDM1	SLC22A12	0.582013239491368
PRDM1	TMEM201	0.582013239491368
PRDM1	ZC3H7A	0.53479790317934
PRDM1	UBXN8	0.6810740969273539
PRDM1	WASF1	0.5408432282776134
PRDM1	PCMTD1	0.5369269261165295
PRDM1	ABCA1	0.5288674579037038
PRDM1	MLXIP	0.5519587724197081
PRDM1	COL24A1	0.5994128324859349
PRDM1	NICN1	0.5325905188915967
PRDM1	TRAPPC4	0.5803525369229581
PRDM1	ACOT11	0.5522930916562774
PRDM1	PAGE2B	0.5311105681652206
PRDM1	DONSON	0.5878540620759631
PRDM1	UPF3B	0.529667312933241
PRDM1	OSMR	0.5298201914844851
PRDM1	RUNX2	0.5772275769836339
PRDM1	PDIA4	0.5819370109655337
PRDM1	OR10Z1	0.6171571122794308
PRDM1	UFM1	0.5413274787177418
PRDM1	CACNB4	0.5392722951347975
PRDM1	INF2	0.5274156293181913
PRDM1	ANTXRL	0.5308105951595707
PRDM1	ERCC1	0.6318680644064889
PRDM1	ATM	0.5361517542251826
PRDM1	RNF166	0.6283449074654444
PRDM1	TMEM45A	0.5456513929195514
NR3C1	RAB32	0.5708503379654646
NR3C1	PPP4R1	0.6609743771037375
NR3C1	ABHD3	0.5798730182212202
NR3C1	OR52D1	0.5305891172537627
NR3C1	COG3	0.5764331897684931
NR3C1	DBT	0.6454124259843406
NR3C1	MOCOS	0.6077005903783932
NR3C1	MT1G	0.5469186424189312
NR3C1	TEX261	0.5711006906243252
NR3C1	DOHH	0.6837007095158318
NR3C1	ABCF2	0.5332063392029633
NR3C1	NBPF1	0.5348482782044641
SMC3	ANKRD34A	0.5950861754505787
SMC3	PCYT1B	0.6644799632429277
SMC3	GLOD5	0.5283549853990137
SMC3	DNAJC24	0.6038791651761448
SMC3	ST3GAL6	0.6586832088480645
SMC3	SDF2	0.5626564830818528
SMC3	LHFPL1	0.5413866532634377
SMC3	PRKAB1	0.535528502102482
SMC3	EXOC1	0.5635723841345932
BACH1	GALNT7	0.6394544897618455
BACH1	COPA	0.5734878463359707
BACH1	ACOT7	0.5313230653273111
BACH1	APOC3	0.5639152372176874
BACH1	RABL2B	0.618363243951678
BACH1	ERLIN2	0.5276424847862602
BACH1	FUT1	0.6344210340620244
BACH1	MEX3C	0.6774033534670383
BACH1	DCAF7	0.5444419601259627
BACH1	DRAP1	0.545844139251701
BACH1	NET1	0.5288147657875015
BACH1	CCNY	0.5390370460988492
