Regulator	Target	MI
ATF1	VIT	0.5696131258559509
ATF1	SERPINE2	0.7391273955293047
ATF1	CCNH	0.7413208382626575
ATF1	GMFG	0.5632356562676439
ATF1	POP4	0.5611263829421871
ATF1	ZNF292	0.6246061906145379
ATF1	XYLT2	0.5897045594682981
ATF1	EHMT1	0.6809512659149535
ATF1	ZFYVE28	0.6404863410454626
ATF1	PREX1	0.6397543903988145
ATF1	HERC2	0.5452484560658468
ATF1	STS	0.5316162123599044
ATF1	HERC1	0.7635946936463727
ATF1	ZNF606	0.5762406781550382
ATF1	NIPAL3	0.5611263829421871
ATF1	PSMD3	0.5907980546930305
ATF1	DAG1	0.7464450905372271
ATF1	LUC7L	0.6446791872107638
ATF1	MLYCD	0.7085749292811383
ATF1	EPHB2	0.6385161064128053
ATF1	SRRM2	0.5867519866023136
ATF1	ARRDC5	0.543518005437877
ATF1	PRKCE	0.5915265508298524
ATF1	SECISBP2	0.5669426873032353
ATF1	FOXH1	0.5603766395059648
ATF1	KCNK13	0.5393760747313863
ATF1	RPL22	0.5802987964219368
ATF1	TINF2	0.5737548171304887
ATF1	TAS2R13	0.528956264355398
ATF1	EML3	0.5556846238617479
ATF1	BCR	0.6836421153500583
ATF1	SOAT2	0.5611895523023289
ATF1	HECW2	0.5600943060467354
ATF1	RUFY2	0.5787841001279359
ATF1	SNORA28	0.6966892174688901
ATF1	PADI2	0.5426200989026668
ATF1	TBPL1	0.854986180271887
ATF1	DUS3L	0.5587306388987949
ATF1	TP53	0.5663655805126893
ATF1	CD101	0.5367896123971772
ATF1	SKAP1	0.5342756056110196
ATF1	CDC42SE1	0.5686244825127647
ATF1	SLBP	0.7348468753727535
ATF1	DCUN1D3	0.588729330550084
ATF1	AGAP2	0.8265256480255099
ATF1	TAS2R46	0.6175952049961886
ATF1	BAZ2B	0.6809619106613902
ATF1	PRDM11	0.584077956446019
ATF1	EVPL	0.6237885789414546
ATF1	PPL	0.532248609612886
ATF1	GMCL1	0.7211914974610045
ATF1	C2	0.5442104697568655
ATF1	SPATA5L1	0.5911250745934762
ATF1	GALR2	0.5864129587487596
ATF1	PRDX1	0.8898083387441811
ATF1	RRS1	0.5905357160147711
ATF1	ALX4	0.591896020192189
ATF1	MOV10L1	0.6067737175508294
ATF1	ASL	0.541026628569865
ATF1	SNX8	0.7671935975162958
ATF1	RAB11FIP4	0.5410977340814442
ATF1	BANP	0.806591087120343
ATF1	DECR1	0.6945265196223627
ATF1	HLA-DRB6	0.5786244912325471
ATF1	XRCC4	0.5809114713080459
ATF1	STK11IP	0.5472516372062035
ATF1	XRCC5	0.7487404179545538
ATF1	TREX2	0.5565108600519633
ATF1	TMEM192	0.5299624996551651
ATF1	NFATC1	0.6426131737289644
ATF1	FHDC1	0.556940608008889
ATF1	GPN2	0.5593916649172512
ATF1	COL1A1	0.8413706960779828
ATF1	GNPTG	0.7768035400892996
ATF1	TF	0.7509194824926841
ATF1	VNN1	0.5323848672730525
ATF1	LPAR5	0.5477748745155666
ATF1	C12orf73	0.6136044381444341
ATF1	CDK10	0.6357971466432488
ATF1	INTS6	0.5518589470721773
ATF1	CTRC	0.5501727445267961
ATF1	ITPA	0.539570306080591
ATF1	MON1A	0.833384395429245
ATF1	SPIN3	0.5856828149654714
ATF1	ARPC1A	0.6832953673161044
ATF1	C7orf50	0.5735250471470588
