Regulator	Target	MI
ATF1	SYNM	0.6311429893802902
ATF1	GAL3ST1	0.617239390385738
ATF1	PPP1R13B	0.652425228925186
ATF1	ATF7IP2	0.6399591575405221
ATF1	SPPL2A	0.5651553690115576
ATF1	ZDHHC5	0.5335997150609892
ATF1	XYLT1	0.7910240090350515
ATF1	BACH1	0.5542836952278973
ATF1	DCAF4	0.5985175288761466
ATF1	LMNB1	0.5791011962592636
ATF1	TRIM8	0.5911278654267367
ATF1	DUSP12	0.7079706557663443
ATF1	ATP7B	0.578058927175233
ATF1	HEY1	0.5810652031002714
ATF1	ADORA3	0.5638767802332922
ATF1	HOXA2	0.6796647771312792
ATF1	CCDC54	0.6051135111784753
ATF1	ZNF524	0.551822046694534
ATF1	ARID2	0.5701183035829498
ATF1	LDLRAP1	0.7807019688494687
ATF1	RPS11	0.6815079157308768
ATF1	CDK5RAP3	0.5485596079096671
ATF1	PRMT5	0.5966760949050172
ATF1	SFTPB	0.5729441050469486
ATF1	COL27A1	0.5727154652778847
ATF1	SLC2A11	0.5706158570882107
ATF1	SYCE1L	0.7310737581848179
ATF1	TNNC1	0.6577710676202728
ATF1	PLEKHG6	0.5783623078798517
ATF1	TSC22D2	0.6446999013717294
ATF1	ATP1B3	0.5614113901375513
ATF1	IL16	0.527410767666014
ATF1	COMMD1	0.5722637343454231
ATF1	FRS3	0.5698195387378053
ATF1	BACE1	0.5564020974698463
ATF1	CYP21A2	0.5302350243762546
ATF1	G2E3	0.5941632678601465
ATF1	ACOX3	0.6894320603474045
ATF1	RBM23	0.6464635847809688
ATF1	RPL23P8	0.5953608688018037
ATF1	SLFN5	0.565230945206026
ATF1	LTK	0.6030576558053737
ATF1	CD151	0.5799190934269323
ATF1	CHRNA7	0.5556951771378387
ATF1	NPRL2	0.6165380192496781
ATF1	CXXC1	0.5857411903675205
ATF1	WIZ	0.6803121088908415
ATF1	FAM149A	0.5487695745150161
ATF1	PRPSAP1	0.539839725262544
ATF1	ATXN1	0.5959800919698153
ATF1	AWAT1	0.5424513708826395
ATF1	ARSK	0.6536569561158294
ATF1	PLXNA2	0.5344791609681079
ATF1	GPC2	0.5672142148928163
ATF1	APOD	0.547705429412189
ATF1	SUSD5	0.6716925672167471
ATF1	ZNF467	0.6743465834051898
ATF1	ZNF584	0.5580214609705734
ATF1	B3GALNT1	0.5408115992930651
ATF1	PTPN1	0.5371305396824222
ATF1	MARCKSL1	0.5501223771760388
ATF1	PPP1R14B	0.5633132620921741
ATF1	RANBP3	0.6437239108504471
ATF1	ASPSCR1	0.602909102291608
ATF1	B3GALT6	0.8316585741926961
ATF1	HS3ST5	0.529365781633806
ATF1	LHFPL2	0.6291141330182488
ATF1	GATAD2B	0.6195428267550604
ATF1	TTC39A	0.5349016827759288
ATF1	TMEM233	0.6842964670675591
ATF1	ARPC2	0.5714927887467107
ATF1	ATG16L2	0.5662645917493618
ATF1	KLHL5	0.6397825140976465
ATF1	AXL	0.5346104831647343
ATF1	HNRNPF	0.5302320847422926
ATF1	SNX14	0.5812813112472557
ATF1	CNOT3	0.5803362604541427
ATF1	RFXAP	0.8876126288858956
ATF1	TCEA3	0.684273489465888
ATF1	MAP3K10	0.5826370987272789
ATF1	ATP13A2	0.6239590100319825
ATF1	PLXNB1	0.5742778600157434
ATF1	RTN4IP1	0.5578424589925297
ATF1	TUBA8	0.6801068972447579
FOXA1	RTN4R	0.5445508671572701
FOXA1	CANT1	0.5338673652214196
FOXA1	FKBP15	0.5296214654525349
FOXA1	WIPF2	0.5875548060446527
FOXA1	FOXI1	0.5742526519510158
FOXA1	ICAM2	0.6406884498684748
