Regulator	Target	MI
ATF1	ZNF496	0.533761169759309
ATF1	OSBPL7	0.5423909670687372
ATF1	PSD4	0.6136593451945522
ATF1	MRPL27	0.5497962047114404
ATF1	RCSD1	0.6058249529472732
FOXA1	TNFRSF21	0.5520320697822969
ATF2	GJC1	0.6282574112330548
ATF2	MYLIP	0.5332599462813672
ATF2	SREBF1	0.6385161064128053
ATF2	MAPK8IP1	0.5309435423973552
CCNT2	SCARB1	0.5365366067176822
CCNT2	FKBP15	0.5624515044115626
CCNT2	ANKRD11	0.580758668788953
CCNT2	CCDC25	0.7039226402148713
CCNT2	ETFB	0.5273143253538968
CCNT2	IDE	0.8476772976495801
CCNT2	ZCCHC14	0.6522460719009748
CCNT2	SBNO2	0.5332240942885424
CCNT2	WDR70	0.5588899904787743
CCNT2	UGT3A2	0.6128851886972853
CCNT2	ZNF789	0.7449765524058223
CCNT2	C15orf62	0.5424190400224398
CCNT2	CHST14	0.536021702800964
CCNT2	LBR	0.6837736331288915
CCNT2	SBF2	0.5712542207059625
CCNT2	TAPT1	0.540670979864589
CCNT2	DACT1	0.6043267241852175
CCNT2	DDX17	0.7397426842687977
CCNT2	MOAP1	0.5798341537175737
CCNT2	KLHL26	0.6335624332504808
CCNT2	KCNH8	0.5534989203897069
CCNT2	PRAF2	0.5773848025957773
CCNT2	CTNNBIP1	0.9387722486747969
CCNT2	IGFBP2	0.6679838006882082
CCNT2	PCDHGC3	0.682297065322643
CCNT2	TRAPPC5	0.5497074312504844
CCNT2	KRT13	0.5993037209504943
CCNT2	SMARCA5	0.5299179604566819
CCNT2	LILRB2	0.5794341305315416
CCNT2	SUPT3H	0.5744253916105659
CCNT2	ZAR1	0.5439615085785658
CCNT2	RAB37	0.6477976488343304
CCNT2	ZC3H11A	0.5319699449081292
CCNT2	IRF5	0.5363959108571859
CCNT2	ULK1	0.6046996545736474
CCNT2	DCP1A	0.5319985923754009
CCNT2	SLC29A1	0.7337304248885212
CCNT2	DGKI	0.5319699449081297
CCNT2	PCDHB7	0.5870110602365544
SMARCB1	GALNT12	0.8692018776620807
SMARCB1	NOMO3	0.5648829930911687
SMARCB1	ARF1	0.5310292282026321
SMARCB1	CSF3	0.540873782101309
SMARCB1	CSRNP2	0.5447439648278216
SMARCB1	CPNE7	0.5335997150609892
SMARCB1	SOBP	0.5316492385708931
SMARCB1	SHD	0.7003485499315567
SMARCB1	TXNDC16	0.6353317572746748
