Regulator	Target	MI
ATF1	MTFMT	0.6292430412864345
ATF1	CSF1	0.6167531538858966
ATF1	HDAC10	0.5452196784603158
ATF1	CCL4L2	0.6608952968417627
ATF1	PDCD5	0.6172135866231168
ATF1	CISD1	0.6681730216998201
ATF1	NUDT2	0.5420586937276086
ATF1	LDLRAD3	0.6352313268284928
ATF1	GPATCH3	0.5646762598262653
ATF1	CELSR1	0.5897715972971636
ATF1	ESPN	0.670125286163155
ATF1	ZDBF2	0.6776025613841137
ATF1	FRAT2	0.54180453274591
ATF1	PSMD4	0.5529706239347032
ATF1	ZNF605	0.5776410476927603
ATF1	ZNF568	0.5503607460794218
ATF1	VSIG4	0.6720036205119277
ATF1	HOXA7	0.5463696790136869
ATF1	PRKACA	0.6729289615115808
ATF1	ZFPL1	0.8388170399642356
ATF1	FADS1	0.5272113545811083
ATF1	FBXW4	0.5847928957660531
ATF1	SRRM2	0.5851678646463605
ATF1	TYW3	0.552604468346956
ATF1	ZFP2	0.5456589814037254
ATF1	ANKHD1-EIF4EBP3	0.5466330183578592
ATF1	ZBTB32	0.5608092868108598
ATF1	TRPC4AP	0.7616029844285346
ATF1	FNDC7	0.5365953810479729
ATF1	ENKUR	0.6584998492209184
ATF1	PDIA4	0.7709262545556479
ATF1	ARMCX3	0.5635723841345932
ATF1	CHIT1	0.5624008507872369
ATF1	CLEC4C	0.5865199402530217
ATF1	DPM3	0.6734612346181774
ATF1	MYL6	0.645008917772357
ATF1	MYCN	0.6340116611812183
ATF1	SNORD116-26	0.6664769799998891
ATF1	RGS9BP	0.6000668405995122
ATF1	KCTD13	0.5515181979249064
ATF1	PLBD1	0.5650313758015693
ATF1	ELMO3	0.6104357375828364
ATF1	RIN3	0.5596756986018501
ATF1	FKBP9	0.5350635092092193
ATF1	ZNF433	0.9029123068396863
ATF1	EPHA2	0.5403762030382238
ATF1	CABP7	0.6496772267710136
ATF1	TMTC2	0.57613770126585
ATF1	SLC1A4	0.5420836244113434
ATF1	PLD2	0.5917888914451934
ATF1	STK31	0.5354862335239803
ATF1	CCDC144B	0.5705447515766311
ATF1	IRAK1	0.6391169039232909
ATF1	ZBED2	0.8040776192099055
ATF1	BMF	0.6915379885857957
ATF1	HIVEP2	0.6060382128705295
ATF1	MSC	0.5823906193270232
ATF1	ZBTB7B	0.8058476475757703
ATF1	ZNF148	0.5357372909637355
ATF1	FGF23	0.5393955929939969
ATF1	LYAR	0.9274607294478909
ATF1	ZNF664	0.6062852498089475
ATF1	AKIRIN1	0.6782147682052138
ATF1	DNAH17	0.5282115393703615
ATF1	ODF3	0.5468104076466047
ATF1	SNORD116-11	0.6723743643867643
ATF1	MEX3C	0.6734695371155808
ATF1	TBL3	0.5499595792981316
ATF1	TSGA13	0.7246877672666785
ATF1	SCCPDH	0.6343977742370366
ATF1	GKAP1	0.6287100180205796
ATF1	CDK3	0.5331844624051847
ATF1	TRIP6	0.5819025427789026
ATF1	PHF13	0.7270835113100711
ATF1	ECHDC3	1.1205575973996966
ATF1	SKIV2L	0.5284239954281205
ATF1	LDHAL6A	0.6237552887697202
ATF1	ACVRL1	0.6202494236915705
ATF1	ZNF492	0.538677065870588
ATF1	CRYBG3	0.6022666515103627
ATF1	STAG3L4	0.7115927954613985
ATF1	ZC3H4	0.5786240910171419
ATF1	TNFAIP2	0.5328656071601667
ATF1	C3orf20	0.5791512516803214
ATF1	ZCCHC18	0.533131825992414
ATF1	SH3RF1	0.6275921349221067
ATF1	PQBP1	0.9487549646236335
ATF1	MECP2	0.5501169667521082
ATF1	SCPEP1	0.6113170281251592
ATF1	SMPD2	0.6111504706723494
ATF1	FAM102B	0.5888368082677675
ATF1	SGCD	0.5513270294525392
ATF1	SPR	0.5590628549785244
ATF1	SLC22A17	0.5946034373575801
ATF1	SPEG	0.6224095426125329
ATF1	APPL1	0.5670644621963388
ATF1	NKX3-1	0.7112154110553282
ATF1	MST1	0.6840372068126435
ATF1	AXIN1	0.5698098869829136
ATF1	RHOH	0.528589580528263
ATF1	PEX2	0.5419487237123826
ATF1	KIF22	0.6252932448887099
ATF1	SIRT2	0.7199845533408427
ATF1	PCDHGA9	0.5945475050449058
ATF1	SNORD48	0.586582212263616
ATF1	VSNL1	0.5300539992844184
ATF1	ENAM	0.6301329958528972
ATF1	HEATR5B	0.5923018475613988
ATF1	PITPNM2	0.5771682194884016
ATF1	LANCL2	0.5924963069753679
ATF1	RBM20	0.5504458755647463
ATF1	AKNAD1	0.557213565807055
ATF1	DOCK2	0.7899132785501322
ATF1	MPND	0.6641631236480263
ATF1	SMARCD1	0.5400070149911556
ATF1	SCARNA11	0.7960760680352812
ATF1	TM2D1	0.5809623136191941
ATF1	TAF1L	0.5833464384973346
ATF1	GDPD5	0.544096457306591
ATF1	CLN6	0.5646912826271464
ATF1	NKD1	0.6115780585211947
ATF1	LILRA5	0.5667013006599264
ATF1	TUBA3E	0.5772152864674505
ATF1	P2RY6	0.842699455816466
ATF1	GPC2	0.560955014942659
ATF1	EPS8L2	0.6262385119410285
ATF1	TMEM209	0.6384126871454998
ATF1	ZNF501	0.8092914647573046
ATF1	S1PR5	0.5273645825029112
ATF1	ZSWIM4	0.564622652747861
ATF1	MBD3	0.6550740688400989
ATF1	RRM2	0.6496429159071386
ATF1	CDX2	0.5496044942474176
ATF1	SRP68	0.6834658878797861
ATF1	RAB11B	0.5772464803777293
ATF1	SVOPL	0.5740040254151078
ATF1	PRPF39	0.5799669003854988
ATF1	EIF3K	0.6530477206322649
ATF1	MSRB3	0.6232379356865825
FOXA1	ARHGAP9	0.5277355007362736
FOXA1	TTC26	0.642901916370306
FOXA1	CDKN1A	0.616974049913928
FOXA1	CRTC2	0.532476423113919
FOXA1	GORAB	0.6277304380985997
FOXA1	MCM9	0.6901286607068902
FOXA1	NUDT1	0.5697254853309355
FOXA1	IL27	0.5395542000360267
FOXA1	PHAX	0.7604460806911049
FOXA1	IDE	0.6739441113321356
FOXA1	PKD2	0.6726118653802535
FOXA1	ELAVL3	0.6832498375023826
FOXA1	NRGN	0.576920059459535
FOXA1	TTC28	0.7262452912353101
FOXA1	GHR	0.6913108627611848
FOXA1	CREB3L3	0.7649155510031393
FOXA1	KHSRP	0.5797381423010997
FOXA1	ZMIZ2	0.6383273534662015
FOXA1	ZNF280B	0.7803516753039181
FOXA1	ZNF649	0.6173861139751002
FOXA1	DSE	0.5298101847584831
FOXA1	POTEE	0.7143548541408293
FOXA1	RAG2	0.610052735743329
FOXA1	RBM7	0.5418576518227893
FOXA1	CCDC112	0.5530237654141166
FOXA1	HSDL2	0.6316434418544064
FOXA1	TTC32	0.6748024303891866
FOXA1	DDX56	0.6113977141810478
FOXA1	KRT1	0.5833768614037864
FOXA1	VPS33B	0.5874674830212845
FOXA1	SIRT4	0.722841146873042
FOXA1	CACYBP	0.6114257614478582
FOXA1	COMMD1	0.6141257706727066
FOXA1	THOC2	0.614131044062995
FOXA1	AP3B2	0.6710366673458457
FOXA1	FAHD2A	0.592535456594486
FOXA1	CACNB1	0.6263547540753751
FOXA1	ERN1	0.5938682518125211
FOXA1	OLFM1	0.5407398806000043
FOXA1	TXLNA	0.708892025412466
FOXA1	BIN2	0.534740631086557
FOXA1	CYP2U1	0.5408432282776134
FOXA1	MDFIC	0.5330685798211374
FOXA1	LRRC7	0.5526534485393118
FOXA1	PTRH2	0.6396491770298876
FOXA1	ATG4C	0.6550415508903997
FOXA1	RARB	0.6566923646262834
FOXA1	ZNF780B	0.6250904019868835
FOXA1	ECT2L	0.6916254832602178
FOXA1	CLOCK	0.5911250745934762
FOXA1	FJX1	0.5414547226434516
FOXA1	ZNF114	0.5452196784603158
FOXA1	CLEC4G	0.6020006021943161
FOXA1	RAPGEF4	0.5541838299942445
FOXA1	RNF31	0.7347681082586854
FOXA1	CD274	0.5767750258995403
FOXA1	NUP205	0.6478747800775828
FOXA1	PROCA1	0.5517925961407486
FOXA1	BCL10	0.7207420092537489
FOXA1	ZNF24	0.6943371099239286
FOXA1	GK5	0.6139426664238883
FOXA1	SPTA1	0.5861101348033193
FOXA1	FAM184A	0.637424062064885
FOXA1	NDN	0.7844839936334589
FOXA1	PLEK2	0.726573166770411
FOXA1	CYC1	0.5479263269981884
FOXA1	KIAA0319L	0.7207793984119006
FOXA1	NXF5	0.6734324113892383
FOXA1	FAM71A	0.5318955976027544
FOXA1	DSCR9	0.5390632676205755
