Regulator	Target	MI
ATF1	CDK11A	0.548503673220686
ATF1	IPO9	0.5749890585523842
ATF1	DDIT4	0.5987054169557608
ATF1	BRD7	0.5431309664317832
ATF1	ZBED4	0.6586390876193771
ATF1	CTTNBP2NL	0.5469388076928579
FOXA1	RNF31	0.6658373476069221
FOXA1	TMEM184A	0.532953387668933
FOXA1	PCDHGB7	0.5585285621584704
FOXA1	BAD	0.6233339653656271
FOXA1	ADH1A	0.6062443642576554
FOXA1	TACO1	0.5621197214089104
FOXA1	SYVN1	0.5721135652371165
FOXA1	CRIP2	0.5529612405992728
FOXA1	CMBL	0.6996233753815302
FOXA1	GOLGA4	0.5472429568959294
FOXA1	CSRP1	0.6249399230150274
FOXA1	NFIA	0.5316773622697251
FOXA1	SCARNA4	0.5351838426556164
FOXA1	GNLY	0.594896036192408
FOXA1	PITPNM3	0.61403734043656
FOXA1	ALB	0.6397303457498844
FOXA1	APOC1	0.6262837380369493
FOXA1	COL6A1	0.6034382827842237
FOXA1	NEK2	0.5542836952278973
FOXA1	PGM5	0.5992448892898499
FOXA1	PPARG	0.6032405481464957
FOXA1	BUB3	0.5519589595485632
FOXA1	FJX1	0.6277927685286899
FOXA1	FERMT3	0.5549553160266449
ATF2	PLVAP	0.5556924440741571
ATF2	SPI1	0.5520320697822969
ATF2	SYS1	0.547100534473254
ATF2	AMHR2	0.5888813474662511
ATF2	OSGEPL1	0.5903481988526442
ATF2	TTLL10	0.5491717639856382
ATF2	LDLRAD2	0.5512224304833029
ATF2	ARR3	0.6085936464206512
ATF2	CHKB-CPT1B	0.5867292347284558
ATF2	CDC14A	0.7582951455890923
ATF2	ZFYVE27	0.6178508632570918
ATF2	FGF9	0.5794634505078418
ATF2	CREB3L4	0.6908550118035577
ATF2	FCGRT	0.5631625301476455
ATF2	LONP2	0.5796664902394322
ATF2	ANKRD13A	0.5475084657782872
ATF2	SCN1B	0.6663295321323406
ATF2	TBC1D22B	0.6884197082848438
ATF2	EPHB3	0.601499954137994
ATF2	SLC39A3	0.6834906449839795
ATF2	CAST	0.5459684890508791
ATF2	ATG3	0.7105515177715902
ATF2	MBNL1	0.6300526805854294
ATF2	ZNF19	0.7426317246002259
ATF2	CEP135	0.7906235539300401
ATF2	KDM2A	0.654892903969206
ATF2	SFMBT2	0.6169707288945689
ATF2	SNORD105	0.5798504294074047
ATF2	ASRGL1	0.5620573849017751
ATF2	ALDH3A2	0.5853940816251693
ATF2	PLA2G15	0.7374483612868268
ATF2	HIC2	0.5770149729041574
ATF2	TIAM1	0.5329929978893837
ATF2	KIAA1614	0.6923391127007066
ATF2	MSH2	0.535867007745563
ATF2	SNORA29	0.5801534770275993
ATF2	MSH4	0.541974808919337
ATF2	SNORA27	0.5561690479207742
ATF2	ULK3	0.5437685631090501
ATF2	WDFY3	0.5708219361066567
ATF2	HPD	0.7871599582093758
ATF2	ZNF394	0.5388561356982335
ATF2	INSIG2	0.740610466773032
ATF2	NDUFB11	0.5477718263668967
ATF2	RRAD	0.7571597107303187
ATF2	ARL3	0.8197337306535584
ATF2	SLC41A2	0.5341390674145705
ATF2	IL20RB	0.6295923186589216
