Regulator	Target	MI
ATF1	PPIB	0.5590524139572359
FOXA1	SLC2A9	0.6092083497186125
FOXA1	PRMT1	0.5513465477151498
FOXA1	MID1IP1	0.7112154110553282
FOXA1	PRKAG1	0.5313977818237823
FOXA1	ATP1A3	0.532452534161072
FOXA1	RAPSN	0.5339597306650687
ATF2	CLIC5	0.5296288757693843
ATF2	ACAA2	0.6200260313157449
ATF2	GMFB	0.6158617398602031
ATF2	STXBP1	0.5755304717916032
ATF2	ASIP	0.6477170209271352
ATF2	TNFRSF11A	0.5822278007205259
ATF2	MRPL12	0.5756342513881929
ATF2	RHOBTB1	0.71960428707039
ATF2	FAM110A	0.5322491500465745
ATF2	ALKBH2	0.5546053014200538
ATF2	NPEPPS	0.7367397107511597
ATF2	PREX1	0.5561309292028866
ATF2	MRPL2	0.5352849871150283
ATF2	POFUT2	0.5556555444754974
ATF2	ABHD11	0.5488250411389886
ATF2	RRN3P1	0.5532749553684391
ATF2	CLP1	0.5453309562889412
ATF2	RPRD1A	0.5609212201041514
ATF2	GPRASP2	0.578868754781936
ATF2	AASS	0.5507424787044881
ATF2	GEN1	0.7259981611996236
ATF2	RPS9	0.5617060995227767
ATF2	TMEM86B	0.7288164506114683
ATF2	TAF12	0.5741496433582531
ATF2	TTC33	0.5496013919532832
ATF2	PNMA5	0.6011940091069108
ATF2	ISG15	0.6145925491455348
ATF2	MAGOHB	0.6096125053210257
ATF2	PEX13	0.7150287769923289
ATF2	SLFN13	0.5464354468491286
ATF2	IVD	0.6832698555335752
ATF2	NBR1	0.5331626819759432
ATF2	TRIP10	0.6788209753606469
ATF2	EIF3D	0.5532027442106418
ATF2	SLC25A36	0.5350885847593809
CCNT2	SNED1	0.5739166935299251
CCNT2	CAB39	0.5558019537588548
CCNT2	LIN37	0.5994137067830301
CCNT2	SLC41A2	0.6528889887500364
CCNT2	ADAM22	0.5831511600504755
CCNT2	DNHD1	0.5588899904787743
CCNT2	HSD17B11	0.582013239491368
CCNT2	LMNB2	0.6451703249486873
CCNT2	RPSAP9	0.6345679987572841
CCNT2	CKMT2	0.534788135106306
CCNT2	DCAF15	0.5537787074059293
CCNT2	PDZD11	0.5756465533701758
CCNT2	PSTPIP2	0.6173595806527428
CCNT2	SLC39A9	0.5536473859882869
CCNT2	MAGOH	0.5770918077248623
CCNT2	PALM	0.5987054169557608
CCNT2	AOX1	0.5369923475632774
CCNT2	APBB2	0.5804415726576253
CCNT2	CLCC1	0.5281573987830024
CCNT2	FAM81B	0.7568607250555512
CCNT2	SLC37A3	0.6221087408334789
CCNT2	SAC3D1	0.7287581422800389
CCNT2	PCDHAC1	0.5691871821499292
CCNT2	ZNF583	0.5447962002462039
CCNT2	PHC2	0.7788678357724312
CCNT2	RNF25	0.6062293227943334
CCNT2	STAT1	0.7091361470565376
CCNT2	GINS3	0.6406884498684748
CCNT2	LRRC49	0.5886001217193875
CCNT2	IPMK	0.533030231351451
CCNT2	DDX10	0.6253177576026485
CCNT2	MICAL2	0.5397303380331455
CCNT2	CDC6	0.5303034346441269
CCNT2	BCS1L	0.5299932592701566
CCNT2	GMIP	0.723805966396919
CCNT2	ISG20	0.6288050063392561
CCNT2	OAS2	0.5570336224009349
CCNT2	SPIRE2	0.6538001255424724
CCNT2	ACSBG1	0.5280879076477536
CCNT2	TRIM31	0.6253185005432762
CCNT2	NFKBID	0.5575808303932259
SMARCB1	MUS81	0.6322498243836208
SMARCB1	GSK3B	0.5601087884139284
SMARCB1	C1orf74	0.6683104419967991
SMARCB1	GSK3A	0.5402385606244584
SMARCB1	MTCH2	0.5868919362378251
SMARCB1	POLDIP3	0.5751441383453888
SMARCB1	SATB1	0.6322467679244408
SMARCB1	GSTP1	0.6773323374286124
SMARCB1	MAST1	0.5697849628154485
SMARCB1	CCDC106	0.5938916588802425
SMARCB1	APCDD1	0.5679025452374562
SMARCB1	PDZD3	0.6760173000122216
SMARCB1	CALB1	0.5552645675458363
SMARCB1	RINL	0.6764001522326888
SMARCB1	RBBP5	0.5349016827759288
SMARCB1	P2RY1	0.5564020974698463
SMARCB1	PGLS	0.5603759270507025
SMARCB1	PDLIM7	0.6695256199857784
SMARCB1	SERPINB2	0.7246904031828394
SMARCB1	FZD6	0.5635025315119644
SMARCB1	C3orf52	0.7528964915261547
SMARCB1	GNL1	0.6233808025535219
SMARCB1	NDC80	0.5936239813677484
SMARCB1	KLHL20	0.5841750149601461
SMARCB1	MKLN1	0.7059868208670248
SMARCB1	TSPAN14	0.5325010496406266
SMARCB1	MEP1B	0.5881357458078114
SMARCB1	RER1	0.5368960693540159
SMARCB1	GAN	0.539227885278224
SMARCB1	NEDD4	0.5549041728428268
SMARCB1	TTC3	0.7172371733897958
SMARCB1	TOMM7	0.5357675740310199
SMARCB1	CTAGE6	0.6907422098900948
SMARCB1	ZNF853	0.5552645675458359
SMARCB1	OSBPL1A	0.543351267101678
SPI1	PIGS	0.5305363844724544
SPI1	SLC48A1	0.7765898311425898
SPI1	MYLK2	0.5925490389776917
SPI1	NAA20	0.5382849067467101
SPI1	MPV17L2	0.5969444666102031
SPI1	TNFRSF13C	0.6303268904935622
SPI1	ZFAND1	0.7707003816199882
SPI1	AKAP10	0.5407398806000039
SPI1	SLC17A9	0.5856752110034957
SPI1	MAP2	0.559256371027335
SPI1	PEBP4	0.7314557096423147
SPI1	SPDYE2	0.8743262027445553
SPI1	SPDYE1	0.5647108402676988
SPI1	METTL5	0.6811417174129812
SPI1	ME2	0.5950673574489298
SPI1	ACAD11	0.6234750853416693
SPI1	ZC3H13	0.5628359713874755
SPI1	MCTS1	0.5768873256077529
SPI1	ZNF121	0.554355063013189
SPI1	ZNF682	0.5442655045909257
SPI1	DBNL	0.6344020542359088
SPI1	B3GAT3	0.6317350570228188
SPI1	SLC10A1	0.5674356756941514
SPI1	CASD1	0.5581797512536681
SPI1	AP4B1	0.655730438773201
SPI1	COQ7	0.5279753513723535
SPI1	SAP30	0.5961777696169479
SPI1	CD2	0.5554388166307622
SPI1	DNAJA1	0.5571722061137105
SPI1	MYLPF	0.593410716486189
SPI1	KATNAL2	0.608148299862111
SPI1	ANTXRL	0.593356992310659
SPI1	QRICH2	0.5472729727913102
SPI1	ZCCHC4	0.5316773622697251
SPI1	SQSTM1	0.6861688111807709
SPI1	TUBA8	0.5393675038438706
SPI1	ZNF431	0.5842549385946265
KDM1A	ARHGAP11B	0.5363928561922453
KDM1A	GPR25	0.6660953754295678
KDM1A	TACO1	0.6316648676916508
KDM1A	PRKAG1	0.6244653409950383
KDM1A	KEAP1	0.5361936490541539
KDM1A	ICAM4	0.7050331931686085
KDM1A	PPP1R9A	0.5438565384330221
KDM1A	PIGV	0.5530671172363015
KDM1A	ICAM1	0.5296048535623443
KDM1A	FGF6	0.6407588429247921
KDM1A	HOXA9	0.5371756490209747
KDM1A	RAB41	0.5369923475632783
KDM1A	SOX15	0.7144460740521392
KDM1A	PPFIA4	0.6194812103775553
KDM1A	NOM1	0.5569959208738586
KDM1A	IGFBP4	0.6306155595480147
KDM1A	RIPK2	0.6312140948918699
KDM1A	ATP1B3	0.6073834942470655
KDM1A	SUMF1	0.5826370987272789
KDM1A	CCNA2	0.5759916934161069
KDM1A	RPUSD4	0.6143574098425044
KDM1A	HGS	0.5391187456117366
KDM1A	PDE12	0.7244568633457749
KDM1A	NUP50	0.5316226088799976
KDM1A	SCNN1A	0.5296453063763167
KDM1A	ANKRD42	0.572119305134446
KDM1A	PLIN1	0.7533152265360763
KDM1A	DUS3L	0.5632050308542516
KDM1A	FKBP3	0.6595816448288891
KDM1A	PTMA	0.5820007887086844
KDM1A	ZNF157	0.545394372884469
KDM1A	RPS19BP1	0.6045870645285252
KDM1A	NAA20	0.5870965403796014
KDM1A	NXN	0.6823915494302835
KDM1A	ICA1L	0.6668195858475969
KDM1A	INSIG1	0.5563885019338066
KDM1A	ZBTB43	0.5752597651719942
KDM1A	UBR2	0.6853740152281689
KDM1A	PLD3	0.8408450188738912
KDM1A	EFNB1	0.6727465111694615
KDM1A	RBBP5	0.6194451456980503
KDM1A	CEP72	0.5769480936852127
KDM1A	CTNNA3	0.5361517542251826
KDM1A	LONRF3	0.5755415484570205
KDM1A	TRPM5	0.8139942037227486
KDM1A	LRRC25	0.6124502393396378
KDM1A	ACBD5	0.5280296701270366
KDM1A	MTX1	0.5788374482169862
KDM1A	SGTA	0.5580232233686209
KDM1A	DNAJC15	0.5744327368625832
KDM1A	TTC17	0.5361936490541539
KDM1A	TOMM7	0.5393760747313858
KDM1A	EPPK1	0.5824666684157354
KDM1A	SNORD65	0.564108697563066
GTF2B	BCAP31	0.5858664775314351
GTF2B	CYB5A	0.5674258669560115
GTF2B	SPINK2	0.5317887173093547
GTF2B	ZNF681	0.6719809243415011
GTF2B	VWF	0.5293405743480619
GTF2B	ZBTB10	0.6346425119678334
GTF2B	STK19	0.6694326917059068
GTF2B	WDR46	0.5725453436116816
GTF2B	SLURP1	0.5756986000503956
GTF2B	RPUSD4	0.5629029575238058
GTF2B	BTD	0.6289858918920754
GTF2B	DBF4	0.5640477277576506
GTF2B	PPP1R13L	0.5918438677306908
GTF2B	GOLGB1	0.6134569593696608
GTF2B	SPIN2A	0.5273143253538968
GTF2B	EXOSC2	0.5739097927221732
GTF2B	TLR4	0.5700321834823869
GTF2B	TRIM54	0.6734324113892383
IKZF1	DCLRE1C	0.5382858867737452
IKZF1	UBE3C	0.5698353162170213
IKZF1	SERPINE3	0.6432688292096116
IKZF1	NOTCH4	0.5631217409648914
IKZF1	WDR4	0.5461095028885192
IKZF1	TNFRSF11A	0.7176108747820513
IKZF1	NR2E3	0.5367373761998118
IKZF1	ERBB4	0.6148654259926034
IKZF1	SNORD16	0.5591832456863202
IKZF1	ANPEP	0.5385185897458005
IKZF1	IDH3B	0.5560341500669437
IKZF1	REV3L	0.7332317702561211
IKZF1	ZNF304	0.5321159938622029
IKZF1	ECT2	0.5413547244953625
IKZF1	MAP4K5	0.6227455734023035
IKZF1	ATP6V0A1	0.7086105752118641
IKZF1	ALG8	0.5352849871150283
IKZF1	NSUN5P1	0.6394769286168631
IKZF1	SEMA4D	0.7079546753409627
IKZF1	DNAJB13	0.582172626447166
IKZF1	MID1	0.565966335634331
IKZF1	CEACAM19	0.5366147272890092
IKZF1	SCAMP2	0.5359621087189117
IKZF1	BSCL2	0.6182533499292466
IKZF1	ETAA1	0.6270644517086961
IKZF1	FAM200A	0.5410791307810356
IKZF1	TTC8	0.608784119542229
IKZF1	SLC7A7	0.5586306972331214
IKZF1	GPR161	0.6203932800156511
IKZF1	CRLF3	0.627015780093831
PRDM1	UNC13B	0.5485878195236853
PRDM1	NUMBL	0.5942310250003033
PRDM1	DNAJC5B	0.5726889327345104
PRDM1	KIR2DS2	0.5501101534203165
PRDM1	ICA1L	0.5657246510105067
PRDM1	INSIG1	0.5707923882762844
PRDM1	C1orf162	0.5634438722126522
PRDM1	NAB2	0.5636995552523976
PRDM1	MBOAT1	0.591167799869798
PRDM1	SERPINB9	0.6744746675481141
PRDM1	LILRA3	0.5780116219223297
PRDM1	YIF1B	0.5482316173435882
PRDM1	ITPKB	0.5435690929182635
PRDM1	PCM1	0.5984347103361509
PRDM1	PRDX4	0.5376807311584209
PRDM1	TTC30B	0.5409524114027495
PRDM1	AGBL2	0.5912597101735941
PRDM1	P2RY1	0.6182257666641027
PRDM1	POC1B	0.6457122131482982
