source	target
218	RP11-54O7.16
218	RP11-54O7.1
219	RP11-54O7.2
220	AL645608.1
220	RP11-54O7.3
220	SAMD11
223	KLHL17
223	NOC2L
223	PLEKHN1
224	C1orf170
224	PLEKHN1
225	HES4
225	RP11-54O7.17
228	AGRN
228	ISG15
228	RP11-54O7.11
234	C1orf159
234	RNF223
239	C1orf159
246	MIR200A
246	MIR200B
246	MIR429
246	RP11-465B22.8
247	TTLL10
248	TTLL10-AS1
248	TTLL10
250	TNFRSF18
250	TNFRSF4
253	B3GALT6
253	FAM132A
253	RP5-902P8.12
253	SDF4
253	UBE2J2
254	RP5-902P8.10
254	UBE2J2
255	SCNN1D
257	ACAP3
257	CPSF3L
257	GLTPD1
257	PUSL1
257	RP5-890O3.9
257	TAS1R3
259	DVL1
259	MXRA8
263	AURKAIP1
264	CCNL2
264	MRPL20
264	RN7SL657P
264	RP4-758J18.13
264	RP4-758J18.2
264	RP5-890O3.3
267	RP4-758J18.10
267	VWA1
268	ATAD3C
274	ATAD3B
283	SSU72
283	TMEM240
291	AL645728.1
291	AL645728.3
291	SSU72
297	C1orf233
298	MIB2
298	RP11-345P4.9
301	CDK11B
301	MIB2
301	MMP23B
311	CDK11A
311	RP1-283E3.4
311	RP1-283E3.8
311	SLC35E2
320	GNB1
320	NADK
338	GNB1
338	RP1-140A9.1
342	CALML6
342	TMEM52
356	C1orf222
356	GABRD
356	RP11-547D24.1
361	PRKCZ
361	RP11-547D24.3
383	AL590822.2
383	RP11-181G12.2
390	AL590822.1
390	C1orf86
390	RP11-181G12.4
390	RP11-181G12.5
395	SKI
418	MORN1
418	RER1
425	PEX10
428	PLCH2
430	PLCH2
432	RP3-395M20.2
432	RP3-395M20.3
437	PANK4
438	HES5
438	RP3-395M20.12
438	RP3-395M20.8
438	TNFRSF14
441	FAM213B
441	MMEL1
448	MMEL1
448	RP13-436F16.1
453	TTC34
487	ACTRT2
495	PRDM16
548	ARHGEF16
566	MIR551A
570	MEGF6
572	RP11-46F15.2
572	TPRG1L
580	TP73
580	WRAP73
582	RP5-1092A11.5
583	RP5-1092A11.2
583	TP73
588	CCDC27
592	SMIM1
597	LRRC47
611	CEP104
611	DFFB
615	C1orf174
615	LINC01134
783	AJAP1
1101	AL356693.1
1141	KCNAB2
1141	NPHP4
1170	CHD5
1177	RNF207
1177	RP1-120G22.11
1177	RPL22
1181	ICMT
1181	LINC00337
1182	HES3
1182	LINC00337
1184	GPR153
1204	ACOT7
1204	RP1-202O8.3
1213	ESPN
1213	TNFRSF25
1217	PLEKHG5
1223	NOL9
1223	RNU6-731P
1223	RP11-58A11.2
1224	TAS1R1
1226	ZBTB48
1231	KLHL21
1231	PHF13
1234	THAP3
1253	DNAJC11
1276	RP11-312B8.1
1277	CAMTA1
1329	RP11-334N17.1
1370	RNU1-8P
1404	RP3-453P22.2
1418	RP4-549F15.1
1481	VAMP3
1485	PER3
1490	RP3-467L1.4
1495	UTS2
1520	RP5-892F13.2
1520	TNFRSF9
1523	PARK7
1536	ERRFI1
1536	RP11-431K24.1
